;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1985.0;6131.0;976.0;856.0;537.0;519.0;346.0;43.0;2271.0;6421.0;1803.0;4240.0;2181.0;;;;;;5155.0;15.93;440.0;;103.0;;;337.0;5594.0;;;337.0;13.96;8.75;-18.0;8.47;173.0;5.64;7.98;7.84;42.0;;1357.0;;1357.0;632.0;225.0;58.0;3649.0;;;;;;502.0;4150.0;;;143.0;;;1660.0;1831.0;;300.0;307.0;2437.0;;;;;1092.0;-2219.0;3308.0;6421.0;;6421.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1986.0;6018.0;800.0;807.0;411.0;419.0;279.0;44.0;2109.0;7528.0;1985.0;5043.0;2485.0;;;;;;5219.0;13.29;389.0;;;;;389.0;5607.0;;;389.0;13.41;6.83;8.0;6.96;140.0;4.64;6.24;6.24;44.0;;1083.0;;1083.0;690.0;263.0;73.0;4741.0;;;;;;677.0;5419.0;;;278.0;;;1707.0;2412.0;;483.0;163.0;3058.0;;;;;1368.0;-2274.0;3392.0;7528.0;;7528.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;7198.0;947.0;808.0;461.0;323.0;198.0;44.0;2146.0;8423.0;2071.0;5742.0;2681.0;;;;;;6251.0;13.16;486.0;;;;;486.0;6737.0;;;486.0;11.23;6.41;-139.0;4.48;124.0;2.76;4.36;4.36;44.0;;1012.0;;1012.0;729.0;299.0;105.0;5588.0;;;;;;689.0;6277.0;;;205.0;;;1866.0;2782.0;;574.0;316.0;3671.0;;;;;1562.0;-2634.0;3753.0;8423.0;;8423.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;8824.0;1359.0;1294.0;807.0;741.0;477.0;45.0;2615.0;9722.0;2796.0;6574.0;3148.0;;;;;;7465.0;15.4;553.0;;;;;553.0;8018.0;;;553.0;14.66;9.14;-66.0;8.39;264.0;5.4;10.6;10.31;44.0;;1287.0;;1287.0;834.0;375.0;120.0;6272.0;;;;;;835.0;7107.0;;;213.0;;;2582.0;2750.0;;668.0;362.0;3779.0;;;;;2028.0;-3108.0;4228.0;9722.0;;9722.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;10480.0;5641.0;106.0;744.0;718.0;455.0;46.0;2091.0;10877.0;3479.0;7112.0;3766.0;1326.0;-1716.0;456.0;456.0;-1069.0;4839.0;53.83;4897.0;;4284.0;;;613.0;9736.0;;;-613.0;1.01;7.1;-26.0;6.86;264.0;4.34;9.59;9.59;46.0;;120.0;;120.0;886.0;490.0;594.0;7820.0;;;;;;967.0;8786.0;;929.0;433.0;;;2117.0;2306.0;;802.0;524.0;3633.0;;;;;2465.0;-3670.0;4970.0;10877.0;;10877.0;;455.0;-613.0;135.0;;123.0;-47.0;-90.0;264.0;-181.0;1225.0;-2395.0;;-42913.0;43668.0;-76.0;-133.0;5.0;-150.0;-12.0;746.0;;;55.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;11720.0;3913.0;-756.0;124.0;-33.0;-40.0;48.0;2658.0;13354.0;4825.0;9626.0;3727.0;686.0;-3738.0;3045.0;3045.0;-2216.0;7807.0;33.39;3789.0;;3066.0;;;723.0;11596.0;;;-723.0;-6.45;1.06;-157.0;-0.28;6.0;-0.34;-0.83;-0.83;48.0;;114.0;;114.0;951.0;609.0;984.0;7853.0;;;;;;2843.0;10696.0;;966.0;1319.0;;;2539.0;3272.0;;650.0;879.0;4802.0;;;;;2422.0;-2698.0;4003.0;13354.0;;13354.0;;-40.0;-723.0;-152.0;;-1207.0;-77.0;-102.0;64.0;-1388.0;2808.0;-2901.0;;-60912.0;60557.0;-482.0;-411.0;;;;3456.0;;;120.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;12887.0;5578.0;-1223.0;5.0;-340.0;-240.0;50.0;2806.0;16208.0;4742.0;12414.0;3794.0;744.0;-4571.0;3807.0;3807.0;-2792.0;7309.0;43.28;5573.0;;4690.0;;;883.0;12882.0;;;-883.0;-9.49;0.04;-345.0;-2.64;-100.0;-1.86;-4.79;-4.79;50.0;;94.0;;94.0;803.0;620.0;1289.0;9481.0;;;;;;3921.0;13402.0;;1001.0;1036.0;;;2705.0;5879.0;;541.0;1252.0;7672.0;;;;;2181.0;-3991.0;5604.0;16208.0;;16208.0;;-240.0;-883.0;-110.0;;-779.0;-152.0;-55.0;15.0;-2167.0;2756.0;-3536.0;;-64950.0;64631.0;-716.0;-1342.0;300.0;;;4849.0;;;114.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;14396.0;6120.0;-2198.0;-25.0;-697.0;-935.0;56.0;2868.0;18706.0;4720.0;15357.0;3349.0;843.0;-2954.0;2062.0;2062.0;-2456.0;8276.0;42.51;6145.0;;5104.0;;;1041.0;14421.0;;;-1041.0;-15.27;-0.17;-672.0;-4.84;-222.0;-6.49;-16.79;-16.79;56.0;;45.0;;45.0;947.0;685.0;1191.0;11379.0;;;;;;4459.0;15838.0;;948.0;662.0;;;3110.0;7838.0;;196.0;2603.0;10637.0;;;;;1256.0;-4529.0;6622.0;18706.0;;18706.0;;-935.0;-1041.0;-101.0;;231.0;-144.0;-85.0;-17.0;-1936.0;2689.0;-3299.0;;;342.0;3.0;-932.0;454.0;;;2540.0;;;94.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;15816.0;7112.0;-1350.0;690.0;-113.0;-110.0;57.0;2690.0;19326.0;4417.0;15050.0;4276.0;1377.0;-1754.0;395.0;395.0;-703.0;8704.0;44.97;6422.0;;5199.0;;;1223.0;15126.0;;;-1223.0;-8.54;4.36;-803.0;-0.71;-17.0;-0.7;-1.94;-1.94;57.0;;63.0;;63.0;910.0;688.0;1029.0;12261.0;;;;;;4375.0;16636.0;;921.0;310.0;;;3186.0;7554.0;;310.0;2769.0;10633.0;;;;;1084.0;-4914.0;8106.0;19326.0;;19326.0;;-110.0;-1223.0;-30.0;;84.0;37.0;-27.0;34.0;-1852.0;2656.0;-2080.0;;;290.0;36.0;-1449.0;1081.0;;-49.0;812.0;;;45.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;16137.0;7898.0;1623.0;1006.0;370.0;228.0;67.0;3118.0;19486.0;4914.0;16106.0;3380.0;1609.0;-1463.0;-186.0;-40.0;495.0;8239.0;48.94;16401.0;;8457.0;9792.0;-1335.0;7944.0;24640.0;;;1253.0;10.06;6.23;-636.0;2.29;142.0;1.41;8.03;3.39;28.0;;23.0;754.0;777.0;1206.0;678.0;457.0;13898.0;;;1414.0;;;1056.0;16368.0;;920.0;590.0;;;3404.0;5603.0;733.0;279.0;4577.0;11192.0;;;;76.0;1213.0;-6363.0;8454.0;19486.0;;19486.0;;228.0;1253.0;145.0;;125.0;-135.0;-19.0;-216.0;-1727.0;-142.0;-1114.0;;-239.0;;-110.0;-1095.0;;;-66.0;975.0;;23.0;63.0;;;;;;;;;;;;;;;;;;;;;;;;;;
