;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1994.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;;;;;;;66.0;8.0;159.0;19.0;68.0;91.0;55.0;-46.0;-9.0;;-23.0;;;;;;;;;;;;46.0;;;;;;;;;66.0;;0.0;;0.0;8.0;;;;;;;;;150.0;150.0;;19.0;;;;;38.0;;4.0;7.0;48.0;;;;;86.0;-54.0;59.0;159.0;;159.0;;;46.0;-0.0;;-1.0;0.0;;;-11.0;10.0;-78.0;;;;32.0;;;-3.0;-0.0;-6.0;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;274.0;228.0;99.0;29.0;25.0;15.0;67.0;11.0;198.0;91.0;91.0;107.0;90.0;;;-0.0;-65.0;46.0;83.17;199.0;;135.0;135.0;;64.0;246.0;;3.0;71.0;36.22;10.44;-3.0;9.18;10.0;5.61;0.23;0.23;67.0;;0.0;;0.0;10.0;;;;;;;;;188.0;188.0;;25.0;;;7.0;59.0;;;;;;;;;11.0;96.0;-61.0;61.0;198.0;;198.0;;15.0;71.0;-1.0;;-69.0;-2.0;;;-80.0;73.0;-155.0;;;;-4.0;-67.0;5.0;-3.0;-1.0;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;304.0;249.0;108.0;28.0;30.0;18.0;67.0;12.0;239.0;31.0;123.0;116.0;105.0;;;0.0;-55.0;56.0;81.63;221.0;;150.0;150.0;;71.0;277.0;;;77.0;35.39;9.08;3.0;9.93;12.0;6.04;0.27;0.27;67.0;;0.0;;0.0;12.0;;;;;;;;;227.0;227.0;;31.0;;;;;76.0;;7.0;9.0;92.0;;;;11.0;114.0;-70.0;61.0;239.0;;239.0;;18.0;77.0;4.0;;61.0;;;;-19.0;-55.0;-160.0;;;;-22.0;;0.0;-9.0;-1.0;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;371.0;309.0;133.0;30.0;35.0;21.0;67.0;16.0;272.0;33.0;103.0;169.0;121.0;;;-0.0;-76.0;62.0;83.28;279.0;;190.0;190.0;;89.0;341.0;;;98.0;35.94;8.07;5.0;9.49;14.0;5.79;0.32;0.32;67.0;;0.0;;0.0;16.0;;;;;;;;;256.0;256.0;;33.0;;;;;52.0;;8.0;10.0;70.0;;;;12.0;135.0;-113.0;135.0;272.0;;272.0;;21.0;98.0;1.0;;2.0;;;;-17.0;-2.0;-197.0;;;;-2.0;;41.0;-11.0;-1.0;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;437.0;350.0;154.0;45.0;41.0;26.0;67.0;21.0;318.0;37.0;135.0;184.0;140.0;;;0.0;-100.0;88.0;79.95;304.0;;202.0;202.0;;102.0;392.0;;;113.0;35.22;10.38;-4.0;9.44;16.0;5.85;0.38;0.38;67.0;;0.0;;0.0;21.0;;;;;;;;;297.0;297.0;;37.0;;;;;73.0;;14.0;11.0;98.0;;;;12.0;159.0;-132.0;145.0;318.0;;318.0;;26.0;113.0;7.0;;1.0;;;;-16.0;-6.0;-240.0;;;;-11.0;;2.0;-13.0;-1.0;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;503.0;398.0;177.0;50.0;44.0;27.0;67.0;24.0;380.0;35.0;172.0;209.0;166.0;;;-0.0;-137.0;105.0;79.09;348.0;;228.0;228.0;;121.0;453.0;;;133.0;35.2;9.85;-6.0;8.73;17.0;5.42;0.4;0.4;67.0;;0.0;;0.0;24.0;;;;;;;;;357.0;357.0;;35.0;;;;;105.0;;21.0;11.0;137.0;;;;12.0;186.0;-36.0;47.0;380.0;;380.0;;27.0;133.0;7.0;;5.0;;;;-11.0;-6.0;-303.0;;;;-7.0;;2.0;-5.0;-1.0;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;547.0;441.0;173.0;26.0;20.0;12.0;67.0;284.0;397.0;65.0;177.0;220.0;189.0;;;-0.0;-83.0;106.0;80.61;415.0;;277.0;277.0;;138.0;521.0;;;154.0;31.72;4.78;-6.0;3.63;8.0;2.26;0.18;0.18;67.0;;0.0;;0.0;25.0;;259.0;;;22.0;22.0;;;91.0;113.0;;65.0;;;;;78.0;;21.0;13.0;112.0;;;;12.0;197.0;-39.0;50.0;397.0;;397.0;;12.0;154.0;1.0;;230.0;;;;219.0;-208.0;-273.0;;;;-6.0;;1.0;;-1.0;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;641.0;504.0;223.0;48.0;44.0;27.0;67.0;344.0;484.0;64.0;203.0;281.0;222.0;;;0.0;-173.0;136.0;78.73;456.0;;293.0;293.0;;163.0;592.0;;;179.0;34.76;7.56;-5.0;6.81;16.0;4.28;0.41;0.41;67.0;;0.0;;0.0;27.0;;317.0;;;26.0;26.0;;;113.0;139.0;;64.0;;;;;73.0;;51.0;15.0;139.0;;;;13.0;224.0;-45.0;89.0;484.0;;484.0;;27.0;179.0;30.0;;61.0;;;;280.0;-75.0;-394.0;;;;4.0;;35.0;-2.0;-1.0;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;767.0;604.0;273.0;64.0;58.0;36.0;75.0;374.0;555.0;84.0;235.0;320.0;67.0;;;-0.0;29.0;163.0;78.79;541.0;;345.0;345.0;;196.0;703.0;;;215.0;35.63;8.3;-6.0;7.54;21.0;4.75;0.5;0.49;73.0;;0.0;;0.0;31.0;;343.0;;;55.0;55.0;;;126.0;181.0;;84.0;;;;;80.0;;55.0;16.0;151.0;;;;19.0;253.0;-52.0;101.0;555.0;;555.0;;36.0;215.0;3.0;;10.0;;;;290.0;-198.0;-38.0;;;;-44.0;;2.0;;-1.0;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
