;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2007.0;118.0;85.0;72.0;43.0;-2.0;-3.0;53.0;;;;;;31.0;-44.0;19.0;6.0;11.0;33.0;72.3;42.0;;10.0;10.0;;31.0;74.0;2.0;43.0;31.0;61.05;36.69;-45.0;-1.53;;-2.16;-0.07;-0.07;35.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-3.0;31.0;;;-6.0;-2.0;;-6.0;;8.0;-20.0;-48.0;;;3.0;-53.0;;;;72.0;;19.0;14.0;;;3.4;-0.07;0.32;;0.58;;35.0;;;;118.0;36.7;31.0;-3.0;;-2.2;;;;;;;100.0;
2008.0;121.0;88.0;68.0;48.0;;-7.0;53.0;105.0;971.0;11.0;782.0;149.0;48.0;2.0;-50.0;-0.0;28.0;33.0;72.78;40.0;;9.0;9.0;;31.0;73.0;1.0;44.0;31.0;56.37;39.89;-18.0;;;-5.8;-0.2;-0.2;35.0;;19.0;;19.0;42.0;;45.0;793.0;;;;70.0;;2.0;866.0;;;;;;11.0;755.0;;;15.0;771.0;;;;;;-169.0;358.0;931.0;40.0;971.0;;-7.0;31.0;;;94.0;3.0;;;94.0;-71.0;-20.0;;;;2.0;-60.0;;;;10.0;;19.0;19.0;;;3.5;-0.2;0.8;;0.58;4.31;35.0;;;;121.0;39.9;31.0;-7.0;;-5.8;94.0;755.0;149.0;;3.9;-4.7;100.0;
2009.0;117.0;88.0;80.0;51.0;;6.0;53.0;105.0;939.0;10.0;768.0;133.0;48.0;-8.0;-35.0;5.0;40.0;29.0;75.53;37.0;;7.0;7.0;;30.0;66.0;0.0;43.0;30.0;68.32;43.99;-3.0;;;5.51;0.19;0.12;35.0;;24.0;;24.0;42.0;;39.0;774.0;;;;58.0;;2.0;834.0;;;;;;10.0;744.0;;;14.0;758.0;;;;;;-194.0;365.0;901.0;38.0;939.0;;6.0;30.0;;;1.0;0.0;;;95.0;10.0;-7.0;;;;-8.0;-36.0;;;;1.0;;24.0;19.0;;;3.39;0.19;1.17;;0.2;3.86;35.0;;;;117.0;44.0;30.0;6.0;;5.5;95.0;744.0;133.0;;5.5;4.8;100.0;
2010.0;129.0;93.0;89.0;47.0;;4.0;35.0;132.0;1117.0;14.0;962.0;122.0;48.0;-30.0;-1.0;18.0;11.0;36.0;72.11;46.0;;9.0;9.0;;38.0;82.0;0.0;47.0;38.0;69.18;36.09;2.0;;;3.4;0.12;0.12;35.0;;42.0;;42.0;43.0;;47.0;943.0;;;;40.0;;2.0;985.0;;;;;;14.0;895.0;;;53.0;948.0;;;;;;-222.0;377.0;1084.0;33.0;1117.0;;4.0;38.0;;;23.0;0.0;;;118.0;-17.0;-38.0;;;;3.0;-26.0;;;;25.0;;42.0;24.0;;;3.68;0.12;0.31;;1.07;3.48;35.0;;;;129.0;36.1;38.0;4.0;;3.4;118.0;895.0;122.0;;4.7;3.6;100.0;
2011.0;210.0;150.0;117.0;59.0;14.0;3.0;54.0;180.0;1709.0;30.0;1030.0;626.0;65.0;-232.0;237.0;71.0;-177.0;60.0;71.43;91.0;;14.0;14.0;;77.0;151.0;;56.0;58.0;55.78;28.01;-45.0;6.79;;1.39;0.08;0.08;37.0;;113.0;28.0;141.0;7.0;;33.0;1453.0;;;;;;76.0;1529.0;;30.0;;;;;943.0;;;56.0;999.0;;;;0.0;-28.0;-235.0;888.0;1656.0;54.0;1709.0;;3.0;58.0;;3.0;32.0;-4.0;;;150.0;-30.0;-243.0;15.0;-33.0;5.0;13.0;-322.0;602.0;;-46.0;3.0;;113.0;42.0;;;5.71;0.08;-4.82;1.26;6.6;17.04;37.0;263.0;16.1;6.0;210.0;28.0;58.0;3.0;;1.4;150.0;943.0;626.0;3.7;3.6;0.5;-1481.2;313.8
2012.0;235.0;149.0;155.0;72.0;52.0;35.0;57.0;56.0;1828.0;34.0;1142.0;638.0;76.0;-194.0;48.0;-70.0;41.0;86.0;63.43;77.0;;16.0;16.0;;62.0;164.0;0.0;57.0;62.0;65.88;30.54;-20.0;21.95;1.0;14.84;0.9;0.9;39.0;;42.0;;42.0;6.0;;7.0;;;;;;;1771.0;1771.0;;30.0;;;;5.0;1045.0;6.0;0.0;56.0;1107.0;;;;0.0;-26.0;;664.0;1780.0;47.0;1828.0;;35.0;62.0;;3.0;-128.0;0.0;;-2.0;22.0;104.0;-35.0;;;28.0;-222.0;-199.0;;;-48.0;295.0;;42.0;113.0;;;6.08;0.9;1.07;1.25;0.89;16.48;39.0;27.3;1.8;5.1;235.0;30.5;62.0;35.0;2.0;14.8;22.0;1045.0;638.0;5.2;5.2;5.5;-38.7;117.1
2013.0;255.0;165.0;141.0;81.0;23.0;15.0;58.0;65.0;1832.0;42.0;1146.0;649.0;93.0;-58.0;-28.0;7.0;37.0;90.0;64.72;84.0;;17.0;17.0;;67.0;174.0;0.0;58.0;67.0;55.15;31.8;-58.0;9.11;1.0;5.97;0.38;0.38;40.0;;49.0;;49.0;7.0;;9.0;;;33.0;33.0;;;1734.0;1767.0;;37.0;93.0;;;-88.0;1045.0;9.0;0.0;50.0;1104.0;;;;0.0;-44.0;;692.0;1794.0;38.0;1832.0;;15.0;67.0;;3.0;1.0;-0.0;;1.0;23.0;7.0;-56.0;;;;-58.0;-95.0;25.0;;-50.0;92.0;;49.0;42.0;;;6.45;0.38;0.94;1.25;1.41;16.4;40.0;81.9;4.8;4.0;255.0;31.8;67.0;15.0;2.8;6.0;23.0;1045.0;649.0;4.1;4.1;2.3;-225.2;65.2
2014.0;260.0;169.0;142.0;84.0;32.0;22.0;60.0;77.0;1942.0;56.0;1175.0;735.0;106.0;-153.0;58.0;10.0;-39.0;91.0;64.91;85.0;;19.0;19.0;;67.0;176.0;0.0;53.0;67.0;54.52;32.18;-52.0;12.16;0.0;8.37;0.52;0.51;42.0;;59.0;;59.0;7.0;;11.0;;;24.0;24.0;;;1840.0;1865.0;;51.0;;;;6.0;1063.0;10.0;0.0;46.0;1119.0;;;;0.0;-60.0;0.0;795.0;1910.0;31.0;1942.0;;22.0;67.0;;4.0;-2.0;0.0;;1.0;21.0;16.0;-145.0;;;;-153.0;-235.0;104.0;;-54.0;243.0;;59.0;49.0;;;6.18;0.52;-0.93;1.29;3.44;17.49;42.0;67.3;3.7;3.7;260.0;32.2;67.0;22.0;1.5;8.4;21.0;1063.0;735.0;4.0;3.9;3.0;-149.6;127.5
2015.0;276.0;178.0;149.0;94.0;54.0;39.0;62.0;59.0;1978.0;38.0;1149.0;800.0;111.0;-127.0;-3.0;-19.0;-23.0;98.0;64.44;83.0;;20.0;20.0;;63.0;181.0;0.0;47.0;63.0;54.22;34.16;-40.0;19.67;0.0;13.97;0.87;0.86;44.0;;40.0;;40.0;8.0;;12.0;;;18.0;18.0;;;1901.0;1919.0;;32.0;30.0;;;-24.0;1060.0;11.0;0.0;41.0;1112.0;;;;0.0;-64.0;-0.0;863.0;1949.0;29.0;1978.0;;39.0;63.0;;3.0;1.0;-1.0;;-1.0;21.0;5.0;-134.0;;;;-127.0;-271.0;73.0;;-59.0;255.0;;40.0;59.0;;;6.2;0.87;-0.53;1.34;3.02;17.99;44.0;47.2;2.4;3.3;276.0;34.2;63.0;39.0;0.5;14.0;21.0;1060.0;800.0;4.5;4.4;4.8;-54.3;57.0
2016.0;295.0;187.0;156.0;98.0;46.0;33.0;63.0;64.0;1987.0;39.0;1148.0;810.0;123.0;-64.0;-54.0;5.0;63.0;108.0;63.42;89.0;;18.0;18.0;;71.0;197.0;0.0;52.0;71.0;53.0;33.19;-52.0;15.66;1.0;11.04;0.72;0.72;45.0;;45.0;;45.0;9.0;;10.0;;;12.0;12.0;;;1911.0;1923.0;;32.0;20.0;;;-14.0;1062.0;11.0;0.0;37.0;1110.0;;;;0.0;-77.0;12.0;875.0;1958.0;29.0;1987.0;;33.0;71.0;;2.0;4.0;-2.0;;1.0;26.0;12.0;-60.0;;;;-64.0;-181.0;10.0;;-64.0;181.0;;45.0;40.0;;;6.51;0.72;1.39;1.41;1.32;17.86;45.0;56.4;2.5;3.5;295.0;33.2;71.0;33.0;1.2;11.0;26.0;1062.0;810.0;4.4;4.3;4.0;-96.6;86.4
