;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1995.0;3.0;;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;2.0;1.0;;-0.0;1.0;1.0;;;3.0;1.0;;;;1.0;3.0;;;0.0;12.09;11.58;;11.58;;11.58;1502.2;1502.2;0.0;;2.0;;2.0;0.0;;0.0;;;;;;;;;;0.0;;;;0.0;;;;0.0;0.0;;;;0.0;-39.0;;40.0;2.0;;2.0;;0.0;0.0;;;0.0;;;;2.0;0.0;;;;;;-0.0;;;;-0.0;;2.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;0.0;-8.0;-11.0;-12.0;-11.0;-11.0;0.0;5.0;5.0;1.0;1.0;4.0;-3.0;-0.0;7.0;4.0;-3.0;8.0;-4878.44;3.0;1.0;;;;2.0;12.0;;0.0;0.0;-6762.87;-6953.89;0.0;-6863.47;;-6863.47;-36619.81;-36619.81;0.0;;4.0;;4.0;0.0;;0.0;0.0;;;;;;0.0;0.0;;;;;;1.0;0.0;;;0.0;0.0;;;;1.0;-15.0;;18.0;5.0;;5.0;;-11.0;0.0;;;2.0;;;;4.0;6.0;-0.0;;;;-0.0;-0.0;6.0;;;2.0;;4.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;0.0;-0.0;-4.0;-5.0;-4.0;-4.0;0.0;0.0;1.0;1.0;1.0;1.0;-4.0;-0.0;-0.0;-4.0;-4.0;1.0;-33.33;4.0;2.0;;;;2.0;5.0;;;0.0;-983.68;-1040.0;0.0;-1020.92;;-1020.92;-11874.33;-11874.33;0.0;;0.0;;0.0;0.0;;0.0;0.0;;;0.0;;;0.0;1.0;;;;;;1.0;;;;0.0;0.0;;;;1.0;-20.0;;19.0;1.0;;1.0;;-4.0;0.0;;;-4.0;;;;-0.0;5.0;-0.0;;;;-0.0;-0.0;;;;;;0.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;0.0;0.0;-3.0;-3.0;;-3.0;0.0;2.0;2.0;1.0;1.0;2.0;-3.0;-0.0;4.0;1.0;-3.0;;100.0;4.0;2.0;;;;2.0;4.0;;;0.0;-3200.0;-3400.0;;;;-3400.0;-320.0;-320.0;0.0;;2.0;;2.0;;;;0.0;;0.0;0.0;;;0.0;1.0;;0.0;0.0;;;;;;;0.0;0.0;;;;;-23.0;-1.0;26.0;2.0;;2.0;;-3.0;0.0;;;1.0;;;;1.0;-1.0;-0.0;;;;;;5.0;;;-0.0;;2.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;0.0;;-3.0;-3.0;-3.0;-3.0;0.0;1.0;5.0;1.0;1.0;4.0;-3.0;-0.0;3.0;-1.0;-3.0;;;3.0;2.0;;;;2.0;3.0;;;0.0;-20153.33;-22326.67;0.0;-22053.33;;-22053.33;-180.0;-180.0;0.0;;1.0;;1.0;0.0;;0.0;0.0;;3.0;3.0;;;0.0;4.0;;1.0;0.0;;0.0;0.0;;;;;;;;;0.0;-26.0;-1.0;31.0;5.0;;5.0;;-3.0;0.0;;;-1.0;;;;0.0;1.0;-0.0;-0.0;;;;;3.0;;;-0.0;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;0.0;0.0;-5.0;-6.0;-5.0;-5.0;0.0;26.0;31.0;2.0;16.0;15.0;-4.0;-17.0;29.0;8.0;-4.0;;100.0;6.0;4.0;;;;2.0;6.0;;0.0;0.0;-4308.41;-5661.68;1.0;-5072.9;;-5072.9;-122.5;-122.5;0.0;;8.0;17.0;26.0;0.0;;0.0;0.0;;3.0;3.0;;;1.0;4.0;;1.0;;;1.0;0.0;;;;14.0;14.0;;;;0.0;-32.0;-1.0;48.0;31.0;;31.0;;-5.0;0.0;;;24.0;;;;24.0;-24.0;-0.0;;-17.0;;;;19.0;-1.0;;12.0;;8.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;0.0;0.0;-4.0;-6.0;-6.0;-6.0;0.0;21.0;25.0;2.0;16.0;9.0;-5.0;4.0;1.0;-1.0;-6.0;;100.0;7.0;4.0;;;;2.0;7.0;;1.0;1.0;-1740.74;-2595.88;0.0;-2480.25;;-2480.25;-117.5;-117.5;0.0;;7.0;13.0;20.0;0.0;;1.0;0.0;;3.0;3.0;;;1.0;5.0;;1.0;0.0;;1.0;0.0;0.0;;;14.0;14.0;;;;0.0;-38.0;-1.0;48.0;25.0;;25.0;;-6.0;1.0;;;-6.0;;;;19.0;6.0;-0.0;;;;4.0;;0.0;;;1.0;;7.0;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;1.0;1.0;-7.0;-9.0;-9.0;-9.0;0.0;12.0;19.0;5.0;19.0;0.0;-9.0;3.0;-0.0;-6.0;-9.0;0.0;90.67;10.0;7.0;;;;3.0;10.0;;1.0;1.0;-646.9;-758.5;-1.0;-818.13;;-818.13;-180.0;-180.0;0.0;;1.0;8.0;10.0;1.0;0.0;1.0;1.0;2.0;3.0;5.0;;;1.0;7.0;;2.0;1.0;;1.0;0.0;14.0;;;;14.0;;;;0.0;-47.0;-1.0;49.0;19.0;;19.0;;-9.0;1.0;;;-11.0;;-0.0;;8.0;11.0;-0.0;-1.0;;4.0;0.0;;0.0;;;-0.0;;1.0;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;1.0;1.0;-5.0;-8.0;-7.0;-7.0;0.0;5.0;12.0;4.0;18.0;-6.0;-6.0;6.0;-0.0;-1.0;-7.0;0.0;78.61;9.0;6.0;;;;3.0;10.0;;1.0;1.0;-367.26;-634.21;1.0;-535.52;;-535.52;-130.0;-130.0;0.0;;1.0;2.0;3.0;1.0;0.0;1.0;1.0;;5.0;5.0;;;1.0;7.0;;2.0;0.0;;1.0;0.0;14.0;;;;14.0;;;;0.0;-54.0;-1.0;50.0;12.0;;12.0;;-7.0;1.0;;;-6.0;;0.0;;1.0;6.0;-0.0;;;6.0;0.0;;0.0;;;-1.0;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;1.0;0.0;-8.0;-9.0;-10.0;-10.0;0.0;4.0;11.0;12.0;18.0;-7.0;-9.0;1.0;9.0;1.0;-9.0;0.0;56.47;9.0;5.0;;;;4.0;10.0;;1.0;1.0;-1416.58;-1653.73;-1.0;-1864.85;;-1864.85;-170.0;-170.0;0.0;;2.0;0.0;2.0;1.0;0.0;1.0;1.0;2.0;2.0;4.0;;;1.0;7.0;;2.0;8.0;;1.0;0.0;6.0;;;;6.0;;;;0.0;-64.0;-1.0;59.0;11.0;;11.0;;-10.0;1.0;;;-9.0;;0.0;;-8.0;9.0;-0.0;;;1.0;;;9.0;;;-0.0;-0.0;2.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
