;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1996.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;1.0;0.0;-0.0;-1.0;;-1.0;13.0;4.0;4.0;0.0;0.0;4.0;-1.0;-1.0;4.0;1.0;-1.0;0.0;57.46;1.0;0.0;1.0;1.0;;0.0;1.0;0.0;;0.0;-66.98;-112.63;0.0;;;-82.72;-0.04;-0.04;13.0;;2.0;1.0;3.0;0.0;1.0;0.0;0.0;;0.0;0.0;;;;0.0;;;;;;0.0;;;;;;;;;0.0;-3.0;;6.0;4.0;;4.0;;-1.0;0.0;;;-1.0;;-1.0;;5.0;-0.0;-0.0;;;;-1.0;;4.0;-0.0;;-0.0;;2.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;2.0;1.0;-4.0;-5.0;;-4.0;14.0;5.0;5.0;1.0;1.0;5.0;-3.0;1.0;3.0;;-3.0;1.0;50.0;6.0;0.0;5.0;5.0;;0.0;7.0;;;0.0;-195.45;-204.55;0.0;;;-200.0;-0.35;-0.35;14.0;;3.0;;3.0;1.0;1.0;0.0;0.0;;;;;;0.0;0.0;;1.0;;;;;;;;;;;;;;-7.0;-0.0;12.0;5.0;;5.0;;-4.0;0.0;;;-1.0;;-0.0;;4.0;3.0;-0.0;;;1.0;-0.0;;4.0;-0.0;;-0.0;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;7.0;4.0;-2.0;-2.0;;-2.0;15.0;4.0;4.0;1.0;1.0;3.0;-2.0;-1.0;-0.0;-3.0;-2.0;3.0;52.32;5.0;0.0;5.0;5.0;;0.0;9.0;0.0;0.0;0.0;-22.82;-24.42;-0.0;;;-24.03;-0.15;-0.15;15.0;;0.0;1.0;1.0;1.0;2.0;0.0;0.0;;;;;;0.0;1.0;;1.0;0.0;;;0.0;;;;0.0;0.0;;;;0.0;-9.0;-0.0;12.0;4.0;;4.0;;-2.0;0.0;;;1.0;;-1.0;;5.0;-1.0;-0.0;;-2.0;1.0;-0.0;;0.0;;-0.0;-0.0;;0.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;8.0;4.0;-2.0;-2.0;-2.0;-2.0;15.0;4.0;5.0;2.0;2.0;3.0;-1.0;0.0;2.0;1.0;-1.0;4.0;52.93;6.0;1.0;5.0;5.0;;0.0;10.0;0.0;0.0;0.0;-26.25;-27.14;-0.0;-27.91;;-27.91;-0.15;-0.15;15.0;;1.0;0.0;1.0;1.0;1.0;0.0;0.0;;;;;;1.0;1.0;;2.0;0.0;;;;;;;0.0;0.0;;;;0.0;-12.0;-0.0;15.0;5.0;;5.0;;-2.0;0.0;;;-2.0;;0.0;;2.0;3.0;-0.0;;-0.0;1.0;-0.0;;2.0;-0.0;;-0.0;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;;;;;;;21.0;;;;;;-1.0;0.0;-0.0;-1.0;-1.0;;;;;;;;;;;;;;;;;;;;;21.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2.0;0.0;;;-0.0;;-0.0;;2.0;1.0;-0.0;;;0.0;-0.0;;;;;-0.0;;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;10.0;6.0;1.0;1.0;1.0;1.0;21.0;4.0;6.0;2.0;2.0;3.0;-0.0;-0.0;0.0;-0.0;-1.0;4.0;56.59;5.0;0.0;5.0;5.0;;;10.0;0.0;0.0;0.0;9.03;7.26;-0.0;6.97;;6.97;0.03;0.03;21.0;;0.0;;0.0;1.0;3.0;0.0;1.0;;;;;;0.0;1.0;;1.0;0.0;;;1.0;1.0;;;0.0;1.0;;0.0;;0.0;-14.0;-0.0;18.0;6.0;;6.0;;1.0;0.0;;;1.0;-0.0;-1.0;-0.0;3.0;-2.0;-0.0;;;;0.0;-0.0;0.0;;;0.0;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;12.0;7.0;1.0;1.0;;1.0;21.0;5.0;7.0;1.0;2.0;5.0;1.0;-0.0;0.0;1.0;0.0;5.0;56.13;6.0;1.0;5.0;5.0;;;12.0;0.0;0.0;0.0;10.23;7.04;0.0;;;8.26;0.05;0.05;21.0;;1.0;;1.0;1.0;3.0;0.0;1.0;;;;;;0.0;1.0;;1.0;0.0;;;1.0;1.0;;;;1.0;;;;0.0;-13.0;-1.0;19.0;7.0;;7.0;;1.0;0.0;;;1.0;;-0.0;;4.0;-2.0;-0.0;;;;0.0;;0.0;;;-0.0;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;12.0;7.0;1.0;0.0;0.0;0.0;22.0;7.0;8.0;2.0;3.0;6.0;0.0;-1.0;1.0;0.0;-0.0;6.0;53.87;6.0;1.0;6.0;6.0;;;12.0;0.0;0.0;0.0;5.2;2.83;-0.0;2.57;0.0;2.17;0.01;0.01;21.0;;1.0;;1.0;1.0;4.0;0.0;2.0;;;;;;0.0;2.0;;1.0;0.0;;;0.0;1.0;;;;1.0;;;;0.0;-13.0;-1.0;20.0;8.0;;8.0;;0.0;0.0;;;1.0;;-1.0;;5.0;-1.0;-1.0;;;;;;1.0;;;-0.0;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;13.0;6.0;0.0;-0.0;-0.0;-0.0;21.0;6.0;8.0;2.0;2.0;6.0;-0.0;-0.0;-0.0;-1.0;-1.0;7.0;46.45;6.0;1.0;6.0;6.0;;;13.0;0.0;0.0;0.0;0.45;-2.61;-0.0;-2.88;0.0;-2.89;-0.02;-0.02;21.0;;0.0;;0.0;1.0;4.0;0.0;2.0;;;;;;0.0;2.0;;2.0;0.0;;;0.0;1.0;;;0.0;1.0;;;;0.0;-14.0;-1.0;20.0;8.0;;8.0;;-0.0;0.0;;;-0.0;;-0.0;;5.0;-0.0;-0.0;;;;;;0.0;;;-0.0;;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
