;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2012.0;22.0;1.0;13.0;-13.0;11.0;8.0;26.0;;;;;;-3.0;2.0;-88.0;-89.0;-3.0;21.0;3.18;13.0;;5.0;5.0;;9.0;34.0;4.0;2.0;0.0;58.24;-59.03;24.0;50.03;3.0;34.83;0.3;0.29;25.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;0.0;;3.0;-17.0;-0.0;;4.0;-0.0;3.0;;;-1.0;3.0;;;;;;-88.0;;180.0;269.0;;;0.85;0.3;-0.11;;;;25.0;;;;22.0;-59.0;0.0;8.0;28.8;34.8;;;;;;;100.0;
2013.0;20.0;-3.0;42.0;-15.0;40.0;27.0;26.0;254.0;589.0;79.0;93.0;495.0;41.0;29.0;-51.0;20.0;41.0;23.0;-14.2;12.0;;5.0;5.0;;7.0;35.0;6.0;2.0;0.0;204.92;-71.1;55.0;197.76;13.0;131.06;1.06;1.05;25.0;;200.0;;200.0;55.0;;;;3.0;;3.0;140.0;;191.0;334.0;;10.0;;22.0;;69.0;;;;14.0;14.0;;;;;;12.0;495.0;589.0;;589.0;;27.0;0.0;;1.0;175.0;-1.0;;-4.0;175.0;-162.0;;;-5.0;34.0;;;;;;-51.0;;200.0;180.0;;;0.81;1.06;1.61;;;19.55;25.0;;;;20.0;-71.1;0.0;27.0;32.6;131.1;175.0;;495.0;5.5;7.1;5.4;100.0;
2014.0;21.0;-1.0;5.0;-10.0;-0.0;3.0;26.0;364.0;755.0;92.0;172.0;583.0;-59.0;4.0;141.0;86.0;-59.0;22.0;-6.03;9.0;;2.0;2.0;;7.0;31.0;4.0;1.0;0.0;24.56;-47.19;10.0;-1.82;1.0;14.27;0.39;0.39;25.0;;286.0;;286.0;79.0;;;;3.0;;3.0;147.0;;240.0;390.0;;43.0;;16.0;;48.0;;;;80.0;80.0;;;;;;9.0;574.0;755.0;;755.0;;3.0;0.0;;2.0;98.0;1.0;;33.0;273.0;-161.0;;;-1.0;5.0;;-10.0;;;;151.0;;286.0;200.0;;;0.83;0.12;-2.31;;;23.01;25.0;;;;21.0;-47.2;0.0;3.0;-202.9;14.3;273.0;;583.0;2.4;0.7;0.5;100.0;
2015.0;23.0;-4.0;-1.0;-14.0;-3.0;-0.0;25.0;275.0;837.0;69.0;85.0;749.0;-47.0;-42.0;9.0;-80.0;-47.0;26.0;-15.33;11.0;;5.0;5.0;;6.0;37.0;5.0;1.0;0.0;-2.29;-62.66;12.0;-11.28;-2.0;-0.49;-0.0;-0.0;25.0;;206.0;;206.0;69.0;;;;3.0;;3.0;224.0;;335.0;562.0;;51.0;;6.0;;18.0;;;;16.0;16.0;;;;0.0;2.0;-2.0;749.0;834.0;2.0;837.0;;-0.0;0.0;-6.0;5.0;-67.0;-1.0;;45.0;206.0;21.0;;;-43.0;2.0;;-16.0;;-0.0;;25.0;;206.0;286.0;;;0.92;-0.0;-1.9;;;30.1;25.0;-6748.6;-337.1;;23.0;-62.7;0.0;-0.0;65.4;-0.5;206.0;;749.0;-0.0;-0.1;-0.0;100.0;
2016.0;31.0;0.0;15.0;-12.0;14.0;10.0;25.0;338.0;953.0;64.0;79.0;874.0;7.0;-4.0;106.0;108.0;7.0;31.0;0.83;12.0;;4.0;4.0;;8.0;43.0;13.0;1.0;0.0;47.08;-39.17;27.0;45.94;4.0;32.72;0.41;0.41;25.0;;314.0;;314.0;24.0;;;;3.0;;3.0;261.0;;350.0;615.0;;2.0;;7.0;;62.0;;;;14.0;14.0;;;;0.0;7.0;1.0;865.0;953.0;;953.0;;10.0;0.0;-1.0;2.0;68.0;-5.0;;-48.0;274.0;-72.0;;;-5.0;1.0;;;;-42.0;-3.0;150.0;;314.0;206.0;;;1.26;0.41;0.26;0.1;;35.14;25.0;74.5;3.4;0.3;31.0;-39.2;0.0;10.0;27.0;32.7;274.0;;874.0;1.2;1.5;1.2;75.5;669.9
2017.0;27.0;-4.0;7.0;-20.0;6.0;9.0;24.0;350.0;1007.0;37.0;89.0;918.0;-68.0;-19.0;65.0;-21.0;-68.0;31.0;-13.85;17.0;;7.0;7.0;;10.0;47.0;11.0;0.0;0.0;24.74;-75.74;27.0;23.27;-2.0;32.83;0.37;0.37;24.0;;293.0;;293.0;56.0;;;;3.0;;3.0;292.0;;362.0;657.0;;13.0;;5.0;;24.0;;;;52.0;52.0;;;;0.0;14.0;7.0;898.0;1007.0;;1007.0;;9.0;0.0;-3.0;6.0;39.0;4.0;;11.0;313.0;-118.0;;;-5.0;1.0;-15.0;;;-21.0;-5.0;91.0;;293.0;314.0;;;1.13;0.37;-2.84;0.2;;38.59;24.0;94.0;4.0;0.6;27.0;-75.7;0.0;9.0;-38.6;32.8;313.0;;918.0;0.9;0.7;1.0;46.0;-38.4
2018.0;23.0;-4.0;-69.0;-13.0;-69.0;-58.0;23.0;440.0;954.0;29.0;88.0;866.0;77.0;5.0;35.0;116.0;77.0;27.0;-16.8;10.0;;;27.0;;10.0;36.0;13.0;0.0;0.0;-304.2;-59.18;-55.0;-302.3;-11.0;-255.06;-2.52;-2.52;23.0;;410.0;;410.0;30.0;;;;4.0;;4.0;261.0;9.0;241.0;515.0;;6.0;;4.0;;23.0;;;;59.0;59.0;;;;0.0;-40.0;;906.0;954.0;;954.0;;-58.0;0.0;-13.0;0.0;98.0;1.0;;-8.0;411.0;50.0;;;-12.0;2.0;15.0;;;-7.0;-5.0;46.0;;410.0;293.0;;;0.99;-2.52;3.34;0.2;;37.55;23.0;-15.1;-0.6;0.5;23.0;-59.2;0.0;-58.0;16.7;-255.1;411.0;;866.0;-6.2;-7.3;-6.7;108.0;
2019.0;31.0;-1.0;52.0;-16.0;55.0;39.0;23.0;387.0;1011.0;47.0;113.0;896.0;-44.0;-5.0;-12.0;-61.0;-51.0;32.0;-2.94;15.0;;6.0;6.0;;9.0;47.0;13.0;0.0;0.0;164.92;-50.4;71.0;175.62;12.0;125.34;1.73;1.73;23.0;;349.0;;349.0;38.0;;;;4.0;;4.0;605.0;2.0;14.0;624.0;;15.0;;4.0;;32.0;;;;67.0;67.0;;;0.0;0.0;-1.0;;897.0;1010.0;1.0;1011.0;;43.0;0.0;7.0;;-48.0;-5.0;;9.0;4.0;-46.0;-7.0;1.0;-5.0;6.0;;-2.0;;-4.0;-5.0;-1.0;;349.0;410.0;;;1.39;1.74;-2.26;0.2;0.29;39.78;23.0;22.0;0.9;0.5;31.0;-50.4;0.0;39.0;22.1;125.3;340.0;;896.0;4.2;5.1;4.4;89.5;-17.0
2020.0;19.0;-0.0;28.0;-12.0;30.0;19.0;22.0;596.0;1175.0;49.0;273.0;899.0;-279.0;-174.0;151.0;-302.0;-290.0;19.0;-2.39;12.0;;3.0;3.0;;9.0;31.0;9.0;0.0;0.0;149.72;-65.69;42.0;157.42;9.0;99.12;0.84;0.84;22.0;;40.0;344.0;384.0;37.0;;175.0;;4.0;;4.0;544.0;2.0;29.0;579.0;;6.0;;10.0;;42.0;;;;224.0;224.0;;;;0.0;14.0;;885.0;1172.0;2.0;1175.0;;21.0;0.0;-0.0;;-300.0;2.0;;-8.0;-4.0;0.0;-11.0;;-3.0;15.0;-175.0;;;-7.0;-7.0;165.0;;40.0;342.0;;;0.85;0.84;-12.98;0.3;0.5;40.19;22.0;45.3;1.2;0.8;19.0;-65.7;0.0;19.0;31.4;99.1;547.0;;899.0;1.7;2.4;2.1;67.3;-4.9
2021.0;21.0;-4.0;78.0;-19.0;81.0;59.0;22.0;616.0;1203.0;47.0;66.0;937.0;238.0;65.0;-14.0;289.0;238.0;24.0;-16.88;16.0;;8.0;8.0;;7.0;40.0;12.0;0.0;0.0;370.85;-91.17;100.0;388.74;18.0;282.94;2.65;2.65;22.0;;319.0;61.0;380.0;61.0;;175.0;;4.0;;4.0;562.0;;22.0;587.0;;9.0;;9.0;;38.0;;;;18.0;18.0;;;;0.0;68.0;;;1003.0;201.0;1203.0;;64.0;0.0;9.0;;261.0;-1.0;;;;-96.0;;;-9.0;74.0;;;;-8.0;-4.0;-2.0;;329.0;40.0;;;0.94;2.65;10.65;0.2;;41.89;22.0;14.0;0.5;0.5;21.0;-91.2;0.0;59.0;21.8;282.9;569.0;;937.0;6.3;7.7;6.3;93.1;5.1
