;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2012.0;;;;;;;;4.0;4.0;4.0;4.0;-0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;;3.0;1.0;;0.0;0.0;;;;;;;0.0;;1.0;;0.0;;4.0;;;;;;;;;0.0;-10.0;-0.0;10.0;4.0;-0.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013.0;;;-9.0;-9.0;-9.0;-8.0;71.0;2.0;2.0;4.0;4.0;-2.0;-8.0;-0.0;4.0;-4.0;-8.0;;;9.0;8.0;1.0;1.0;;;9.0;0.0;0.0;0.0;-inf;-inf;0.0;-inf;-1.0;-inf;-0.12;-0.12;71.0;;0.0;;0.0;1.0;;0.0;0.0;;;;;;;0.0;;2.0;2.0;0.0;;1.0;;;;;;;;;0.0;-18.0;-0.0;16.0;2.0;;2.0;;-8.0;0.0;;0.0;1.0;;;;-2.0;-0.0;-0.0;;;;;;4.0;;;;;-1.0;3.0;;;;-0.12;-0.11;;0.0;-0.03;71.0;;;;;-inf;0.0;-8.0;9.4;-inf;-2.0;;-2.0;392.4;-515.7;392.7;100.0;
2014.0;1.0;;-14.0;-14.0;-14.0;-13.0;71.0;54.0;56.0;53.0;53.0;2.0;37.0;-1.0;17.0;53.0;36.0;;;15.0;13.0;3.0;3.0;;-0.0;15.0;0.0;0.0;0.0;-2334.93;-2376.9;-0.0;-2377.46;-2.0;-2100.85;-0.2;-0.2;71.0;;51.0;;51.0;2.0;;1.0;1.0;;;;;;-0.0;1.0;;1.0;;8.0;;52.0;;;;;;;;;0.0;-32.0;0.0;34.0;56.0;0.0;56.0;;-13.0;0.0;;0.0;3.0;;;;1.0;46.0;-1.0;;;;;;17.0;;;;;51.0;-1.0;;;0.01;-0.18;0.51;;0.02;0.03;71.0;;;;1.0;-2376.9;0.0;-13.0;11.6;-2100.8;1.0;;2.0;-526.8;-25.9;-527.1;100.0;
2015.0;9.0;;-19.0;-23.0;-19.0;-18.0;54.0;240.0;244.0;22.0;33.0;260.0;-33.0;-60.0;275.0;182.0;-38.0;;;34.0;19.0;11.0;11.0;;4.0;27.0;1.0;-1.0;1.0;-218.42;-264.96;4.0;-221.0;-2.0;-201.36;-0.38;-0.38;54.0;;186.0;45.0;231.0;4.0;;4.0;5.0;;0.0;0.0;;;-1.0;5.0;;1.0;;0.0;;21.0;;;;12.0;12.0;;;;1.0;-38.0;127.0;171.0;293.0;-49.0;244.0;;-18.0;1.0;;4.0;217.0;;;;218.0;-237.0;-5.0;;-55.0;;-0.0;;275.0;;;;;229.0;47.0;;;0.16;-0.32;-0.7;;0.09;4.79;54.0;-41.9;-2.1;;9.0;-265.0;1.0;-18.0;8.9;-201.4;218.0;;260.0;-6.6;-6.7;-6.8;100.0;
2016.0;14.0;;-67.0;-73.0;-71.0;-72.0;71.0;199.0;235.0;40.0;68.0;166.0;-48.0;18.0;0.0;-36.0;-61.0;;;87.0;64.0;23.0;23.0;;;87.0;1.0;;3.0;-474.72;-512.74;2.0;-497.87;1.0;-504.15;-1.02;-1.02;71.0;;159.0;23.0;181.0;1.0;;16.0;28.0;;1.0;1.0;;;7.0;36.0;;11.0;;2.0;11.0;18.0;;25.0;;3.0;28.0;;;;1.0;-161.0;-14.0;;235.0;;235.0;;-72.0;3.0;;9.0;-59.0;;;;158.0;71.0;-13.0;;-43.0;73.0;-1.0;;;;;0.0;-6.0;163.0;199.0;;;0.2;-1.01;-0.86;;0.18;2.35;71.0;-7.6;-0.3;;14.0;-512.7;3.0;-72.0;-1.3;-504.1;158.0;;166.0;-36.8;-30.1;-43.1;100.0;
2017.0;38.0;38.0;-62.0;-81.0;-70.0;-70.0;88.0;230.0;281.0;74.0;78.0;203.0;-54.0;-126.0;104.0;-75.0;-79.0;;100.0;118.0;87.0;31.0;31.0;;;118.0;2.0;2.0;5.0;-163.97;-213.2;11.0;-184.2;0.0;-185.39;-0.78;-0.78;88.0;;84.0;124.0;208.0;0.0;;22.0;41.0;;1.0;1.0;;;9.0;51.0;;8.0;;6.0;39.0;27.0;;;2.0;2.0;4.0;;;;1.0;-232.0;-22.0;455.0;281.0;;281.0;;-70.0;5.0;;11.0;-3.0;;;;156.0;2.0;-25.0;;-171.0;70.0;0.0;;103.0;;;0.0;2.0;88.0;163.0;;;0.43;-0.8;-0.9;;0.28;2.31;88.0;-7.5;-0.3;;38.0;-213.2;5.0;-70.0;-0.6;-185.4;156.0;;203.0;-32.8;-24.0;-34.6;100.0;
2018.0;60.0;60.0;-87.0;-82.0;-95.0;-96.0;97.0;231.0;277.0;24.0;30.0;247.0;-104.0;-17.0;103.0;-16.0;-109.0;;100.0;142.0;98.0;44.0;44.0;;;142.0;3.0;0.0;8.0;-145.92;-138.42;-13.0;-159.68;0.0;-160.51;-0.96;-0.96;97.0;;68.0;137.0;205.0;18.0;;8.0;36.0;;1.0;1.0;;;8.0;46.0;;4.0;;;;20.0;;;1.0;4.0;5.0;;;;1.0;-318.0;-10.0;574.0;277.0;;277.0;;-96.0;8.0;;16.0;51.0;;;;207.0;-84.0;-5.0;;-151.0;138.0;-1.0;;100.0;;;3.0;3.0;72.0;88.0;;;0.61;-0.98;-1.12;;0.05;2.54;97.0;-10.1;-0.4;;60.0;-138.4;8.0;-96.0;-0.5;-160.5;207.0;;247.0;-37.7;-34.2;-38.7;100.0;
2019.0;1.0;1.0;-126.0;-140.0;-137.0;-137.0;105.0;120.0;182.0;34.0;58.0;124.0;-113.0;95.0;0.0;-18.0;-116.0;;100.0;141.0;98.0;43.0;43.0;;;141.0;3.0;3.0;8.0;-11241.35;-12457.22;3.0;-12203.48;0.0;-12225.04;-1.32;-1.32;105.0;;50.0;39.0;90.0;21.0;;10.0;52.0;;2.0;2.0;;;7.0;61.0;;6.0;2.0;;2.0;23.0;23.0;;4.0;-3.0;24.0;;25.0;;1.0;-456.0;-7.0;586.0;182.0;;182.0;;-137.0;8.0;;11.0;-121.0;;;;86.0;126.0;-3.0;;-27.0;125.0;-1.0;;;;;0.0;-0.0;55.0;72.0;;;0.01;-1.31;-1.1;;0.03;1.18;105.0;-2.4;-0.1;;1.0;-12457.2;8.0;-137.0;-0.2;-12225.0;86.0;23.0;124.0;-91.3;-73.9;-110.9;100.0;
2020.0;4.0;1.0;-122.0;-133.0;-130.0;-130.0;142.0;398.0;451.0;39.0;110.0;341.0;-54.0;-279.0;340.0;7.0;-56.0;;28.35;137.0;92.0;47.0;47.0;;-1.0;137.0;2.0;;8.0;-3090.85;-3370.52;3.0;-3282.72;0.0;-3286.81;-0.9;-0.9;142.0;;57.0;311.0;368.0;21.0;2.0;7.0;47.0;;2.0;2.0;;;5.0;53.0;;6.0;3.0;;3.0;27.0;21.0;49.0;;1.0;71.0;;24.0;;1.0;-586.0;-10.0;936.0;451.0;;451.0;;-130.0;8.0;;10.0;273.0;;;;359.0;-214.0;-3.0;;-381.0;105.0;-1.0;;334.0;;;6.0;-1.0;61.0;55.0;;;0.03;-0.91;-0.4;;0.02;2.4;142.0;-7.0;-0.2;;4.0;-3370.5;8.0;-130.0;-0.1;-3286.8;359.0;21.0;341.0;-31.6;-28.8;-38.1;100.0;
2021.0;6.0;6.0;-152.0;-162.0;-157.0;-157.0;156.0;415.0;470.0;63.0;264.0;206.0;11.0;76.0;3.0;90.0;2.0;;100.0;-168.0;-111.0;-57.0;-57.0;;;;1.0;;6.0;-2466.56;-2638.58;5.0;-2558.12;-1.0;-2545.26;-1.02;-1.02;156.0;;150.0;;150.0;1.0;;265.0;51.0;;1.0;1.0;220.0;;-218.0;54.0;;8.0;222.0;;22.0;-190.0;23.0;177.0;;1.0;201.0;;;;1.0;-744.0;-11.0;960.0;470.0;;470.0;;-157.0;6.0;;21.0;-6.0;;;;353.0;147.0;-9.0;;;224.0;-140.0;;3.0;;;1.0;0.0;152.0;61.0;;;0.04;-1.0;0.01;;0.06;1.32;156.0;-5.0;-0.2;;6.0;-2638.6;6.0;-157.0;0.5;-2545.3;353.0;23.0;206.0;-38.5;-33.5;-76.0;100.0;
