;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2005.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007.0;;;-30.0;-30.0;-30.0;-30.0;3.0;15.0;15.0;10.0;15.0;5.0;-24.0;;13.0;-11.0;-24.0;;;30.0;;;;;30.0;30.0;;;;-inf;-inf;;-inf;;-inf;-11.87;-11.87;3.0;;15.0;;15.0;;;;;;;;;;;;;;;;;10.0;10.0;;;;10.0;;;;;;;5.0;19.0;-5.0;15.0;;-30.0;;;;;;;;5.0;6.0;;;;;;;;;;13.0;;15.0;26.0;;;;-11.87;-7.6;;;-5.32;3.0;;;;;-inf;;-30.0;;-inf;-13.0;16.0;-13.0;111.5;278.4;223.0;100.0;
2008.0;;;-25.0;-25.0;-25.0;-25.0;3.0;3.0;3.0;16.0;3.0;-13.0;-19.0;;7.0;-12.0;-19.0;;;25.0;;;;;25.0;25.0;;;;-inf;-inf;;-inf;;-inf;-9.96;-9.96;3.0;;3.0;;3.0;;;;;;;;;;;;;;;;;16.0;16.0;;;;16.0;;;;0.0;;;;-11.0;13.0;3.0;;-25.0;;;;-18.0;;;;-13.0;24.0;;;;;;;;;;7.0;;3.0;15.0;;;;-9.96;-9.78;;;-1.13;3.0;;;;;-inf;;-25.0;;-inf;-3.0;12.0;-3.0;441.3;-424.2;882.7;100.0;
2009.0;;;-20.0;-20.0;-20.0;-20.0;3.0;9.0;9.0;12.0;9.0;-3.0;-24.0;;31.0;6.0;-24.0;;;;;;;;;;;;;-inf;-inf;;-inf;;-inf;-8.0;-8.0;3.0;;9.0;;9.0;;;;;;;;;;;;;;;;;12.0;12.0;;;;12.0;;;;0.0;;;;6.0;3.0;9.0;;-20.0;;;;10.0;;;;-3.0;-15.0;;;;;;;;;;31.0;;9.0;3.0;;;;-8.0;-0.01;;;-0.0;3.0;;;;;-inf;;-20.0;;-inf;-0.0;;-0.0;5782948.0;-166575.1;5782948.0;100.0;
2010.0;;;-0.0;-0.0;-0.0;-0.0;3.0;4.0;5.0;9.0;9.0;-4.0;-5.0;;2.0;-3.0;-5.0;;;0.0;;0.0;0.0;;;0.0;0.0;;;-inf;-inf;0.0;-inf;;-inf;-0.01;-0.01;3.0;;0.0;;0.0;;3.0;0.0;1.0;;;;0.0;;;2.0;;1.0;;;;8.0;0.0;;;0.0;0.0;;;;;-24.0;-1.0;21.0;5.0;;5.0;;-6.0;0.0;;;-5.0;;;;-5.0;6.0;;;;;;;;;;2.0;;-3.0;;;;;-0.01;-1.92;;;-1.56;3.0;;;;;-inf;;-0.0;;-inf;-5.0;0.0;-4.0;0.6;-0.4;0.5;100.0;
2011.0;;;-0.0;-0.0;-0.0;-0.0;3.0;0.0;0.0;0.0;0.0;-0.0;-0.0;;0.0;-0.0;-0.0;;;0.0;;0.0;0.0;;;0.0;0.0;;;-inf;-inf;0.0;-inf;;-inf;-0.01;-0.01;3.0;;0.0;;0.0;;;;;;;;;;;;;;;;;0.0;;;;;;;;;0.0;-0.0;;0.0;0.0;;0.0;;-0.0;;;;5.0;;;;-0.0;-5.0;;;;;;;;;;0.0;;0.0;0.0;;;;-0.01;-0.01;;;-0.0;3.0;;;;;-inf;;-0.0;;-inf;-0.0;;-0.0;2026.3;-310.9;2026.0;100.0;
2012.0;1.0;0.0;-8.0;-8.0;-8.0;-7.0;5.0;14.0;16.0;2.0;6.0;9.0;-7.0;-0.0;19.0;12.0;-7.0;1.0;40.16;8.0;3.0;3.0;3.0;;2.0;9.0;0.0;0.0;0.0;-689.21;-707.36;-0.0;-708.24;-1.0;-653.0;-1.57;-1.57;5.0;;13.0;;13.0;0.0;1.0;0.0;1.0;;;;;;1.0;2.0;;1.0;0.0;;;1.0;4.0;;;0.0;4.0;;0.0;;0.0;-37.0;;47.0;16.0;;16.0;;-7.0;0.0;;1.0;12.0;-0.0;-0.0;-0.0;12.0;-13.0;-0.0;;;;;-0.0;17.0;-0.0;;3.0;;13.0;0.0;;;0.24;-1.57;-1.51;;0.03;2.02;5.0;;;;1.0;-707.4;0.0;-7.0;7.8;-653.0;12.0;4.0;9.0;-52.9;-50.7;-77.5;100.0;
2013.0;3.0;1.0;-15.0;-15.0;-16.0;-16.0;7.0;31.0;32.0;4.0;10.0;22.0;-11.0;-3.0;28.0;14.0;-11.0;2.0;34.04;16.0;9.0;4.0;4.0;;2.0;18.0;0.0;1.0;0.0;-479.15;-490.37;-0.0;-506.17;;-506.17;-2.38;-2.38;7.0;;26.0;3.0;29.0;;2.0;0.0;1.0;;;;;;0.0;1.0;;3.0;0.0;;0.0;1.0;5.0;2.0;;0.0;7.0;;0.0;;0.0;-53.0;-1.0;75.0;32.0;;32.0;;-16.0;0.0;;1.0;15.0;0.0;-0.0;2.0;27.0;-12.0;-0.0;;-3.0;;;-0.0;27.0;;;1.0;;26.0;13.0;;;0.47;-2.38;-1.7;;0.03;3.3;7.0;-3.3;-0.2;;3.0;-490.4;0.0;-16.0;;-506.2;27.0;5.0;22.0;-52.6;-46.6;-72.0;100.0;
2014.0;6.0;2.0;-16.0;-16.0;-17.0;-17.0;9.0;24.0;27.0;4.0;21.0;6.0;-15.0;-4.0;10.0;-9.0;-17.0;4.0;36.74;22.0;10.0;5.0;5.0;;8.0;22.0;0.0;1.0;0.0;-267.61;-270.79;-1.0;-293.55;-1.0;-284.22;-1.81;-1.81;9.0;;17.0;5.0;22.0;0.0;2.0;0.0;3.0;;;;;;0.0;3.0;;2.0;0.0;;0.0;2.0;15.0;2.0;;1.0;17.0;;0.0;;0.0;-69.0;-1.0;77.0;27.0;;27.0;;-17.0;0.0;;1.0;-7.0;-0.0;-0.0;-1.0;20.0;7.0;-2.0;;-2.0;;;-0.0;;;;10.0;;17.0;26.0;;;;;;;;0.22;74.0;inf;inf;;;;;;;;26.0;10.0;16.0;;;;;inf
