;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2009.0;2.0;1.0;-3.0;1.0;-3.0;-3.0;3.0;;67.0;;2.0;65.0;-3.0;;-10.0;-13.0;-3.0;0.0;96.03;0.0;;0.0;0.0;;0.0;0.0;;;;-194.7;89.4;-4.0;-194.7;;-194.7;0.51;0.51;3.0;;0.0;;0.0;0.0;;;;;;;65.0;;;;67.0;;;;;2.0;;;;;;2.0;;;;-10.0;;75.0;67.0;;67.0;;-3.0;;;;;0.0;;;;;;;;;;;;-7.0;-2.0;;;-12.0;1.0;;;0.57;-1.11;-1.11;0.92;;17.51;3.0;;;;2.0;89.4;;-3.0;;-194.7;;;46.0;-6.2;-6.2;-6.3;182.7;
2010.0;1.0;1.0;4.0;1.0;4.0;4.0;2.0;;48.0;;1.0;46.0;4.0;;-22.0;-19.0;4.0;0.0;94.74;0.0;;0.0;0.0;;0.0;0.0;;;;345.61;85.96;3.0;345.61;;345.61;0.54;0.54;2.0;;;;;0.0;;;;;;;47.0;;;;48.0;;;;;1.0;;;;;;1.0;;;;-9.0;;55.0;48.0;;48.0;;4.0;;;;;;;;;;;;;;;;;-21.0;-1.0;;;-18.0;0.0;;;0.63;2.19;2.19;0.54;;17.44;2.0;;;;1.0;86.0;;4.0;;345.6;;;31.0;12.4;12.4;12.5;75.1;570.1
2011.0;1.0;1.0;-3.0;1.0;-3.0;-3.0;1.0;;32.0;;0.0;31.0;-3.0;;-12.0;-15.0;-3.0;0.0;96.43;0.0;;0.0;0.0;;0.0;0.0;;;;-237.5;88.39;-4.0;-237.5;;-237.5;0.7;0.7;1.0;;0.0;;0.0;0.0;;;;;;;32.0;;;;32.0;;;;;0.0;;;;;;0.0;;;;-10.0;;41.0;32.0;;32.0;;-3.0;;;;;;;;;;;;;;;;;-11.0;-1.0;;;-15.0;;;;0.8;-1.9;-1.9;0.99;;18.79;1.0;;;;1.0;88.4;;-3.0;;-237.5;;;26.0;-10.0;-10.0;-10.1;152.3;
2012.0;1.0;1.0;3.0;1.0;3.0;3.0;1.0;;27.0;;0.0;26.0;3.0;;-8.0;-5.0;3.0;0.0;96.51;0.0;;0.0;0.0;;-0.0;0.0;;;;339.53;89.53;2.0;339.53;;339.53;0.7;0.7;1.0;;0.0;;0.0;0.0;;;;;;;26.0;;;;27.0;;;;;0.0;;;;;;0.0;;;;-10.0;;37.0;27.0;0.0;27.0;;3.0;;;;;;;;;;;;;;;;;-7.0;-1.0;;;-5.0;0.0;;;0.78;2.65;2.65;0.7;;26.45;1.0;;;;1.0;89.5;;3.0;;339.5;;;29.0;10.0;10.0;10.0;73.6;271.6
2013.0;1.0;1.0;6.0;1.0;6.0;6.0;1.0;;29.0;;0.0;29.0;6.0;;-3.0;3.0;6.0;0.0;95.95;0.0;;0.0;0.0;;;0.0;;;;786.49;87.84;5.0;786.49;;786.49;5.82;5.82;1.0;;1.0;;1.0;;;;;;;;29.0;;;;29.0;;;;;0.0;;;;;;0.0;;;;-10.0;;40.0;29.0;;29.0;;6.0;;;;;0.0;;;;;;;;;;;;-3.0;-0.0;;;3.0;0.0;;;0.74;5.82;5.82;0.39;;26.2;1.0;;;;1.0;87.8;;6.0;;786.5;;;26.0;21.9;21.9;22.2;93.3;53.4
2014.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;;27.0;;0.0;26.0;0.0;;-3.0;-3.0;0.0;0.0;95.89;0.0;;0.0;0.0;;-0.0;0.0;;;;35.62;89.04;-0.0;35.62;;35.62;0.29;0.29;1.0;;0.0;;0.0;0.0;;;;;;;26.0;;;;27.0;;;;;0.0;;;;;;0.0;;;;-11.0;;37.0;27.0;;27.0;;0.0;;;;-0.0;-0.0;;;-0.0;0.0;;;;;;;;-2.0;-1.0;;;-2.0;1.0;;;0.81;0.29;0.29;0.72;;0.02;1.0;;;;1.0;89.0;;0.0;;35.6;-0.0;;0.0;1331.7;41.6;1331.7;-150.0;1196.2
2015.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
