;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1997.0;3327.0;2361.0;569.0;816.0;621.0;335.0;137.0;711.0;8828.0;747.0;5570.0;3258.0;687.0;-387.0;-302.0;-2.0;271.0;966.0;70.96;1544.0;;;;;1544.0;2510.0;;;;17.1;24.54;-196.0;18.66;234.0;10.06;2.44;2.44;137.0;;10.0;;10.0;419.0;228.0;55.0;6987.0;;;;;;1129.0;8116.0;;293.0;139.0;;;315.0;2506.0;;1747.0;;4253.0;9076.0;;;1.0;1435.0;-5285.0;7107.0;8828.0;;8828.0;;335.0;;-25.0;;-20.0;;17.0;;-36.0;397.0;-416.0;;;;29.0;;;-64.0;-331.0;93.0;;10.0;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;3318.0;2446.0;654.0;839.0;654.0;387.0;137.0;771.0;8847.0;955.0;5553.0;3295.0;803.0;-323.0;-446.0;35.0;458.0;872.0;73.72;1607.0;;;;;1607.0;2479.0;;;;19.72;25.28;-185.0;19.72;268.0;11.65;2.82;2.82;137.0;;77.0;;77.0;426.0;246.0;23.0;6928.0;;;;;;1148.0;8076.0;;297.0;260.0;;;397.0;2289.0;;1700.0;611.0;4601.0;;;;1.0;1472.0;-5603.0;7424.0;8847.0;;8847.0;;387.0;;-25.0;;-148.0;;-18.0;;-184.0;589.0;-345.0;;;;23.0;;;;-349.0;-98.0;;77.0;42.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;3524.0;2419.0;644.0;821.0;644.0;385.0;137.0;879.0;9178.0;1077.0;5849.0;3329.0;918.0;-558.0;-241.0;118.0;325.0;1105.0;68.65;1598.0;;;;;1598.0;2702.0;;;;18.28;23.31;-177.0;18.28;259.0;10.93;2.81;2.81;137.0;;195.0;;195.0;391.0;253.0;40.0;7165.0;;;;;;1133.0;8299.0;;341.0;209.0;;;527.0;2448.0;;1664.0;663.0;4776.0;;;;1.0;1506.0;-5891.0;7713.0;9178.0;;9178.0;;385.0;;-23.0;;-15.0;;-7.0;;-198.0;570.0;-593.0;;;;35.0;;;;-349.0;107.0;;195.0;77.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;3856.0;2621.0;938.0;942.0;758.0;457.0;137.0;921.0;9714.0;1186.0;6279.0;3436.0;856.0;-910.0;-14.0;-69.0;-95.0;1235.0;67.98;1680.0;;;;;1680.0;2914.0;;180.0;;24.33;24.42;-183.0;19.67;301.0;11.85;3.33;3.33;137.0;;126.0;;126.0;531.0;227.0;37.0;7706.0;;;;;;1088.0;8793.0;;463.0;248.0;;;475.0;2745.0;;1705.0;647.0;5097.0;;;;1.0;1614.0;-6204.0;8025.0;9714.0;;9714.0;;457.0;;2.0;;-67.0;;26.0;;-265.0;463.0;-950.0;;;;40.0;;;;-349.0;334.0;;126.0;195.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;4506.0;2722.0;769.0;965.0;775.0;469.0;138.0;864.0;10401.0;1581.0;6813.0;3587.0;738.0;-1105.0;308.0;-59.0;-389.0;1784.0;60.41;1757.0;;;;;1757.0;3541.0;;;;17.06;21.42;-190.0;17.21;300.0;10.4;3.41;3.4;137.0;;67.0;;67.0;460.0;295.0;41.0;8427.0;;;;;;1110.0;9537.0;;392.0;780.0;;;409.0;2835.0;;1721.0;680.0;5236.0;;;;1.0;1734.0;-6536.0;8388.0;10401.0;;10401.0;;469.0;;28.0;;-453.0;;-68.0;;-718.0;694.0;-1127.0;;;;22.0;;33.0;;-349.0;624.0;;67.0;126.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;3841.0;3016.0;619.0;873.0;619.0;382.0;146.0;1452.0;11499.0;1201.0;7449.0;4035.0;833.0;-803.0;531.0;561.0;18.0;825.0;78.52;2143.0;;;;;2143.0;2968.0;;;;16.12;22.73;-254.0;16.12;237.0;9.95;2.61;2.6;146.0;;628.0;;628.0;442.0;299.0;83.0;8914.0;;;;;;1133.0;10047.0;;369.0;610.0;;;222.0;3433.0;;1856.0;974.0;6263.0;;;193.0;2.0;1739.0;-102.0;2203.0;11484.0;15.0;11499.0;;382.0;;74.0;;969.0;;-4.0;;251.0;-592.0;-815.0;;;;12.0;;658.0;-42.0;-376.0;291.0;;628.0;67.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;4593.0;3538.0;1113.0;1090.0;807.0;524.0;161.0;1317.0;14233.0;1457.0;9675.0;4536.0;1031.0;-1181.0;-367.0;-517.0;349.0;1055.0;77.03;2448.0;;;;;2448.0;3503.0;;288.0;;24.23;23.73;-283.0;17.57;301.0;11.41;3.25;3.25;161.0;;111.0;;111.0;547.0;487.0;172.0;10917.0;;;574.0;;;1425.0;12916.0;;480.0;659.0;;;318.0;4070.0;;2004.0;2145.0;8219.0;;;182.0;2.0;1853.0;-53.0;2552.0;14211.0;22.0;14233.0;;524.0;;12.0;;-391.0;;-47.0;;-140.0;886.0;-682.0;-479.0;;;-20.0;;361.0;-31.0;-410.0;-287.0;;111.0;628.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;5160.0;3882.0;812.0;1078.0;812.0;530.0;186.0;1582.0;17434.0;1807.0;11425.0;5995.0;1129.0;-1266.0;95.0;-42.0;323.0;1278.0;75.23;2804.0;;;;;2804.0;4082.0;;;;15.74;20.89;-266.0;15.74;282.0;10.27;2.84;2.84;186.0;;69.0;;69.0;816.0;623.0;74.0;13297.0;;;940.0;;;1615.0;15852.0;;567.0;840.0;;;400.0;5021.0;;2025.0;2566.0;9612.0;19230.0;;195.0;2.0;1904.0;-55.0;3949.0;17420.0;14.0;17434.0;;530.0;;351.0;;-85.0;;-25.0;;-225.0;333.0;-806.0;-443.0;;;-17.0;;1441.0;-1.0;-479.0;-866.0;;69.0;111.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;6780.0;3768.0;1279.0;1284.0;984.0;606.0;201.0;1818.0;18162.0;1487.0;11781.0;6364.0;1171.0;-881.0;-263.0;27.0;224.0;3012.0;55.58;2484.0;;;;;2484.0;5496.0;;317.0;;18.86;18.94;-300.0;14.51;356.0;8.94;3.02;3.02;201.0;;96.0;;96.0;965.0;572.0;185.0;13572.0;;;1222.0;;;1550.0;16344.0;;706.0;289.0;;;492.0;5354.0;;2098.0;2645.0;10097.0;20391.0;;;2.0;1999.0;-36.0;4399.0;18145.0;17.0;18162.0;;606.0;;59.0;;556.0;;-75.0;;331.0;-50.0;-947.0;12.0;;;54.0;;454.0;-1.0;-511.0;-205.0;;96.0;69.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;6880.0;3781.0;1181.0;1173.0;831.0;547.0;206.0;1874.0;19578.0;2202.0;12979.0;6583.0;1279.0;-1266.0;28.0;41.0;248.0;3099.0;54.96;2608.0;;;;;2608.0;5707.0;;350.0;;17.17;17.05;-342.0;12.08;284.0;7.95;2.66;2.66;206.0;;137.0;;137.0;887.0;647.0;203.0;14286.0;;;1047.0;;;2371.0;17704.0;;671.0;1068.0;;;463.0;5285.0;;2262.0;3033.0;10580.0;21357.0;;;2.0;2024.0;62.0;4495.0;19562.0;16.0;19578.0;;547.0;;91.0;;-659.0;;-75.0;;-328.0;1300.0;-1031.0;-292.0;-17.0;;74.0;;96.0;-1.0;-522.0;455.0;;137.0;96.0;;;33.46;2.66;1.21;2.54;5.01;32.02;206.0;19.4;1.1;4.9;6880.0;17.0;;547.0;34.2;8.0;-328.0;5285.0;6583.0;4.5;6.0;8.3;4.6;172.2
