;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (PEN/USD)
2006.0;;;;;;;113.0;;;;;;;;;;;;22.94;;;;;;;;;;;20.89;17.92;;13.92;;8.83;;;113.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.52;0.93;1.31;;0.83;3.01;113.0;;;;1189.0;17.9;63.0;105.0;32.8;8.8;107.0;192.0;341.0;22.8;20.6;30.8;100.0;;
2007.0;;;;;;;113.0;;;;;;;;;;;;20.77;;;;;;;;;;;19.12;15.28;;13.71;;9.02;;;113.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.75;1.15;-0.33;0.18;1.43;3.96;113.0;;;;1440.0;15.3;67.0;130.0;30.0;9.0;165.0;218.0;447.0;21.1;18.7;29.0;84.4;-61.4;
2008.0;583.0;127.0;101.0;94.0;74.0;47.0;113.0;264.0;492.0;210.0;297.0;181.0;29.0;-67.0;39.0;1.0;-39.0;456.0;21.86;31.0;;26.0;26.0;;5.0;486.0;1.0;9.0;21.0;17.4;16.14;-20.0;12.75;25.0;8.05;0.41;0.41;113.0;;51.0;;51.0;141.0;51.0;20.0;138.0;10.0;32.0;42.0;40.0;;7.0;228.0;;59.0;83.0;29.0;12.0;57.0;76.0;1.0;10.0;;87.0;;;;124.0;47.0;9.0;;478.0;14.0;492.0;;47.0;21.0;;;-42.0;-44.0;-25.0;-0.0;6.0;4.0;-68.0;;-2.0;;-3.0;;;-1.0;-8.0;47.0;1.0;41.0;39.0;;0.32;16.18;1.3;-1.09;0.23;1.89;5.01;113.0;;;;1828.0;16.1;64.0;147.0;33.9;8.1;168.0;237.0;566.0;20.0;16.9;26.0;82.3;-22.6;0.319
2009.0;693.0;114.0;114.0;78.0;79.0;47.0;113.0;428.0;742.0;342.0;456.0;230.0;198.0;-37.0;-73.0;90.0;157.0;579.0;16.47;34.0;;29.0;29.0;;5.0;613.0;1.0;13.0;26.0;16.4;11.19;1.0;11.37;28.0;6.71;0.41;0.41;113.0;;143.0;;143.0;160.0;96.0;29.0;147.0;23.0;92.0;116.0;33.0;;19.0;314.0;;63.0;99.0;27.0;101.0;79.0;96.0;1.0;17.0;;114.0;;;;135.0;80.0;16.0;-1.0;686.0;56.0;742.0;;47.0;26.0;;;114.0;0.0;-36.0;-0.0;66.0;11.0;-41.0;;-2.0;;-19.0;;;-1.0;-10.0;-62.0;2.0;134.0;44.0;;0.35;17.72;1.19;4.02;0.26;1.04;5.89;113.0;;;;2001.0;11.2;75.0;134.0;35.7;6.7;251.0;279.0;665.0;16.4;12.8;20.2;78.1;7.0;0.346
2010.0;891.0;162.0;193.0;148.0;149.0;97.0;113.0;598.0;915.0;415.0;534.0;328.0;138.0;5.0;-38.0;104.0;87.0;729.0;18.21;42.0;;36.0;36.0;;6.0;771.0;;6.0;47.0;21.63;16.57;1.0;16.71;43.0;10.93;0.86;0.86;113.0;;242.0;;242.0;208.0;134.0;14.0;160.0;16.0;85.0;101.0;31.0;3.0;20.0;316.0;;87.0;38.0;17.0;;290.0;87.0;;15.0;17.0;119.0;;42.0;;139.0;169.0;21.0;-1.0;862.0;53.0;915.0;;97.0;47.0;-2.0;;16.0;-24.0;-26.0;23.0;;-20.0;-51.0;;-0.0;46.0;2.0;;;-0.0;-10.0;-29.0;;242.0;138.0;;0.36;22.15;2.42;2.16;0.24;1.26;8.15;113.0;;;;2502.0;16.6;131.0;274.0;28.9;10.9;515.0;243.0;921.0;23.3;17.0;29.7;90.2;11.1;0.356
2011.0;1573.0;234.0;233.0;160.0;177.0;107.0;113.0;928.0;1370.0;646.0;831.0;441.0;51.0;-64.0;-19.0;-9.0;-27.0;1338.0;14.9;92.0;;74.0;74.0;;18.0;1430.0;6.0;8.0;66.0;14.85;10.19;17.0;11.26;52.0;6.82;0.95;0.95;113.0;;244.0;2.0;246.0;441.0;225.0;16.0;268.0;9.0;109.0;118.0;10.0;18.0;28.0;442.0;;280.0;86.0;64.0;;280.0;111.0;;11.0;63.0;185.0;;84.0;;145.0;267.0;31.0;-1.0;1272.0;98.0;1370.0;;107.0;66.0;-15.0;;-108.0;-66.0;-52.0;68.0;-2.0;1.0;-78.0;;-11.0;10.0;-11.0;;;-0.0;-20.0;2.0;;244.0;253.0;;0.37;37.54;2.56;-0.65;0.49;1.86;10.52;113.0;;;;4241.0;10.2;178.0;289.0;29.6;6.8;761.0;299.0;1189.0;18.8;13.2;24.3;81.0;-75.5;0.371
2012.0;2048.0;279.0;288.0;208.0;204.0;113.0;20.0;1179.0;1954.0;1025.0;1259.0;545.0;212.0;-157.0;-8.0;48.0;98.0;1769.0;13.61;100.0;;90.0;90.0;;10.0;1869.0;9.0;19.0;96.0;14.09;10.14;-4.0;9.95;61.0;5.54;5.74;5.74;20.0;;305.0;2.0;307.0;475.0;293.0;104.0;367.0;36.0;162.0;198.0;15.0;28.0;168.0;775.0;;367.0;177.0;62.0;;481.0;154.0;;32.0;48.0;234.0;;135.0;;219.0;283.0;40.0;3.0;1804.0;151.0;1954.0;;113.0;96.0;;;9.0;-20.0;-77.0;88.0;-1.0;-5.0;-114.0;-52.0;;0.0;6.0;;3.0;;-34.0;23.0;;305.0;258.0;;0.39;264.71;14.67;12.68;4.39;14.78;70.44;20.0;;;;5232.0;10.1;245.0;290.0;29.7;5.5;393.0;393.0;1392.0;17.4;10.7;20.8;70.1;31.8;0.391
2013.0;2133.0;359.0;292.0;241.0;213.0;115.0;134.0;1394.0;2257.0;864.0;1114.0;989.0;-131.0;-122.0;319.0;64.0;-210.0;1774.0;16.84;129.0;;120.0;120.0;;9.0;1903.0;8.0;19.0;93.0;13.68;11.29;-28.0;9.97;65.0;5.37;0.93;0.93;134.0;;343.0;32.0;375.0;676.0;273.0;71.0;341.0;27.0;145.0;172.0;63.0;48.0;238.0;863.0;;354.0;174.0;57.0;;336.0;111.0;;49.0;90.0;250.0;;101.0;;236.0;339.0;47.0;367.0;2103.0;154.0;2257.0;;115.0;93.0;;;-355.0;-280.0;-8.0;20.0;-6.0;16.0;-79.0;-29.0;-20.0;;-2.0;;410.0;;-31.0;-60.0;;343.0;279.0;;0.36;44.68;2.4;-4.4;0.65;1.65;20.71;134.0;8.5;0.5;3.2;5967.0;11.3;259.0;320.0;30.7;5.4;1484.0;310.0;2766.0;11.2;9.5;11.6;72.8;180.5;0.357
2014.0;2336.0;317.0;249.0;182.0;169.0;100.0;134.0;1545.0;2576.0;1265.0;1517.0;897.0;-13.0;-182.0;149.0;-47.0;-122.0;2019.0;13.58;141.0;;132.0;132.0;;9.0;2160.0;3.0;14.0;87.0;10.67;7.78;-13.0;7.24;49.0;4.28;0.75;0.75;134.0;;273.0;2.0;275.0;888.0;278.0;104.0;383.0;61.0;199.0;260.0;108.0;45.0;235.0;1031.0;;393.0;494.0;54.0;191.0;187.0;109.0;38.0;26.0;78.0;251.0;;111.0;;220.0;371.0;6.0;300.0;2413.0;163.0;2576.0;;100.0;87.0;;;-175.0;-198.0;-17.0;27.0;-2.0;-25.0;-109.0;-99.0;;;6.0;;;;-37.0;187.0;-1.0;273.0;320.0;;0.33;52.47;2.24;-2.75;0.84;2.44;20.15;134.0;7.4;0.4;5.0;7009.0;7.8;260.0;300.0;28.8;4.3;840.0;326.0;2691.0;10.1;6.7;11.1;62.6;-30.6;0.333
2015.0;2289.0;205.0;158.0;99.0;64.0;26.0;134.0;1535.0;2627.0;1196.0;1697.0;776.0;-78.0;-162.0;163.0;-77.0;-144.0;2083.0;8.97;120.0;;112.0;112.0;;8.0;2203.0;9.0;21.0;90.0;6.91;4.32;-35.0;2.77;22.0;1.13;0.19;0.19;134.0;;162.0;1.0;163.0;929.0;339.0;105.0;325.0;54.0;203.0;257.0;224.0;51.0;235.0;1092.0;;472.0;397.0;48.0;154.0;173.0;383.0;24.0;30.0;65.0;502.0;;88.0;;193.0;311.0;10.0;262.0;2473.0;154.0;2627.0;;26.0;90.0;;;-135.0;-29.0;-63.0;58.0;-2.0;-58.0;-66.0;-135.0;;;29.0;-1338.0;;;-31.0;1532.0;;162.0;239.0;;0.29;58.64;0.66;-3.69;0.79;1.69;19.87;134.0;10.0;0.5;11.9;7832.0;4.3;306.0;88.0;34.8;1.1;1161.0;1310.0;2655.0;3.5;2.8;3.3;-19.0;-21.3;0.292
