;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2000.0;250.0;;105.0;;118.0;93.0;75.0;;1914.0;;919.0;995.0;;;;;;;;;;;;;;132.0;;12.0;;41.9;;;47.26;;37.29;1.24;1.24;75.0;;;;;;;;;;;;;;;;1914.0;;;;;;;;;;;919.0;;;;;;995.0;1914.0;;1914.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;295.0;;75.0;;110.0;64.0;75.0;;2322.0;;1260.0;1062.0;;;;;;;;;;;;;;184.0;;12.0;;25.57;;-98.0;37.38;;21.66;0.85;0.85;75.0;;;;;;;;;;;;;;;;2322.0;;;;;;150.0;;;;150.0;1410.0;;;;;;1062.0;2322.0;0.0;2322.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;302.0;;73.0;;83.0;73.0;75.0;;2770.0;;1513.0;1257.0;;;;;;;;;;;;;;219.0;;11.0;;24.04;;4.0;27.55;-11.0;24.04;0.97;0.97;75.0;;;;;;;;;;;;;;;;2770.0;;;;;;;;;;;1513.0;;;;;89.0;1257.0;2770.0;;2770.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;512.0;;261.0;;246.0;215.0;75.0;;2858.0;;1420.0;1438.0;200.0;-145.0;-35.0;23.0;200.0;;;;;;;;;266.0;;6.0;9.0;50.95;;-6.0;48.05;32.0;41.88;2.86;2.86;75.0;;32.0;138.0;170.0;301.0;;;;87.0;;87.0;2052.0;;;;2858.0;;;;;;75.0;;56.0;;131.0;1551.0;;;16.0;390.0;81.0;950.0;2858.0;;2858.0;;215.0;9.0;13.0;;105.0;48.0;;37.0;;-141.0;;;-903.0;754.0;4.0;;;;-35.0;;3.0;32.0;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;53.0;;231.0;;233.0;183.0;75.0;;2694.0;969.0;1166.0;1528.0;-45.0;22.0;6.0;-15.0;-45.0;;;104.0;;;;;104.0;104.0;;-11.0;9.0;440.81;;-11.0;444.38;51.0;348.19;2.44;2.44;75.0;;17.0;;17.0;;;;;;;;;40.0;;;2694.0;;;;;969.0;197.0;;;;197.0;;;;1.0;568.0;79.0;880.0;2694.0;0.0;2694.0;;183.0;9.0;34.0;;-969.0;134.0;;-8.0;-969.0;698.0;;40.0;-813.0;796.0;;-200.0;;-6.0;-5.0;217.0;1.0;17.0;32.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;-4.0;4.0;224.0;;230.0;188.0;74.0;6190.0;2676.0;818.0;1015.0;1662.0;176.0;-154.0;-32.0;-11.0;176.0;;-100.0;51.0;;;;;51.0;51.0;;-13.0;7.0;-6389.31;;-14.0;-6560.0;41.0;-5382.86;2.55;2.53;74.0;;6.0;;6.0;3.0;;6181.0;;85417.0;;85417.0;;27.0;-88958.0;-3514.0;;;;;26629.0;-25811.0;197.0;;;;197.0;;;;1.0;748.0;46.0;867.0;2677.0;-1.0;2676.0;;188.0;7.0;-4.0;;6341.0;26.0;;-59.0;5372.0;-6356.0;;;-957.0;803.0;;;0.0;-19.0;-9.0;-4.0;-1.0;6.0;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;6.0;6.0;183.0;;190.0;160.0;74.0;4785.0;2935.0;938.0;1285.0;1651.0;262.0;-228.0;-35.0;-1.0;262.0;;100.0;118.0;;;;;118.0;118.0;;-13.0;6.0;3326.82;;-14.0;3454.55;30.0;2903.64;2.18;2.15;73.0;;5.0;;5.0;;;4780.0;;85417.0;;85417.0;;40.0;-87307.0;-1850.0;;;;7.0;39906.0;-38968.0;347.0;;;;347.0;;;;1.0;897.0;42.0;711.0;2936.0;-1.0;2935.0;;160.0;6.0;12.0;;-1525.0;-5.0;;85.0;3847.0;1609.0;;;-883.0;865.0;-210.0;;1.0;-171.0;-10.0;146.0;1.0;5.0;6.0;;;0.08;2.18;3.57;0.14;;22.53;73.0;11.7;0.6;0.6;6.0;;6.0;160.0;15.9;2903.6;3847.0;347.0;1651.0;7.4;6.0;9.7;93.5;69.2
2007.0;-659.0;;-484.0;;-463.0;-303.0;68.0;;3800.0;1787.0;2134.0;1667.0;386.0;-664.0;281.0;3.0;386.0;;;140.0;;;;;140.0;140.0;;-24.0;3.0;73.49;;-24.0;70.31;-160.0;46.06;-4.46;-4.46;68.0;;8.0;;8.0;;;;;;;;;;148.0;;3800.0;;;1.0;;1787.0;347.0;;;;347.0;;;;1.0;585.0;57.0;1024.0;3801.0;-1.0;3800.0;;-303.0;3.0;-172.0;;-5634.0;-28.0;;-19.0;-1787.0;6493.0;;;-1451.0;787.0;;;305.0;-9.0;-11.0;-3.0;0.0;8.0;5.0;;;-9.68;-4.46;5.67;0.16;;24.51;68.0;-5.9;-0.3;0.6;-659.0;;3.0;-303.0;34.5;46.1;-1787.0;347.0;1667.0;-15.8;-12.8;-18.2;103.6;
2008.0;38.0;38.0;89.0;;112.0;69.0;88.0;12305.0;4556.0;2282.0;2629.0;1926.0;427.0;-650.0;229.0;4.0;427.0;;100.0;418.0;;1.0;;;416.0;418.0;;-23.0;;235.0;;-23.0;295.53;43.0;181.32;0.76;0.76;87.0;;12.0;;12.0;21.0;;12272.0;;85417.0;;85417.0;;;-93166.0;-7749.0;;;;;129118.0;-126836.0;347.0;;;;347.0;;;;1.0;638.0;3.0;1284.0;4555.0;1.0;4556.0;;69.0;;43.0;;11810.0;12.0;;;10023.0;-11495.0;;;-1272.0;622.0;;;249.0;;-16.0;-4.0;-2.0;12.0;8.0;;;0.44;0.79;4.91;0.18;;22.15;87.0;22.7;1.1;1.0;38.0;;;69.0;38.6;181.3;10023.0;347.0;1926.0;2.4;2.0;3.6;76.8;-54.7
2009.0;-338.0;338.0;72.0;;133.0;97.0;129.0;10852.0;16593.0;12156.0;13073.0;3521.0;279.0;-1397.0;1149.0;32.0;279.0;;-100.0;780.0;;;;;780.0;780.0;;-62.0;;-21.34;;-63.0;-39.34;37.0;-28.77;0.77;0.75;127.0;;44.0;;44.0;;;10808.0;;;;;;;1158.0;;5741.0;;;;141814.0;-129658.0;917.0;;;;917.0;;;;2.0;790.0;142.0;2587.0;16594.0;-1.0;16593.0;;97.0;;-180.0;;-11327.0;148.0;;;-1304.0;11689.0;;-459.0;-2685.0;1737.0;9.0;-15.0;1190.0;-4.0;-22.0;-1.0;1.0;44.0;12.0;;;-2.67;0.77;2.21;0.18;;27.83;127.0;18.1;0.3;1.3;-338.0;;;97.0;27.8;-28.8;-1304.0;917.0;3521.0;1.2;0.4;2.8;77.0;-417.0
