;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2003.0;;;0.0;-0.0;;-0.0;0.0;;0.0;0.0;0.0;-0.0;-0.0;-0.0;0.0;0.0;-0.0;;;;;0.0;;;;0.0;;;;inf;-inf;-0.0;;;-inf;-0.31;-0.31;0.0;;;;;;;;;;0.0;0.0;;;;0.0;;;;;;0.0;;;;;;;;;0.0;-0.0;;0.0;0.0;;0.0;;-0.0;;;;0.0;;;;-0.0;0.0;;;;;-0.0;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;;;-0.0;-0.0;-0.0;-0.0;1.0;;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;-0.0;0.0;;;;-inf;-inf;0.0;-inf;;-inf;-0.06;-0.06;1.0;;;;;;;;;;0.0;0.0;;;0.0;0.0;;0.0;0.0;;;0.0;;;;;;;;;0.0;-0.0;;0.0;0.0;;0.0;;-0.0;;;;-0.0;;;;-0.0;0.0;;;-0.0;;;;0.0;;;-0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;0.0;0.0;-0.0;-0.0;-0.0;-0.0;2.0;0.0;1.0;0.0;1.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;32.26;0.0;;0.0;;;0.0;0.0;;-0.0;0.0;-41.79;-42.76;0.0;-41.94;;-41.94;-0.08;-0.08;2.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;;0.0;1.0;;0.0;0.0;;;0.0;0.0;;;0.0;0.0;;;;;-0.0;-0.0;0.0;1.0;0.0;1.0;;-0.0;0.0;;;-0.0;;-0.0;;-0.0;0.0;-0.0;-0.0;;;;;;;;0.0;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;1.0;0.0;-1.0;-1.0;-1.0;-1.0;2.0;0.0;1.0;1.0;1.0;-1.0;-0.0;-0.0;0.0;-0.0;-0.0;1.0;25.51;1.0;;1.0;;;0.0;2.0;;-0.0;0.0;-108.83;-52.21;-1.0;-105.1;;-105.1;-0.47;-0.47;2.0;;;;;0.0;0.0;0.0;0.0;;0.0;0.0;;;;0.0;;0.0;0.0;;;0.0;1.0;;;0.0;1.0;;;;;-1.0;-0.0;1.0;1.0;-0.0;1.0;;-1.0;0.0;;;0.0;;-0.0;;-0.0;1.0;-0.0;;;;;;0.0;;;0.0;;0.0;0.0;;;0.45;-0.48;-0.22;;0.01;-0.29;2.0;;;;1.0;-52.2;0.0;-1.0;;-105.1;-0.0;1.0;-1.0;-1472.5;-176.1;164.7;100.0;
2007.0;1.0;0.0;-1.0;-1.0;-1.0;-1.0;3.0;0.0;1.0;1.0;2.0;-1.0;-1.0;-0.0;1.0;0.0;-1.0;1.0;18.33;1.0;;1.0;;0.0;0.0;2.0;;-0.0;0.0;-88.43;-65.53;-0.0;-83.33;;-83.33;-0.35;-0.35;3.0;;0.0;;0.0;0.0;0.0;;0.0;;0.0;0.0;;;0.0;0.0;;0.0;0.0;;;0.0;1.0;;;;1.0;;;0.0;0.0;-2.0;-0.0;2.0;1.0;-0.0;1.0;;-1.0;0.0;;;-0.0;;-0.0;;-0.0;1.0;-0.0;;;;;;1.0;;;0.0;;0.0;0.0;;;0.42;-0.35;-0.26;;0.05;-0.26;3.0;-1.9;-0.1;;1.0;-65.5;0.0;-1.0;;-83.3;-0.0;1.0;-1.0;16791.3;-136.9;135.8;100.0;
2008.0;1.0;0.0;-1.0;-1.0;-1.0;-1.0;3.0;0.0;1.0;2.0;2.0;-1.0;-0.0;0.0;0.0;0.0;-0.0;1.0;6.49;1.0;;0.0;0.0;;0.0;1.0;;-0.0;0.0;-170.78;-80.74;-0.0;-107.79;;-142.86;-0.27;-0.27;3.0;;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;;;0.0;0.0;;0.0;0.0;;;1.0;;;;;;;;0.0;;-3.0;;2.0;1.0;0.0;1.0;;-1.0;0.0;;0.0;-1.0;0.0;0.0;0.0;-2.0;2.0;-0.0;;;;0.0;;;;;0.0;;0.0;0.0;;;0.23;-0.33;-0.07;;0.0;-0.42;3.0;-1.2;-0.1;;1.0;-80.7;0.0;-1.0;;-142.9;-2.0;;-1.0;95.1;-264.8;77.5;100.0;
2009.0;0.0;;-0.0;-0.0;-0.0;-0.0;12.0;0.0;0.0;1.0;1.0;-1.0;-0.0;0.0;-0.0;-0.0;-0.0;0.0;;0.0;;0.0;0.0;;0.0;0.0;;-0.0;0.0;-185.09;-111.26;-0.0;-136.84;;-147.37;-0.02;-0.02;12.0;;;;;0.0;0.0;;;;0.0;0.0;;;0.0;0.0;;0.0;1.0;;;0.0;;;;;;;;;;-4.0;;3.0;0.0;0.0;0.0;;-0.0;0.0;;0.0;1.0;0.0;0.0;0.0;-1.0;-0.0;-0.0;;;;0.0;-0.0;;;;0.0;;0.0;0.0;;;0.02;-0.02;-0.0;;0.0;-0.08;12.0;-2.7;-0.0;;0.0;-111.3;0.0;-0.0;;-147.4;-1.0;;-1.0;34.1;-478.8;26.5;100.0;
2010.0;;;-1.0;-0.0;-1.0;-1.0;23.0;0.0;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;;;0.0;0.0;0.0;0.0;;-0.0;1.0;;;;-inf;-inf;-0.0;-inf;;-inf;-0.03;-0.03;23.0;;0.0;;0.0;;;0.0;0.0;;;;;;;0.0;;0.0;;;;0.0;;;;;;;;;;-4.0;;4.0;0.0;-0.0;0.0;;-1.0;;;;1.0;0.0;0.0;0.0;0.0;-1.0;-0.0;;-0.0;;-0.0;-0.0;0.0;;;0.0;;0.0;0.0;;;;-0.03;-0.02;;0.0;0.01;23.0;-7.8;-0.4;;;-inf;;-1.0;;-inf;0.0;;0.0;-239.2;-143.5;-239.2;100.0;
2011.0;;;-1.0;-1.0;-1.0;-1.0;32.0;0.0;0.0;0.0;0.0;0.0;-1.0;-0.0;1.0;-0.0;-1.0;;;0.0;1.0;0.0;;;-1.0;1.0;;-0.0;;-inf;-inf;-0.0;-inf;;-inf;-0.03;-0.03;32.0;;;;;;;0.0;0.0;;;;;;;0.0;;0.0;0.0;;;0.0;;;;;;;;;;-5.0;;5.0;0.0;0.0;0.0;;-1.0;;;0.0;-0.0;;;-0.0;-0.0;0.0;-0.0;;;;-0.0;;1.0;;;0.0;;0.0;0.0;;;;-0.03;-0.02;;0.0;0.01;32.0;-13.1;-0.8;;;-inf;;-1.0;;-inf;-0.0;;0.0;-415.6;-182.7;-410.8;100.0;
2012.0;;;-1.0;-1.0;-1.0;-1.0;33.0;0.0;1.0;1.0;1.0;0.0;-0.0;-0.0;1.0;0.0;-1.0;;;0.0;0.0;0.0;0.0;;-0.0;1.0;;0.0;;-inf;-inf;-0.0;-inf;;-inf;-0.02;-0.02;33.0;;0.0;;0.0;;;0.0;1.0;;;;;;;1.0;;0.0;1.0;;;0.0;;;;;;;;;;-6.0;;6.0;1.0;-0.0;1.0;;-1.0;;;0.0;-1.0;;;0.0;-1.0;1.0;-0.0;;;;-0.0;;0.0;;;1.0;;0.0;0.0;;;;-0.02;-0.02;;0.01;0.01;33.0;-15.7;-1.1;;;-inf;;-1.0;;-inf;-1.0;;0.0;-169.6;-53.2;-172.7;100.0;
