;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2011.0;;-31.0;-33.0;;-33.0;-33.0;2.0;;;;;;-21.0;-0.0;21.0;21.0;-21.0;31.0;-inf;2.0;;2.0;2.0;;0.0;33.0;;;0.0;-inf;;;-inf;;-inf;-16.95;-16.95;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-33.0;0.0;;;-1.0;;;-1.0;;12.0;-0.0;;;;;;;;;21.0;;;;;;;-16.95;-10.82;;0.06;;2.0;;;;;;0.0;-33.0;;-inf;;;;;;;100.0;
2012.0;;-36.0;-38.0;;-38.0;-38.0;2.0;0.0;1.0;7.0;7.0;-6.0;-20.0;-0.0;20.0;20.0;-20.0;36.0;-inf;2.0;;2.0;2.0;;0.0;38.0;;;0.0;-inf;;;-inf;;-inf;-19.72;-19.72;2.0;;;;;;;0.0;0.0;;;;;;;0.0;;7.0;;;;0.0;;0.0;;;0.0;;;;;;-1.0;;1.0;;1.0;;-38.0;0.0;;17.0;-7.0;;;1.0;-7.0;8.0;-0.0;;;;;;;;;20.0;;;;;;;-19.72;-10.28;;0.09;-3.31;2.0;;;;;;0.0;-38.0;;-inf;-7.0;;-6.0;603.0;-5965.9;595.2;100.0;
2013.0;1.0;-45.0;-47.0;;-48.0;-48.0;2.0;2.0;2.0;8.0;8.0;-6.0;-22.0;-0.0;23.0;23.0;-23.0;46.0;-4710.52;2.0;;2.0;2.0;;0.0;49.0;;;0.0;-4947.08;;;-4970.0;0.0;-4970.73;-0.13;-0.13;2.0;;1.0;;1.0;1.0;;0.0;1.0;;;;;;;1.0;;8.0;;;;0.0;;0.0;;;0.0;;;;;;-1.0;;2.0;;2.0;;-48.0;0.0;;;0.0;;;1.0;-6.0;25.0;-0.0;;;;;;;;;23.0;;1.0;;;;0.5;-24.65;-11.78;;0.19;-2.97;2.0;;;;1.0;;0.0;-48.0;-0.0;-4970.7;-6.0;;-6.0;831.6;-2054.8;828.6;100.0;
2014.0;17.0;-40.0;-45.0;;-46.0;-46.0;2.0;45.0;49.0;14.0;34.0;15.0;-25.0;-3.0;58.0;29.0;-29.0;58.0;-233.34;6.0;;6.0;6.0;;0.0;64.0;;;0.0;-261.85;;;-267.8;1.0;-268.45;-24.16;-24.16;2.0;;30.0;;30.0;11.0;;5.0;4.0;;;;;;;4.0;;9.0;;;;5.0;;;;20.0;20.0;;;;0.0;-213.0;-1.0;229.0;49.0;-0.0;49.0;;-46.0;0.0;;22.0;37.0;;;2.0;31.0;-38.0;-3.0;;;;;;;;;58.0;;30.0;1.0;;;8.95;-24.02;-14.77;;1.8;7.75;2.0;-4.0;-0.2;;17.0;;0.0;-46.0;-1.7;-268.5;31.0;;15.0;-131.9;-92.5;-309.8;100.0;
2015.0;59.0;18.0;2.0;-1.0;-10.0;-1.0;2.0;149.0;167.0;18.0;30.0;32.0;22.0;-8.0;6.0;21.0;20.0;41.0;29.74;19.0;;18.0;18.0;;1.0;60.0;0.0;;1.0;2.84;-2.29;-9.0;-16.92;2.0;-2.02;-0.6;-4.45;2.0;;50.0;81.0;131.0;10.0;;8.0;7.0;;;;3.0;4.0;4.0;18.0;;10.0;;;;7.0;;1.0;;12.0;12.0;;;;0.0;-203.0;-1.0;236.0;63.0;104.0;167.0;;-1.0;1.0;-4.0;16.0;100.0;-0.0;;3.0;131.0;-89.0;-2.0;-6.0;;;;;;-0.0;;6.0;;50.0;30.0;;;29.62;-0.6;10.2;;1.07;16.16;2.0;-150.6;-7.5;;59.0;-2.3;1.0;-1.0;-20.7;-2.0;131.0;;32.0;2.4;1.4;-3.7;100.0;
2016.0;68.0;15.0;-0.0;-2.0;-12.0;-2.0;2.0;111.0;130.0;24.0;40.0;37.0;81.0;-5.0;-42.0;34.0;75.0;52.0;22.44;18.0;;16.0;16.0;;1.0;70.0;0.0;;1.0;-0.65;-3.63;-9.0;-17.19;1.0;-3.54;-1.19;-2.56;2.0;;84.0;0.0;84.0;16.0;;11.0;12.0;;;;1.0;6.0;;19.0;;11.0;;;;13.0;;5.0;;11.0;15.0;;;;0.0;-200.0;-2.0;240.0;77.0;53.0;130.0;;-2.0;1.0;-2.0;12.0;-44.0;0.0;;5.0;87.0;117.0;-6.0;1.0;;;;;;-0.0;;-42.0;;84.0;50.0;;;33.6;-1.19;37.05;;3.1;18.58;2.0;-39.0;-1.8;;68.0;-3.6;1.0;-2.0;-6.7;-3.5;87.0;;37.0;-3.3;-2.1;-6.4;100.0;
2017.0;82.0;13.0;-6.0;-11.0;-10.0;-18.0;2.0;70.0;115.0;36.0;84.0;30.0;19.0;-23.0;-45.0;-48.0;16.0;69.0;15.44;22.0;;17.0;17.0;;5.0;91.0;0.0;0.0;3.0;-6.83;-12.9;0.0;-12.84;10.0;-22.5;-9.04;-9.59;2.0;;36.0;;36.0;20.0;1.0;12.0;21.0;13.0;10.0;23.0;1.0;;1.0;45.0;;20.0;2.0;;0.0;14.0;10.0;13.0;;24.0;48.0;;;;0.0;-219.0;-0.0;250.0;114.0;1.0;115.0;;-18.0;3.0;6.0;8.0;-53.0;-1.0;-0.0;2.0;33.0;74.0;-4.0;-19.0;;;-1.0;-1.0;;-0.0;;-43.0;-0.0;46.0;94.0;;;40.16;-9.04;7.8;;1.76;14.86;2.0;-6.8;-0.3;;82.0;-12.9;3.0;-18.0;-92.9;-22.5;33.0;10.0;30.0;-21.1;-7.5;-60.8;100.0;
2018.0;196.0;48.0;14.0;-1.0;-3.0;10.0;2.0;77.0;379.0;38.0;112.0;266.0;22.0;-28.0;21.0;14.0;-4.0;147.0;24.79;47.0;;35.0;35.0;;13.0;194.0;0.0;1.0;13.0;7.33;-0.43;-2.0;-1.3;-10.0;5.21;2.29;-2.11;2.0;;52.0;;52.0;12.0;1.0;12.0;48.0;60.0;193.0;253.0;1.0;;1.0;302.0;;25.0;3.0;;0.0;11.0;15.0;13.0;32.0;14.0;74.0;;;201.0;0.0;-214.0;-0.0;280.0;379.0;0.0;379.0;;10.0;13.0;-12.0;10.0;5.0;0.0;-0.0;2.0;39.0;-5.0;-25.0;2.0;;;-5.0;-23.0;19.0;;-4.0;29.0;-0.0;59.0;46.0;;;90.1;4.69;-1.62;2.06;11.54;122.71;2.0;17.1;0.7;2.6;196.0;-0.4;13.0;10.0;407.4;5.2;39.0;15.0;266.0;-0.9;0.3;3.8;56.1;410.6
2019.0;291.0;144.0;21.0;-11.0;-14.0;-14.0;3.0;77.0;783.0;72.0;266.0;515.0;25.0;-29.0;-2.0;-6.0;-5.0;148.0;49.27;155.0;;33.0;33.0;;121.0;302.0;0.0;2.0;31.0;7.28;-3.86;-3.0;-4.75;2.0;-4.76;-12.03;-13.55;2.0;;35.0;1.0;37.0;14.0;2.0;25.0;148.0;206.0;348.0;554.0;3.0;;0.0;705.0;;39.0;7.0;;0.0;25.0;33.0;13.0;70.0;79.0;195.0;;74.0;474.0;0.0;-244.0;-0.0;286.0;782.0;1.0;783.0;;-14.0;31.0;-2.0;9.0;-33.0;-1.0;-0.0;5.0;6.0;33.0;-30.0;3.0;;;-2.0;-50.0;;-12.0;-10.0;70.0;0.0;53.0;59.0;;;120.55;-5.73;-2.21;4.02;12.44;213.35;2.0;-6.9;-0.3;10.2;291.0;-3.9;31.0;-14.0;-11.1;-4.8;6.0;33.0;515.0;-1.6;-1.3;-2.7;170.1;
2020.0;297.0;206.0;-175.0;-224.0;-230.0;-212.0;2.0;111.0;565.0;111.0;288.0;277.0;32.0;-6.0;3.0;29.0;29.0;91.0;69.42;242.0;;20.0;20.0;;221.0;333.0;0.0;6.0;46.0;-58.92;-75.29;-6.0;-77.34;-14.0;-71.4;-108.3;-108.3;2.0;;45.0;0.0;46.0;19.0;2.0;45.0;119.0;57.0;271.0;328.0;4.0;;3.0;454.0;;40.0;10.0;;13.0;48.0;57.0;9.0;38.0;74.0;177.0;;75.0;477.0;0.0;-491.0;-1.0;293.0;566.0;-0.0;565.0;;-212.0;46.0;-22.0;6.0;-5.0;4.0;0.0;6.0;1.0;221.0;-3.0;-0.0;;;-3.0;-34.0;;-0.0;-21.0;58.0;1.0;83.0;53.0;;;130.22;-92.98;12.86;8.99;1.25;121.48;2.0;-0.1;-0.0;83.5;297.0;-75.3;46.0;-212.0;6.2;-71.4;1.0;57.0;277.0;-45.6;-39.1;-76.5;109.7;
