;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2012.0;96.0;55.0;19.0;17.0;16.0;9.0;40.0;;;;;;16.0;-3.0;12.0;25.0;14.0;41.0;57.03;39.0;9.0;27.0;14.0;13.0;2.0;80.0;;0.0;2.0;19.65;17.12;-0.0;16.8;7.0;9.26;-3.66;-3.66;38.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.0;2.0;-2.0;2.0;4.0;-4.0;-0.0;5.0;3.0;2.0;-2.0;;-0.0;;-1.0;-1.0;0.0;-116.0;-9.0;137.0;;42.0;17.0;;;2.53;0.23;0.36;0.22;0.06;;38.0;;;;96.0;17.1;2.0;9.0;44.9;9.3;;;;;;;3.7;900.3
2013.0;130.0;75.0;11.0;7.0;7.0;5.0;40.0;55.0;99.0;23.0;38.0;62.0;11.0;-18.0;-1.0;-8.0;8.0;55.0;57.8;68.0;13.0;51.0;30.0;21.0;3.0;123.0;;0.0;4.0;8.48;5.7;-0.0;5.54;3.0;3.47;0.0;0.0;38.0;;34.0;;34.0;17.0;3.0;3.0;4.0;18.0;6.0;24.0;2.0;6.0;8.0;44.0;;12.0;2.0;;1.0;8.0;6.0;8.0;;1.0;15.0;;;202.0;0.0;-142.0;0.0;2.0;99.0;;99.0;;5.0;4.0;-2.0;1.0;30.0;-9.0;-1.0;5.0;33.0;-26.0;-2.0;-8.0;-7.0;;-1.0;-2.0;;-0.0;;1.0;;34.0;42.0;;;3.41;0.12;0.22;;0.06;1.62;38.0;;;;130.0;5.7;4.0;5.0;37.3;3.5;33.0;6.0;62.0;6.1;7.5;7.3;100.0;0.1
2014.0;167.0;100.0;25.0;21.0;20.0;14.0;39.0;72.0;121.0;23.0;40.0;81.0;16.0;-6.0;-0.0;9.0;9.0;67.0;59.85;79.0;23.0;52.0;26.0;26.0;4.0;146.0;;0.0;4.0;14.77;12.55;-1.0;12.14;7.0;8.07;0.35;0.34;38.0;;43.0;;43.0;17.0;7.0;5.0;8.0;21.0;5.0;26.0;;5.0;9.0;49.0;;11.0;;;2.0;10.0;7.0;9.0;;2.0;18.0;;;202.0;0.0;-129.0;;7.0;121.0;;121.0;;14.0;4.0;-2.0;3.0;16.0;-4.0;-4.0;0.0;49.0;-20.0;-7.0;-3.0;;2.0;2.0;-8.0;1.0;-0.0;;7.0;;43.0;34.0;;;4.42;0.36;0.23;;0.18;2.13;38.0;;;;167.0;12.6;4.0;14.0;33.5;8.1;49.0;7.0;81.0;13.9;17.0;16.7;100.0;-6.3
2015.0;209.0;132.0;24.0;18.0;17.0;12.0;24.0;161.0;226.0;29.0;56.0;170.0;27.0;-18.0;77.0;86.0;16.0;77.0;62.96;114.0;40.0;68.0;35.0;32.0;6.0;191.0;;0.0;6.0;11.41;8.61;-1.0;8.36;6.0;5.63;-0.3;-0.3;24.0;;128.0;;128.0;21.0;6.0;5.0;15.0;25.0;6.0;31.0;;12.0;7.0;65.0;;13.0;;;2.0;14.0;7.0;10.0;;10.0;27.0;;;;0.0;-128.0;;298.0;226.0;;226.0;;12.0;6.0;-4.0;3.0;83.0;-6.0;0.0;6.0;132.0;-74.0;-11.0;-6.0;-0.0;;-1.0;;98.0;-0.0;-20.0;-1.0;;128.0;43.0;;;8.66;0.49;0.65;0.83;0.47;7.06;24.0;31.7;1.6;5.4;209.0;8.6;6.0;12.0;32.6;5.6;132.0;7.0;170.0;6.0;7.8;6.9;-70.0;-493.8
2016.0;261.0;162.0;22.0;14.0;14.0;10.0;48.0;190.0;261.0;40.0;70.0;191.0;18.0;-11.0;6.0;12.0;7.0;99.0;61.94;148.0;44.0;97.0;58.0;39.0;6.0;247.0;;0.0;7.0;8.37;5.38;0.0;5.51;4.0;3.89;0.22;0.21;46.0;;141.0;;141.0;30.0;11.0;9.0;20.0;25.0;5.0;29.0;;17.0;5.0;71.0;;18.0;;;3.0;19.0;7.0;10.0;;14.0;30.0;;;;0.0;-118.0;;309.0;261.0;;261.0;;10.0;7.0;-5.0;4.0;19.0;-11.0;-4.0;10.0;150.0;-18.0;-11.0;;-0.0;;-2.0;;;-0.0;;6.0;;141.0;128.0;;;5.71;0.22;0.15;;0.23;4.18;46.0;111.3;5.0;;261.0;5.4;7.0;10.0;29.4;3.9;150.0;7.0;191.0;4.6;5.6;5.3;100.0;0.2
2017.0;339.0;223.0;53.0;33.0;32.0;29.0;49.0;164.0;372.0;45.0;139.0;233.0;57.0;-169.0;67.0;-44.0;47.0;116.0;65.72;189.0;73.0;99.0;55.0;43.0;18.0;306.0;;2.0;19.0;15.68;9.85;-1.0;9.51;3.0;8.63;0.63;0.59;47.0;;96.0;;96.0;41.0;14.0;13.0;23.0;64.0;94.0;158.0;;18.0;8.0;208.0;;17.0;;;3.0;24.0;71.0;9.0;;14.0;94.0;;;;0.0;-89.0;-15.0;336.0;372.0;;372.0;;29.0;19.0;2.0;7.0;-31.0;-2.0;-3.0;4.0;119.0;30.0;-10.0;-154.0;-0.0;;-4.0;-75.0;;-0.0;;142.0;;96.0;141.0;;;7.26;0.63;1.0;;0.22;4.99;47.0;58.2;2.5;;339.0;9.8;19.0;29.0;9.3;8.6;119.0;71.0;233.0;9.6;9.3;12.6;100.0;0.0
2018.0;420.0;275.0;37.0;12.0;12.0;22.0;50.0;228.0;441.0;75.0;163.0;278.0;61.0;-13.0;2.0;50.0;49.0;146.0;65.35;263.0;89.0;152.0;96.0;56.0;22.0;408.0;;3.0;23.0;8.86;2.9;-1.0;2.78;-10.0;5.12;0.45;0.43;48.0;;146.0;;146.0;50.0;23.0;10.0;28.0;64.0;79.0;143.0;;29.0;14.0;213.0;;20.0;;;3.0;52.0;67.0;8.0;;13.0;88.0;;;;0.0;-64.0;-21.0;362.0;441.0;;441.0;;22.0;23.0;-11.0;13.0;33.0;-9.0;-9.0;31.0;153.0;-19.0;-12.0;;;;-2.0;-4.0;;-0.0;;6.0;;146.0;96.0;;;8.83;0.45;1.02;;0.25;5.83;48.0;98.2;3.9;;420.0;2.9;23.0;22.0;-84.0;5.1;153.0;67.0;278.0;7.4;3.3;7.8;100.0;0.0
2019.0;502.0;319.0;85.0;50.0;59.0;54.0;50.0;244.0;558.0;76.0;202.0;356.0;47.0;-73.0;-0.0;-26.0;27.0;184.0;63.45;268.0;114.0;132.0;70.0;62.0;22.0;452.0;5.0;3.0;23.0;16.9;10.04;8.0;11.72;6.0;10.66;1.11;1.06;48.0;;120.0;;120.0;76.0;34.0;14.0;39.0;105.0;103.0;208.0;;19.0;48.0;314.0;;33.0;8.0;;3.0;32.0;63.0;7.0;;56.0;126.0;;45.0;;0.0;-10.0;-28.0;393.0;558.0;;558.0;;54.0;23.0;3.0;21.0;15.0;-22.0;-6.0;-11.0;168.0;-68.0;-20.0;-59.0;;;5.0;-4.0;;;;4.0;;120.0;146.0;;;10.37;1.11;0.56;;0.42;7.34;48.0;49.3;2.0;;502.0;10.0;23.0;54.0;9.5;10.7;168.0;63.0;356.0;11.7;11.1;15.1;100.0;
2020.0;618.0;391.0;112.0;56.0;80.0;78.0;51.0;397.0;732.0;90.0;264.0;468.0;102.0;-20.0;52.0;134.0;82.0;227.0;63.2;334.0;152.0;155.0;79.0;76.0;28.0;562.0;1.0;3.0;28.0;18.18;9.11;24.0;12.97;4.0;12.6;1.59;1.53;49.0;;253.0;;253.0;83.0;44.0;16.0;78.0;113.0;103.0;216.0;;22.0;18.0;334.0;;38.0;10.0;;4.0;38.0;110.0;8.0;;55.0;174.0;;48.0;;0.0;67.0;;401.0;732.0;;732.0;;78.0;28.0;-3.0;29.0;139.0;-10.0;-11.0;14.0;307.0;-169.0;-20.0;-26.0;;26.0;-4.0;-3.0;;-5.0;;60.0;;253.0;120.0;;;12.63;1.59;1.67;;0.42;9.56;49.0;35.6;0.9;;618.0;9.1;28.0;78.0;4.4;12.6;307.0;110.0;468.0;12.5;11.5;16.6;100.0;6.3
2021.0;749.0;443.0;94.0;62.0;46.0;52.0;51.0;918.0;1232.0;129.0;606.0;613.0;103.0;-20.0;374.0;457.0;88.0;306.0;59.16;381.0;178.0;174.0;87.0;87.0;30.0;687.0;1.0;16.0;31.0;12.56;8.22;-16.0;6.15;-5.0;6.98;1.07;1.03;49.0;;711.0;;711.0;106.0;75.0;26.0;72.0;113.0;91.0;204.0;;14.0;24.0;314.0;;65.0;10.0;;6.0;49.0;458.0;9.0;;10.0;477.0;;43.0;;1.0;119.0;;494.0;1219.0;13.0;1232.0;;52.0;31.0;-10.0;39.0;-35.0;-24.0;-31.0;39.0;2.0;27.0;-15.0;;-5.0;;-4.0;-110.0;;;;484.0;;711.0;253.0;;;15.3;1.07;1.79;;0.32;12.53;49.0;80.7;2.7;;749.0;8.2;31.0;52.0;-11.1;7.0;788.0;458.0;613.0;6.4;5.2;8.5;100.0;
