;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1996.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;2740.0;587.0;-341.0;275.0;-477.0;-579.0;102.0;975.0;3431.0;999.0;1726.0;1718.0;389.0;-223.0;-128.0;20.0;161.0;2153.0;21.42;431.0;137.0;132.0;132.0;;162.0;3193.0;;-24.0;163.0;-12.46;10.05;-752.0;-17.41;99.0;-21.13;-6.7;-6.7;87.0;;152.0;;152.0;590.0;198.0;35.0;727.0;1464.0;230.0;1694.0;35.0;;;2456.0;;385.0;186.0;;;428.0;612.0;;;115.0;727.0;;;;102.0;-337.0;-381.0;2334.0;3444.0;-13.0;3431.0;;-579.0;163.0;1.0;;35.0;;-16.0;;69.0;769.0;-228.0;;;;4.0;;;-21.0;-43.0;-64.0;-17.0;152.0;132.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;3489.0;748.0;498.0;351.0;312.0;188.0;102.0;1132.0;3669.0;1063.0;1823.0;1861.0;314.0;-309.0;-45.0;-45.0;;2741.0;21.44;563.0;176.0;159.0;159.0;;228.0;3135.0;;-42.0;228.0;14.27;10.07;-39.0;8.94;124.0;5.39;1.84;1.84;102.0;;119.0;;119.0;707.0;265.0;41.0;869.0;1479.0;170.0;1649.0;19.0;;;2537.0;;457.0;193.0;;;413.0;629.0;;;131.0;760.0;;;;102.0;-196.0;-806.0;2761.0;3684.0;-15.0;3669.0;;188.0;228.0;38.0;;8.0;;-52.0;;77.0;-148.0;-314.0;;;;6.0;;;;-45.0;0.0;6.0;;152.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;3812.0;807.0;546.0;369.0;330.0;200.0;102.0;1182.0;3647.0;1105.0;1716.0;1940.0;436.0;-255.0;-172.0;1.0;132.0;3005.0;21.17;628.0;197.0;177.0;177.0;;254.0;3443.0;;-39.0;253.0;14.33;9.67;-39.0;8.66;132.0;5.25;1.95;1.95;102.0;;119.0;;119.0;746.0;274.0;43.0;834.0;1490.0;106.0;1596.0;35.0;;;2465.0;;453.0;245.0;;;408.0;470.0;;;141.0;611.0;;;;102.0;-113.0;-810.0;2761.0;3656.0;-9.0;3647.0;;200.0;253.0;47.0;;15.0;;-16.0;;92.0;-79.0;-305.0;;;;49.0;;2.0;;-45.0;-129.0;-8.0;119.0;119.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;4116.0;786.0;505.0;334.0;290.0;168.0;101.0;1349.0;4069.0;1257.0;2159.0;1932.0;266.0;-428.0;131.0;-37.0;21.0;3330.0;19.1;655.0;196.0;190.0;190.0;;269.0;3777.0;;-49.0;269.0;12.27;8.11;-44.0;7.05;117.0;4.08;1.67;1.67;101.0;;82.0;;82.0;879.0;334.0;54.0;868.0;1686.0;54.0;1740.0;112.0;;;2720.0;;540.0;354.0;;;363.0;737.0;;;165.0;902.0;;;;102.0;-31.0;-905.0;2766.0;4091.0;-22.0;4069.0;;168.0;269.0;24.0;;275.0;;-38.0;;367.0;-470.0;-245.0;-211.0;;;28.0;;0.0;-103.0;-45.0;278.0;-6.0;82.0;119.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;3991.0;655.0;412.0;174.0;108.0;48.0;98.0;;;;;;266.0;-270.0;10.0;2.0;18.0;3336.0;16.41;481.0;201.0;197.0;;;84.0;3817.0;;;304.0;10.32;4.35;-66.0;2.7;60.0;1.2;0.49;0.49;98.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.0;304.0;19.0;;107.0;;-8.0;;474.0;-212.0;-248.0;-13.0;;;-8.0;;1.0;;-43.0;52.0;-5.0;84.0;82.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;4443.0;810.0;479.0;331.0;286.0;180.0;98.0;1556.0;4297.0;1189.0;2248.0;2047.0;509.0;-240.0;-257.0;17.0;281.0;3633.0;18.23;480.0;230.0;;;;250.0;4113.0;;-45.0;249.0;10.77;7.45;-45.0;6.44;95.0;4.05;1.84;1.84;98.0;;102.0;;102.0;1027.0;382.0;45.0;917.0;1498.0;192.0;1690.0;;;134.0;2741.0;;619.0;123.0;;;447.0;843.0;;;216.0;1059.0;;;;102.0;135.0;-1240.0;3050.0;4295.0;2.0;4297.0;;180.0;249.0;30.0;;-83.0;;-30.0;;392.0;133.0;-228.0;-22.0;;;11.0;;1.0;-30.0;-43.0;-184.0;6.0;102.0;84.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;5301.0;1003.0;638.0;427.0;399.0;271.0;95.0;1840.0;4894.0;1366.0;2492.0;2402.0;530.0;-277.0;-273.0;-8.0;272.0;4298.0;18.92;576.0;305.0;;;;271.0;4873.0;;-32.0;279.0;12.03;8.05;-28.0;7.53;120.0;5.11;2.81;2.81;95.0;;94.0;;94.0;1235.0;452.0;59.0;1052.0;1531.0;179.0;1710.0;;;292.0;3054.0;;721.0;149.0;;;496.0;846.0;;;280.0;1126.0;;;;103.0;523.0;-1553.0;3329.0;4894.0;;4894.0;;271.0;279.0;33.0;;7.0;;-11.0;;398.0;-59.0;-258.0;-29.0;;;11.0;;7.0;-43.0;-51.0;-186.0;12.0;94.0;102.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;6144.0;1221.0;774.0;513.0;485.0;326.0;94.0;2191.0;5354.0;1799.0;2659.0;2636.0;680.0;-303.0;-261.0;136.0;356.0;4923.0;19.88;708.0;368.0;;;;340.0;5631.0;;;298.0;12.59;8.35;-29.0;7.89;149.0;5.31;3.46;3.46;94.0;;229.0;;229.0;1303.0;509.0;149.0;1160.0;;1709.0;1709.0;;;294.0;3163.0;;799.0;314.0;;;687.0;667.0;;;193.0;860.0;;;;103.0;888.0;;;5295.0;59.0;5354.0;;326.0;298.0;-3.0;;169.0;;-20.0;;567.0;-110.0;-324.0;;;;21.0;;10.0;-144.0;-70.0;-57.0;19.0;229.0;94.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;6205.0;1268.0;745.0;513.0;482.0;293.0;90.0;2163.0;5065.0;1764.0;2749.0;2316.0;479.0;-303.0;-86.0;67.0;164.0;4937.0;20.44;755.0;386.0;;;;369.0;5692.0;;-30.0;309.0;12.0;8.26;-31.0;7.77;173.0;4.72;3.28;3.26;89.0;;296.0;;296.0;1160.0;485.0;221.0;1081.0;1525.0;154.0;1679.0;;;143.0;2903.0;;683.0;508.0;;;573.0;757.0;;;228.0;985.0;;;;103.0;901.0;38.0;1275.0;5065.0;;5065.0;;293.0;309.0;14.0;;-135.0;;-21.0;;432.0;-2.0;-315.0;;;;12.0;;5.0;-378.0;-110.0;397.0;-24.0;296.0;229.0;;;69.64;3.29;1.84;1.23;3.53;26.36;89.0;;;;6205.0;8.3;309.0;293.0;35.9;4.7;432.0;1040.0;2349.0;7.7;8.2;12.5;62.6;293.8
