;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1991.0;187.0;;156.0;;;114.0;104.0;;1432.0;;684.0;747.0;198.0;-176.0;-19.0;-19.0;198.0;;;;;;;;;38.0;;6.0;2.0;83.08;;107.0;;33.0;60.7;1.09;1.09;104.0;;;;;;;;;;;;;;;;1432.0;;;;;;149.0;;;;149.0;834.0;;;;271.0;;477.0;1432.0;;1432.0;;114.0;2.0;6.0;;-6.0;;;-3.0;;82.0;;;-578.0;402.0;-1.0;-150.0;;;-15.0;147.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;241.0;;190.0;;;130.0;105.0;;2075.0;;1213.0;861.0;-28.0;-296.0;321.0;321.0;-28.0;;;;;;;;;49.0;;14.0;5.0;78.76;;137.0;;41.0;54.11;1.24;1.24;105.0;;;;;;;;;;;;;;;;2075.0;;;;;;149.0;;;;149.0;1362.0;;;;386.0;;475.0;2075.0;;2075.0;;130.0;5.0;-9.0;;18.0;;;9.0;;-172.0;;;-522.0;296.0;-70.0;;4.0;;-14.0;331.0;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;328.0;;269.0;;;179.0;107.0;;3807.0;;2708.0;1100.0;202.0;-1389.0;1191.0;1191.0;202.0;;;;;;;;;52.0;;16.0;6.0;82.05;;176.0;;68.0;54.73;1.69;1.68;106.0;;;;;;;;;;;;;;;;3807.0;;;;;;224.0;;;;224.0;2931.0;;;;550.0;;550.0;3807.0;;3807.0;;179.0;6.0;-1.0;;11.0;;;5.0;;7.0;;;-1837.0;689.0;-241.0;;;;-16.0;1207.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;234.0;;208.0;;;141.0;106.0;;4293.0;;3260.0;1034.0;266.0;-800.0;534.0;534.0;266.0;;;;;;;;;54.0;;19.0;10.0;88.9;;117.0;;39.0;60.25;1.33;1.33;106.0;;;;;;;;;;;;;;;;4293.0;;;;;;224.0;;;;224.0;3484.0;;;;673.0;;360.0;4293.0;;4293.0;;141.0;10.0;16.0;;29.0;;;25.0;;70.0;;;-29.0;194.0;-964.0;;;-12.0;-17.0;564.0;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;273.0;;240.0;;;168.0;106.0;;5309.0;;3905.0;1404.0;231.0;-401.0;178.0;178.0;231.0;;;;;;;;;59.0;;21.0;5.0;87.98;;161.0;;47.0;61.38;1.59;1.58;105.0;;;;;;;;;;;;;;;;5309.0;;;;;;224.0;;;;224.0;4129.0;;;;820.0;;585.0;5309.0;;5309.0;;168.0;5.0;14.0;;20.0;;;15.0;;25.0;;;-3859.0;3616.0;-158.0;;6.0;-6.0;-20.0;197.0;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;266.0;;397.0;;376.0;276.0;35.0;;5876.0;4037.0;4261.0;1615.0;191.0;-658.0;463.0;-4.0;191.0;;;;;;;;;-109.0;;21.0;0.0;149.01;;5.0;141.01;99.0;103.76;7.9;7.9;35.0;;8.0;113.0;120.0;52.0;;;;;;;;;;;5876.0;58.0;;;;3979.0;224.0;;80.0;-80.0;224.0;;;;0.0;1072.0;;542.0;5876.0;;5876.0;;276.0;0.0;4.0;;-20.0;;;-3.0;;-71.0;;203.0;-3865.0;2936.0;68.0;;17.0;-32.0;-22.0;499.0;;8.0;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;382.0;;306.0;;286.0;223.0;71.0;;8250.0;6195.0;6377.0;1872.0;325.0;-1887.0;1564.0;2.0;325.0;;;;;;;;;96.0;;21.0;-1.0;80.16;;47.0;74.91;63.0;58.42;3.19;3.13;70.0;;9.0;136.0;146.0;294.0;;;;;;;;;;;8250.0;75.0;4321.0;;;1799.0;224.0;;135.0;-135.0;224.0;;;;1.0;1263.0;;609.0;8250.0;;8250.0;;223.0;-1.0;12.0;;85.0;-9.0;;122.0;;6.0;;-120.0;-4783.0;2799.0;217.0;;29.0;-40.0;-24.0;1600.0;;9.0;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;457.0;;359.0;;329.0;254.0;71.0;;11212.0;8692.0;9116.0;2096.0;338.0;-2062.0;1723.0;-1.0;338.0;;;;;;;;;128.0;;33.0;-2.0;78.61;;69.0;71.97;75.0;55.57;3.63;3.56;70.0;;8.0;120.0;128.0;843.0;;;;;;;;;;;11212.0;262.0;5957.0;;;2473.0;424.0;;146.0;-146.0;424.0;848.0;;;1.0;1450.0;;646.0;11212.0;;11212.0;;254.0;-2.0;-2.0;;2.0;-47.0;;41.0;;86.0;;;-5067.0;3055.0;-49.0;;46.0;-53.0;-27.0;1756.0;;8.0;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;533.0;;440.0;;405.0;308.0;71.0;;11345.0;8903.0;9327.0;2018.0;454.0;-630.0;181.0;5.0;454.0;;;;;;;;;129.0;;37.0;-2.0;82.44;;68.0;75.88;97.0;57.74;4.4;4.31;70.0;;14.0;221.0;234.0;779.0;;;;;;;;;;;11345.0;269.0;6140.0;;;2494.0;424.0;;;0.0;424.0;;;;1.0;1713.0;;304.0;11345.0;;11345.0;;308.0;-2.0;3.0;;224.0;-3.0;;129.0;;-80.0;;;-4690.0;3775.0;284.0;;18.0;-18.0;-29.0;211.0;;14.0;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;621.0;;510.0;;482.0;366.0;107.0;;10120.0;7100.0;7524.0;2596.0;481.0;776.0;-1226.0;32.0;481.0;;;;;;;;;139.0;;37.0;-9.0;82.12;;77.0;77.6;116.0;58.94;3.49;3.41;105.0;;45.0;254.0;299.0;10.0;;;;;;;;;;;10120.0;15.0;4893.0;;;2192.0;424.0;;106.0;-106.0;424.0;848.0;;;1.0;2035.0;;560.0;10120.0;;10120.0;;366.0;-9.0;24.0;;152.0;-2.0;;96.0;;-51.0;;;-2697.0;3480.0;-7.0;;38.0;-24.0;-32.0;-1208.0;;45.0;14.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;725.0;;597.0;;569.0;433.0;109.0;;12268.0;8737.0;9284.0;2984.0;672.0;-1401.0;761.0;31.0;672.0;;;;;;;;;156.0;;40.0;-12.0;82.32;;83.0;78.45;136.0;59.72;4.1;3.97;106.0;;77.0;415.0;492.0;15.0;;;;;;;;;;;12268.0;73.0;5512.0;;;3152.0;619.0;;123.0;-123.0;619.0;;;;1.0;2403.0;;579.0;12268.0;;12268.0;;433.0;-12.0;5.0;;178.0;195.0;;12.0;;68.0;;;-7110.0;4781.0;927.0;-8.0;38.0;-41.0;-36.0;807.0;;77.0;45.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;972.0;;852.0;;564.0;433.0;109.0;;15356.0;7378.0;11730.0;3625.0;805.0;-2506.0;1650.0;-51.0;805.0;;;;;;;;;408.0;;275.0;12.0;87.63;;291.0;58.06;132.0;44.51;4.08;3.97;106.0;;26.0;396.0;422.0;12.0;;;;;;;12537.0;;;;15356.0;95.0;7283.0;45.0;;;617.0;;186.0;;802.0;5155.0;;;1.0;2820.0;265.0;538.0;15356.0;;15356.0;;433.0;12.0;-52.0;;320.0;335.0;;-3.0;;93.0;;;-7838.0;5662.0;-330.0;;55.0;-41.0;-40.0;1677.0;;26.0;77.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;1272.0;;1112.0;;850.0;619.0;109.0;;16747.0;7095.0;12493.0;4255.0;1004.0;-1074.0;69.0;-1.0;1004.0;;;;;;;;;423.0;;251.0;22.0;87.44;;73.0;66.78;221.0;48.65;5.81;5.66;107.0;;24.0;250.0;275.0;7.0;;;;;;;13772.0;;;;16747.0;18.0;7076.0;43.0;;;792.0;;171.0;;963.0;6361.0;;;1.0;3380.0;267.0;606.0;16747.0;;16747.0;;619.0;22.0;-12.0;;364.0;370.0;;10.0;;12.0;;;-7906.0;6418.0;414.0;-2357.0;63.0;-20.0;-45.0;2429.0;;24.0;26.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;1407.0;;1202.0;;977.0;725.0;111.0;;18585.0;7099.0;13561.0;5024.0;950.0;-1610.0;655.0;-5.0;950.0;;;;;;;;;430.0;;228.0;-2.0;85.47;;-2.0;69.44;251.0;51.51;6.61;6.53;110.0;;20.0;521.0;541.0;18.0;;;;;;;14764.0;;;;18585.0;18.0;7081.0;;;;1866.0;;217.0;;2084.0;8545.0;;;1.0;4032.0;297.0;694.0;18585.0;;18585.0;;725.0;-2.0;20.0;;549.0;-3.0;;312.0;;-342.0;;4.0;-6000.0;4393.0;-6.0;-2040.0;74.0;-52.0;-51.0;2724.0;;20.0;25.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;1662.0;;1367.0;;1023.0;751.0;109.0;;19725.0;7288.0;14353.0;5372.0;1007.0;-1464.0;465.0;8.0;1007.0;;;;;;;;;639.0;;343.0;2.0;82.26;;62.0;61.55;272.0;45.2;6.94;6.87;108.0;;28.0;472.0;500.0;6.0;;;;;;;15967.0;;;;19725.0;35.0;7253.0;17.0;;;2234.0;;;;2234.0;9298.0;;;1.0;4693.0;202.0;476.0;19725.0;;19725.0;;751.0;2.0;71.0;;140.0;-16.0;;37.0;;44.0;;;-5172.0;3758.0;-51.0;-55.0;32.0;-310.0;-59.0;856.0;;28.0;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;1832.0;;1652.0;;1210.0;876.0;108.0;;20268.0;8473.0;14084.0;6184.0;903.0;-1512.0;613.0;4.0;903.0;;;;;;;;;622.0;;435.0;6.0;90.15;;40.0;66.06;334.0;47.81;8.22;8.15;107.0;;32.0;312.0;344.0;17.0;;;;;;;17419.0;;;;20268.0;116.0;8357.0;50.0;;;992.0;;;;992.0;6602.0;;;1.0;5455.0;198.0;531.0;20268.0;;20268.0;;876.0;6.0;5.0;;64.0;-22.0;;86.0;;-48.0;;;-4885.0;5105.0;-1732.0;-200.0;61.0;-127.0;-70.0;949.0;;32.0;28.0;;;17.19;8.22;8.47;0.66;;58.02;107.0;;;;1832.0;;6.0;876.0;27.6;47.8;-8473.0;992.0;6184.0;10.1;8.1;14.2;92.0;15.0
