;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1985.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1986.0;576.0;341.0;28.0;-78.0;-85.0;-37.0;111.0;243.0;732.0;142.0;342.0;389.0;;;;;;235.0;59.21;419.0;;306.0;306.0;;113.0;654.0;;;113.0;4.88;-13.5;-7.0;-14.7;-48.0;-6.35;-0.33;-0.33;111.0;;15.0;;15.0;109.0;43.0;76.0;487.0;;;;;;2.0;488.0;;;11.0;;;132.0;152.0;;48.0;0.0;200.0;;;;;269.0;-297.0;417.0;732.0;;732.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;997.0;588.0;107.0;-16.0;-46.0;-48.0;155.0;;;;;;;;;;;410.0;58.92;604.0;;451.0;;;153.0;1013.0;;;153.0;10.74;-1.62;-29.0;-4.57;3.0;-4.82;-0.36;-0.36;155.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;1126.0;617.0;173.0;32.0;;19.0;148.0;572.0;1081.0;266.0;437.0;645.0;;;;;;509.0;54.82;586.0;;433.0;433.0;;153.0;1094.0;;;153.0;15.32;2.8;4.0;;;1.71;0.06;0.06;148.0;;287.0;;287.0;167.0;91.0;28.0;496.0;;;;;;14.0;509.0;;;62.0;;;204.0;130.0;;40.0;;170.0;;;;;172.0;-752.0;1225.0;1081.0;;1081.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;1105.0;598.0;186.0;39.0;50.0;46.0;162.0;594.0;1122.0;276.0;432.0;691.0;156.0;-229.0;-15.0;-15.0;-3.0;507.0;54.1;559.0;;423.0;423.0;;136.0;1066.0;;;136.0;16.87;3.49;11.0;4.52;4.0;4.17;0.22;0.22;162.0;;80.0;;80.0;184.0;91.0;240.0;506.0;;;;;;23.0;529.0;;68.0;52.0;;;156.0;126.0;;29.0;;156.0;;;;;208.0;-756.0;1239.0;1122.0;;1122.0;;46.0;136.0;-11.0;;-20.0;;;;318.0;3.0;-159.0;;-401.0;320.0;10.0;;9.0;;-10.0;-13.0;;;169.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;1059.0;509.0;75.0;-51.0;;-54.0;164.0;397.0;1112.0;318.0;475.0;636.0;108.0;-140.0;2.0;2.0;-196.0;550.0;48.06;560.0;;432.0;432.0;;128.0;1110.0;;;128.0;7.05;-4.83;6.0;;;-5.06;-0.39;-0.39;164.0;;49.0;;49.0;154.0;90.0;104.0;647.0;;;;;;68.0;715.0;;85.0;61.0;;;172.0;131.0;;27.0;0.0;158.0;;;;;144.0;-802.0;1295.0;1112.0;;1112.0;;-54.0;128.0;-3.0;;-239.0;;;;79.0;275.0;-304.0;;-317.0;450.0;31.0;;8.0;;-10.0;5.0;;;80.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;1227.0;724.0;301.0;109.0;;145.0;178.0;626.0;1292.0;455.0;508.0;783.0;189.0;-75.0;-9.0;-9.0;78.0;503.0;59.0;615.0;;459.0;459.0;;156.0;1118.0;;;156.0;24.56;8.89;57.0;;;11.85;0.77;0.76;175.0;;154.0;;154.0;190.0;92.0;191.0;626.0;;;;;;39.0;666.0;;74.0;169.0;;;212.0;42.0;;11.0;0.0;53.0;;;;;279.0;-904.0;1409.0;1292.0;;1292.0;;145.0;156.0;-16.0;;92.0;;;;171.0;-189.0;-111.0;;-147.0;96.0;87.0;;9.0;;-10.0;-8.0;;;49.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;1515.0;920.0;424.0;270.0;272.0;245.0;188.0;738.0;1448.0;353.0;401.0;1047.0;389.0;-362.0;-129.0;-129.0;167.0;594.0;60.77;650.0;;498.0;498.0;;152.0;1245.0;;;152.0;27.99;17.82;2.0;17.93;27.0;16.18;1.29;1.25;182.0;;52.0;;52.0;202.0;86.0;398.0;693.0;;;;;;17.0;710.0;;62.0;47.0;;;244.0;20.0;;29.0;0.0;49.0;;;;;513.0;-991.0;1525.0;1448.0;;1448.0;;245.0;152.0;-19.0;;214.0;;;;385.0;-204.0;-222.0;;-595.0;433.0;23.0;;26.0;;-10.0;-144.0;;;154.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;1648.0;859.0;493.0;305.0;318.0;229.0;204.0;964.0;1929.0;455.0;577.0;1352.0;456.0;-468.0;20.0;8.0;133.0;790.0;52.1;554.0;263.0;291.0;291.0;;;1343.0;;;175.0;29.9;18.51;13.0;19.28;89.0;13.88;0.88;0.82;190.0;;60.0;;60.0;264.0;104.0;536.0;904.0;;;;;;61.0;965.0;;127.0;52.0;;;275.0;80.0;;43.0;;122.0;;;;1.0;732.0;-1094.0;1714.0;1929.0;;1929.0;;229.0;175.0;-27.0;;124.0;;;;510.0;-45.0;-324.0;;-715.0;567.0;5.0;;42.0;;-10.0;-12.0;;60.0;52.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;2135.0;1152.0;673.0;513.0;470.0;305.0;209.0;987.0;2446.0;592.0;710.0;1735.0;573.0;-515.0;2.0;61.0;24.0;982.0;53.98;697.0;280.0;359.0;359.0;;58.0;1680.0;;-2.0;216.0;31.54;24.04;-44.0;22.0;154.0;14.3;1.51;1.46;195.0;;378.0;;378.0;337.0;129.0;143.0;1264.0;;;;125.0;43.0;27.0;1459.0;;149.0;32.0;;;411.0;76.0;;;42.0;118.0;;;;1.0;1036.0;-1201.0;1899.0;2445.0;1.0;2446.0;;305.0;216.0;;;-115.0;;;;395.0;166.0;-549.0;;-1245.0;1416.0;-137.0;;40.0;;-10.0;-27.0;;121.0;60.0;;;;;;;;;;;;;;;;;;;;;;;;;;
