;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2011.0;6989.0;30.0;26.0;;22.0;13.0;7.0;;;;;;-76.0;-0.0;81.0;5.0;-76.0;6959.0;0.43;13.0;;13.0;13.0;;;6973.0;9.0;3.0;1.0;0.37;;5.0;0.31;9.0;0.18;1.71;1.71;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.0;1.0;-2.0;0.0;-87.0;-57.0;-43.0;47.0;;;-0.0;;;;;;;;-3.0;84.0;;9.0;5.0;;;944.1;1.71;-10.26;0.4;0.05;;7.0;;;;6989.0;;1.0;13.0;41.8;0.2;;;;;;;76.9;-3.9
2012.0;7782.0;26.0;24.0;;19.0;11.0;7.0;300.0;309.0;253.0;254.0;56.0;25.0;-1.0;-23.0;2.0;25.0;7756.0;0.34;16.0;;16.0;16.0;;;7771.0;12.0;4.0;1.0;0.31;;8.0;0.24;8.0;0.14;1.43;1.43;7.0;;11.0;;11.0;124.0;143.0;21.0;1.0;5.0;4.0;8.0;;;;10.0;;7.0;91.0;22.0;21.0;133.0;;;0.0;;0.0;;;;0.0;31.0;-1.0;25.0;309.0;;309.0;;11.0;1.0;-17.0;0.0;46.0;-36.0;30.0;10.0;46.0;-15.0;-1.0;;;;-1.0;;;;;-23.0;;11.0;9.0;;;1051.29;1.43;3.35;;0.08;7.51;7.0;;;;7782.0;;1.0;11.0;44.1;0.1;46.0;;56.0;23.2;7.5;19.0;100.0;
2013.0;7248.0;30.0;25.0;;21.0;13.0;7.0;300.0;310.0;256.0;256.0;53.0;-1.0;-0.0;12.0;10.0;-2.0;7217.0;0.42;14.0;;14.0;14.0;;;7231.0;8.0;3.0;1.0;0.34;;4.0;0.28;8.0;0.17;1.69;1.69;7.0;;22.0;;22.0;95.0;162.0;22.0;1.0;5.0;3.0;8.0;;;;9.0;;2.0;95.0;9.0;43.0;117.0;;;1.0;;1.0;;;;0.0;29.0;-1.0;26.0;310.0;;310.0;;13.0;1.0;11.0;0.0;-2.0;18.0;-19.0;-5.0;45.0;-24.0;-0.0;;;;;;;;-15.0;27.0;;22.0;11.0;;;979.07;1.69;-0.23;2.03;0.06;7.19;7.0;;;;7248.0;;1.0;13.0;39.2;0.2;45.0;;53.0;27.2;7.8;23.5;-19.9;-889.7
2014.0;5979.0;27.0;18.0;;14.0;8.0;8.0;295.0;305.0;256.0;256.0;49.0;-17.0;-6.0;14.0;-8.0;-18.0;5952.0;0.46;16.0;;16.0;16.0;;;5967.0;6.0;4.0;1.0;0.31;;2.0;0.23;5.0;0.14;1.1;1.09;8.0;;13.0;;13.0;84.0;176.0;23.0;2.0;5.0;3.0;8.0;1.0;;;10.0;;0.0;135.0;2.0;43.0;77.0;;;0.0;;0.0;;;;0.0;27.0;-2.0;24.0;305.0;;305.0;;8.0;1.0;7.0;0.0;-5.0;14.0;-13.0;-9.0;40.0;-28.0;-1.0;;-1.0;;-5.0;;;-2.0;-10.0;26.0;;13.0;22.0;;;794.04;1.1;-2.36;1.33;0.13;6.57;8.0;10.3;0.6;11.7;5979.0;;1.0;8.0;39.0;0.1;40.0;;49.0;21.5;5.7;16.7;-21.1;-68.7
2015.0;6070.0;24.0;14.0;;9.0;7.0;7.0;313.0;326.0;270.0;270.0;56.0;-4.0;-14.0;26.0;8.0;-6.0;6046.0;0.4;17.0;;17.0;17.0;;;6063.0;6.0;4.0;1.0;0.24;;2.0;0.15;2.0;0.12;1.01;1.0;7.0;;21.0;;21.0;88.0;192.0;13.0;3.0;5.0;2.0;7.0;3.0;0.0;1.0;13.0;;0.0;147.0;;49.0;74.0;;;;;;;;;0.0;33.0;;22.0;326.0;;326.0;;7.0;1.0;-1.0;0.0;3.0;20.0;-16.0;-9.0;43.0;-14.0;-2.0;;-2.0;;-12.0;;;;-1.0;27.0;;21.0;13.0;;;871.81;1.01;-0.82;0.1;0.26;8.04;7.0;11.6;0.6;0.9;6070.0;;1.0;7.0;22.9;0.1;43.0;;56.0;18.5;4.1;12.6;90.1;-12.3
2016.0;6784.0;35.0;23.0;;16.0;9.0;7.0;418.0;437.0;367.0;374.0;63.0;-56.0;-30.0;83.0;-4.0;-58.0;6750.0;0.51;22.0;;22.0;22.0;;;6772.0;9.0;6.0;1.0;0.34;;3.0;0.23;6.0;0.14;1.33;1.3;7.0;;17.0;;17.0;121.0;245.0;35.0;3.0;5.0;2.0;7.0;8.0;0.0;1.0;19.0;;1.0;212.0;;43.0;111.0;;;7.0;;7.0;;;;0.0;41.0;-3.0;25.0;437.0;;437.0;;9.0;1.0;7.0;0.0;9.0;-13.0;-54.0;-4.0;52.0;-83.0;-1.0;;-5.0;;-26.0;;0.0;;-2.0;84.0;;17.0;21.0;;;971.66;1.33;-8.25;0.24;0.21;9.07;7.0;13.3;0.6;1.4;6784.0;;1.0;9.0;40.4;0.1;52.0;;63.0;18.5;5.0;14.6;81.9;-2.9
2017.0;6990.0;31.0;22.0;;11.0;7.0;7.0;447.0;479.0;404.0;405.0;70.0;-10.0;-36.0;42.0;-4.0;-12.0;6958.0;0.45;23.0;;23.0;23.0;;;6982.0;13.0;10.0;2.0;0.32;;3.0;0.15;4.0;0.1;1.01;1.0;7.0;;13.0;;13.0;131.0;285.0;19.0;7.0;9.0;4.0;13.0;8.0;4.0;;31.0;;0.0;181.0;1.0;40.0;183.0;;;;1.0;1.0;;1.0;;0.0;46.0;-4.0;27.0;475.0;3.0;479.0;;7.0;2.0;-11.0;1.0;-9.0;4.0;-40.0;-5.0;43.0;0.0;-2.0;-3.0;;;-33.0;;;;-2.0;44.0;;13.0;17.0;;;994.34;1.01;-1.71;0.3;0.32;9.9;7.0;16.8;0.7;1.8;6990.0;;2.0;7.0;34.5;0.1;43.0;;70.0;19.4;4.4;10.2;70.2;-17.5
2018.0;7606.0;29.0;13.0;;-3.0;-3.0;7.0;707.0;743.0;666.0;674.0;66.0;8.0;-18.0;3.0;-7.0;6.0;7577.0;0.39;33.0;;33.0;33.0;;;7610.0;16.0;14.0;3.0;0.17;;1.0;-0.04;0.0;-0.04;-0.48;-0.48;7.0;;6.0;;6.0;148.0;280.0;273.0;8.0;9.0;7.0;16.0;8.0;4.0;;36.0;;0.0;200.0;;45.0;421.0;7.0;;;1.0;8.0;;1.0;;0.0;41.0;-6.0;30.0;740.0;3.0;743.0;;-3.0;3.0;0.0;1.0;-2.0;4.0;17.0;2.0;41.0;9.0;-1.0;-10.0;;;-8.0;-1.0;;;-2.0;6.0;;6.0;13.0;;;1081.75;-0.48;0.9;0.24;0.19;9.34;7.0;-26.8;-1.1;1.8;7606.0;;3.0;-3.0;-0.2;-0.0;41.0;7.0;66.0;14.3;1.4;-5.2;149.7;
2019.0;4783.0;32.0;23.0;;3.0;2.0;7.0;669.0;705.0;541.0;633.0;70.0;-15.0;-15.0;31.0;2.0;-15.0;4751.0;0.67;33.0;;33.0;33.0;;;4784.0;19.0;17.0;3.0;0.48;;4.0;0.07;1.0;0.05;0.32;0.31;7.0;;8.0;;8.0;154.0;293.0;214.0;7.0;9.0;6.0;15.0;12.0;3.0;;37.0;;1.0;167.0;;59.0;313.0;92.0;;;;92.0;;;;0.0;43.0;-7.0;34.0;702.0;3.0;705.0;;2.0;3.0;1.0;1.0;87.0;9.0;-13.0;16.0;128.0;-108.0;-0.0;;-2.0;;-13.0;-8.0;;;;39.0;;8.0;6.0;;;680.26;0.32;-2.14;;0.07;9.91;7.0;38.0;1.6;;4783.0;;3.0;2.0;31.0;0.0;128.0;92.0;70.0;8.7;2.9;3.2;100.0;
2020.0;5461.0;67.0;59.0;;38.0;31.0;7.0;714.0;758.0;557.0;653.0;101.0;48.0;49.0;-53.0;44.0;47.0;5394.0;1.23;37.0;;37.0;37.0;;;5431.0;21.0;19.0;3.0;1.07;;8.0;0.69;6.0;0.56;4.34;4.31;7.0;;52.0;;52.0;113.0;321.0;228.0;10.0;9.0;5.0;14.0;17.0;;4.0;44.0;;2.0;135.0;2.0;136.0;284.0;93.0;;0.0;4.0;96.0;;4.0;;0.0;74.0;-9.0;37.0;754.0;4.0;758.0;;31.0;3.0;3.0;1.0;29.0;-22.0;-28.0;79.0;157.0;-19.0;-1.0;;;;49.0;;;;;-53.0;;52.0;8.0;;;776.66;4.34;6.68;;0.14;14.36;7.0;4.7;0.1;;5461.0;;3.0;31.0;16.9;0.6;157.0;93.0;101.0;23.5;7.4;30.2;100.0;
