;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2000.0;198.0;;15.0;;21.0;14.0;0.0;;685.0;;712.0;-27.0;;;;;;;;;;;;;;177.0;;1.0;;7.48;;3.0;10.61;;7.08;19.34;19.34;0.0;;45.0;;45.0;327.0;;;;;;;;;;;685.0;;;;;;10.0;;;;10.0;722.0;;;;;;;685.0;;685.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;174.0;;7.0;;4.0;5.0;0.0;;604.0;;629.0;-25.0;;;;;;;;;;;;;;170.0;;0.0;;4.09;;2.0;2.15;1.0;2.98;-14.25;-23.72;0.0;;45.0;;45.0;214.0;;;;;;;;;;;604.0;;;;;;8.0;;;;8.0;637.0;;;;;;;604.0;;604.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;191.0;;14.0;;11.0;9.0;0.0;;679.0;;699.0;-21.0;50.0;-54.0;8.0;5.0;50.0;;;;;;;;;179.0;;0.0;2.0;7.16;;0.0;6.0;3.0;4.51;-8.55;-8.55;0.0;;50.0;;50.0;331.0;;;6.0;;;;255.0;;;;679.0;19.0;;;;;16.0;;;;16.0;716.0;;25.0;0.0;-53.0;7.0;;679.0;;679.0;;9.0;2.0;-2.0;;;;;;;42.0;-1.0;;-91.0;38.0;0.0;-2.0;;;;10.0;;50.0;45.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;249.0;;19.0;;14.0;11.0;0.0;;754.0;;797.0;-43.0;92.0;-109.0;-7.0;-24.0;89.0;;;;;15.0;15.0;;;235.0;;2.0;3.0;7.57;;1.0;5.5;3.0;4.24;2.42;2.14;0.0;;25.0;;25.0;318.0;;;7.0;;;;365.0;;;;754.0;19.0;;;;;36.0;;;;36.0;833.0;;2.0;0.0;-52.0;7.0;;754.0;;754.0;;11.0;3.0;-3.0;;;-4.0;;85.0;;81.0;-3.0;;-145.0;39.0;0.0;-6.0;27.0;-54.0;;26.0;;25.0;50.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;276.0;;11.0;;;6.0;2.0;;892.0;;745.0;147.0;142.0;-171.0;53.0;24.0;141.0;;;270.0;;14.0;14.0;;256.0;66.0;;3.0;2.0;3.98;;20.0;;0.0;2.15;-1.25;-1.25;2.0;;;;;129.0;;;6.0;;;;;;;;892.0;;;;;;36.0;;;;36.0;781.0;;;0.0;-54.0;6.0;196.0;892.0;;892.0;;6.0;2.0;-6.0;;;-11.0;;156.0;;140.0;-1.0;;-296.0;126.0;0.0;;63.0;-10.0;;;;49.0;25.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;333.0;;60.0;;52.0;37.0;18.0;992.0;994.0;774.0;835.0;159.0;82.0;-105.0;0.0;-23.0;80.0;;;280.0;;17.0;17.0;;263.0;280.0;;3.0;4.0;18.09;;1.0;15.76;15.0;11.23;1.88;1.88;18.0;;27.0;;27.0;260.0;;705.0;6.0;;;;639.0;;-642.0;3.0;;30.0;;4.0;;744.0;36.0;;;0.0;36.0;97.0;;;0.0;-17.0;4.0;172.0;994.0;;994.0;;37.0;4.0;-6.0;;217.0;-24.0;;78.0;217.0;-171.0;-1.0;;-257.0;153.0;0.0;;0.0;;;0.0;;27.0;49.0;;;18.93;2.13;4.58;;0.08;9.03;18.0;5.5;0.3;;333.0;;4.0;37.0;28.8;11.2;217.0;36.0;159.0;18.1;5.6;23.5;100.0;-0.5
2007.0;338.0;;79.0;;71.0;50.0;19.0;1060.0;1062.0;792.0;853.0;209.0;100.0;-81.0;1.0;21.0;99.0;;;267.0;;19.0;19.0;;248.0;267.0;;4.0;5.0;23.39;;1.0;21.01;21.0;14.84;2.52;2.47;19.0;;47.0;;47.0;236.0;;776.0;5.0;;;;712.0;;-715.0;2.0;;29.0;;;;763.0;36.0;;;0.0;36.0;97.0;;;0.0;33.0;2.0;174.0;1062.0;;1062.0;;50.0;5.0;4.0;;50.0;-10.0;;51.0;267.0;-9.0;-1.0;;-626.0;547.0;0.0;;1.0;;;0.0;;47.0;27.0;;;18.03;2.68;5.27;;0.08;11.11;19.0;6.4;0.4;;338.0;;5.0;50.0;29.4;14.8;267.0;36.0;209.0;19.6;7.0;24.1;100.0;-0.8
2008.0;302.0;;68.0;;64.0;44.0;19.0;1105.0;1108.0;794.0;855.0;253.0;65.0;-17.0;0.0;48.0;64.0;;;238.0;;41.0;20.0;21.0;197.0;238.0;;2.0;1.0;22.4;;1.0;21.19;20.0;14.5;2.19;2.15;19.0;;95.0;;95.0;164.0;;846.0;6.0;;;;705.0;;-708.0;3.0;;31.0;;1.0;;763.0;36.0;;;0.0;36.0;97.0;;;0.0;77.0;1.0;175.0;1108.0;;1108.0;;44.0;1.0;-7.0;1.0;44.0;-4.0;;3.0;312.0;-19.0;-1.0;;-147.0;131.0;;;;;;0.0;;95.0;47.0;;;16.07;2.33;3.38;;0.07;13.46;19.0;6.8;0.3;;302.0;;1.0;44.0;31.6;14.5;312.0;36.0;253.0;14.5;6.0;17.3;100.0;
2009.0;282.0;;65.0;;62.0;46.0;19.0;1117.0;1119.0;780.0;816.0;302.0;27.0;-34.0;-26.0;-32.0;26.0;;;218.0;;40.0;21.0;18.0;178.0;220.0;;2.0;1.0;23.15;;1.0;22.1;16.0;16.45;2.27;2.22;19.0;;63.0;54.0;117.0;166.0;;833.0;5.0;;;;737.0;;-740.0;2.0;;24.0;;;;756.0;36.0;;;0.0;36.0;;;;0.0;123.0;3.0;177.0;1119.0;;1119.0;;46.0;1.0;5.0;1.0;24.0;5.0;;-6.0;336.0;-51.0;-1.0;;-186.0;154.0;0.0;;;-26.0;;0.0;;63.0;95.0;;;14.96;2.46;1.39;;0.05;16.03;19.0;6.9;0.1;;282.0;;1.0;46.0;25.5;16.5;336.0;36.0;302.0;14.1;5.7;15.4;100.0;98.5
