;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1986.0;38.0;27.0;12.0;8.0;10.0;6.0;23.0;39.0;51.0;9.0;9.0;42.0;;;;;;12.0;69.45;19.0;;17.0;17.0;;2.0;31.0;;;2.0;30.29;20.1;2.0;26.11;4.0;15.4;0.26;0.26;23.0;;25.0;;25.0;12.0;;2.0;12.0;;;;;;0.0;12.0;;;;;;9.0;;;1.0;;1.0;;;;;20.0;-3.0;25.0;51.0;;51.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;47.0;34.0;17.0;14.0;16.0;9.0;23.0;54.0;68.0;16.0;18.0;50.0;;;;;;13.0;73.23;21.0;;19.0;19.0;;2.0;33.0;;;2.0;37.04;29.34;2.0;33.19;7.0;18.84;0.38;0.38;23.0;;37.0;;37.0;16.0;;1.0;11.0;;3.0;3.0;;;0.0;14.0;;;;;;16.0;;;2.0;0.0;2.0;;;;;28.0;-5.0;27.0;68.0;;68.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;54.0;38.0;19.0;14.0;17.0;10.0;23.0;61.0;77.0;18.0;22.0;55.0;;;;;;16.0;70.3;24.0;;22.0;22.0;;2.0;40.0;;;2.0;34.32;25.83;3.0;30.63;6.0;19.0;0.45;0.45;23.0;;44.0;;44.0;16.0;;1.0;11.0;;5.0;5.0;;;0.0;16.0;;;;;;18.0;;;3.0;;3.0;;;;;34.0;-7.0;28.0;77.0;;77.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;72.0;48.0;26.0;20.0;23.0;15.0;23.0;71.0;95.0;26.0;29.0;66.0;23.0;-15.0;-6.0;-6.0;15.0;23.0;67.46;29.0;;26.0;26.0;;3.0;52.0;;;3.0;35.75;27.51;3.0;32.12;9.0;20.25;0.64;0.64;23.0;;4.0;;4.0;19.0;;48.0;16.0;;;;;;8.0;24.0;;7.0;;;;20.0;;;3.0;;3.0;;;;;44.0;-9.0;31.0;95.0;;95.0;;15.0;3.0;-1.0;;6.0;;;;45.0;1.0;-8.0;;-16.0;10.0;-1.0;;2.0;-4.0;-4.0;-0.0;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;91.0;62.0;33.0;24.0;29.0;19.0;23.0;82.0;110.0;24.0;27.0;83.0;15.0;-14.0;-3.0;-3.0;12.0;29.0;67.95;38.0;;33.0;33.0;;4.0;67.0;;;4.0;36.11;26.56;4.0;31.28;10.0;20.42;0.82;0.82;23.0;;2.0;;2.0;26.0;;55.0;17.0;;;;;;11.0;28.0;;4.0;;;;20.0;;;3.0;;3.0;;;;;58.0;-12.0;37.0;110.0;;110.0;;19.0;4.0;-1.0;;14.0;;;;58.0;-20.0;-3.0;;-35.0;25.0;-0.0;;1.0;;-5.0;-0.0;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;102.0;66.0;32.0;22.0;27.0;18.0;23.0;88.0;122.0;27.0;32.0;91.0;25.0;-18.0;-8.0;-8.0;21.0;36.0;65.16;44.0;;39.0;39.0;;5.0;80.0;;;5.0;31.5;21.59;5.0;26.2;9.0;17.17;0.75;0.75;23.0;;1.0;;1.0;22.0;;65.0;18.0;;;;;;16.0;34.0;;4.0;;;;23.0;0.0;;4.0;-0.0;4.0;;;;;66.0;-14.0;39.0;122.0;;122.0;;18.0;5.0;1.0;;3.0;;;;61.0;-2.0;-4.0;;-55.0;49.0;-8.0;;1.0;-3.0;-5.0;-0.0;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;113.0;72.0;35.0;23.0;28.0;19.0;23.0;98.0;136.0;24.0;30.0;106.0;12.0;-5.0;-5.0;-5.0;10.0;41.0;63.93;49.0;;42.0;42.0;;7.0;90.0;;;7.0;31.12;20.51;5.0;24.67;9.0;16.45;0.8;0.8;23.0;;4.0;;4.0;32.0;;62.0;18.0;;;;;;20.0;38.0;;4.0;;;;20.0;0.0;;5.0;0.0;6.0;;;;;79.0;-17.0;44.0;136.0;;136.0;;19.0;7.0;2.0;;12.0;;;;73.0;-29.0;-2.0;;-26.0;30.0;-6.0;;2.0;-0.0;-6.0;0.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;107.0;57.0;16.0;3.0;7.0;5.0;22.0;87.0;132.0;26.0;34.0;98.0;19.0;-6.0;-16.0;-16.0;17.0;50.0;53.09;54.0;;45.0;45.0;;9.0;104.0;;;9.0;14.51;3.0;4.0;6.27;2.0;4.78;0.23;0.23;22.0;;1.0;;1.0;29.0;;57.0;17.0;;;;;;27.0;44.0;;4.0;;;;21.0;;;8.0;;8.0;;;;;77.0;-14.0;36.0;132.0;;132.0;;5.0;9.0;1.0;;-11.0;;;;62.0;16.0;-2.0;;-28.0;34.0;-10.0;;0.0;-7.0;-7.0;-3.0;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;94.0;49.0;1.0;-14.0;-12.0;-7.0;22.0;72.0;118.0;26.0;33.0;84.0;12.0;-3.0;-8.0;-8.0;9.0;46.0;51.59;63.0;;51.0;51.0;;12.0;108.0;;;12.0;0.53;-15.07;3.0;-12.42;-5.0;-7.01;-0.3;-0.3;22.0;;2.0;;2.0;20.0;;50.0;18.0;;;;;;28.0;45.0;;4.0;;;;22.0;;;7.0;-0.0;7.0;;;;;63.0;-17.0;38.0;118.0;;118.0;;-7.0;12.0;-1.0;;-16.0;;;;46.0;22.0;-3.0;;-8.0;18.0;-11.0;;0.0;-1.0;-7.0;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;80.0;29.0;2.0;-14.0;-11.0;-7.0;22.0;62.0;108.0;26.0;34.0;74.0;14.0;-11.0;-4.0;-4.0;11.0;50.0;36.73;54.0;5.0;43.0;38.0;;7.0;93.0;;2.0;12.0;2.89;-16.98;2.0;-14.21;-5.0;-8.43;-0.3;-0.3;22.0;;1.0;31.0;33.0;25.0;;5.0;18.0;;26.0;26.0;;8.0;-6.0;46.0;;5.0;;;;21.0;;;;8.0;8.0;;;;2.0;53.0;-19.0;38.0;108.0;;108.0;;-7.0;12.0;1.0;;-10.0;;;;36.0;18.0;-3.0;;;;-8.0;;0.0;-0.0;-4.0;0.0;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
