;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2007.0;;;-2.0;-2.0;-2.0;-2.0;8.0;;;;;;-2.0;-1.0;3.0;0.0;-3.0;;;2.0;;2.0;2.0;;;2.0;;;0.0;-inf;-inf;0.0;-inf;;-inf;-0.31;-0.31;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2.0;0.0;;;0.0;;;;;;-1.0;;;;-0.0;;3.0;;;1.0;;1.0;1.0;;;;-0.31;-0.34;;0.1;;8.0;;;;;-inf;0.0;-2.0;;-inf;;;;;;;100.0;
2008.0;;;-3.0;-3.0;-3.0;-3.0;8.0;;3.0;;2.0;2.0;-3.0;-1.0;4.0;-0.0;-4.0;;;3.0;;3.0;3.0;;;3.0;;;0.0;-inf;-inf;0.0;-inf;;-inf;-0.42;-0.42;8.0;;;;;;;;1.0;;2.0;2.0;;;;;3.0;;;;;;;;;;;2.0;;;1.0;-3.0;;5.0;3.0;;3.0;;-3.0;0.0;;;0.0;;;;;-0.0;-1.0;-0.0;;;0.0;;3.0;;;0.0;;-0.0;0.0;;;;-0.42;-0.48;;0.1;0.25;8.0;;;;;-inf;0.0;-3.0;;-inf;;;2.0;-88.1;-88.1;-169.5;100.0;
2009.0;;;-2.0;-0.0;-1.0;-0.0;10.0;;2.0;;1.0;1.0;-0.0;0.0;1.0;0.0;-0.0;;;2.0;;2.0;2.0;;;2.0;;;0.0;-inf;-inf;-0.0;-inf;-0.0;-inf;-0.05;-0.05;10.0;;;;;;;;0.0;2.0;;2.0;;;;;2.0;;;;;;;;;;;1.0;;;1.0;-3.0;;4.0;2.0;0.0;2.0;;-0.0;0.0;;;;;;;;-0.0;-0.0;;;;0.0;;0.0;;;0.0;;0.0;-0.0;;;;-0.05;-0.04;;0.0;0.14;10.0;;;;;-inf;0.0;-0.0;4.9;-inf;;;1.0;-70.3;-73.9;-37.5;100.0;
2010.0;;;-0.0;-0.0;-0.0;-0.0;10.0;0.0;4.0;0.0;0.0;4.0;-0.0;0.0;-0.0;-0.0;-0.0;;;0.0;;2.0;2.0;;-1.0;0.0;;;0.0;-inf;-inf;;-inf;0.0;-inf;-0.04;-0.04;10.0;;;;;;;0.0;0.0;2.0;;2.0;;;2.0;4.0;;0.0;;;;0.0;;;;;;;;;0.0;-1.0;;4.0;4.0;;4.0;;-0.0;0.0;;;0.0;;;;;-0.0;-0.0;;;;0.0;;;;;-0.0;;0.0;0.0;;;;-0.01;-0.03;;0.0;0.38;10.0;;;;;-inf;0.0;-0.0;-0.5;-inf;-0.0;;4.0;-11.1;-10.9;-3.2;100.0;
2011.0;;;-0.0;-0.0;-0.0;-3.0;10.0;0.0;1.0;0.0;0.0;1.0;-0.0;0.0;;;-0.0;;;0.0;;0.0;0.0;;;0.0;;;0.0;-inf;-inf;;-inf;;-inf;-0.3;-0.3;10.0;;0.0;;0.0;;;0.0;;;;;;0.0;1.0;1.0;;0.0;;;;0.0;;;;;;;;;0.0;-4.0;;4.0;1.0;0.0;1.0;;-3.0;0.0;;;-0.0;;;;;3.0;;;;;0.0;;;;;;;0.0;;;;;-0.3;-0.03;;;0.11;10.0;;;;;-inf;0.0;-3.0;;-inf;-0.0;;1.0;-35.0;-33.6;-280.5;100.0;
2012.0;;;-0.0;-0.0;-0.0;-1.0;10.0;1.0;1.0;0.0;0.0;0.0;-0.0;1.0;;0.0;-0.0;;;0.0;;0.0;0.0;;;0.0;;;;-inf;-inf;;-inf;;-inf;-0.08;-0.08;10.0;;0.0;;0.0;;;0.0;;;;;;0.0;;;;0.0;;;;0.0;;;;;;;;;0.0;-3.0;;3.0;1.0;;1.0;;-1.0;;;;-0.0;;;;;0.0;;;;;1.0;;;;;;;0.0;0.0;;;;-0.08;-0.04;;;0.03;10.0;;;;;-inf;;-1.0;;-inf;0.0;;0.0;-106.2;-39.4;-318.5;100.0;
2013.0;;;-0.0;-4.0;-2.0;-2.0;6.0;32.0;44.0;1.0;1.0;43.0;-1.0;-4.0;35.0;31.0;-5.0;;;2.0;;1.0;1.0;;0.0;2.0;0.0;;0.0;-inf;-inf;1.0;-inf;;-inf;-0.33;-0.33;6.0;;32.0;;32.0;;;0.0;12.0;;9.0;9.0;;;-9.0;12.0;;0.0;;0.0;;0.0;;;;0.0;0.0;;;;16.0;-2.0;-0.0;29.0;44.0;-0.0;44.0;;-2.0;0.0;;0.0;1.0;;;;;-0.0;-4.0;-1.0;;;-3.0;-1.0;36.0;;;0.0;1.0;32.0;1.0;;;;-0.33;-0.71;;0.55;6.62;6.0;;;;;-inf;0.0;-2.0;;-inf;31.0;;43.0;-0.5;-0.5;-4.9;100.0;
2014.0;;;-3.0;-3.0;-3.0;-3.0;10.0;18.0;69.0;13.0;13.0;56.0;-2.0;-27.0;15.0;-14.0;-29.0;;;3.0;;2.0;2.0;;0.0;3.0;0.0;;0.0;-inf;-inf;0.0;-inf;;-inf;-0.26;-0.26;10.0;;17.0;;17.0;;;0.0;52.0;;52.0;52.0;;;-52.0;52.0;;12.0;;0.0;;1.0;;;;0.0;0.0;;;;20.0;-5.0;-0.0;41.0;69.0;;69.0;;-3.0;0.0;;0.0;0.0;;;;;-0.0;-27.0;;;;0.0;;15.0;;;;0.0;17.0;32.0;;;;-0.26;-3.0;;2.79;5.7;10.0;;;;;-inf;0.0;-3.0;;-inf;4.0;;56.0;-5.2;-4.2;-4.6;100.0;
2015.0;;;33.0;-40.0;-40.0;-40.0;12.0;17.0;17.0;1.0;1.0;16.0;-4.0;3.0;;-1.0;-21.0;;;3.0;;3.0;3.0;;0.0;3.0;0.0;;0.0;inf;-inf;0.0;-inf;;-inf;-3.45;-3.45;12.0;;17.0;;17.0;;;0.0;0.0;;;;;;;0.0;;0.0;;0.0;;0.0;;;;;;;;;20.0;-45.0;-0.0;41.0;17.0;;17.0;;-40.0;0.0;;0.0;-1.0;;;;;36.0;-17.0;;;;21.0;;;;;;0.0;17.0;17.0;;;;-3.45;-1.84;;1.52;1.43;12.0;;;;;-inf;0.0;-40.0;;-inf;16.0;;16.0;202.0;196.0;-241.3;100.0;
2016.0;1.0;1.0;-8.0;-8.0;-8.0;-8.0;5.0;12.0;69.0;4.0;34.0;35.0;-6.0;3.0;12.0;9.0;-6.0;1.0;56.62;7.0;2.0;4.0;4.0;;0.0;8.0;0.0;0.0;0.0;-563.14;-568.69;-0.0;-577.65;;-577.65;-1.51;-1.51;5.0;;9.0;;9.0;3.0;1.0;0.0;1.0;;55.0;55.0;;;0.0;56.0;;2.0;;0.0;;2.0;;;6.0;25.0;30.0;;;;21.0;-9.0;-23.0;46.0;69.0;0.0;69.0;;-8.0;0.0;;0.0;0.0;;-0.0;;;1.0;-0.0;2.0;;;1.0;-0.0;12.0;;;1.0;0.0;9.0;0.0;;;0.26;-1.51;-1.18;;0.0;6.38;5.0;;;;1.0;-568.7;0.0;-8.0;;-577.6;8.0;;35.0;-12.6;-12.0;-23.6;100.0;
2017.0;15.0;9.0;-30.0;-17.0;-31.0;-31.0;7.0;32.0;96.0;12.0;70.0;26.0;-14.0;-0.0;29.0;15.0;-15.0;6.0;57.95;26.0;13.0;13.0;13.0;;1.0;32.0;0.0;1.0;0.0;-195.91;-111.18;-14.0;-204.54;;-204.54;-4.22;-4.22;7.0;;24.0;;24.0;6.0;1.0;1.0;1.0;;63.0;63.0;;;;65.0;;6.0;;0.0;;6.0;13.0;;6.0;39.0;58.0;;;;25.0;-42.0;-26.0;69.0;96.0;;96.0;;-31.0;0.0;;1.0;2.0;;-0.0;;-2.0;14.0;-0.0;;;;-0.0;-0.0;17.0;;;12.0;0.0;25.0;10.0;;;2.06;-4.22;-1.97;;0.05;3.53;7.0;;;;15.0;-111.2;0.0;-31.0;;-204.5;20.0;13.0;26.0;-36.0;-31.6;-119.4;100.0;
2018.0;17.0;10.0;-28.0;-17.0;-29.0;-29.0;9.0;19.0;81.0;12.0;85.0;-4.0;-15.0;-0.0;3.0;-12.0;-15.0;6.0;63.35;28.0;10.0;17.0;17.0;;1.0;34.0;0.0;2.0;0.0;-166.45;-105.51;-12.0;-178.09;0.0;-178.34;-3.22;-3.22;9.0;;10.0;;10.0;6.0;2.0;1.0;1.0;;60.0;60.0;;;0.0;62.0;;5.0;;0.0;;7.0;19.0;;6.0;47.0;72.0;;;;24.0;-70.0;-24.0;66.0;81.0;;81.0;;-29.0;0.0;;1.0;1.0;;-1.0;;-0.0;12.0;-0.0;;;;-0.0;;;;;3.0;-0.0;11.0;23.0;;;1.8;-3.22;-1.66;;0.02;-0.4;9.0;;;;17.0;-105.5;0.0;-29.0;-0.1;-178.3;7.0;19.0;-4.0;-40.6;-34.5;797.8;100.0;
2019.0;58.0;16.0;-46.0;-54.0;-67.0;-66.0;15.0;147.0;534.0;100.0;405.0;129.0;-37.0;24.0;66.0;56.0;-38.0;42.0;27.74;52.0;16.0;36.0;1.0;35.0;;94.0;0.0;8.0;13.0;-78.5;-92.48;-13.0;-114.86;-1.0;-112.75;-4.3;-4.3;15.0;;65.0;;65.0;36.0;44.0;2.0;3.0;31.0;-252.0;;;;384.0;387.0;;23.0;;1.0;23.0;54.0;178.0;;;;178.0;483.0;;;12.0;84.0;194.0;-161.0;534.0;;534.0;;-66.0;13.0;-2.0;1.0;-12.0;;-6.0;;5.0;28.0;-1.0;25.0;;;0.0;-22.0;63.0;;;25.0;3.0;67.0;11.0;;;3.83;-4.32;-2.51;;0.04;8.52;15.0;;;;58.0;-92.5;13.0;-66.0;1.8;-112.8;47.0;178.0;129.0;-13.2;-10.9;-50.7;100.0;
2020.0;183.0;64.0;-30.0;-46.0;-106.0;-105.0;32.0;203.0;537.0;101.0;470.0;66.0;27.0;;26.0;52.0;24.0;119.0;34.82;109.0;28.0;77.0;;77.0;5.0;228.0;0.0;32.0;44.0;-16.33;-25.44;-59.0;-57.97;-1.0;-57.24;-3.3;-3.3;32.0;;119.0;;119.0;;41.0;43.0;8.0;19.0;305.0;325.0;;;2.0;334.0;;90.0;1.0;1.0;;10.0;188.0;;7.0;174.0;369.0;;6.0;;14.0;-236.0;;288.0;537.0;;537.0;;-105.0;44.0;;5.0;-4.0;;-11.0;;;87.0;-2.0;;;;;;38.0;;;-12.0;1.0;119.0;67.0;;;5.76;-3.3;0.77;;0.08;2.09;32.0;-3.9;-0.1;;183.0;-25.4;44.0;-105.0;1.3;-57.2;102.0;188.0;66.0;-16.8;-13.8;-158.0;100.0;
