;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2009.0;;;;;;;;6835.0;10307.0;3426.0;4941.0;4938.0;-98.0;-167.0;2377.0;2148.0;-507.0;;;;;;;;;;;;;;;;;;;;;;;3107.0;;3107.0;2213.0;876.0;639.0;1960.0;;;750.0;270.0;;492.0;3472.0;;1872.0;302.0;248.0;;1252.0;;;;1515.0;1515.0;;;;4914.0;;24.0;;9879.0;428.0;10307.0;;9344.0;679.0;-473.0;;337.0;37.0;189.0;154.0;3409.0;-9985.0;-409.0;90.0;;;-257.0;-509.0;2042.0;;;844.0;36.0;3107.0;959.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2010.0;13817.0;2049.0;1340.0;940.0;944.0;631.0;453.0;7666.0;11082.0;3719.0;4983.0;5641.0;1142.0;-911.0;-126.0;112.0;642.0;11768.0;14.83;885.0;;815.0;815.0;;70.0;12653.0;29.0;30.0;421.0;9.7;6.8;4.0;6.83;258.0;4.57;1.39;1.39;453.0;;3769.0;;3769.0;2307.0;988.0;602.0;2067.0;;;665.0;281.0;;403.0;3416.0;;2236.0;218.0;220.0;;1265.0;;;;1264.0;1264.0;;;;5550.0;;91.0;;10624.0;458.0;11082.0;;631.0;421.0;-14.0;;538.0;-184.0;-130.0;354.0;3947.0;-434.0;-500.0;71.0;-750.0;200.0;-432.0;-99.0;;;;-27.0;7.0;3219.0;3107.0;;;30.53;1.39;1.42;;1.1;12.46;453.0;;;;13817.0;6.8;421.0;631.0;27.3;4.6;3947.0;;5641.0;9.7;8.7;11.2;100.0;
2011.0;16041.0;2655.0;2048.0;1644.0;1506.0;1145.0;421.0;5501.0;9128.0;3712.0;6957.0;1688.0;1377.0;-10.0;-3194.0;-1856.0;747.0;13386.0;16.55;980.0;;901.0;901.0;;79.0;14366.0;31.0;123.0;475.0;12.77;10.25;-138.0;9.39;305.0;7.14;2.72;2.72;421.0;;1363.0;;1363.0;2459.0;1054.0;625.0;2315.0;;596.0;596.0;257.0;;459.0;3627.0;;2397.0;107.0;257.0;;1208.0;1996.0;;;1249.0;3245.0;;;;3.0;110.0;-183.0;1758.0;8645.0;483.0;9128.0;;1145.0;475.0;-36.0;14.0;-2158.0;-149.0;-64.0;98.0;1789.0;1937.0;-630.0;-17.0;;72.0;-65.0;-1672.0;;;-93.0;-1429.0;-29.0;1363.0;3219.0;;;38.1;2.72;1.77;0.22;1.5;4.01;421.0;6.5;0.4;1.2;16041.0;10.2;475.0;1145.0;20.3;7.1;1789.0;1996.0;1688.0;25.4;18.2;67.8;91.9;12.4
2012.0;15519.0;2658.0;1911.0;1476.0;1345.0;1077.0;323.0;5227.0;10176.0;3659.0;7346.0;2345.0;1478.0;-1631.0;-105.0;-258.0;773.0;12861.0;17.13;1011.0;;927.0;927.0;;84.0;13872.0;17.0;136.0;486.0;12.31;9.51;-131.0;8.67;212.0;6.94;3.42;3.33;315.0;;1105.0;;1105.0;2688.0;1066.0;368.0;2860.0;473.0;803.0;1276.0;231.0;281.0;301.0;4949.0;;2278.0;140.0;261.0;35.0;1206.0;2324.0;;185.0;1178.0;3687.0;;;;3.0;856.0;-237.0;1723.0;9691.0;485.0;10176.0;;1077.0;486.0;-63.0;21.0;-221.0;198.0;49.0;-153.0;1568.0;178.0;-705.0;-996.0;;;-635.0;-13.0;;-403.0;;311.0;;1105.0;1363.0;;;49.22;3.42;2.45;;2.24;7.44;315.0;7.4;0.5;;15519.0;9.5;486.0;1077.0;15.8;6.9;1568.0;2324.0;2345.0;19.9;14.7;45.9;100.0;52.1
2013.0;16463.0;2896.0;2151.0;1684.0;1523.0;1212.0;312.0;5752.0;11047.0;3894.0;7613.0;2911.0;1750.0;-655.0;-822.0;284.0;1068.0;13567.0;17.59;1067.0;;963.0;963.0;;104.0;14634.0;14.0;143.0;540.0;13.07;10.23;-161.0;9.25;256.0;7.36;3.96;3.89;306.0;;1389.0;;1389.0;2941.0;1093.0;329.0;3216.0;496.0;723.0;1219.0;234.0;283.0;343.0;5295.0;;2595.0;61.0;280.0;38.0;1200.0;2351.0;;151.0;1217.0;3719.0;;;;3.0;1446.0;-237.0;1699.0;10524.0;523.0;11047.0;;1212.0;540.0;-50.0;47.0;290.0;-237.0;-27.0;254.0;1858.0;-289.0;-682.0;-10.0;;;-645.0;-1433.0;;-457.0;-211.0;1279.0;11.0;1389.0;1105.0;;;53.73;3.96;3.49;0.69;2.23;9.5;306.0;10.6;0.6;1.6;16463.0;10.2;540.0;1212.0;16.8;7.4;1858.0;2351.0;2911.0;20.2;15.3;41.6;82.6;62.5
2014.0;17023.0;3173.0;2355.0;1847.0;1705.0;1351.0;302.0;5224.0;10746.0;3889.0;7733.0;2510.0;2135.0;-1186.0;-1398.0;-485.0;1280.0;13850.0;18.64;1182.0;;1081.0;1081.0;;101.0;15032.0;10.0;135.0;587.0;13.83;10.85;-142.0;10.02;282.0;7.94;4.63;4.48;292.0;;904.0;;904.0;2884.0;1104.0;332.0;3343.0;656.0;746.0;1402.0;228.0;249.0;300.0;5522.0;;2581.0;34.0;262.0;35.0;1239.0;2417.0;;167.0;1260.0;3844.0;;;;3.0;1548.0;-741.0;1700.0;10243.0;503.0;10746.0;;1351.0;587.0;-6.0;76.0;-523.0;48.0;9.0;-3.0;1335.0;650.0;-855.0;-350.0;;;-836.0;-690.0;;-1024.0;-301.0;617.0;-36.0;904.0;1389.0;;;58.37;4.63;4.39;1.03;2.93;8.61;292.0;12.1;0.7;1.8;17023.0;10.9;587.0;1351.0;16.5;7.9;1335.0;2417.0;2510.0;23.2;17.3;53.8;77.7;103.5
2015.0;15165.0;3010.0;2380.0;1723.0;1508.0;1450.0;287.0;5121.0;11973.0;3927.0;9240.0;2250.0;1703.0;-1699.0;-284.0;-325.0;999.0;12155.0;19.85;1110.0;;1017.0;1017.0;;93.0;13265.0;5.0;127.0;540.0;15.69;11.36;-215.0;9.94;263.0;9.56;5.21;5.06;278.0;;535.0;;535.0;3017.0;1181.0;388.0;3377.0;1539.0;1383.0;2922.0;117.0;238.0;198.0;6852.0;;2541.0;52.0;222.0;36.0;1298.0;3956.0;;252.0;1105.0;5313.0;;;;3.0;1627.0;-1033.0;1653.0;11490.0;483.0;11973.0;;1450.0;540.0;-21.0;74.0;-141.0;-207.0;-38.0;194.0;1194.0;-199.0;-704.0;-913.0;-23.0;;-763.0;-760.0;;-1159.0;-286.0;1921.0;-45.0;579.0;904.0;;;54.51;5.21;3.59;1.03;2.53;8.09;278.0;12.8;0.6;1.5;15165.0;11.4;540.0;1450.0;17.4;9.6;1194.0;3956.0;2250.0;20.1;16.0;64.4;80.3;144.6
2016.0;16661.0;3554.0;2359.0;1947.0;1425.0;1257.0;274.0;5419.0;12292.0;4148.0;9529.0;2401.0;1941.0;-578.0;-1081.0;259.0;1113.0;13107.0;21.33;1279.0;;1145.0;1145.0;;134.0;14386.0;1.0;156.0;704.0;14.16;11.69;-522.0;8.55;242.0;7.54;4.66;4.59;270.0;;838.0;;838.0;3199.0;1232.0;150.0;3515.0;1508.0;1240.0;2748.0;127.0;283.0;200.0;6873.0;;2563.0;12.0;188.0;30.0;1543.0;3959.0;;158.0;1264.0;5381.0;;;;3.0;1980.0;-1215.0;1633.0;11930.0;362.0;12292.0;;1257.0;704.0;-125.0;68.0;77.0;-199.0;-53.0;31.0;1271.0;-40.0;-828.0;230.0;-4.0;;-804.0;-896.0;;-634.0;-317.0;766.0;-23.0;838.0;579.0;;;61.76;4.66;4.13;1.17;3.07;8.9;270.0;12.2;0.6;2.1;16661.0;11.7;704.0;1257.0;17.0;7.5;1271.0;3959.0;2401.0;17.7;13.9;52.4;74.8;85.4
2017.0;12884.0;2614.0;2264.0;1416.0;1255.0;1355.0;268.0;5641.0;12169.0;3540.0;8652.0;3299.0;1468.0;-1252.0;456.0;758.0;770.0;10270.0;20.29;1069.0;;952.0;952.0;;117.0;11339.0;7.0;140.0;546.0;17.57;10.99;-161.0;9.74;223.0;10.52;5.1;5.06;266.0;;1596.0;;1596.0;2785.0;1083.0;177.0;2804.0;1944.0;1219.0;3163.0;147.0;185.0;229.0;6528.0;;2227.0;17.0;233.0;28.0;1268.0;4132.0;;222.0;758.0;5112.0;;;;3.0;2118.0;-471.0;1649.0;11951.0;218.0;12169.0;;1355.0;546.0;-26.0;62.0;830.0;-287.0;-224.0;268.0;2101.0;-1299.0;-698.0;-324.0;-78.0;;-850.0;-17.0;;-383.0;-310.0;1166.0;86.0;1596.0;838.0;;;48.47;5.1;2.9;1.17;2.63;12.41;266.0;14.5;0.6;1.6;12884.0;11.0;546.0;1355.0;17.8;10.5;2101.0;4132.0;3299.0;16.8;14.4;41.1;77.1;90.0
2018.0;14435.0;2729.0;2134.0;1473.0;1334.0;1067.0;265.0;4777.0;12480.0;3694.0;8810.0;3459.0;1628.0;-2048.0;-555.0;-1029.0;782.0;11706.0;18.91;1147.0;;;;;1147.0;12853.0;21.0;141.0;676.0;14.78;10.2;-139.0;9.24;250.0;7.39;4.04;4.02;264.0;;567.0;;567.0;2795.0;1277.0;138.0;3179.0;2524.0;1380.0;3904.0;171.0;143.0;306.0;7703.0;;2334.0;306.0;187.0;36.0;1018.0;4038.0;;233.0;845.0;5116.0;;;;3.0;2511.0;-694.0;1639.0;12269.0;211.0;12480.0;;1067.0;676.0;-14.0;58.0;-1018.0;55.0;-120.0;62.0;1083.0;859.0;-846.0;-1197.0;-18.0;;-833.0;;;-499.0;-233.0;177.0;-54.0;568.0;1597.0;;;54.59;4.04;2.96;0.88;3.2;13.08;264.0;21.5;0.9;1.0;14435.0;10.2;676.0;1067.0;18.7;7.4;1083.0;4038.0;3459.0;13.8;11.9;30.8;78.2;93.6
