;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1987.0;220.0;44.0;37.0;;27.0;19.0;1.0;73.0;258.0;24.0;87.0;171.0;;;;;;176.0;20.19;21.0;;11.0;11.0;;10.0;197.0;;;10.0;16.92;;4.0;12.19;8.0;8.41;6.65;5.75;1.0;;37.0;;37.0;27.0;7.0;2.0;114.0;;;;;;71.0;185.0;;;0.0;;;24.0;1.0;;39.0;23.0;63.0;;;;;24.0;-72.0;219.0;258.0;;258.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;254.0;63.0;54.0;;42.0;31.0;3.0;67.0;254.0;26.0;155.0;99.0;;;;;;191.0;24.9;24.0;;12.0;12.0;;13.0;215.0;;;13.0;21.36;;3.0;16.43;11.0;12.21;10.5;9.05;3.0;;18.0;;18.0;35.0;10.0;3.0;118.0;;;;;;69.0;187.0;;;0.0;;;26.0;0.0;;44.0;85.0;129.0;;;;;56.0;-75.0;117.0;254.0;;254.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;316.0;74.0;54.0;;31.0;24.0;2.0;59.0;321.0;34.0;140.0;181.0;57.0;-61.0;-2.0;-2.0;36.0;243.0;23.29;42.0;;18.0;18.0;;24.0;284.0;;;24.0;17.1;;-2.0;9.64;6.0;7.65;7.35;6.8;2.0;;1.0;;1.0;37.0;10.0;12.0;140.0;;;;;;122.0;262.0;;16.0;1.0;;;17.0;25.0;;56.0;25.0;106.0;;;;;75.0;-90.0;197.0;321.0;;321.0;;24.0;24.0;-2.0;;5.0;;2.0;;23.0;5.0;-21.0;;;;-40.0;;;;-5.0;2.0;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;407.0;91.0;61.0;;31.0;26.0;3.0;75.0;479.0;52.0;278.0;201.0;59.0;-176.0;117.0;117.0;20.0;316.0;22.34;50.0;;21.0;21.0;;29.0;367.0;;;29.0;14.85;;-10.0;7.63;5.0;6.48;8.0;7.45;3.0;;1.0;;1.0;42.0;24.0;8.0;288.0;;;;;;115.0;404.0;;28.0;1.0;;;23.0;148.0;;52.0;25.0;226.0;;;;;94.0;-109.0;216.0;479.0;;479.0;;26.0;29.0;-3.0;;-0.0;;-14.0;;23.0;7.0;-39.0;;;10.0;-147.0;;0.0;;-7.0;123.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;444.0;117.0;85.0;;47.0;39.0;3.0;81.0;547.0;58.0;314.0;233.0;88.0;-106.0;25.0;25.0;-15.0;327.0;26.33;61.0;;23.0;23.0;;37.0;388.0;;;37.0;19.03;;-9.0;10.65;9.0;8.69;12.0;11.1;3.0;;8.0;;8.0;49.0;20.0;4.0;357.0;;;;;;109.0;466.0;;32.0;;;;27.0;181.0;;46.0;28.0;255.0;;;;;124.0;-137.0;247.0;547.0;;547.0;;39.0;37.0;-8.0;;15.0;;4.0;;38.0;6.0;-103.0;;;;-3.0;;;;-7.0;32.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;580.0;157.0;104.0;;37.0;36.0;3.0;211.0;993.0;174.0;671.0;322.0;79.0;-331.0;281.0;281.0;-18.0;423.0;27.07;99.0;;32.0;32.0;;67.0;522.0;;;67.0;18.01;;-21.0;6.45;2.0;6.16;10.05;9.4;3.0;;38.0;;38.0;75.0;25.0;74.0;637.0;;;;;;145.0;782.0;;35.0;105.0;;;34.0;318.0;;122.0;57.0;497.0;;;;;151.0;-170.0;342.0;993.0;;993.0;;36.0;67.0;-11.0;;-35.0;;5.0;;2.0;22.0;-97.0;;;;-234.0;;48.0;;-8.0;241.0;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;498.0;112.0;33.0;;-19.0;27.0;3.0;95.0;836.0;93.0;493.0;343.0;74.0;36.0;-147.0;-147.0;54.0;386.0;22.52;107.0;;36.0;36.0;;71.0;493.0;;;71.0;6.68;;-24.0;-3.83;-65.0;5.34;-9.3;-9.3;3.0;;1.0;;1.0;50.0;22.0;22.0;611.0;;;;;;130.0;741.0;;27.0;37.0;;;28.0;244.0;;43.0;113.0;400.0;;;;;168.0;-218.0;393.0;836.0;;836.0;;27.0;71.0;-69.0;;10.0;;2.0;;12.0;36.0;-21.0;;;;56.0;;3.0;;-8.0;-141.0;;;38.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;610.0;160.0;105.0;;33.0;32.0;4.0;126.0;838.0;114.0;470.0;369.0;104.0;-59.0;-45.0;-45.0;61.0;450.0;26.26;106.0;;34.0;34.0;;72.0;556.0;;;72.0;17.14;;-22.0;5.38;1.0;5.28;8.4;8.4;4.0;;1.0;;1.0;72.0;30.0;23.0;593.0;;;;;;119.0;713.0;;36.0;44.0;;;34.0;200.0;;32.0;124.0;356.0;;;;;192.0;-265.0;441.0;838.0;;838.0;;32.0;72.0;-11.0;;13.0;;-8.0;;25.0;-1.0;-43.0;;;;-16.0;;2.0;;-8.0;-38.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;636.0;166.0;118.0;;47.0;41.0;3.0;135.0;835.0;110.0;438.0;398.0;122.0;-77.0;-44.0;-44.0;64.0;470.0;26.15;99.0;;28.0;28.0;;71.0;569.0;;;71.0;18.51;;-21.0;7.36;5.0;6.51;-2.65;-2.65;3.0;;2.0;;2.0;83.0;26.0;24.0;586.0;;;;;;115.0;701.0;;31.0;42.0;;;37.0;173.0;;25.0;129.0;328.0;;;;;225.0;-320.0;493.0;835.0;;835.0;;41.0;71.0;-8.0;;-8.0;;4.0;;17.0;25.0;-58.0;;;;-19.0;;0.0;-4.0;-9.0;-32.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;577.0;129.0;85.0;;14.0;17.0;3.0;127.0;805.0;110.0;401.0;404.0;118.0;-70.0;-49.0;-49.0;65.0;448.0;22.31;97.0;;27.0;27.0;;70.0;546.0;;;70.0;14.64;;-17.0;2.48;-2.0;2.86;7.9;7.9;3.0;;1.0;;1.0;63.0;41.0;22.0;575.0;;;;;;103.0;678.0;;38.0;41.0;;;31.0;135.0;;18.0;138.0;291.0;;;;;232.0;-343.0;515.0;805.0;;805.0;;17.0;70.0;-6.0;;24.0;;-15.0;;41.0;14.0;-53.0;;;;-17.0;;0.0;-2.0;-9.0;-39.0;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
