;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1994.0;0.0;2.0;-7.0;-8.0;;-8.0;0.0;12.0;17.0;2.0;4.0;13.0;-7.0;-5.0;13.0;;-8.0;-1.0;425.0;10.0;7.0;2.0;2.0;;1.0;9.0;;0.0;1.0;-1725.0;-2075.0;;;;-2100.0;-97999.41;-97999.41;0.0;;2.0;;2.0;;;9.0;5.0;;;;;;0.0;5.0;;1.0;1.0;;;0.0;2.0;;;-0.0;2.0;;;;;-18.0;-1.0;32.0;17.0;;17.0;;-8.0;1.0;;;3.0;;;;13.0;-3.0;-1.0;;-13.0;;9.0;;12.0;;;2.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;0.0;2.0;-8.0;-10.0;;-10.0;0.0;15.0;20.0;2.0;4.0;16.0;-9.0;-4.0;13.0;;-10.0;-1.0;1500.0;12.0;8.0;2.0;2.0;;1.0;11.0;;0.0;1.0;-8200.0;-10400.0;1.0;;;-9900.0;-65799.61;-65799.61;0.0;;2.0;;2.0;;;12.0;5.0;;;;;;0.0;5.0;;1.0;1.0;;;0.0;2.0;;;;2.0;;;;;-28.0;-3.0;46.0;20.0;;20.0;;-10.0;1.0;;;3.0;;;;16.0;-3.0;-1.0;;-13.0;;10.0;;13.0;;;-1.0;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;2.0;4.0;-24.0;-12.0;;-26.0;0.0;20.0;25.0;4.0;6.0;20.0;-10.0;-3.0;15.0;;-12.0;-2.0;182.61;16.0;12.0;3.0;3.0;;2.0;14.0;;0.0;2.0;-1030.43;-526.09;-14.0;;;-1130.43;-7950.0;-7950.0;0.0;;4.0;;4.0;;;16.0;5.0;;;;;;1.0;6.0;;2.0;1.0;;;0.0;2.0;;;;2.0;;;;;-54.0;-5.0;78.0;25.0;;25.0;;-26.0;2.0;;;-13.0;;;;3.0;27.0;-2.0;;-24.0;20.0;1.0;;15.0;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;1.0;3.0;-13.0;-15.0;;-14.0;0.0;5.0;10.0;3.0;4.0;6.0;-13.0;11.0;-1.0;-3.0;-13.0;-2.0;277.78;17.0;13.0;3.0;3.0;;2.0;16.0;;;2.0;-1400.0;-1655.56;1.0;;;-1577.78;-3500.0;-3500.0;0.0;;1.0;;1.0;;;4.0;4.0;;;;;;1.0;5.0;;1.0;1.0;;;0.0;2.0;;;;2.0;;;;;-68.0;-6.0;80.0;10.0;;10.0;;-14.0;2.0;;;7.0;;;;9.0;-6.0;-1.0;;-1.0;12.0;;;0.0;;;-1.0;;1.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;7.0;9.0;-7.0;-9.0;;-9.0;0.0;12.0;16.0;3.0;4.0;12.0;-6.0;-6.0;13.0;;-6.0;-2.0;122.22;18.0;13.0;3.0;3.0;;2.0;16.0;;0.0;2.0;-94.44;-126.39;1.0;;;-120.83;-1650.0;-1650.0;0.0;;2.0;;2.0;;;11.0;3.0;;;;;;1.0;4.0;;2.0;1.0;;;0.0;1.0;;;;1.0;;;;;-77.0;-6.0;95.0;16.0;;16.0;;-9.0;2.0;;;-4.0;;;;5.0;6.0;-0.0;;-18.0;12.0;;;14.0;;;-1.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;7.0;8.0;-25.0;-11.0;;-27.0;0.0;9.0;14.0;5.0;7.0;7.0;-11.0;5.0;8.0;2.0;-13.0;-2.0;123.53;20.0;14.0;4.0;4.0;;2.0;18.0;;;2.0;-369.12;-163.24;-3.0;;;-392.65;-4200.0;-4200.0;0.0;;4.0;3.0;7.0;2.0;;0.0;4.0;;;;;;0.0;4.0;;2.0;1.0;;;1.0;2.0;;;;2.0;;;;98.0;-104.0;-7.0;20.0;14.0;;14.0;;-27.0;2.0;;;25.0;;;;29.0;-10.0;-2.0;;-1.0;7.0;0.0;;7.0;;-0.0;2.0;;4.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;11.0;13.0;-44.0;-15.0;;-48.0;0.0;42.0;88.0;13.0;25.0;63.0;-1.0;-2.0;37.0;35.0;-3.0;-2.0;115.56;28.0;19.0;6.0;6.0;;3.0;27.0;;0.0;3.0;-385.25;-134.2;-28.0;;;-417.93;-6450.0;-6450.0;0.0;;39.0;;39.0;3.0;;0.0;6.0;;38.0;38.0;;;2.0;46.0;;4.0;1.0;;;8.0;2.0;;;9.0;12.0;;;;201.0;-151.0;-8.0;22.0;88.0;;88.0;;-48.0;3.0;;;-12.0;;;;18.0;55.0;-3.0;0.0;;3.0;-3.0;;;;;37.0;;39.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;19.0;19.0;-18.0;-29.0;;-27.0;0.0;29.0;71.0;12.0;34.0;37.0;-24.0;-7.0;17.0;-13.0;-28.0;;100.0;47.0;32.0;6.0;6.0;;10.0;47.0;;0.0;9.0;-95.48;-151.5;-2.0;;;-143.91;-3200.0;-3200.0;0.0;;25.0;;25.0;3.0;;1.0;8.0;;32.0;32.0;;;1.0;42.0;;3.0;1.0;;5.0;2.0;16.0;;;6.0;22.0;;;;0.0;-178.0;-11.0;226.0;71.0;;71.0;;-27.0;9.0;;;-15.0;;;;3.0;10.0;-4.0;;;;-3.0;;3.0;;;14.0;;25.0;39.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;19.0;19.0;-19.0;-23.0;;-24.0;0.0;14.0;53.0;11.0;46.0;6.0;-20.0;-2.0;10.0;-13.0;-21.0;;100.0;40.0;31.0;8.0;;;0.0;40.0;;1.0;4.0;-96.86;-117.63;-2.0;;;-122.93;-2600.0;-2600.0;0.0;;13.0;;13.0;1.0;;0.0;6.0;;32.0;32.0;;;1.0;38.0;;2.0;1.0;;6.0;2.0;20.0;;;14.0;35.0;;;;1.0;-202.0;-11.0;218.0;52.0;1.0;53.0;;-24.0;4.0;;;12.0;;;;15.0;-12.0;-1.0;;;;-2.0;;4.0;;;6.0;;13.0;25.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;14.0;14.0;-11.0;-14.0;;-15.0;0.0;22.0;58.0;7.0;23.0;33.0;-11.0;-0.0;20.0;8.0;-12.0;;100.0;23.0;17.0;5.0;;;;23.0;;1.0;2.0;-79.59;-98.09;-5.0;;;-105.4;-1300.0;-1300.0;0.0;;21.0;;21.0;0.0;;0.0;3.0;;32.0;32.0;;;1.0;36.0;;1.0;1.0;;1.0;3.0;11.0;;;6.0;17.0;;;;1.0;-217.0;-13.0;263.0;57.0;1.0;58.0;;-15.0;2.0;;;16.0;;;;31.0;-15.0;-0.0;;;;;;21.0;;;-1.0;;21.0;13.0;;;;;;;;;;;;;;;;;;;;;;;;;;
