;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1985.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1986.0;10.0;3.0;-2.0;-1.0;;-2.0;3.0;6.0;8.0;4.0;5.0;3.0;;;;;;8.0;25.49;3.0;;3.0;3.0;;1.0;11.0;;;1.0;-14.71;-4.9;-1.0;;;-19.61;-0.79;-0.79;3.0;;1.0;;1.0;1.0;4.0;0.0;2.0;;;;;;;2.0;;;2.0;;;2.0;1.0;;;0.0;1.0;;;;;0.0;-4.0;7.0;8.0;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;18.0;5.0;2.0;2.0;2.0;1.0;3.0;7.0;8.0;3.0;4.0;5.0;;;;;;12.0;30.68;3.0;;3.0;3.0;;0.0;15.0;;;0.0;12.5;12.5;-0.0;11.36;1.0;6.25;0.42;0.42;3.0;;2.0;;2.0;1.0;4.0;0.0;2.0;;;;;;;2.0;;;0.0;;;3.0;0.0;;;0.0;1.0;;;;;2.0;-4.0;7.0;8.0;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;20.0;6.0;2.0;2.0;2.0;1.0;3.0;10.0;12.0;5.0;5.0;6.0;;;;;;13.0;31.98;4.0;;4.0;4.0;;0.0;18.0;;;0.0;11.68;10.15;0.0;10.66;1.0;6.6;0.51;0.51;3.0;;2.0;;2.0;3.0;5.0;0.0;2.0;;;;;;-0.0;2.0;;;;;;5.0;;;;0.0;0.0;;;;;4.0;-4.0;7.0;12.0;;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;22.0;7.0;3.0;3.0;3.0;2.0;3.0;10.0;12.0;4.0;4.0;8.0;2.0;-1.0;-0.0;;1.0;15.0;32.29;5.0;;4.0;4.0;;0.0;20.0;;;0.0;13.9;12.11;0.0;13.0;1.0;8.52;0.72;0.72;3.0;;2.0;;2.0;2.0;6.0;0.0;2.0;;;;;;;2.0;;1.0;;;;3.0;;;;0.0;0.0;;;;;5.0;-4.0;7.0;12.0;;12.0;;2.0;0.0;;;-1.0;;-0.0;;4.0;;-1.0;;;;;;0.0;-1.0;-0.0;0.0;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;19.0;6.0;2.0;2.0;2.0;1.0;3.0;9.0;11.0;6.0;6.0;5.0;3.0;-0.0;-4.0;;3.0;13.0;32.81;5.0;;5.0;5.0;;0.0;18.0;;;0.0;10.42;7.81;0.0;8.85;1.0;6.25;0.48;0.48;3.0;;1.0;;1.0;1.0;6.0;1.0;2.0;;;;;;;2.0;;1.0;;;;4.0;;;;0.0;0.0;;;;;6.0;-5.0;4.0;11.0;;11.0;;1.0;0.0;;;1.0;;0.0;;5.0;1.0;-0.0;;;;;;0.0;-4.0;-1.0;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;22.0;8.0;2.0;2.0;2.0;1.0;2.0;11.0;13.0;7.0;7.0;6.0;0.0;-1.0;-0.0;;-0.0;14.0;35.62;6.0;;6.0;6.0;;0.0;20.0;;;0.0;10.96;8.68;0.0;9.13;1.0;5.94;0.64;0.64;2.0;;1.0;;1.0;2.0;7.0;1.0;2.0;;;;;;-0.0;2.0;;2.0;;;;5.0;;;0.0;;0.0;;;;;7.0;-5.0;4.0;13.0;;13.0;;1.0;0.0;;;1.0;;-2.0;;6.0;-3.0;-1.0;;;;;;0.0;;-0.0;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;19.0;6.0;1.0;0.0;;0.0;2.0;9.0;12.0;5.0;6.0;6.0;-2.0;-1.0;2.0;;-3.0;13.0;32.47;6.0;;6.0;6.0;;0.0;19.0;;;0.0;2.58;0.52;0.0;;;0.52;0.05;0.05;2.0;;0.0;;0.0;1.0;7.0;1.0;2.0;;;;;;;2.0;;1.0;2.0;;;2.0;;;0.0;;0.0;;;;;7.0;-5.0;5.0;12.0;;12.0;;0.0;0.0;;;-3.0;;1.0;;3.0;0.0;-1.0;;;;;;0.0;;-0.0;2.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;20.0;7.0;1.0;1.0;1.0;0.0;2.0;12.0;15.0;6.0;8.0;7.0;-1.0;-1.0;2.0;;-2.0;14.0;32.51;6.0;;5.0;5.0;;1.0;20.0;;;1.0;5.42;3.45;-0.0;2.96;0.0;1.97;0.17;0.17;2.0;;0.0;;0.0;5.0;7.0;1.0;3.0;;;;;;;3.0;;2.0;2.0;;;2.0;2.0;;0.0;;2.0;;;;;7.0;-6.0;6.0;15.0;;15.0;;0.0;1.0;;;1.0;;-0.0;;4.0;-3.0;-1.0;;;;;;0.0;;;2.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;21.0;8.0;1.0;1.0;1.0;1.0;2.0;14.0;17.0;8.0;10.0;7.0;-0.0;-1.0;1.0;;-1.0;13.0;36.59;6.0;1.0;5.0;5.0;;1.0;19.0;;;1.0;6.83;5.37;-0.0;3.9;0.0;2.93;0.29;0.29;2.0;;0.0;;0.0;4.0;9.0;1.0;3.0;;;;;;;3.0;;3.0;4.0;;;2.0;2.0;;0.0;;2.0;;;;;8.0;-6.0;5.0;17.0;;17.0;;1.0;1.0;;;;;-3.0;;4.0;-2.0;-1.0;;;;0.0;;;;;1.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;20.0;5.0;-1.0;-1.0;-2.0;-1.0;2.0;12.0;15.0;7.0;9.0;6.0;;-0.0;0.0;;-0.0;15.0;25.62;6.0;1.0;5.0;5.0;;1.0;21.0;;;1.0;-5.42;-5.42;-1.0;-8.37;-1.0;-5.42;-0.49;-0.49;2.0;;0.0;;0.0;3.0;7.0;1.0;3.0;;;;;;;3.0;;2.0;4.0;;;1.0;1.0;;0.0;;1.0;;;;;7.0;-6.0;6.0;15.0;;15.0;;-1.0;1.0;;;2.0;;2.0;;6.0;-2.0;-0.0;;;;;;;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
