;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2009.0;29.0;-4.0;-10.0;-16.0;;-19.0;23.0;34.0;65.0;12.0;59.0;6.0;-13.0;-2.0;30.0;16.0;-15.0;32.0;-12.7;12.0;3.0;9.0;5.0;4.0;;44.0;0.0;3.0;6.0;-34.71;-54.45;;;;-65.13;-0.94;-0.94;23.0;;28.0;;28.0;4.0;2.0;0.0;30.0;;;;;;1.0;31.0;;3.0;0.0;;1.0;8.0;0.0;;;46.0;47.0;;0.0;;0.0;-186.0;;192.0;65.0;;65.0;;-19.0;6.0;;1.0;-4.0;0.0;2.0;-1.0;-5.0;3.0;-2.0;;;;-2.0;-0.0;;;;31.0;;28.0;12.0;;;1.24;-0.81;-0.64;;0.07;;23.0;;;;29.0;-54.5;6.0;-19.0;;-65.1;;;;;;;100.0;
2010.0;43.0;6.0;-3.0;-7.0;;-10.0;23.0;44.0;89.0;19.0;147.0;-58.0;-15.0;-16.0;30.0;-1.0;-26.0;38.0;13.17;13.0;3.0;10.0;6.0;5.0;;51.0;0.0;3.0;5.0;-6.23;-17.35;;;;-22.94;-2.91;-2.91;23.0;;27.0;4.0;31.0;10.0;2.0;1.0;43.0;;;;;;2.0;45.0;;6.0;0.0;;0.0;13.0;8.0;;;120.0;128.0;;0.0;;0.0;-196.0;0.0;138.0;89.0;;89.0;;-10.0;5.0;;0.0;26.0;-6.0;-1.0;0.0;22.0;-37.0;-11.0;;-15.0;11.0;-12.0;-0.0;0.0;;;30.0;;27.0;28.0;;;1.88;-0.43;-1.15;;0.49;0.27;23.0;;;;43.0;-17.3;5.0;-10.0;;-22.9;22.0;0.0;6.0;;-11.3;-161.1;100.0;
2011.0;46.0;-3.0;-18.0;-21.0;-33.0;-33.0;23.0;;;;;;-24.0;-32.0;40.0;-16.0;-60.0;49.0;-5.71;19.0;4.0;14.0;9.0;6.0;;67.0;;8.0;8.0;-38.6;-44.76;-12.0;-71.45;;-71.45;-2.46;-2.46;23.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-33.0;8.0;;1.0;3.0;3.0;-7.0;-1.0;25.0;-3.0;-36.0;;;4.0;-36.0;-2.0;0.0;;;43.0;;11.0;27.0;;;2.0;-1.43;-2.63;;1.58;-2.53;23.0;;;;46.0;-44.8;8.0;-33.0;;-71.5;25.0;8.0;-58.0;-36.2;-28.4;56.5;100.0;
2012.0;63.0;-8.0;-25.0;-33.0;-56.0;-56.0;23.0;22.0;95.0;21.0;130.0;-35.0;-26.0;-10.0;26.0;-10.0;-36.0;71.0;-12.56;25.0;5.0;20.0;11.0;9.0;;96.0;;22.0;10.0;-38.88;-51.96;-23.0;-88.48;;-88.48;-0.39;-0.39;23.0;;1.0;;1.0;14.0;6.0;0.0;73.0;;;;;;0.0;73.0;;9.0;1.0;;1.0;9.0;109.0;;;0.0;109.0;;0.0;86.0;;-285.0;-37.0;287.0;95.0;;95.0;;-56.0;10.0;;2.0;-24.0;-7.0;3.0;2.0;1.0;43.0;-10.0;;;;-10.0;-24.0;0.0;;;50.0;;1.0;11.0;;;2.76;-2.44;-1.57;;0.45;-1.5;23.0;;;;63.0;-52.0;10.0;-56.0;;-88.5;1.0;109.0;-35.0;-46.3;-36.0;162.5;100.0;
2013.0;86.0;11.0;-8.0;-20.0;-48.0;-48.0;23.0;28.0;90.0;32.0;152.0;-62.0;-14.0;-3.0;17.0;0.0;-17.0;75.0;12.46;28.0;5.0;23.0;13.0;9.0;;103.0;;30.0;10.0;-8.75;-23.2;-28.0;-55.3;;-55.3;-1.82;-1.82;23.0;;2.0;;2.0;19.0;7.0;1.0;62.0;;;;;;0.0;62.0;;7.0;19.0;;1.0;5.0;120.0;;;1.0;121.0;;0.0;;;-333.0;-43.0;314.0;90.0;;90.0;;-48.0;10.0;;4.0;-5.0;-5.0;-1.0;-2.0;-3.0;24.0;-3.0;;;;-3.0;-20.0;;;;38.0;;2.0;1.0;;;3.74;-2.07;-0.74;;0.14;-2.69;23.0;;;;86.0;-23.2;10.0;-48.0;;-55.3;-3.0;120.0;-62.0;-29.9;-19.5;76.8;100.0;
2014.0;102.0;17.0;-6.0;-16.0;-66.0;-66.0;12.0;73.0;145.0;20.0;21.0;124.0;7.0;-13.0;55.0;48.0;-7.0;85.0;16.68;33.0;6.0;27.0;17.0;10.0;;118.0;;50.0;10.0;-5.72;-15.67;-50.0;-64.77;;-64.77;-5.37;-5.37;12.0;;50.0;;50.0;18.0;5.0;1.0;71.0;;;;;;0.0;72.0;;14.0;0.0;;0.0;6.0;0.0;;;1.0;1.0;;0.0;;;-399.0;;;145.0;;145.0;;-66.0;10.0;;9.0;57.0;1.0;2.0;1.0;53.0;-3.0;-13.0;;;;-13.0;-24.0;75.0;;;4.0;;50.0;2.0;;;8.29;-5.37;-0.53;;1.07;10.02;12.0;-1.8;-0.1;;102.0;-15.7;10.0;-66.0;;-64.8;53.0;0.0;124.0;-12.9;-11.1;-53.6;100.0;
2015.0;123.0;25.0;4.0;-6.0;-6.0;-6.0;23.0;62.0;140.0;17.0;18.0;122.0;5.0;-22.0;-0.0;-17.0;-17.0;98.0;20.12;31.0;5.0;26.0;15.0;11.0;;129.0;;0.0;10.0;2.98;-5.09;-0.0;-5.24;;-5.24;-0.28;-0.28;23.0;;33.0;;33.0;21.0;7.0;2.0;78.0;;;;;;0.0;78.0;;11.0;0.0;;1.0;6.0;;;;0.0;0.0;;0.0;;;-406.0;-62.0;590.0;140.0;;140.0;;-6.0;10.0;;5.0;-9.0;-3.0;-2.0;2.0;44.0;5.0;-22.0;;-3.0;3.0;-22.0;-0.0;;;;-0.0;;33.0;50.0;;;5.33;-0.28;-0.72;;0.96;5.33;23.0;-25.9;-1.3;;123.0;-5.1;10.0;-6.0;;-5.2;44.0;;122.0;-5.1;-4.5;-5.2;100.0;
2016.0;118.0;23.0;-2.0;-11.0;-12.0;-12.0;23.0;50.0;135.0;18.0;19.0;116.0;-1.0;-13.0;-1.0;-15.0;-14.0;94.0;19.8;35.0;5.0;29.0;17.0;12.0;;129.0;;0.0;10.0;-1.72;-9.53;-1.0;-10.21;;-10.21;-0.52;-0.52;23.0;;18.0;;18.0;18.0;13.0;2.0;84.0;;;;;;0.0;84.0;;13.0;0.0;;1.0;4.0;;;;1.0;1.0;;0.0;;;-418.0;-72.0;605.0;135.0;;135.0;;-12.0;10.0;;5.0;-12.0;3.0;-6.0;0.0;32.0;8.0;-13.0;;;;-13.0;-0.0;;;;-1.0;;18.0;33.0;;;5.09;-0.52;-0.6;;0.57;4.99;23.0;-9.5;-0.4;;118.0;-9.5;10.0;-12.0;;-10.2;32.0;;116.0;-10.2;-8.8;-10.4;100.0;
2017.0;112.0;19.0;-8.0;-19.0;-19.0;-19.0;23.0;48.0;124.0;22.0;23.0;101.0;-5.0;-6.0;3.0;-7.0;-11.0;93.0;16.73;38.0;6.0;32.0;19.0;13.0;;131.0;;0.0;11.0;-7.51;-17.14;-0.0;-17.31;;-17.31;-0.83;-0.83;23.0;;11.0;;11.0;27.0;9.0;1.0;76.0;;;;;;0.0;76.0;;11.0;4.0;;1.0;6.0;;;;1.0;1.0;;;;;-437.0;-83.0;621.0;124.0;;124.0;;-19.0;11.0;;5.0;-6.0;-9.0;4.0;1.0;26.0;5.0;-6.0;;;;-6.0;-24.0;;;;27.0;;11.0;18.0;;;4.77;-0.83;-0.46;;0.26;4.32;23.0;-5.3;-0.2;;112.0;-17.1;11.0;-19.0;;-17.3;26.0;;101.0;-18.7;-15.5;-19.1;100.0;
2018.0;104.0;13.0;-23.0;-34.0;-34.0;-34.0;24.0;37.0;99.0;23.0;29.0;70.0;-9.0;-4.0;5.0;-7.0;-12.0;92.0;12.14;39.0;6.0;33.0;19.0;14.0;;131.0;;1.0;11.0;-22.16;-32.5;-1.0;-33.0;;-33.0;-1.45;-1.45;24.0;;3.0;;3.0;26.0;7.0;1.0;62.0;;;;;;0.0;62.0;;12.0;4.0;;3.0;4.0;;4.0;;1.0;6.0;;;;;-472.0;-93.0;635.0;99.0;;99.0;;-34.0;11.0;;4.0;-12.0;-2.0;2.0;2.0;14.0;23.0;-4.0;;;;-4.0;-56.0;;;;61.0;;3.0;11.0;;;4.4;-1.45;-0.52;;0.15;2.96;24.0;-3.0;-0.1;;104.0;-32.5;11.0;-34.0;;-33.0;14.0;;70.0;-44.7;-34.3;-49.0;100.0;
2019.0;139.0;26.0;-4.0;-14.0;-15.0;-15.0;24.0;46.0;104.0;30.0;45.0;59.0;-1.0;-2.0;3.0;0.0;-3.0;113.0;18.86;40.0;8.0;32.0;16.0;16.0;;154.0;;0.0;10.0;-2.83;-10.16;-0.0;-10.45;;-10.45;-0.6;-0.6;24.0;;4.0;;4.0;32.0;9.0;1.0;58.0;;;;;;0.0;58.0;;13.0;4.0;;6.0;8.0;;10.0;;4.0;14.0;;5.0;;;-486.0;-103.0;648.0;104.0;;104.0;;-15.0;10.0;;4.0;1.0;-7.0;-1.0;0.0;15.0;-2.0;-2.0;;;;-2.0;;;;;3.0;;4.0;3.0;;;5.78;-0.6;-0.13;;0.09;2.45;24.0;-8.6;-0.4;;139.0;-10.2;10.0;-15.0;;-10.5;15.0;;59.0;-19.4;-13.7;-24.7;100.0;
2020.0;100.0;15.0;-11.0;-22.0;-22.0;-22.0;26.0;47.0;97.0;14.0;30.0;68.0;-10.0;-3.0;26.0;13.0;-13.0;86.0;14.55;36.0;9.0;27.0;16.0;12.0;;122.0;;0.0;10.0;-11.34;-21.51;-0.0;-21.75;;-21.75;-0.83;-0.83;26.0;;16.0;;16.0;16.0;13.0;2.0;50.0;;;;;;0.0;50.0;;5.0;3.0;;2.0;4.0;2.0;10.0;;4.0;16.0;;5.0;;;-508.0;;576.0;97.0;;97.0;;-22.0;10.0;;5.0;18.0;16.0;-4.0;-7.0;33.0;-21.0;-3.0;;;;-3.0;;15.0;;;11.0;;16.0;4.0;;;3.8;-0.83;-0.51;;0.13;2.57;26.0;-11.0;-0.3;;100.0;-21.5;10.0;-22.0;;-21.7;33.0;2.0;68.0;-25.8;-22.1;-32.1;100.0;
2021.0;122.0;10.0;-27.0;-41.0;-37.0;-37.0;26.0;112.0;183.0;37.0;55.0;128.0;-19.0;-14.0;92.0;60.0;-32.0;112.0;8.17;51.0;11.0;39.0;23.0;17.0;;162.0;;0.0;9.0;-22.55;-33.38;4.0;-30.5;;-30.5;-1.41;-1.41;26.0;;77.0;;77.0;20.0;12.0;3.0;69.0;;;;;;1.0;71.0;;17.0;2.0;;6.0;11.0;13.0;5.0;;;18.0;;15.0;;;;;;183.0;;183.0;;-37.0;9.0;;5.0;42.0;-5.0;1.0;7.0;76.0;-39.0;-14.0;;;;-14.0;;75.0;;;17.0;;77.0;16.0;;;4.61;-1.41;-1.23;;0.52;4.87;26.0;-24.0;-0.8;;122.0;-33.4;9.0;-37.0;;-30.5;76.0;13.0;128.0;-25.2;-20.1;-28.9;100.0;
