;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2000.0;5.0;;38.0;;13.0;9.0;9.0;;619.0;19.0;533.0;86.0;8.0;-6.0;-0.0;3.0;8.0;;;;;6.0;6.0;;;;44.0;24.0;1.0;821.5;;;277.01;4.0;198.67;0.97;0.97;9.0;;29.0;;29.0;7.0;;;5.0;;;;;;;;619.0;;19.0;;;;16.0;;0.0;;16.0;530.0;;;16.0;44.0;;26.0;619.0;;619.0;;9.0;1.0;-0.0;;-1.0;;;;;-0.0;-1.0;;-63.0;58.0;1.0;-5.0;1.0;;-5.0;9.0;;29.0;26.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;28.0;;35.0;;15.0;11.0;9.0;;622.0;1.0;529.0;94.0;12.0;12.0;-10.0;14.0;10.0;;;;;7.0;7.0;;;;41.0;19.0;1.0;125.23;;;54.88;5.0;38.12;1.13;1.13;9.0;;43.0;;43.0;6.0;;;7.0;;;;;;;;622.0;;1.0;;;;;;;;;528.0;;;16.0;49.0;;28.0;622.0;;622.0;;11.0;1.0;-0.0;;;;;;;1.0;-3.0;;-76.0;71.0;18.0;;;;-5.0;-5.0;;42.0;29.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;30.0;;28.0;;16.0;11.0;9.0;;677.0;;576.0;102.0;11.0;-41.0;39.0;9.0;9.0;;;;;8.0;8.0;;;;36.0;12.0;1.0;95.79;;;53.05;4.0;38.13;1.21;1.21;9.0;;53.0;;53.0;6.0;;;9.0;;;;245.0;;;;677.0;;;;;;;;;;;576.0;;;16.0;54.0;8.0;24.0;677.0;;677.0;;11.0;1.0;-0.0;;;;;;;-1.0;-3.0;;-89.0;61.0;-13.0;;;;-7.0;46.0;;52.0;42.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;31.0;;28.0;;16.0;12.0;9.0;;753.0;;645.0;107.0;15.0;-96.0;62.0;-20.0;14.0;;;;;9.0;9.0;;;;35.0;10.0;2.0;88.75;;;50.76;4.0;37.01;1.24;1.24;9.0;;38.0;;38.0;6.0;;;8.0;;;;323.0;;;;753.0;;;;;;;;;;;645.0;;;16.0;58.0;9.0;24.0;753.0;;753.0;;12.0;2.0;-0.0;;;;;;;2.0;-1.0;;-194.0;130.0;-33.0;;;;-7.0;69.0;;32.0;52.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;32.0;;29.0;;17.0;12.0;9.0;;840.0;;729.0;111.0;13.0;-104.0;77.0;-13.0;12.0;;;;;9.0;9.0;;;;37.0;11.0;2.0;89.97;;;51.92;4.0;38.65;1.32;1.32;9.0;;28.0;;28.0;6.0;;;9.0;;;;363.0;;;;840.0;;;;;;;;;;;729.0;;;16.0;63.0;7.0;24.0;840.0;;840.0;;12.0;2.0;-0.0;;;;;;;-1.0;-1.0;;-163.0;121.0;-61.0;;;;-7.0;85.0;;19.0;32.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;31.0;;33.0;;15.0;12.0;9.0;;819.0;3.0;710.0;109.0;9.0;15.0;-25.0;-1.0;6.0;;;;;9.0;9.0;;;;41.0;16.0;1.0;105.76;;;49.84;4.0;37.46;1.23;1.23;9.0;;24.0;;24.0;7.0;;;11.0;;;;334.0;;;;819.0;;3.0;;;;;;;;;707.0;;;19.0;65.0;3.0;22.0;819.0;;819.0;;12.0;1.0;-0.0;;;;;;;-3.0;-3.0;;-59.0;102.0;-29.0;;;;-9.0;-16.0;;18.0;19.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;30.0;;37.0;;14.0;11.0;9.0;;839.0;1.0;726.0;113.0;11.0;-16.0;3.0;-2.0;8.0;;;;;9.0;9.0;;;;44.0;21.0;1.0;123.9;;;48.35;3.0;36.89;1.16;1.16;9.0;;18.0;;18.0;8.0;;;13.0;;;;355.0;;;;839.0;;1.0;;;;2.0;;;;2.0;726.0;;;19.0;66.0;6.0;22.0;839.0;;839.0;;11.0;1.0;0.0;;;;;;;-1.0;-3.0;;-82.0;53.0;13.0;;;;-10.0;13.0;;17.0;18.0;;;3.14;1.16;0.9;1.03;0.27;11.97;9.0;19.6;1.1;4.5;30.0;;1.0;11.0;23.7;36.9;-1.0;2.0;113.0;3.2;4.2;9.7;11.3;114.2
2007.0;31.0;;39.0;;15.0;11.0;9.0;;862.0;1.0;752.0;110.0;11.0;-18.0;16.0;10.0;9.0;;;;;10.0;10.0;;;;48.0;24.0;1.0;124.64;;;46.59;4.0;35.25;1.17;1.17;9.0;;27.0;;27.0;8.0;;;13.0;;;;340.0;;;;862.0;;1.0;;;;24.0;;;;24.0;775.0;;;19.0;67.0;2.0;23.0;862.0;;862.0;;11.0;1.0;0.0;;;;;;;-1.0;-2.0;;-89.0;107.0;-35.0;;;;-10.0;26.0;;26.0;17.0;;;3.32;1.17;0.94;1.07;0.2;11.69;9.0;17.9;1.0;5.1;31.0;;1.0;11.0;24.3;35.2;-1.0;24.0;110.0;3.3;4.4;10.0;8.4;114.0
2008.0;38.0;;25.0;;7.0;6.0;9.0;;858.0;1.0;754.0;104.0;13.0;-7.0;-7.0;-1.0;13.0;;;;;11.0;11.0;;;;46.0;16.0;1.0;64.23;;;18.86;1.0;16.65;0.67;0.67;9.0;;35.0;;35.0;7.0;;;13.0;;;;313.0;;;;858.0;;1.0;;;;44.0;;;;44.0;797.0;;;19.0;62.0;-0.0;23.0;858.0;;858.0;;6.0;1.0;-4.0;;;;;;;9.0;-0.0;;-152.0;156.0;-11.0;-2.0;;;-10.0;5.0;;25.0;26.0;;;4.05;0.67;1.33;1.11;0.02;11.01;9.0;32.9;1.5;5.0;38.0;;1.0;6.0;11.7;16.6;-1.0;44.0;104.0;2.4;2.7;6.1;-64.8;83.3
2009.0;36.0;;22.0;;11.0;9.0;9.0;;916.0;0.0;803.0;112.0;11.0;-63.0;46.0;-6.0;11.0;;;;;19.0;19.0;;0.0;;39.0;10.0;1.0;62.89;;;31.72;2.0;25.28;0.95;0.95;9.0;;44.0;;44.0;6.0;;;12.0;;;;419.0;;;;916.0;;0.0;;;;37.0;;;;37.0;840.0;;;19.0;68.0;3.0;23.0;916.0;;916.0;;9.0;1.0;0.0;;;;;;;1.0;-0.0;;-252.0;152.0;37.0;-10.0;;;-5.0;62.0;;19.0;25.0;;;3.76;0.95;1.18;0.58;0.02;11.85;9.0;23.1;0.3;2.6;36.0;;1.0;9.0;20.3;25.3;-0.0;37.0;112.0;1.9;2.4;8.0;39.2;48.9
