;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (CAD/USD)
2011.0;;;;;;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;0.0;0.0;;;;;;;;;0.0;0.0;;;;;;0.0;;;;;;;;;0.0;-0.0;;;0.0;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012.0;;;-0.0;-0.0;-0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0;;0.0;0.0;-0.0;;;0.0;;0.0;0.0;;;0.0;;;;-inf;-inf;;-inf;;-inf;-1.7;-1.7;0.0;;0.0;;0.0;0.0;;;;;;;;;;;;0.0;;;;;;;;;;;;;0.0;-0.0;;;0.0;;0.0;;-0.0;;;0.0;0.0;;;;;;;;;;;;0.0;;;-0.0;;0.0;0.0;;1.01;;-1.7;-0.27;;;6.9;0.0;;;;;-inf;;-0.0;;-inf;0.0;;0.0;-24.6;-21.8;-24.6;100.0;;1.007
2013.0;;;-0.0;-0.0;-0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0;;;-0.0;-0.0;;;0.0;;0.0;0.0;;;0.0;;;;-inf;-inf;-0.0;-inf;;-inf;-1.2;-1.2;0.0;;0.0;;0.0;0.0;;;;;;;;;;;;;;;;0.0;;;;;;;;;0.0;-0.0;;0.0;0.0;;0.0;;-0.0;;;;-0.0;;;;;;;;;;;;;;;;;0.0;0.0;;0.94;;-1.26;-1.62;;;1.85;0.0;;;;;-inf;;-0.0;;-inf;0.0;;0.0;-26.1;-24.6;-68.4;100.0;;0.941
2014.0;12.0;6.0;-5.0;-5.0;-6.0;-6.0;18.0;5.0;6.0;4.0;7.0;-1.0;-4.0;-0.0;5.0;1.0;-4.0;6.0;51.23;11.0;;10.0;10.0;;0.0;16.0;0.0;1.0;0.0;-40.79;-41.44;-1.0;-48.11;0.0;-48.19;-0.31;-0.31;18.0;;1.0;;1.0;4.0;;0.0;1.0;;;;;;;1.0;;;0.0;;;3.0;4.0;;;0.0;4.0;;0.0;;5.0;-7.0;;1.0;6.0;0.0;6.0;;-6.0;0.0;;0.0;1.0;-1.0;;;;0.0;-0.0;;;;;-0.0;4.0;;;1.0;;1.0;0.0;;0.86;0.74;-0.36;-0.25;;0.0;-0.08;18.0;;;;14.0;-41.4;0.0;-7.0;-0.2;-48.2;2.0;4.0;-1.0;-206.9;-82.9;441.4;100.0;;0.86
2015.0;15.0;7.0;-2.0;-2.0;-3.0;-3.0;23.0;7.0;9.0;8.0;10.0;-1.0;-1.0;-1.0;4.0;2.0;-1.0;8.0;48.63;9.0;;9.0;9.0;;0.0;17.0;;1.0;0.0;-12.4;-13.26;-1.0;-18.41;0.0;-18.43;-0.12;-0.12;23.0;;3.0;;3.0;4.0;;0.0;1.0;;;;;;0.0;1.0;;;3.0;;;5.0;2.0;;;;2.0;;1.0;;6.0;-9.0;0.0;1.0;9.0;;9.0;;-3.0;0.0;;1.0;1.0;-1.0;;;;0.0;-1.0;;;;-0.0;-3.0;2.0;;;5.0;;3.0;1.0;;0.72;0.88;-0.16;-0.09;;0.05;-0.08;23.0;;;;21.0;-13.3;0.0;-4.0;-0.1;-18.4;-1.0;2.0;-2.0;-1147.6;-25.1;207.6;100.0;;0.722
2016.0;29.0;15.0;1.0;0.0;-1.0;-1.0;25.0;17.0;24.0;18.0;22.0;2.0;-1.0;-3.0;7.0;2.0;-2.0;15.0;50.42;14.0;2.0;11.0;4.0;7.0;1.0;29.0;;1.0;1.0;4.14;1.1;-1.0;-1.97;0.0;-1.99;-0.02;-0.02;25.0;;5.0;;5.0;12.0;;0.0;1.0;3.0;2.0;5.0;;;0.0;7.0;;;7.0;;;11.0;1.0;;;2.0;4.0;;1.0;;10.0;-10.0;-0.0;2.0;24.0;;24.0;;-1.0;1.0;;1.0;-2.0;-5.0;;;;0.0;-1.0;-2.0;;;0.0;-1.0;3.0;;;4.0;;5.0;3.0;;0.74;1.56;-0.03;-0.11;;0.06;0.11;25.0;-50.6;-2.3;;40.0;1.1;1.0;-1.0;-1.0;-2.0;-1.0;2.0;3.0;5.2;1.2;-27.7;100.0;;0.744
2017.0;46.0;23.0;-1.0;-4.0;-5.0;-5.0;32.0;17.0;33.0;20.0;21.0;11.0;-4.0;-12.0;14.0;-2.0;-5.0;23.0;49.77;27.0;6.0;19.0;6.0;13.0;2.0;51.0;;1.0;2.0;-2.79;-7.56;-2.0;-10.94;0.0;-11.22;-0.17;-0.17;32.0;;4.0;;4.0;13.0;;1.0;2.0;5.0;9.0;14.0;;;0.0;16.0;;;10.0;;;10.0;1.0;;;1.0;1.0;;2.0;;23.0;-15.0;1.0;4.0;33.0;;33.0;;-5.0;2.0;;1.0;-1.0;4.0;;;;-1.0;-2.0;-10.0;;;-0.0;-11.0;10.0;;;15.0;;4.0;6.0;;0.79;1.85;-0.21;-0.22;;0.07;0.46;32.0;-12.5;-0.5;;58.0;-7.6;3.0;-7.0;-2.6;-11.2;-4.0;1.0;14.0;-30.2;-11.5;-45.4;100.0;;0.795
2018.0;51.0;27.0;-3.0;-7.0;-9.0;-8.0;39.0;32.0;50.0;36.0;42.0;7.0;-4.0;-5.0;11.0;2.0;-7.0;25.0;51.79;30.0;5.0;21.0;6.0;15.0;4.0;55.0;;2.0;4.0;-5.77;-14.33;-2.0;-17.34;-1.0;-16.06;-0.21;-0.21;39.0;;6.0;;6.0;25.0;;1.0;3.0;6.0;8.0;14.0;;1.0;0.0;17.0;;18.0;15.0;;;2.0;4.0;;;2.0;6.0;;3.0;;25.0;-22.0;-0.0;6.0;50.0;0.0;50.0;;-8.0;4.0;;1.0;-3.0;-2.0;;;;3.0;-3.0;-2.0;;;-1.0;-11.0;3.0;;;19.0;;6.0;4.0;;0.73;1.79;-0.29;-0.23;;0.1;0.26;39.0;-3.1;-0.1;;70.0;-14.3;6.0;-11.0;7.4;-16.1;-5.0;6.0;10.0;-49.3;-14.9;-111.2;100.0;;0.733
2019.0;92.0;44.0;4.0;-2.0;-4.0;-4.0;45.0;37.0;53.0;36.0;41.0;12.0;0.0;-7.0;6.0;-0.0;-6.0;48.0;48.2;45.0;11.0;28.0;7.0;21.0;6.0;92.0;;2.0;6.0;4.33;-1.9;-2.0;-4.58;0.0;-4.71;-0.09;-0.09;45.0;;6.0;;6.0;30.0;;2.0;5.0;4.0;6.0;10.0;;1.0;0.0;16.0;;;16.0;;;20.0;5.0;;;;5.0;;5.0;;32.0;-28.0;0.0;7.0;53.0;;53.0;;-4.0;6.0;;1.0;-3.0;-3.0;;;;0.0;-7.0;;;;-1.0;-64.0;6.0;;;63.0;;6.0;6.0;;0.77;2.63;-0.12;-0.17;;0.19;0.34;45.0;-8.6;-0.4;;119.0;-1.9;8.0;-6.0;-2.8;-4.7;2.0;7.0;16.0;-13.4;-4.3;-35.9;100.0;;0.77
2020.0;82.0;42.0;12.0;5.0;4.0;3.0;50.0;44.0;57.0;23.0;32.0;25.0;15.0;-4.0;1.0;12.0;11.0;40.0;51.56;37.0;10.0;20.0;5.0;14.0;7.0;77.0;;1.0;7.0;15.01;6.66;-1.0;4.95;1.0;3.52;0.05;0.05;50.0;;18.0;;18.0;25.0;;1.0;6.0;4.0;3.0;6.0;;;;13.0;;;5.0;;;18.0;8.0;;;;8.0;;5.0;;45.0;-26.0;0.0;6.0;57.0;;57.0;;3.0;7.0;;1.0;4.0;5.0;;;1.0;0.0;-4.0;;;;-0.0;-77.0;8.0;;;69.0;;18.0;6.0;;0.79;2.11;0.07;0.28;;0.11;0.64;50.0;34.4;0.9;;105.0;6.7;9.0;4.0;28.9;3.5;27.0;11.0;32.0;11.4;9.5;11.5;100.0;-76.0;0.785
