;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2010.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011.0;;;-0.0;-0.0;-0.0;-0.0;1.0;0.0;0.0;0.0;0.0;0.0;-0.0;;0.0;0.0;-0.0;;;0.0;;;;;0.0;0.0;;;;-inf;-inf;;-inf;;-inf;-0.0;-0.0;1.0;;0.0;;0.0;;;;;;;;;;;;;;;;;0.0;;;;;;;;;0.0;-0.0;;0.0;0.0;;0.0;;-0.0;;;;0.0;;;;0.0;;;;;;;;0.0;;;0.0;;0.0;;;;;-0.0;;;;;1.0;;;;;-inf;;-0.0;;-inf;;;;;;;;
2012.0;;;-0.0;-0.0;-0.0;-0.0;1.0;0.0;0.0;0.0;0.0;-0.0;-0.0;;0.0;-0.0;-0.0;;;0.0;;;;;0.0;0.0;;;;-inf;-inf;;-inf;;-inf;-0.0;-0.0;1.0;;0.0;;0.0;;;;;;;;;;;;;;;;;0.0;;;;;;;;;0.0;-0.0;;0.0;0.0;;0.0;;-0.0;;;;-0.0;;;;-0.0;0.0;;;;;;;0.0;;;-0.0;;0.0;0.0;;;;-0.0;-0.0;;;0.0;1.0;;;;;-inf;;-0.0;;-inf;0.0;;0.0;-177.7;-142.2;-177.7;100.0;
2012.0;;;-0.0;-0.0;-0.0;-0.0;1.0;0.0;0.0;0.0;0.0;-0.0;-0.0;;0.0;-0.0;-0.0;;;0.0;;;;;0.0;0.0;;;;-inf;-inf;;-inf;;-inf;-0.0;-0.0;1.0;;0.0;;0.0;;;;;;;;;;;;;;;;;0.0;;;;;;;;;0.0;-0.0;;0.0;0.0;;0.0;;-0.0;;;;-0.0;;;;-0.0;0.0;;;;;;;0.0;;;-0.0;;0.0;0.0;;;;-0.0;-0.0;;;-0.0;1.0;;;;;-inf;;-0.0;;-inf;-0.0;;-0.0;925.0;-1233.3;925.0;100.0;
2013.0;;;-1.0;-1.0;-1.0;-1.0;1.0;0.0;1.0;0.0;0.0;0.0;-1.0;-0.0;1.0;-0.0;-1.0;;;1.0;0.0;1.0;1.0;;0.0;1.0;0.0;0.0;0.0;-inf;-inf;-0.0;-inf;;-inf;-1.46;-1.46;1.0;;0.0;;0.0;;;0.0;0.0;;0.0;0.0;;;;0.0;;0.0;0.0;;;0.0;;;;;;;;;0.0;-1.0;;2.0;1.0;;1.0;;-1.0;0.0;;;-0.0;0.0;;-0.0;-0.0;0.0;-0.0;;;;-0.0;;1.0;;;0.0;;0.0;0.0;;;;-1.46;-1.7;;0.35;0.39;1.0;;;;;-inf;0.0;-1.0;;-inf;-0.0;;0.0;-377.7;-177.1;-379.6;100.0;
2014.0;;;-1.0;-1.0;-1.0;-1.0;5.0;0.0;1.0;0.0;0.0;1.0;-0.0;-0.0;1.0;0.0;-1.0;;;1.0;0.0;1.0;1.0;;0.0;1.0;;0.0;0.0;-inf;-inf;-0.0;-inf;;-inf;-0.17;-0.17;5.0;;0.0;;0.0;;;;0.0;;1.0;1.0;;;;1.0;;0.0;0.0;;;0.0;;;;;;;;;0.0;-2.0;;3.0;1.0;;1.0;;-1.0;0.0;;;0.0;;;0.0;-0.0;0.0;-0.0;;;;0.0;-0.0;;;;1.0;;0.0;0.0;;;;-0.17;-0.15;;0.09;0.09;5.0;;;;;-inf;0.0;-1.0;;-inf;-0.0;;1.0;-148.2;-98.8;-174.6;100.0;
2015.0;1.0;;-35.0;-9.0;-37.0;-37.0;6.0;2.0;3.0;28.0;28.0;-24.0;-3.0;-0.0;3.0;0.0;-3.0;;;10.0;0.0;9.0;9.0;;0.0;10.0;;1.0;0.0;-4813.34;-1209.69;-28.0;-4987.89;;-4987.89;-6.3;-6.3;6.0;;0.0;;0.0;1.0;1.0;0.0;0.0;0.0;2.0;2.0;;;;2.0;;0.0;1.0;;;26.0;;;;;;;;;0.0;-39.0;0.0;15.0;3.0;;3.0;;-37.0;0.0;;6.0;-26.0;-0.0;-0.0;0.0;-26.0;54.0;-0.0;;;;-0.0;-0.0;;;;3.0;0.0;0.0;0.0;;;0.13;-6.26;-0.44;;0.01;-4.11;6.0;;;;1.0;-1209.7;0.0;-37.0;;-4987.9;-26.0;;-24.0;147.6;-1024.2;152.3;100.0;
2016.0;2.0;1.0;-6.0;-14.0;-10.0;-10.0;7.0;1.0;13.0;11.0;26.0;-13.0;-4.0;0.0;4.0;0.0;-4.0;0.0;74.49;15.0;0.0;15.0;14.0;0.0;-0.0;15.0;;4.0;0.0;-300.58;-703.0;4.0;-510.3;0.0;-510.45;-1.5;-1.5;7.0;;1.0;0.0;1.0;0.0;0.0;0.0;0.0;7.0;3.0;10.0;1.0;;0.0;11.0;;0.0;0.0;;0.0;10.0;5.0;;;10.0;15.0;;;;0.0;-49.0;0.0;35.0;13.0;;13.0;;-10.0;0.0;;9.0;16.0;1.0;-0.0;;-10.0;-19.0;-0.0;0.0;;;-0.0;-0.0;1.0;;;3.0;0.0;1.0;0.0;;;0.27;-1.36;-0.53;;0.01;-1.83;7.0;;;;2.0;-703.0;0.0;-10.0;-0.0;-510.5;-10.0;5.0;-13.0;-363.3;-49.6;74.3;100.0;
2017.0;2.0;2.0;-16.0;-12.0;-17.0;-17.0;11.0;5.0;17.0;2.0;4.0;13.0;-7.0;-1.0;11.0;4.0;-7.0;1.0;74.42;14.0;0.0;13.0;13.0;;0.0;14.0;;1.0;0.0;-678.96;-521.32;-5.0;-757.63;0.0;-758.88;-1.5;-1.5;11.0;;4.0;0.0;4.0;0.0;0.0;0.0;0.0;7.0;4.0;11.0;1.0;;0.0;12.0;;0.0;0.0;;0.0;1.0;2.0;;;;2.0;;0.0;;0.0;-66.0;0.0;79.0;17.0;;17.0;;-17.0;0.0;;6.0;13.0;-0.0;-0.0;;4.0;-9.0;-1.0;;;;-1.0;-0.0;9.0;;;2.0;-0.0;4.0;1.0;;;0.2;-1.55;-0.66;;0.08;1.15;11.0;;;;2.0;-521.3;0.0;-17.0;-0.2;-758.9;4.0;2.0;13.0;-104.6;-94.6;-135.1;100.0;
2018.0;4.0;3.0;-9.0;-9.0;-10.0;-10.0;14.0;6.0;18.0;2.0;4.0;15.0;-6.0;-1.0;8.0;1.0;-6.0;1.0;67.18;12.0;0.0;11.0;11.0;;0.0;13.0;;1.0;0.0;-228.41;-243.49;-1.0;-261.1;0.0;-261.89;-0.6;-0.6;14.0;;5.0;0.0;5.0;0.0;0.0;0.0;0.0;7.0;5.0;12.0;1.0;;;12.0;;0.0;0.0;;0.0;1.0;2.0;;;;2.0;;0.0;;0.0;-76.0;0.0;91.0;18.0;;18.0;;-10.0;0.0;;2.0;0.0;0.0;-0.0;;4.0;1.0;-0.0;;-1.0;;;-1.0;10.0;;;-1.0;-0.0;5.0;4.0;;;0.27;-0.7;-0.42;;0.0;1.02;14.0;;;;4.0;-243.5;0.0;-10.0;-0.3;-261.9;4.0;2.0;15.0;-56.1;-50.9;-68.7;100.0;
