;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2007.0;1527.0;362.0;134.0;-105.0;-212.0;-159.0;214.0;717.0;1951.0;321.0;1258.0;693.0;146.0;5.0;-114.0;37.0;109.0;1165.0;23.71;426.0;205.0;193.0;193.0;;28.0;1591.0;;109.0;176.0;8.78;-6.88;-107.0;-13.88;8.0;-10.41;-0.74;-0.74;214.0;;309.0;;309.0;218.0;140.0;50.0;292.0;122.0;777.0;899.0;;;43.0;1234.0;;194.0;2.0;;;125.0;903.0;;;34.0;937.0;;6.0;;;-386.0;4.0;1079.0;1951.0;;1951.0;;-159.0;176.0;;12.0;-3.0;-31.0;28.0;29.0;396.0;120.0;-37.0;;-27.0;;69.0;-108.0;;-2.0;;-4.0;;309.0;272.0;;;7.14;-0.74;0.51;;0.17;3.24;214.0;;;;1527.0;-6.9;176.0;-159.0;-3.8;-10.4;396.0;903.0;693.0;-2.7;-2.2;-22.9;100.0;
2008.0;1699.0;655.0;331.0;160.0;60.0;83.0;219.0;619.0;1871.0;328.0;1091.0;780.0;208.0;-94.0;-210.0;-96.0;137.0;1044.0;38.55;489.0;265.0;196.0;196.0;;28.0;1533.0;;86.0;159.0;19.48;9.42;-100.0;3.53;3.0;4.89;0.39;0.38;214.0;;213.0;;213.0;184.0;188.0;34.0;299.0;169.0;721.0;890.0;;;63.0;1252.0;;174.0;2.0;;;152.0;703.0;;;60.0;763.0;;7.0;;;-312.0;8.0;1084.0;1871.0;;1871.0;;83.0;159.0;;15.0;-105.0;38.0;-45.0;-29.0;291.0;56.0;-71.0;;-78.0;;49.0;-202.0;;-5.0;;-3.0;;213.0;309.0;;;7.94;0.39;0.64;;0.33;3.64;214.0;;;;1699.0;9.4;159.0;83.0;5.0;4.9;291.0;703.0;780.0;10.6;9.2;10.6;100.0;3.6
2009.0;1484.0;560.0;201.0;48.0;-36.0;-44.0;219.0;864.0;1970.0;633.0;930.0;1040.0;139.0;-63.0;183.0;259.0;81.0;924.0;37.74;489.0;245.0;169.0;169.0;;75.0;1413.0;;77.0;160.0;13.54;3.23;-84.0;-2.43;8.0;-2.96;-0.2;-0.2;219.0;;472.0;;472.0;186.0;162.0;44.0;264.0;171.0;647.0;818.0;;;24.0;1106.0;;154.0;366.0;;;113.0;230.0;;;67.0;297.0;;5.0;;;-356.0;3.0;1393.0;1970.0;;1970.0;;-44.0;160.0;;12.0;-60.0;;27.0;-16.0;231.0;71.0;-58.0;;-7.0;;1.0;-115.0;304.0;-6.0;;;;472.0;213.0;;;6.78;-0.2;0.37;;0.26;4.75;219.0;-82.5;-1.2;;1484.0;3.2;160.0;-44.0;-22.2;-3.0;231.0;230.0;1040.0;3.7;2.1;-4.2;100.0;
2010.0;2093.0;966.0;599.0;466.0;406.0;415.0;246.0;1087.0;2157.0;565.0;652.0;1505.0;510.0;-86.0;-335.0;89.0;431.0;1127.0;46.15;497.0;280.0;196.0;196.0;;21.0;1624.0;;34.0;159.0;28.62;22.26;-60.0;19.4;-9.0;19.83;1.74;1.69;238.0;;561.0;;561.0;285.0;189.0;52.0;281.0;172.0;573.0;745.0;;;44.0;1070.0;;198.0;232.0;;;135.0;;;;87.0;87.0;;6.0;;;59.0;-4.0;1450.0;2157.0;;2157.0;;415.0;159.0;;25.0;291.0;-96.0;-26.0;23.0;522.0;-380.0;-79.0;;-9.0;;2.0;-366.0;28.0;;;3.0;;561.0;472.0;;;8.79;1.74;1.81;;0.33;6.32;238.0;12.3;0.6;;2093.0;22.3;159.0;415.0;-2.2;19.8;522.0;;1505.0;28.3;20.4;27.6;100.0;-6.5
2011.0;2336.0;1147.0;722.0;584.0;561.0;552.0;252.0;1393.0;2446.0;350.0;440.0;2006.0;726.0;-122.0;-336.0;268.0;614.0;1189.0;49.1;559.0;317.0;220.0;220.0;;22.0;1748.0;1.0;4.0;157.0;30.91;25.0;-23.0;24.02;9.0;23.63;2.25;2.19;245.0;;829.0;;829.0;328.0;194.0;42.0;316.0;177.0;499.0;676.0;;;61.0;1053.0;;221.0;2.0;10.0;10.0;117.0;;;;90.0;90.0;;6.0;;;525.0;2.0;1479.0;2446.0;;2446.0;;552.0;157.0;;38.0;521.0;-42.0;-5.0;25.0;1043.0;-542.0;-112.0;;-9.0;;-1.0;-233.0;70.0;-93.0;-86.0;6.0;;829.0;561.0;;;9.53;2.25;2.51;0.35;0.46;8.19;245.0;14.3;0.9;1.1;2336.0;25.0;157.0;552.0;1.6;23.6;1043.0;;2006.0;26.5;23.1;27.5;84.4;17.8
2012.0;2364.0;1142.0;741.0;582.0;585.0;563.0;250.0;1691.0;2862.0;346.0;443.0;2419.0;693.0;-244.0;-194.0;255.0;452.0;1222.0;48.31;555.0;335.0;199.0;199.0;;21.0;1777.0;;1.0;155.0;31.35;24.62;3.0;24.75;22.0;23.82;2.3;2.25;245.0;;1084.0;;1084.0;341.0;194.0;72.0;503.0;180.0;422.0;602.0;;;66.0;1171.0;;248.0;1.0;16.0;8.0;89.0;;;;97.0;97.0;;3.0;;;951.0;-11.0;1479.0;2862.0;;2862.0;;563.0;155.0;13.0;53.0;302.0;-13.0;;-2.0;1345.0;-393.0;-241.0;;-4.0;;1.0;-2.0;44.0;-110.0;-137.0;11.0;;1084.0;829.0;;;9.65;2.3;1.84;0.56;0.98;9.87;245.0;14.9;1.0;1.6;2364.0;24.6;155.0;563.0;3.8;23.8;1345.0;;2419.0;22.4;20.5;23.3;75.7;44.9
2013.0;2520.0;1198.0;756.0;552.0;568.0;552.0;252.0;1818.0;3415.0;423.0;529.0;2886.0;722.0;-652.0;-169.0;-99.0;486.0;1322.0;47.54;644.0;398.0;222.0;222.0;;24.0;1966.0;4.0;1.0;187.0;30.0;21.9;16.0;22.54;16.0;21.9;2.23;2.19;247.0;;985.0;14.0;999.0;437.0;285.0;97.0;661.0;391.0;492.0;883.0;;;53.0;1597.0;;278.0;1.0;15.0;11.0;133.0;;;;106.0;106.0;;2.0;;1587.0;1305.0;-6.0;;3415.0;;3415.0;;552.0;187.0;25.0;77.0;50.0;-26.0;-55.0;22.0;1395.0;-169.0;-236.0;-414.0;-15.0;13.0;;-2.0;101.0;-95.0;-198.0;25.0;;985.0;1084.0;;;10.2;2.23;1.97;0.8;0.96;11.68;247.0;17.3;1.0;2.1;2520.0;21.9;187.0;552.0;2.8;21.9;1395.0;;2886.0;18.5;16.7;19.1;64.1;39.5
2014.0;4269.0;1877.0;1031.0;438.0;342.0;263.0;267.0;3835.0;10491.0;1016.0;7248.0;3243.0;1175.0;-5885.0;5329.0;619.0;766.0;2392.0;43.97;1299.0;695.0;407.0;407.0;;197.0;3691.0;6.0;110.0;625.0;24.15;10.26;-96.0;8.01;33.0;6.16;1.05;0.99;251.0;;1604.0;;1604.0;782.0;519.0;930.0;1158.0;1596.0;3617.0;5213.0;;;285.0;6656.0;;515.0;46.0;57.0;;455.0;5463.0;;;769.0;6232.0;;;;2009.0;1284.0;-50.0;;10491.0;;10491.0;;263.0;625.0;-50.0;163.0;1424.0;-70.0;193.0;13.0;2819.0;-1250.0;-409.0;-5511.0;;35.0;;-13.0;124.0;-12.0;-284.0;5514.0;;1604.0;985.0;;;17.01;1.05;3.05;1.13;1.63;12.92;251.0;69.7;3.8;1.5;4269.0;10.3;625.0;263.0;9.6;6.2;2819.0;5463.0;3243.0;3.9;3.9;8.1;-8.0;22.5
2015.0;6824.0;3553.0;2593.0;1632.0;1467.0;1364.0;281.0;3775.0;10592.0;1119.0;5878.0;4714.0;2318.0;-241.0;-1859.0;218.0;1725.0;3271.0;52.07;1784.0;1049.0;486.0;486.0;;249.0;5055.0;8.0;191.0;962.0;38.0;23.92;-165.0;21.5;76.0;19.99;5.17;4.85;264.0;;1822.0;;1822.0;1019.0;524.0;410.0;1460.0;1674.0;3277.0;4951.0;;;406.0;6817.0;;617.0;46.0;79.0;;456.0;3903.0;;;856.0;4759.0;;;;2547.0;2240.0;-73.0;;10592.0;;10592.0;;1364.0;962.0;-90.0;232.0;-163.0;-187.0;62.0;29.0;2656.0;13.0;-593.0;256.0;-14.0;;110.0;-1817.0;241.0;;-408.0;125.0;;1822.0;1604.0;;;25.85;5.17;6.53;1.55;2.25;17.86;264.0;24.1;1.2;1.2;6824.0;23.9;962.0;1364.0;5.2;20.0;2656.0;3903.0;4714.0;16.3;15.4;28.9;70.1;9.7
2016.0;13240.0;5940.0;2530.0;-409.0;-1107.0;-1739.0;383.0;7125.0;49966.0;3078.0;28090.0;18892.0;3411.0;-9840.0;7704.0;1275.0;2688.0;7300.0;44.86;5353.0;2674.0;806.0;806.0;;1873.0;12653.0;10.0;585.0;3042.0;19.11;-3.09;-698.0;-8.36;642.0;-13.13;-4.75;-4.86;366.0;;3097.0;;3097.0;2181.0;1400.0;447.0;2509.0;24732.0;15068.0;39800.0;;;532.0;42841.0;;1261.0;454.0;;;1363.0;13188.0;;10287.0;1537.0;25012.0;;;;19241.0;-215.0;-134.0;;46982.0;2984.0;49966.0;;-1739.0;3042.0;365.0;679.0;1391.0;-491.0;996.0;33.0;4047.0;-327.0;-723.0;-9157.0;-58.0;104.0;-6.0;-11317.0;295.0;;-750.0;19476.0;;3097.0;1822.0;;;36.17;-4.75;7.34;2.05;1.98;51.62;366.0;-32.7;-1.5;1.3;13240.0;-3.1;3042.0;-1739.0;-58.0;-13.1;4047.0;13188.0;18892.0;-1.8;-1.1;-9.2;143.1;
