;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1998.0;3.0;2.0;-7.0;-8.0;;-8.0;0.0;;11.0;;27.0;-16.0;-5.0;-0.0;12.0;7.0;-5.0;1.0;63.59;10.0;5.0;5.0;5.0;;0.0;11.0;0.0;0.0;1.0;-222.4;-269.66;0.0;;;-274.53;-16.2;-16.2;0.0;;7.0;;7.0;;;;;;;;;;;;11.0;;;;;;;;;;;27.0;;;;;;;11.0;;11.0;;-8.0;1.0;;;-1.0;;-0.0;;;3.0;-0.0;;;;-0.0;-1.0;0.0;;;12.0;;7.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;5.0;5.0;-6.0;-8.0;;-8.0;0.0;5.0;7.0;3.0;4.0;3.0;-5.0;-1.0;2.0;-4.0;-6.0;-0.0;104.69;13.0;3.0;8.0;8.0;;2.0;13.0;;;2.0;-114.53;-159.48;-0.0;;;-160.6;-126.0;-126.0;0.0;;3.0;;3.0;1.0;1.0;0.0;1.0;;1.0;1.0;;;0.0;2.0;;1.0;1.0;;;1.0;0.0;;;0.0;1.0;;;;0.0;-29.0;-1.0;32.0;7.0;;7.0;;-8.0;2.0;;;2.0;;0.0;;2.0;-1.0;-1.0;;;;-0.0;;1.0;;;1.0;;3.0;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;9.0;16.0;-10.0;-23.0;;-20.0;1.0;113.0;119.0;5.0;6.0;113.0;-10.0;-5.0;119.0;105.0;-15.0;-7.0;176.25;38.0;7.0;20.0;20.0;;11.0;32.0;3.0;0.0;11.0;-106.58;-253.62;-0.0;;;-227.24;-40.9;-40.9;1.0;;108.0;;108.0;3.0;1.0;1.0;5.0;;0.0;0.0;;;1.0;6.0;;1.0;0.0;;;4.0;0.0;;;0.0;1.0;;;;0.0;-49.0;-2.0;164.0;119.0;;119.0;;-20.0;11.0;;;106.0;;-0.0;;108.0;-107.0;-5.0;;;;-0.0;;121.0;-0.0;;-1.0;-0.0;108.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;19.0;12.0;-18.0;-29.0;-26.0;-26.0;3.0;81.0;107.0;10.0;14.0;93.0;-15.0;-45.0;0.0;-59.0;-19.0;7.0;65.28;42.0;13.0;27.0;27.0;;2.0;48.0;4.0;0.0;7.0;-95.28;-154.5;4.0;-134.75;0.0;-135.5;-9.7;-9.7;3.0;;48.0;21.0;70.0;6.0;4.0;2.0;10.0;;7.0;7.0;;;9.0;26.0;;3.0;1.0;;2.0;5.0;;;0.0;3.0;3.0;;;;0.0;-75.0;-6.0;174.0;107.0;;107.0;;-26.0;7.0;;;-37.0;;-0.0;;71.0;41.0;-4.0;-12.0;-37.0;8.0;-0.0;;1.0;-0.0;;-1.0;0.0;48.0;108.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;39.0;27.0;-25.0;-30.0;-29.0;-29.0;3.0;63.0;88.0;15.0;19.0;68.0;-27.0;7.0;-4.0;-23.0;-32.0;13.0;67.54;57.0;21.0;35.0;35.0;;1.0;70.0;2.0;0.0;4.0;-62.69;-77.28;1.0;-73.82;0.0;-73.97;-10.8;-10.8;3.0;;25.0;15.0;40.0;14.0;7.0;3.0;13.0;;7.0;7.0;;;4.0;24.0;;6.0;1.0;;4.0;6.0;;;;4.0;4.0;;2.0;;0.0;-104.0;-3.0;175.0;88.0;0.0;88.0;;-29.0;4.0;;;-23.0;;-2.0;;48.0;21.0;-4.0;;-10.0;21.0;1.0;;1.0;-0.0;;-5.0;0.0;25.0;48.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;58.0;31.0;-28.0;-36.0;-35.0;-37.0;3.0;73.0;102.0;21.0;54.0;48.0;-21.0;-4.0;31.0;8.0;-28.0;28.0;52.3;66.0;25.0;41.0;41.0;;1.0;94.0;1.0;1.0;6.0;-48.24;-61.47;1.0;-60.54;1.0;-62.95;-13.1;-13.1;3.0;;33.0;14.0;47.0;15.0;8.0;3.0;16.0;;10.0;10.0;;;3.0;29.0;;5.0;1.0;;6.0;9.0;29.0;;;4.0;33.0;;2.0;;0.0;-141.0;2.0;186.0;102.0;0.0;102.0;;-37.0;6.0;;;4.0;;-1.0;;52.0;5.0;-6.0;;-11.0;13.0;0.0;;2.0;;;29.0;2.0;33.0;25.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;40.0;25.0;-10.0;-35.0;-37.0;-20.0;3.0;57.0;74.0;17.0;48.0;27.0;-32.0;34.0;1.0;3.0;-37.0;15.0;62.48;60.0;19.0;41.0;41.0;;;75.0;1.0;2.0;8.0;-24.7;-86.29;-2.0;-91.63;0.0;-49.38;-6.8;-6.8;3.0;;35.0;2.0;38.0;11.0;7.0;2.0;9.0;;6.0;6.0;;;2.0;17.0;;3.0;1.0;;6.0;7.0;28.0;;;2.0;30.0;;0.0;;0.0;-160.0;-0.0;187.0;74.0;;74.0;;-20.0;8.0;;;-12.0;;-5.0;;40.0;-8.0;-5.0;-0.0;;12.0;27.0;;1.0;-0.0;;-0.0;0.0;35.0;33.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;27.0;14.0;-27.0;-35.0;-36.0;-35.0;3.0;41.0;53.0;14.0;46.0;7.0;-23.0;-4.0;17.0;-10.0;-26.0;14.0;49.74;48.0;13.0;35.0;35.0;;;62.0;1.0;2.0;6.0;-99.32;-126.66;-2.0;-133.52;0.0;-130.05;-11.0;-11.0;3.0;;26.0;2.0;28.0;6.0;6.0;2.0;7.0;;2.0;2.0;;;2.0;12.0;;3.0;0.0;;4.0;6.0;32.0;;;1.0;32.0;;0.0;;0.0;-196.0;-0.0;202.0;53.0;;53.0;;-35.0;6.0;;;-13.0;;1.0;;27.0;19.0;-3.0;;;;-1.0;;15.0;;;2.0;-0.0;26.0;35.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;18.0;9.0;-15.0;-19.0;-22.0;-22.0;4.0;20.0;23.0;7.0;33.0;-10.0;-20.0;17.0;-4.0;-8.0;-21.0;9.0;48.73;28.0;11.0;23.0;23.0;;-7.0;37.0;1.0;2.0;5.0;-81.02;-103.74;-3.0;-120.31;0.0;-121.14;-6.1;-6.1;4.0;;18.0;;18.0;0.0;;2.0;2.0;;;;;;1.0;3.0;;2.0;;;0.0;5.0;26.0;;;0.0;26.0;;;;0.0;-218.0;-0.0;208.0;23.0;;23.0;;-22.0;5.0;;;-14.0;;0.0;;13.0;11.0;-1.0;15.0;;2.0;-0.0;;3.0;;;-7.0;0.0;18.0;26.0;;;5.0;-6.05;-5.77;;0.16;-2.72;4.0;-2.2;-0.1;;18.0;-103.7;5.0;-22.0;-0.7;-121.1;13.0;26.0;-10.0;-124.0;-85.4;222.9;100.0;
2007.0;0.0;0.0;-17.0;-20.0;-21.0;-21.0;0.0;18.0;24.0;9.0;36.0;-11.0;-20.0;-12.0;22.0;-10.0;-21.0;0.0;36.36;20.0;8.0;13.0;13.0;;-2.0;20.0;1.0;2.0;1.0;-39377.27;-44590.91;-1.0;-47997.73;0.0;-48368.18;-44.7;-44.7;0.0;;8.0;9.0;16.0;0.0;;1.0;2.0;;;;;;5.0;6.0;;3.0;2.0;;0.0;4.0;26.0;;;0.0;26.0;;;;0.0;-239.0;-0.0;228.0;24.0;;24.0;;-21.0;1.0;;;-4.0;;;;9.0;4.0;-1.0;2.0;-19.0;6.0;0.0;;19.0;;;3.0;-0.0;8.0;18.0;;;0.09;-44.66;-44.35;;1.81;-24.05;0.0;-0.2;-0.0;;0.0;-44590.9;1.0;-21.0;-0.8;-48368.2;9.0;26.0;-11.0;-126.3;-78.2;185.7;100.0;
