;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1995.0;58.0;50.0;12.0;7.0;9.0;5.0;13.0;46.0;76.0;19.0;34.0;42.0;4.0;-22.0;20.0;2.0;1.0;8.0;86.78;43.0;11.0;28.0;28.0;;3.0;50.0;;;3.0;20.52;12.87;2.0;15.83;4.0;9.39;0.46;0.42;12.0;;4.0;;4.0;24.0;;18.0;5.0;;;;;;25.0;30.0;;2.0;1.0;;;16.0;4.0;;4.0;7.0;15.0;;;;;4.0;-8.0;46.0;76.0;;76.0;;5.0;3.0;3.0;;-7.0;;;;28.0;0.0;-3.0;;-18.0;;-1.0;;19.0;;-1.0;1.0;0.0;4.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;104.0;83.0;-4.0;13.0;-10.0;-15.0;16.0;112.0;160.0;43.0;60.0;100.0;18.0;-75.0;62.0;62.0;11.0;21.0;79.92;70.0;20.0;44.0;44.0;;6.0;91.0;;;6.0;-3.86;12.26;-22.0;-9.27;6.0;-14.67;-0.96;-0.96;16.0;;9.0;;9.0;58.0;;45.0;18.0;;9.0;9.0;;;21.0;48.0;;6.0;0.0;;;37.0;1.0;;6.0;10.0;17.0;;;;;-11.0;-12.0;123.0;160.0;;160.0;;-15.0;6.0;-0.0;;41.0;;;;69.0;-13.0;-7.0;;-24.0;;-45.0;;71.0;;;-9.0;-0.0;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;180.0;138.0;34.0;26.0;23.0;13.0;21.0;115.0;192.0;44.0;61.0;131.0;1.0;-5.0;7.0;7.0;-17.0;42.0;76.76;112.0;31.0;70.0;70.0;;11.0;154.0;;;11.0;18.91;14.64;-4.0;12.65;10.0;7.32;0.63;0.63;21.0;;16.0;;16.0;76.0;;23.0;28.0;;13.0;13.0;;;36.0;77.0;;7.0;0.0;;;37.0;1.0;;6.0;10.0;17.0;;;;;3.0;-20.0;149.0;192.0;;192.0;;13.0;11.0;-2.0;;2.0;;;;71.0;-24.0;-18.0;;;23.0;-9.0;;8.0;;;-1.0;0.0;;13.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;253.0;190.0;43.0;37.0;29.0;15.0;25.0;238.0;343.0;65.0;178.0;165.0;18.0;-57.0;99.0;99.0;-11.0;63.0;75.26;153.0;44.0;95.0;95.0;;14.0;215.0;;;14.0;16.9;14.77;-9.0;11.32;14.0;5.78;0.63;0.59;23.0;;79.0;;79.0;114.0;;46.0;43.0;;13.0;13.0;;;49.0;105.0;;6.0;2.0;;;57.0;91.0;;6.0;16.0;113.0;;;;;15.0;-34.0;184.0;343.0;;343.0;;15.0;14.0;-3.0;;102.0;;;;173.0;-109.0;-29.0;;-18.0;;-9.0;;12.0;;;87.0;0.0;;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;220.0;147.0;-24.0;-28.0;-42.0;-26.0;25.0;228.0;322.0;76.0;179.0;143.0;-9.0;-41.0;4.0;-45.0;-18.0;73.0;66.79;175.0;48.0;109.0;109.0;;18.0;248.0;;;18.0;-10.71;-12.89;-14.0;-19.04;-16.0;-11.71;-1.04;-1.04;25.0;;34.0;64.0;97.0;116.0;;15.0;37.0;;9.0;9.0;;;49.0;95.0;;8.0;2.0;;;65.0;90.0;;;14.0;103.0;;;;3.0;-11.0;-46.0;198.0;322.0;;322.0;;-26.0;18.0;-14.0;;-21.0;;;;152.0;33.0;-9.0;;-29.0;;-3.0;;5.0;;;-1.0;-0.0;34.0;79.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;268.0;188.0;24.0;4.0;8.0;5.0;31.0;262.0;365.0;92.0;196.0;169.0;28.0;-22.0;9.0;15.0;16.0;80.0;70.15;184.0;52.0;117.0;117.0;;16.0;265.0;;;16.0;8.98;1.34;4.0;2.89;2.0;2.02;0.19;0.18;28.0;;49.0;64.0;114.0;129.0;;19.0;36.0;;9.0;9.0;;;58.0;103.0;;9.0;1.0;;;82.0;88.0;;;15.0;104.0;;;;3.0;-4.0;-56.0;226.0;365.0;;365.0;;5.0;16.0;-6.0;;17.0;;;;169.0;-5.0;-12.0;;;0.0;-11.0;;12.0;;-0.0;-2.0;0.0;49.0;34.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;311.0;200.0;-5.0;-30.0;-29.0;-20.0;30.0;236.0;407.0;109.0;206.0;201.0;-13.0;-14.0;16.0;-13.0;-34.0;110.0;64.54;213.0;69.0;144.0;144.0;;;323.0;;;24.0;-1.61;-9.52;0.0;-9.37;-9.0;-6.56;-0.68;-0.68;30.0;;37.0;31.0;68.0;147.0;;21.0;43.0;;44.0;44.0;;;83.0;171.0;;7.0;3.0;;24.0;75.0;88.0;;;9.0;97.0;;;;3.0;-24.0;-70.0;292.0;407.0;;407.0;;-20.0;24.0;-13.0;;-42.0;;;;127.0;38.0;-20.0;;;34.0;-27.0;;17.0;;;-1.0;-1.0;37.0;49.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;321.0;189.0;-49.0;-66.0;-75.0;-77.0;32.0;240.0;548.0;171.0;295.0;254.0;-8.0;-102.0;107.0;-3.0;-21.0;132.0;58.89;224.0;74.0;149.0;149.0;;-0.0;356.0;;;26.0;-15.28;-20.62;-9.0;-23.32;2.0;-24.07;-2.58;-2.58;32.0;;34.0;19.0;52.0;166.0;;22.0;51.0;;125.0;125.0;;;132.0;308.0;;17.0;16.0;;60.0;78.0;94.0;;;30.0;124.0;;;;4.0;-108.0;-83.0;440.0;548.0;;548.0;;-77.0;26.0;1.0;;-58.0;;;;69.0;101.0;-13.0;-93.0;;12.0;-8.0;;;;;107.0;0.0;34.0;37.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;323.0;202.0;-130.0;-162.0;-161.0;-161.0;38.0;194.0;378.0;152.0;338.0;40.0;22.0;7.0;-12.0;18.0;17.0;121.0;62.57;282.0;65.0;143.0;143.0;;75.0;403.0;;;31.0;-40.23;-50.07;1.0;-49.84;;-49.84;-4.42;-4.42;38.0;;52.0;;52.0;128.0;;15.0;31.0;;43.0;43.0;;14.0;97.0;185.0;;9.0;4.0;;37.0;102.0;90.0;;13.0;83.0;187.0;;;;4.0;-278.0;-1.0;315.0;378.0;;378.0;;-161.0;31.0;;;-27.0;;;;42.0;179.0;-5.0;;;19.0;-6.0;;3.0;;;-15.0;1.0;52.0;34.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;326.0;211.0;19.0;-12.0;-8.0;-29.0;48.0;207.0;351.0;191.0;320.0;31.0;40.0;-7.0;22.0;56.0;37.0;115.0;64.69;202.0;59.0;131.0;131.0;;11.0;317.0;;;27.0;5.8;-3.66;3.0;-2.6;20.0;-8.81;-0.86;-0.86;41.0;;108.0;;108.0;90.0;;10.0;19.0;;36.0;36.0;;2.0;87.0;144.0;;8.0;59.0;;48.0;77.0;2.0;;4.0;123.0;129.0;;;;4.0;-313.0;1.0;338.0;351.0;;351.0;;-29.0;27.0;6.0;;-26.0;;;;16.0;62.0;-3.0;;;;-4.0;;96.0;-30.0;-0.0;-44.0;1.0;108.0;52.0;;;;;;;;;;;;;;;;;;;;;;;;;;
