;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (CNY/USD)
2006.0;175.0;144.0;37.0;34.0;37.0;28.0;4825.0;0.0;0.0;0.0;0.0;-0.0;94.0;-102.0;-25.0;-33.0;81.0;30.0;82.58;112.0;14.0;;;;99.0;143.0;;;;21.36;19.69;3.0;21.36;9.0;16.13;0.01;0.01;4825.0;;0.0;;0.0;;;0.0;;;;;;;;;;;;;;0.0;;;;;;;;;;-0.0;;;0.0;;0.0;;28.0;;;;-4.0;;;;;70.0;-12.0;;;;-89.0;;;;-25.0;;-0.0;56.0;89.0;;0.13;0.28;0.05;0.13;0.04;0.02;-0.0;4825.0;;;;1364.0;19.7;;220.0;24.5;16.1;-0.0;;-0.0;-999718.2;70554.0;-999718.2;10.6;31.0;0.128
2007.0;296.0;258.0;157.0;110.0;157.0;132.0;4860.0;242.0;438.0;12.0;12.0;426.0;193.0;-14.0;360.0;532.0;174.0;38.0;87.05;150.0;18.0;;;;132.0;189.0;;;;53.15;37.19;47.0;53.15;25.0;44.75;0.03;0.03;4860.0;;240.0;;240.0;1.0;;1.0;;;;;196.0;;;196.0;;;;;;12.0;;;;;;;;;;41.0;;;438.0;;438.0;;132.0;;;;18.0;;;;;42.0;-19.0;;;;5.0;;386.0;;-27.0;;-7.0;592.0;60.0;;0.14;0.45;0.2;0.26;0.04;0.03;0.64;4860.0;;;;2163.0;37.2;;968.0;15.8;44.7;1680.0;;3108.0;31.1;36.0;31.1;79.8;-206.9;0.137
2008.0;440.0;383.0;219.0;175.0;208.0;177.0;5055.0;1044.0;1157.0;413.0;429.0;728.0;232.0;-455.0;-12.0;-239.0;193.0;57.0;87.09;208.0;27.0;207.0;47.0;160.0;-26.0;265.0;36.0;;11.0;49.74;39.73;33.0;47.16;31.0;40.16;0.03;0.03;5052.0;;394.0;575.0;969.0;2.0;;73.0;55.0;;;;5.0;45.0;8.0;113.0;;2.0;;23.0;;411.0;;16.0;;;16.0;;;;0.0;;728.0;;1157.0;;1157.0;;177.0;11.0;;29.0;63.0;;;;49.0;-48.0;-39.0;-1.0;;;-453.0;;;-12.0;;;-5.0;394.0;633.0;;0.15;0.59;0.24;0.26;;0.05;0.98;5052.0;;;;3001.0;39.7;77.0;1205.0;14.9;40.2;4302.0;;4968.0;23.7;17.9;24.3;100.0;6.0;0.147
2009.0;568.0;489.0;191.0;157.0;172.0;148.0;5080.0;1193.0;1385.0;600.0;650.0;729.0;328.0;-179.0;-140.0;9.0;268.0;78.0;86.21;332.0;56.0;298.0;60.0;238.0;-22.0;410.0;;;19.0;33.63;27.69;15.0;30.36;24.0;26.14;0.03;0.03;5041.0;;403.0;662.0;1065.0;6.0;;123.0;115.0;30.0;24.0;54.0;4.0;11.0;9.0;192.0;;4.0;;5.0;;597.0;;30.0;10.0;10.0;50.0;;;;0.0;;729.0;;1379.0;6.0;1385.0;;148.0;19.0;;35.0;136.0;;;;139.0;-9.0;-60.0;-61.0;-209.0;125.0;-34.0;;0.0;-10.0;-130.0;;-0.0;403.0;394.0;;0.15;0.77;0.2;0.36;0.18;0.08;0.99;5041.0;;;;3875.0;27.7;127.0;1013.0;13.9;26.1;4046.0;;4977.0;19.0;12.5;20.4;12.3;52.4;0.146
2010.0;843.0;702.0;293.0;233.0;259.0;223.0;5079.0;1675.0;1927.0;969.0;1047.0;873.0;;-417.0;8.0;51.0;;141.0;83.25;469.0;88.0;397.0;86.0;311.0;-17.0;610.0;;;34.0;34.78;27.65;26.0;30.71;36.0;26.44;0.04;0.04;5044.0;;494.0;1032.0;1526.0;14.0;;135.0;118.0;56.0;35.0;91.0;10.0;15.0;18.0;253.0;;2.0;14.0;16.0;;952.0;;51.0;20.0;8.0;78.0;;;;0.0;;873.0;;1920.0;8.0;1927.0;;223.0;34.0;;52.0;156.0;;;;146.0;-466.0;-45.0;-42.0;-1231.0;881.0;19.0;;2.0;-8.0;;14.0;-1.0;468.0;417.0;;0.15;1.1;0.29;;;0.06;1.14;5044.0;;;;5558.0;27.6;227.0;1469.0;13.9;26.4;4655.0;;5753.0;23.4;13.5;25.5;100.0;inf;0.152
2011.0;1020.0;819.0;380.0;289.0;340.0;272.0;5079.0;2104.0;2430.0;1106.0;1235.0;1179.0;347.0;-252.0;-39.0;55.0;319.0;200.0;80.36;551.0;125.0;426.0;102.0;324.0;;751.0;;;40.0;37.3;28.31;51.0;33.3;68.0;26.69;0.05;0.05;5044.0;;546.0;1306.0;1851.0;89.0;;164.0;116.0;72.0;36.0;108.0;37.0;;65.0;326.0;;3.0;204.0;75.0;631.0;268.0;;72.0;38.0;19.0;129.0;;;;0.0;;1179.0;;2414.0;16.0;2430.0;;272.0;40.0;;53.0;1.0;;;0.0;-24.0;-20.0;-27.0;1.0;-1514.0;1261.0;25.0;-44.0;9.0;-66.0;-151.0;214.0;-1.0;546.0;490.0;;0.16;1.27;0.34;0.4;0.19;0.03;1.47;5044.0;;;;6417.0;28.3;253.0;1713.0;20.0;26.7;6280.0;;7418.0;20.8;14.1;23.1;44.7;65.2;0.159
2012.0;3180.0;2139.0;954.0;796.0;878.0;671.0;2332.0;4430.0;7497.0;1866.0;2037.0;5000.0;1473.0;-20.0;75.0;1520.0;1129.0;1041.0;67.27;1290.0;460.0;837.0;351.0;486.0;-7.0;2330.0;41.0;11.0;138.0;30.0;25.04;82.0;27.63;134.0;21.11;0.3;0.29;2266.0;;2677.0;870.0;3547.0;205.0;;679.0;391.0;1816.0;326.0;2143.0;300.0;7.0;226.0;3067.0;;;204.0;118.0;879.0;784.0;;84.0;66.0;21.0;171.0;;;;0.0;1993.0;-163.0;3169.0;7037.0;460.0;7497.0;;671.0;138.0;24.0;199.0;284.0;;;;95.0;156.0;-344.0;-143.0;-81.0;931.0;-502.0;-148.0;98.0;-0.0;;126.0;-9.0;2677.0;1157.0;;0.16;8.84;1.87;3.14;;0.96;13.9;2266.0;;;;20025.0;25.0;870.0;4228.0;15.2;21.1;16148.0;;31488.0;13.4;11.6;13.4;100.0;-8.7;0.159
2013.0;5557.0;3992.0;2012.0;1731.0;1628.0;1374.0;2389.0;6949.0;10270.0;3863.0;8505.0;1678.0;2331.0;88.0;-226.0;2180.0;1928.0;1565.0;71.84;2171.0;604.0;1047.0;465.0;582.0;520.0;3736.0;6.0;253.0;151.0;36.2;31.15;-103.0;29.3;235.0;24.72;0.59;0.57;2294.0;;4894.0;470.0;5364.0;767.0;;819.0;613.0;1818.0;359.0;2177.0;289.0;8.0;232.0;3320.0;;;877.0;179.0;1436.0;1550.0;3616.0;63.0;104.0;859.0;4642.0;;;1682.0;0.0;-3299.0;-54.0;3349.0;10183.0;86.0;10270.0;;1374.0;151.0;17.0;203.0;505.0;;;;290.0;82.0;-403.0;34.0;-12.0;421.0;-122.0;-1480.0;2704.0;-8894.0;-17.0;7461.0;-12.0;4894.0;2714.0;;0.16;15.05;3.72;5.22;0.04;1.09;4.54;2294.0;;;;34517.0;31.1;935.0;8532.0;14.4;24.7;19167.0;22462.0;10423.0;25.2;18.3;81.9;98.8;322.0;0.161
2014.0;8443.0;6293.0;4882.0;4007.0;4310.0;3749.0;2332.0;10908.0;17937.0;6011.0;11392.0;6371.0;4242.0;-5306.0;1506.0;426.0;3474.0;2150.0;74.54;2238.0;819.0;1409.0;678.0;731.0;10.0;4388.0;265.0;353.0;266.0;57.82;47.46;303.0;51.05;514.0;44.41;1.65;1.61;2266.0;;5314.0;1934.0;7248.0;2556.0;;1103.0;897.0;1896.0;573.0;2470.0;3327.0;11.0;325.0;7030.0;;;1667.0;317.0;1988.0;2357.0;4938.0;69.0;343.0;30.0;5381.0;;;1654.0;0.0;190.0;265.0;4262.0;17764.0;174.0;17937.0;;3749.0;266.0;236.0;457.0;-722.0;;;;306.0;256.0;-768.0;-2759.0;-1837.0;60.0;-530.0;-11455.0;263.0;-850.0;-33.0;13581.0;-16.0;5314.0;4888.0;;0.16;23.17;10.29;9.53;0.09;2.11;17.49;2266.0;9.7;0.5;0.1;52504.0;47.5;1654.0;23315.0;11.9;44.4;30449.0;30711.0;39622.0;34.6;26.0;58.8;99.1;17.9;0.161
2015.0;12292.0;8447.0;6104.0;3732.0;5214.0;3913.0;2500.0;22922.0;41202.0;6399.0;15811.0;23459.0;6648.0;-8622.0;14113.0;12121.0;5405.0;3844.0;68.72;4635.0;1719.0;2631.0;1258.0;1373.0;284.0;8479.0;1525.0;444.0;712.0;49.66;30.36;1483.0;42.42;1035.0;31.84;1.67;1.56;2337.0;;17452.0;2872.0;20324.0;1801.0;;798.0;1474.0;6764.0;1561.0;8325.0;7821.0;25.0;634.0;18279.0;;;321.0;543.0;2662.0;3416.0;8162.0;72.0;725.0;453.0;9412.0;;;;0.0;4007.0;623.0;18829.0;39270.0;1931.0;41202.0;;3913.0;712.0;268.0;2101.0;299.0;;;;477.0;-645.0;-1243.0;-5622.0;-2086.0;151.0;-592.0;-25250.0;9973.0;-44.0;-17.0;29450.0;-18.0;17452.0;5330.0;;0.16;32.61;10.38;14.34;0.04;3.3;62.23;2337.0;7.8;0.4;0.1;76204.0;30.4;4415.0;24261.0;19.8;31.8;102437.0;50603.0;145439.0;13.1;13.7;16.7;99.6;-183.4;0.161
