;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2002.0;;;-10.0;-3.0;21.0;2.0;0.0;;62.0;;79.0;-17.0;;-0.0;;;;;;;;;;;;13.0;;;3.0;-inf;-inf;24.0;inf;-8.0;inf;764.93;764.93;0.0;;;;;;;;;;;;;;;;62.0;;;;;;56.0;;;;56.0;135.0;;;;;;;62.0;;62.0;;2.0;3.0;;;;;;;;-5.0;;;;;-0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;20.0;;7.0;5.0;-0.0;-2.0;32.0;;46.0;;66.0;-20.0;;;;;;;;15.0;;;;;15.0;15.0;0.0;5.0;4.0;36.12;23.02;-5.0;-1.31;0.0;-10.02;-0.06;-0.06;32.0;;;;;;;;;;;;;;;;46.0;;;;;;;;;;;66.0;;;;;;;46.0;;46.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;;;-0.0;-0.0;0.0;0.0;6.0;34.0;34.0;0.0;7.0;28.0;-0.0;-33.0;34.0;34.0;-0.0;;;;;;;;;0.0;;;0.0;-inf;-inf;0.0;inf;0.0;inf;0.01;0.01;6.0;;1.0;33.0;34.0;0.0;;0.0;0.0;;;;;;;0.0;;;;;;0.0;;;;6.0;6.0;;;;0.0;0.0;-0.0;28.0;34.0;;34.0;;0.0;0.0;;;34.0;;;;34.0;-35.0;-0.0;;-66.0;33.0;;;34.0;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;;;-0.0;-0.0;1.0;0.0;8.0;35.0;35.0;1.0;8.0;28.0;-0.0;-0.0;;-1.0;-0.0;;;;;;;;;0.0;1.0;;0.0;-inf;-inf;1.0;inf;0.0;inf;0.02;0.02;8.0;;0.0;34.0;35.0;0.0;;0.0;0.0;;;;;;1.0;1.0;;;;;;1.0;;;;7.0;7.0;;;;0.0;0.0;-0.0;27.0;35.0;;35.0;;0.0;0.0;;;-0.0;;;;34.0;-1.0;-0.0;;-237.0;237.0;-0.0;;;;;;;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;68.0;50.0;38.0;22.0;7.0;5.0;26.0;16.0;162.0;18.0;190.0;-28.0;30.0;-25.0;2.0;7.0;1.0;18.0;73.14;28.0;;;;;28.0;46.0;0.0;17.0;14.0;55.58;31.7;-15.0;9.58;1.0;7.42;0.21;0.2;24.0;;7.0;;7.0;7.0;;2.0;143.0;;;;;;3.0;146.0;;12.0;1.0;;;6.0;131.0;;27.0;13.0;171.0;;;;0.0;-26.0;-49.0;47.0;162.0;;162.0;;5.0;14.0;1.0;;-37.0;;;;-2.0;46.0;-29.0;-0.0;;;4.0;;;-14.0;-1.0;16.0;;7.0;0.0;;;2.79;0.21;0.03;0.02;1.19;-1.15;24.0;;;;68.0;31.7;14.0;5.0;22.5;7.4;-2.0;131.0;-28.0;12.7;14.6;-18.1;90.1;2000.0
2007.0;82.0;60.0;11.0;24.0;-9.0;-1.0;41.0;31.0;580.0;66.0;482.0;99.0;17.0;-241.0;224.0;0.0;-24.0;22.0;73.65;37.0;;;;;37.0;58.0;;;20.0;13.18;28.83;-33.0;-11.12;-8.0;-1.53;-0.03;-0.03;41.0;;7.0;;7.0;18.0;;7.0;542.0;;;;;;7.0;549.0;;20.0;29.0;;;16.0;307.0;;71.0;38.0;416.0;;;;0.0;-29.0;-68.0;195.0;580.0;;580.0;;-1.0;20.0;-9.0;;-32.0;;;;-34.0;40.0;-41.0;-200.0;;;0.0;;27.0;-0.0;;197.0;;7.0;7.0;;;1.99;-0.03;-0.59;;1.01;2.39;41.0;;;;82.0;28.8;20.0;-1.0;86.3;-1.5;-34.0;307.0;99.0;-0.2;-1.6;-1.3;100.0;
2008.0;183.0;145.0;-187.0;65.0;-234.0;-138.0;71.0;60.0;396.0;63.0;346.0;50.0;74.0;-83.0;1.0;-7.0;-12.0;38.0;79.18;80.0;;;;;80.0;118.0;;;48.0;-102.09;35.34;-299.0;-128.34;-96.0;-75.58;-1.95;-1.95;71.0;;0.0;;0.0;14.0;;46.0;297.0;;;;;;39.0;336.0;;35.0;0.0;;;28.0;251.0;;;33.0;283.0;;;;0.0;-167.0;-396.0;613.0;396.0;;396.0;;-138.0;48.0;-97.0;;31.0;;;;-3.0;230.0;-86.0;0.0;;;3.0;;87.0;-0.0;;-85.0;;0.0;7.0;;;2.59;-1.95;-0.16;;1.22;0.7;71.0;;;;183.0;35.3;48.0;-138.0;41.1;-75.6;-3.0;251.0;50.0;-41.5;-59.2;-277.7;100.0;
2009.0;87.0;44.0;-24.0;-56.0;-75.0;-58.0;78.0;24.0;311.0;38.0;312.0;-1.0;32.0;-24.0;-8.0;-0.0;2.0;43.0;50.88;50.0;;19.0;19.0;;32.0;93.0;0.0;19.0;32.0;-28.12;-64.06;-19.0;-85.82;-16.0;-67.05;-0.75;-0.75;78.0;;0.0;;0.0;14.0;4.0;6.0;249.0;;;;;32.0;7.0;288.0;;26.0;0.0;;;11.0;246.0;;;28.0;274.0;;;;0.0;-217.0;-463.0;679.0;311.0;;311.0;;-58.0;32.0;-17.0;2.0;-11.0;-1.0;;-11.0;-14.0;85.0;-30.0;;;;7.0;-38.0;;-0.0;;30.0;;0.0;0.0;;;1.12;-0.75;0.02;;0.39;-0.01;78.0;;;;87.0;-64.1;32.0;-58.0;21.9;-67.0;-14.0;246.0;-1.0;-16.1;-18.0;11099.4;100.0;
2010.0;112.0;72.0;53.0;26.0;3.0;2.0;78.0;21.0;265.0;33.0;261.0;4.0;38.0;15.0;-53.0;-0.0;3.0;40.0;64.43;45.0;;18.0;18.0;;27.0;85.0;0.0;23.0;27.0;47.44;22.9;-22.0;3.04;1.0;2.15;0.03;0.03;78.0;;0.0;1.0;1.0;11.0;3.0;5.0;210.0;;;;;31.0;4.0;244.0;;27.0;0.0;1.0;;6.0;197.0;;;31.0;228.0;;;;0.0;-215.0;-490.0;709.0;265.0;;265.0;;2.0;27.0;1.0;3.0;2.0;4.0;;1.0;-12.0;3.0;-34.0;;;;49.0;-98.0;;-1.0;;46.0;;0.0;0.0;;;1.43;0.03;0.04;;0.44;0.05;78.0;;;;112.0;22.9;27.0;2.0;29.2;2.2;-12.0;197.0;4.0;8.0;9.8;58.0;100.0;22.6
2011.0;103.0;64.0;44.0;24.0;5.0;-1.0;79.0;20.0;268.0;26.0;262.0;6.0;30.0;-25.0;-4.0;0.0;4.0;39.0;61.92;42.0;;21.0;21.0;;21.0;81.0;0.0;17.0;21.0;42.99;23.38;-19.0;5.26;7.0;-1.37;-0.02;-0.02;79.0;;0.0;;0.0;10.0;4.0;6.0;217.0;;;;;24.0;7.0;248.0;;21.0;;0.0;;5.0;202.0;;;34.0;236.0;;;;0.0;-216.0;-509.0;731.0;268.0;;268.0;;-1.0;21.0;7.0;4.0;6.0;0.0;;-5.0;-6.0;-6.0;-26.0;;;;1.0;-246.0;;-0.0;;241.0;;0.0;0.0;;;1.3;-0.02;0.05;;0.33;0.08;79.0;;;;103.0;23.4;21.0;-1.0;126.0;-1.4;-6.0;202.0;6.0;-2.5;8.5;-23.6;100.0;
