;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2001.0;107.0;50.0;3.0;50.0;3.0;2.0;9.0;;;;;;;;;;;57.0;46.81;;;;;;;57.0;;;;2.99;46.81;-47.0;2.88;1.0;1.79;0.09;0.07;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;169.0;78.0;17.0;10.0;10.0;6.0;12.0;43.0;94.0;38.0;78.0;16.0;19.0;-20.0;-0.0;-2.0;-0.0;91.0;46.29;69.0;;69.0;69.0;;;160.0;;;8.0;10.31;5.66;0.0;5.71;4.0;3.47;0.35;0.32;0.0;;16.0;;16.0;2.0;22.0;4.0;48.0;;1.0;1.0;;;2.0;51.0;;18.0;;;;20.0;;;3.0;37.0;40.0;;;0.0;0.0;6.0;-2.0;11.0;94.0;0.0;94.0;;6.0;8.0;2.0;;5.0;;-9.0;;5.0;-1.0;-19.0;;;;-2.0;;;;;-0.0;;16.0;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;214.0;97.0;24.0;13.0;13.0;8.0;18.0;52.0;112.0;44.0;90.0;22.0;25.0;-20.0;;5.0;7.0;117.0;45.47;84.0;;84.0;84.0;;;201.0;0.0;0.0;11.0;11.31;6.09;0.0;6.12;5.0;3.73;0.57;0.45;0.0;;21.0;;21.0;2.0;23.0;7.0;56.0;;2.0;2.0;;;2.0;60.0;;22.0;;;;22.0;;;5.0;41.0;46.0;;;0.0;0.0;12.0;-2.0;11.0;112.0;;112.0;;8.0;11.0;2.0;;3.0;;-1.0;;8.0;2.0;-18.0;;;;-2.0;;;;;;;21.0;16.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;362.0;181.0;62.0;43.0;44.0;27.0;20.0;148.0;246.0;81.0;116.0;130.0;55.0;-37.0;6.0;24.0;22.0;180.0;50.15;139.0;;139.0;139.0;;;319.0;2.0;;18.0;17.14;11.8;2.0;12.28;17.0;7.55;1.38;1.35;20.0;;91.0;;91.0;7.0;40.0;10.0;90.0;;1.0;1.0;;;7.0;98.0;;35.0;;;;46.0;;;1.0;34.0;35.0;;;;0.0;47.0;-2.0;85.0;246.0;;246.0;;27.0;18.0;-2.0;;19.0;;-9.0;;67.0;-7.0;-33.0;;;;-4.0;;4.0;;;2.0;;91.0;67.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;437.0;210.0;72.0;47.0;48.0;30.0;20.0;126.0;300.0;98.0;136.0;164.0;53.0;-94.0;4.0;-38.0;-2.0;228.0;47.95;163.0;;163.0;159.0;;0.0;390.0;2.0;2.0;22.0;16.55;10.73;2.0;11.07;19.0;6.75;1.46;1.44;20.0;;53.0;;53.0;7.0;51.0;14.0;130.0;37.0;3.0;40.0;1.0;1.0;3.0;174.0;;47.0;;;6.0;44.0;;;;38.0;38.0;;;;0.0;76.0;-1.0;89.0;300.0;0.0;300.0;;30.0;22.0;-1.0;;-39.0;;-8.0;;28.0;41.0;-55.0;-39.0;;;;;2.0;;;1.0;-1.0;53.0;91.0;;;21.67;1.46;-0.08;;2.71;8.14;20.0;18.5;1.0;;437.0;10.7;22.0;30.0;39.1;6.7;28.0;;164.0;15.0;16.7;18.0;100.0;131.6
2007.0;474.0;215.0;63.0;33.0;35.0;23.0;20.0;140.0;340.0;104.0;146.0;194.0;56.0;-41.0;-3.0;13.0;24.0;259.0;45.38;182.0;;182.0;177.0;;0.0;441.0;;2.0;26.0;13.25;7.06;2.0;7.38;13.0;4.74;1.11;1.1;20.0;;66.0;;66.0;7.0;49.0;18.0;140.0;43.0;4.0;47.0;4.0;;8.0;199.0;;45.0;;;9.0;50.0;;;;42.0;42.0;;;;0.0;99.0;6.0;88.0;340.0;-0.0;340.0;;23.0;26.0;-3.0;;8.0;;2.0;;36.0;2.0;-32.0;;-4.0;;-5.0;;1.0;-5.0;;1.0;1.0;66.0;53.0;;;23.42;1.11;1.2;;1.58;9.56;20.0;20.8;1.2;;474.0;7.1;26.0;23.0;35.8;4.7;36.0;;194.0;10.0;10.8;11.6;100.0;14.8
2008.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24.43;0.24;0.02;;1.21;8.76;19.0;20.4;0.3;;468.0;1.4;29.0;5.0;37.0;1.0;39.0;;168.0;2.4;2.7;2.7;100.0;3506.0
2009.0;468.0;197.0;37.0;6.0;7.0;5.0;19.0;126.0;300.0;87.0;132.0;168.0;24.0;-27.0;-14.0;-19.0;0.0;271.0;42.19;191.0;;191.0;186.0;;-0.0;461.0;;1.0;29.0;7.9;1.37;1.0;1.54;3.0;0.98;0.24;0.24;19.0;;47.0;;47.0;8.0;51.0;20.0;123.0;31.0;4.0;34.0;8.0;;9.0;174.0;;38.0;;;8.0;42.0;;;;45.0;45.0;;;;0.0;103.0;-13.0;77.0;300.0;0.0;300.0;;5.0;29.0;-1.0;;3.0;;-4.0;;39.0;-12.0;-23.0;;-3.0;;;;0.0;-14.0;;;-2.0;47.0;66.0;;;20.9;-0.66;0.84;;0.43;8.73;19.0;-10.0;-0.5;;394.0;-6.1;28.0;-13.0;47.8;-3.2;54.0;;165.0;-6.1;-8.3;-7.6;100.0;
2010.0;394.0;148.0;5.0;-24.0;-24.0;-13.0;19.0;136.0;284.0;82.0;120.0;165.0;24.0;-9.0;;13.0;16.0;246.0;37.63;172.0;;163.0;162.0;;10.0;418.0;;0.0;28.0;1.21;-6.08;0.0;-6.03;-11.0;-3.17;-0.66;-0.66;19.0;;60.0;;60.0;5.0;44.0;26.0;101.0;34.0;4.0;37.0;;;10.0;149.0;;33.0;;;9.0;41.0;;;;38.0;38.0;;;;0.0;91.0;-6.0;80.0;284.0;0.0;284.0;;-13.0;28.0;-5.0;4.0;15.0;;7.0;-5.0;54.0;-6.0;-8.0;;-1.0;;-2.0;;;;;;-2.0;60.0;47.0;;;21.58;0.01;0.4;;0.79;8.48;19.0;1224.0;75.1;;402.0;-0.7;27.0;0.0;103.0;0.0;52.0;;158.0;0.0;-0.8;0.1;100.0;98.7
