;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1995.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;3.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;-0.0;0.0;-0.0;-0.0;-0.0;0.0;1.0;76.89;2.0;;2.0;2.0;;;3.0;;0.0;0.0;7.02;6.55;-0.0;4.42;0.0;4.31;37.8;37.8;0.0;;0.0;;0.0;0.0;;0.0;0.0;;;;;;0.0;0.0;;0.0;;;;1.0;;;;;;;;;0.0;-0.0;;0.0;1.0;;1.0;;0.0;0.0;;;0.0;;;;-0.0;0.0;-0.0;;;;-0.0;;;;-0.0;-0.0;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;3.0;3.0;-1.0;-1.0;;-1.0;0.0;5.0;5.0;1.0;1.0;4.0;-1.0;-4.0;4.0;4.0;-1.0;1.0;76.47;3.0;;3.0;3.0;;0.0;4.0;;;0.0;-14.71;-20.59;;;;-17.65;-124.21;-124.21;0.0;;0.0;;0.0;0.0;;4.0;0.0;;;;;;;0.0;;0.0;;;;0.0;;;;;;;;;;-1.0;-0.0;5.0;5.0;;5.0;;-1.0;0.0;;;4.0;;;;4.0;-4.0;;;-4.0;0.0;;;5.0;;;-0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;4.0;3.0;-1.0;-1.0;;-1.0;0.0;4.0;4.0;1.0;1.0;3.0;-1.0;2.0;;;-1.0;1.0;76.32;4.0;;4.0;4.0;;0.0;5.0;;;0.0;-13.16;-31.58;1.0;;;-15.79;-102.61;-102.61;0.0;;1.0;;1.0;0.0;;2.0;0.0;;;;;;0.0;0.0;;0.0;;;;1.0;;;;-0.0;-0.0;;;;;-1.0;-0.0;5.0;4.0;;4.0;;-1.0;0.0;;;-1.0;;;;3.0;1.0;-0.0;;-2.0;4.0;-0.0;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;4.0;3.0;-1.0;-1.0;;-1.0;0.0;3.0;3.0;1.0;1.0;2.0;-1.0;1.0;;0.0;-1.0;1.0;76.19;4.0;;4.0;4.0;;0.0;5.0;;;0.0;-28.57;-28.57;-0.0;;;-30.95;-210.62;-210.62;0.0;;2.0;0.0;2.0;1.0;;0.0;0.0;;;;;;;0.0;;0.0;;;;1.0;;;;;;;;;;-3.0;-0.0;5.0;3.0;;3.0;;-1.0;0.0;;;-1.0;;;;2.0;1.0;;;-1.0;3.0;-0.0;;;;;;;2.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;4.0;3.0;-1.0;-2.0;;-2.0;0.0;7.0;7.0;1.0;1.0;6.0;-1.0;-0.0;6.0;4.0;-2.0;1.0;77.48;5.0;;5.0;5.0;;0.0;6.0;;;0.0;-35.82;-48.28;0.0;;;-38.72;-253.83;-253.83;0.0;;6.0;1.0;7.0;0.0;;0.0;0.0;;;;;;0.0;0.0;;0.0;;;;1.0;;;;;;;;;0.0;-4.0;-0.0;11.0;7.0;;7.0;;-2.0;0.0;;;4.0;;;;6.0;-4.0;-0.0;;-1.0;1.0;0.0;;6.0;;;;;6.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;4.0;3.0;-2.0;-2.0;-2.0;-2.0;0.0;4.0;4.0;1.0;1.0;3.0;-2.0;-0.0;-2.0;-3.0;-2.0;1.0;75.37;5.0;;5.0;5.0;;;6.0;;;0.0;-53.56;-52.2;0.0;-50.73;;-56.35;-891.09;-891.09;0.0;;3.0;0.0;3.0;0.0;;0.0;0.0;;;;;;0.0;0.0;;0.0;;;0.0;0.0;;;;;;;;;0.0;-7.0;-0.0;11.0;4.0;;4.0;;-2.0;0.0;;;-3.0;;;;3.0;3.0;-0.0;;-0.0;0.0;;;0.0;-2.0;;;;3.0;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;4.0;3.0;-1.0;-1.0;;-1.0;0.0;3.0;3.0;1.0;1.0;2.0;-0.0;-0.0;-0.0;-1.0;-1.0;1.0;75.46;4.0;;4.0;4.0;;;5.0;;;0.0;-28.45;-29.13;-0.0;;;-31.02;-156.6;-156.6;0.0;;2.0;0.0;2.0;0.0;;0.0;0.0;;;;;;0.0;0.0;;0.0;;;0.0;0.0;;;;;;;;;0.0;-8.0;-1.0;11.0;3.0;;3.0;;-1.0;0.0;;;-1.0;;;;2.0;2.0;-0.0;;-0.0;0.0;;;;-0.0;;;;2.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;4.0;3.0;-0.0;-1.0;-0.0;-0.0;0.0;2.0;3.0;1.0;1.0;2.0;-0.0;0.0;;-0.0;-0.0;1.0;75.32;4.0;;;;;4.0;5.0;;;0.0;-9.68;-12.35;0.0;-11.76;;-11.76;-61.2;-61.2;0.0;;2.0;0.0;2.0;0.0;;0.0;0.0;;;;;;0.0;0.0;;0.0;;;0.0;0.0;;;;;;;;;0.0;-8.0;0.0;10.0;3.0;;3.0;;-0.0;0.0;;;-0.0;;;;1.0;0.0;-0.0;;-1.0;1.0;;;;;;;;2.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;4.0;3.0;-1.0;-1.0;-1.0;-1.0;0.0;2.0;2.0;1.0;1.0;1.0;-1.0;-0.0;;-1.0;-1.0;1.0;77.12;4.0;;;;;4.0;5.0;;;0.0;-17.33;-20.74;0.0;-19.22;;-19.22;-97.2;-97.2;0.0;;1.0;1.0;1.0;0.0;;0.0;;;;;;;0.0;0.0;;0.0;;;0.0;0.0;;;;;;;;;0.0;-9.0;0.0;10.0;2.0;;2.0;;-1.0;0.0;;;-1.0;;;;1.0;0.0;-0.0;;-1.0;1.0;;;;;;;;1.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
