;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2007.0;;;;;;;;;43.0;;;-49.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.0;;11.0;;;;2.0;;;;;;;;43.0;;;;;;;;;0.0;;;;;;;;;;43.0;43.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008.0;;;;;;;;;40.0;;;-61.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;24.0;;24.0;;;;2.0;;;;;;;;40.0;;;;;;;;;0.0;;;;;;;;;;40.0;40.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009.0;36.0;26.0;-1.0;-3.0;-3.0;-2.0;21.0;31.0;40.0;10.0;107.0;-68.0;0.0;-2.0;0.0;-2.0;-2.0;10.0;71.12;29.0;9.0;20.0;7.0;13.0;;39.0;0.0;;2.0;-1.41;-8.57;0.0;-7.65;0.0;-6.48;-0.35;-0.35;21.0;;23.0;;23.0;7.0;;1.0;3.0;2.0;;2.0;3.0;;1.0;9.0;;1.0;;;4.0;5.0;;1.0;;97.0;97.0;;;;0.0;-69.0;1.0;;39.0;1.0;40.0;;-2.0;2.0;;1.0;1.0;-1.0;;1.0;21.0;-0.0;-2.0;;;0.0;-0.0;;0.0;;;;-0.0;23.0;24.0;;;1.72;-0.11;-0.08;;0.08;-3.22;21.0;;;;36.0;-8.6;2.0;-2.0;-2.0;-6.5;21.0;;-68.0;-7.9;-5.8;3.5;100.0;
2010.0;44.0;29.0;-15.0;-17.0;-18.0;-18.0;21.0;31.0;42.0;14.0;129.0;-88.0;-11.0;-3.0;12.0;-2.0;-14.0;15.0;65.4;46.0;12.0;34.0;10.0;24.0;;61.0;0.0;;2.0;-34.88;-39.82;-0.0;-40.55;0.0;-40.03;-1.09;-1.09;21.0;;20.0;;20.0;9.0;;1.0;5.0;2.0;;2.0;3.0;;1.0;11.0;;1.0;;;5.0;7.0;;0.0;;115.0;115.0;;;;0.0;-89.0;1.0;;41.0;1.0;42.0;;-18.0;2.0;;3.0;-4.0;-2.0;;0.0;17.0;5.0;-4.0;;;0.0;0.0;;0.0;;;12.0;0.0;20.0;23.0;;;2.08;-0.83;-0.68;;0.17;-4.17;21.0;;;;44.0;-39.8;2.0;-18.0;-0.3;-40.0;17.0;;-88.0;-63.8;-42.3;20.0;100.0;
2011.0;64.0;43.0;-14.0;-16.0;-17.0;-18.0;21.0;35.0;47.0;25.0;32.0;15.0;-7.0;-1.0;5.0;-3.0;-12.0;20.0;68.19;59.0;15.0;44.0;13.0;32.0;;80.0;0.0;0.0;3.0;-22.33;-25.38;-1.0;-27.03;0.0;-27.74;-0.84;-0.84;21.0;;17.0;;17.0;15.0;;3.0;6.0;2.0;;2.0;;;4.0;12.0;;2.0;1.0;;13.0;9.0;6.0;0.0;;0.0;7.0;;;;0.0;-93.0;1.0;106.0;46.0;1.0;47.0;;-18.0;3.0;;4.0;-7.0;-5.0;;1.0;10.0;10.0;-4.0;;;3.0;0.0;;0.0;;;5.0;0.0;17.0;20.0;;;3.02;-0.84;-0.55;;0.21;0.69;21.0;;;;64.0;-25.4;3.0;-18.0;-0.5;-27.7;10.0;6.0;15.0;-81.6;-37.2;-120.9;100.0;
2012.0;88.0;61.0;-12.0;-15.0;-16.0;-13.0;25.0;52.0;97.0;31.0;33.0;63.0;-1.0;-45.0;51.0;4.0;-8.0;27.0;68.87;74.0;19.0;55.0;17.0;39.0;;102.0;0.0;0.0;5.0;-13.38;-17.56;-0.0;-18.12;-3.0;-14.99;-0.57;-0.57;25.0;;22.0;8.0;30.0;19.0;;3.0;8.0;22.0;10.0;32.0;3.0;;1.0;45.0;;1.0;;;19.0;12.0;;0.0;;1.0;1.0;;;;0.0;-106.0;1.0;168.0;95.0;2.0;97.0;;-13.0;5.0;-4.0;6.0;11.0;-4.0;;-1.0;21.0;-6.0;-6.0;-27.0;-14.0;3.0;-0.0;-7.0;57.0;;;1.0;-0.0;22.0;17.0;;;3.57;-0.54;-0.31;;0.26;2.54;25.0;-27.1;-1.8;;88.0;-17.6;5.0;-13.0;21.9;-15.0;21.0;;63.0;-20.1;-17.3;-21.0;100.0;
2013.0;110.0;73.0;-4.0;-9.0;-10.0;-10.0;28.0;62.0;103.0;41.0;43.0;60.0;7.0;4.0;1.0;11.0;3.0;37.0;66.52;81.0;21.0;59.0;18.0;41.0;;117.0;0.0;;6.0;-3.81;-8.64;-1.0;-9.13;0.0;-9.34;-0.36;-0.36;28.0;;33.0;3.0;36.0;22.0;;4.0;9.0;22.0;9.0;31.0;;;2.0;41.0;;3.0;;;24.0;15.0;;0.0;;1.0;2.0;;;;0.0;-116.0;-0.0;177.0;103.0;;103.0;;-10.0;6.0;0.0;6.0;-0.0;-3.0;;2.0;21.0;5.0;-4.0;;;8.0;-1.0;;;;;1.0;-1.0;33.0;22.0;;;3.88;-0.36;0.12;;0.14;2.13;28.0;-26.6;-1.6;;110.0;-8.6;6.0;-10.0;-2.1;-9.3;21.0;;60.0;-16.6;-9.7;-17.0;100.0;
2014.0;125.0;81.0;-8.0;-15.0;-17.0;-17.0;32.0;49.0;128.0;44.0;47.0;81.0;1.0;-10.0;-1.0;-10.0;-3.0;44.0;65.02;93.0;28.0;65.0;19.0;46.0;;137.0;0.0;0.0;9.0;-6.36;-12.15;-1.0;-13.3;0.0;-13.51;-0.53;-0.53;32.0;;23.0;;23.0;21.0;;4.0;10.0;51.0;17.0;68.0;;;1.0;79.0;;2.0;1.0;;30.0;12.0;;0.0;;3.0;3.0;;1.0;;0.0;-133.0;-1.0;215.0;128.0;;128.0;;-17.0;9.0;;6.0;-16.0;0.0;;-2.0;5.0;19.0;-5.0;-9.0;;3.0;-1.0;-1.0;;;;1.0;-0.0;23.0;33.0;;;3.91;-0.53;-0.1;;0.14;2.53;32.0;-15.9;-0.9;;125.0;-12.2;9.0;-17.0;-1.6;-13.5;5.0;;81.0;-20.1;-13.0;-20.9;100.0;
2015.0;135.0;88.0;2.0;-7.0;-7.0;-8.0;33.0;53.0;128.0;47.0;50.0;78.0;9.0;-3.0;-1.0;5.0;6.0;46.0;65.5;95.0;29.0;66.0;20.0;46.0;;141.0;0.0;0.0;9.0;1.18;-5.15;-0.0;-5.34;0.0;-5.63;-0.23;-0.23;33.0;;28.0;;28.0;21.0;;5.0;9.0;51.0;14.0;65.0;;0.0;1.0;74.0;;3.0;1.0;;30.0;13.0;;0.0;;3.0;3.0;;1.0;;0.0;-141.0;-1.0;220.0;128.0;;128.0;;-8.0;9.0;-0.0;6.0;2.0;-0.0;;2.0;7.0;0.0;-3.0;;-1.0;;;-3.0;;;;2.0;-0.0;28.0;23.0;;;4.13;-0.23;0.19;;0.09;2.4;33.0;-28.4;-1.4;;135.0;-5.1;9.0;-8.0;-5.4;-5.6;7.0;;78.0;-9.3;-5.6;-9.7;100.0;
2016.0;150.0;94.0;-2.0;-9.0;-10.0;-10.0;33.0;64.0;136.0;56.0;58.0;78.0;11.0;-5.0;4.0;9.0;6.0;56.0;62.83;103.0;30.0;73.0;19.0;54.0;;159.0;0.0;0.0;8.0;-1.14;-5.97;-1.0;-6.37;0.0;-6.65;-0.3;-0.3;33.0;;37.0;;37.0;22.0;;6.0;9.0;51.0;11.0;62.0;;0.0;1.0;72.0;;5.0;1.0;;35.0;16.0;;0.0;;2.0;2.0;;1.0;;0.0;-151.0;-1.0;230.0;136.0;;136.0;;-10.0;8.0;-0.0;6.0;1.0;-1.0;;1.0;8.0;6.0;-5.0;;-4.0;;-0.0;-1.0;;;;5.0;-0.0;37.0;28.0;;;4.53;-0.3;0.17;;0.17;2.36;33.0;-28.3;-1.3;;150.0;-6.0;8.0;-10.0;-4.3;-6.6;8.0;;78.0;-12.4;-7.0;-12.8;100.0;
