;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1985.0;18.0;7.0;2.0;1.0;1.0;1.0;19.0;13.0;21.0;2.0;2.0;18.0;;;;;;11.0;37.99;6.0;;5.0;5.0;;1.0;17.0;;;1.0;13.41;5.59;0.0;7.82;0.0;7.26;0.07;0.07;19.0;;9.0;;9.0;2.0;2.0;0.0;7.0;;;;;;0.0;7.0;;;0.0;;;1.0;0.0;;0.0;0.0;1.0;;;;;13.0;-4.0;8.0;21.0;;21.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1986.0;23.0;10.0;4.0;3.0;3.0;3.0;19.0;14.0;24.0;3.0;4.0;21.0;;;;;;14.0;41.63;7.0;;6.0;6.0;;1.0;21.0;;;1.0;18.45;11.59;1.0;13.73;1.0;11.16;0.14;0.14;19.0;;8.0;;8.0;3.0;3.0;0.0;9.0;;1.0;1.0;;;1.0;10.0;;;0.0;;;3.0;0.0;;0.0;;1.0;;;;;16.0;-5.0;9.0;24.0;;24.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;34.0;14.0;7.0;6.0;6.0;4.0;19.0;17.0;31.0;4.0;5.0;27.0;;;;;;20.0;42.14;9.0;;7.0;7.0;;1.0;28.0;;;1.0;21.07;16.32;0.0;16.91;2.0;12.17;0.22;0.22;19.0;;9.0;;9.0;4.0;4.0;0.0;12.0;;2.0;2.0;;;1.0;14.0;;;;;;4.0;0.0;;1.0;;1.0;;;;;20.0;-6.0;12.0;31.0;;31.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;38.0;14.0;6.0;4.0;4.0;3.0;19.0;17.0;33.0;3.0;4.0;30.0;;;;;;24.0;37.5;10.0;;9.0;9.0;;2.0;34.0;;;2.0;16.22;10.11;1.0;11.44;1.0;8.24;0.17;0.17;19.0;;8.0;;8.0;5.0;4.0;0.0;13.0;;3.0;3.0;;;0.0;16.0;;;;;;3.0;0.0;;1.0;;1.0;;;;;23.0;-7.0;14.0;33.0;;33.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;30.0;9.0;0.0;-2.0;;-2.0;19.0;17.0;35.0;5.0;7.0;28.0;0.0;-4.0;2.0;;-3.0;21.0;29.8;11.0;;9.0;9.0;;2.0;32.0;;;2.0;0.66;-6.62;0.0;;;-5.96;-0.1;-0.1;19.0;;6.0;;6.0;5.0;4.0;2.0;14.0;;3.0;3.0;;;1.0;18.0;;1.0;2.0;;;2.0;0.0;;2.0;0.0;2.0;;;;;21.0;-9.0;15.0;35.0;;35.0;;-2.0;2.0;1.0;;-2.0;;-1.0;;10.0;1.0;-3.0;;;;-1.0;;;;;2.0;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;37.0;13.0;2.0;-0.0;;1.0;18.0;15.0;35.0;5.0;6.0;29.0;3.0;-5.0;-1.0;;-1.0;24.0;34.43;13.0;;11.0;11.0;;2.0;37.0;;;2.0;6.01;-0.27;0.0;;-1.0;1.91;0.04;0.04;18.0;;3.0;;3.0;5.0;6.0;1.0;16.0;;4.0;4.0;;;1.0;20.0;;2.0;1.0;;;2.0;0.0;;1.0;;1.0;;;;;22.0;-11.0;17.0;35.0;;35.0;;1.0;2.0;-1.0;;2.0;;-1.0;;12.0;-2.0;-4.0;;;;-1.0;;;;;-1.0;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;37.0;16.0;-0.0;-3.0;-3.0;-3.0;19.0;14.0;28.0;2.0;3.0;25.0;2.0;-2.0;-1.0;;-0.0;21.0;42.35;18.0;;16.0;16.0;;2.0;40.0;;;2.0;-1.09;-7.92;0.0;-7.65;1.0;-9.02;-0.17;-0.17;19.0;;2.0;;2.0;6.0;6.0;1.0;13.0;;0.0;0.0;;;1.0;14.0;;1.0;;;;2.0;;;1.0;;1.0;;;;;19.0;-13.0;20.0;28.0;;28.0;;-3.0;2.0;0.0;;15.0;;-0.0;;27.0;-12.0;-2.0;;;;;;;;;-1.0;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;50.0;21.0;23.0;8.0;20.0;19.0;20.0;32.0;50.0;5.0;6.0;44.0;9.0;6.0;0.0;;1.0;29.0;41.67;13.0;;10.0;10.0;;2.0;42.0;;;2.0;44.64;16.67;12.0;39.88;1.0;37.5;0.97;0.97;20.0;;17.0;;17.0;8.0;7.0;0.0;17.0;;0.0;0.0;;;1.0;18.0;;1.0;;;;4.0;;;1.0;0.0;1.0;;;;;38.0;-12.0;19.0;50.0;;50.0;;19.0;2.0;-0.0;;1.0;;-1.0;;28.0;-14.0;-8.0;;;0.0;14.0;;0.0;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;48.0;17.0;6.0;4.0;4.0;4.0;10.0;32.0;53.0;4.0;5.0;48.0;5.0;-14.0;0.0;;;30.0;36.21;14.0;;11.0;11.0;;2.0;44.0;;;2.0;13.47;7.37;1.0;8.42;0.0;8.0;0.2;0.19;10.0;;8.0;;8.0;6.0;9.0;9.0;20.0;;0.0;0.0;;;1.0;21.0;;1.0;;;;3.0;;;0.0;;0.0;;;;;42.0;-14.0;21.0;53.0;;53.0;;4.0;2.0;-0.0;;-5.0;;-2.0;;23.0;4.0;-5.0;;-13.0;3.0;0.0;;0.0;;;;;;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;46.0;12.0;1.0;-2.0;-2.0;-2.0;10.0;28.0;52.0;6.0;6.0;46.0;-1.0;-5.0;0.0;;-7.0;34.0;26.26;14.0;;12.0;12.0;;3.0;48.0;;;3.0;1.75;-4.6;0.0;-3.94;-0.0;-3.5;-0.16;-0.16;10.0;;3.0;;3.0;8.0;9.0;9.0;22.0;;0.0;0.0;;;1.0;24.0;;3.0;0.0;;;2.0;;;0.0;0.0;0.0;;;;;40.0;-17.0;22.0;52.0;;52.0;;-2.0;3.0;-0.0;;6.0;;-1.0;;29.0;-7.0;-6.0;;-5.0;6.0;1.0;;0.0;;;0.0;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;
