;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (CAD/USD)
2009.0;;-0.0;-1.0;;;-1.0;2.0;0.0;0.0;;;0.0;-0.0;;0.0;-0.0;-0.0;0.0;-inf;0.0;0.0;0.0;;;;1.0;;;;-inf;;-0.0;;;-inf;-0.24;-0.24;2.0;;0.0;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.0;;;;0.0;0.0;;-1.0;;;;-0.0;;;;;0.0;;;;;;;0.0;;;;;0.0;0.0;;0.82;;-0.3;-0.08;;;0.01;2.0;;;;;;;-1.0;;-inf;0.0;;0.0;;-inf;-2199.4;100.0;;0.815
2010.0;;;-0.0;;;-0.0;2.0;0.0;0.0;0.0;0.0;0.0;-0.0;;0.0;-0.0;-0.0;;;0.0;0.0;0.0;;;;0.0;;;;-inf;;-0.0;;;-inf;-0.09;-0.09;2.0;;0.0;;0.0;;;;;;;;;;;;;0.0;;;;0.0;;;;;;;;;;-1.0;;;0.0;;0.0;;-0.0;;;0.0;0.0;;;;;0.0;;;;;;;0.0;;;0.0;;0.0;0.0;;0.93;;-0.05;-0.02;;;0.0;2.0;-4466.3;-215.8;;;;;-0.0;;-inf;0.0;;0.0;;-620.6;-2880.9;100.0;;0.935
2011.0;;;3.0;-0.0;-3.0;-3.0;3.0;0.0;0.0;0.0;3.0;-3.0;-0.0;-0.0;0.0;-0.0;-0.0;;;0.0;;0.0;;;0.0;0.0;;;0.0;inf;-inf;-3.0;-inf;;-inf;-1.1;-1.1;3.0;;0.0;;0.0;;;;0.0;;;;;;;0.0;;0.0;0.0;;;0.0;;;;3.0;3.0;;;;;-4.0;;;0.0;;0.0;;-3.0;0.0;;0.0;0.0;;;;;3.0;-0.0;;;;;;0.0;;;0.0;;0.0;0.0;;1.0;;-1.08;-0.04;;0.0;-1.05;3.0;-17.7;-1.1;;;-inf;0.0;-3.0;;-inf;-0.0;;-3.0;-11753.7;15853.0;102.4;100.0;;0.998
2012.0;;;-0.0;-0.0;1.0;1.0;7.0;0.0;0.0;1.0;1.0;-1.0;-0.0;;0.0;-0.0;-0.0;;;0.0;0.0;0.0;0.0;;0.0;0.0;;0.0;0.0;-inf;-inf;2.0;inf;;inf;0.4;0.2;3.0;;0.0;;0.0;;;;0.0;;;;;;;0.0;;0.0;0.0;;;1.0;;;;0.0;0.0;;;;0.0;-2.0;;1.0;0.0;;0.0;;1.0;0.0;;0.0;0.0;;;;;-2.0;;;;;;-0.0;;;;0.0;;0.0;0.0;;1.0;;0.42;-0.04;;;-0.3;3.0;4.3;0.3;;;-inf;0.0;1.0;;inf;-1.0;;-1.0;41.6;-9338.4;-138.5;100.0;;0.997
2013.0;;;-0.0;-0.0;0.0;0.0;17.0;0.0;0.0;1.0;1.0;-1.0;-0.0;;0.0;-0.0;-0.0;;;0.0;;0.0;0.0;;0.0;0.0;;0.0;0.0;-inf;-inf;0.0;inf;;inf;0.1;0.02;4.0;;0.0;;0.0;0.0;;;0.0;;;;;;;0.0;;0.0;0.0;;;0.0;;;;0.0;0.0;;;;1.0;-2.0;;0.0;0.0;;0.0;;0.0;0.0;;;0.0;-0.0;;;;-0.0;;;;;;;;;;0.0;;0.0;0.0;;1.0;;0.1;-0.01;;;-0.19;4.0;6.1;0.4;;;-inf;0.0;0.0;;inf;-1.0;;-1.0;13.7;-1480.8;-50.6;100.0;;1.002
2014.0;;;-0.0;-0.0;-1.0;-1.0;5.0;0.0;0.0;1.0;1.0;-1.0;-0.0;;0.0;0.0;-0.0;;;0.0;;0.0;0.0;;0.0;0.0;;0.0;0.0;-inf;-inf;-1.0;-inf;;-inf;-0.18;-0.18;5.0;;0.0;;0.0;0.0;;;0.0;;;;;;;0.0;;0.0;0.0;;;0.0;;;;0.0;0.0;;;;1.0;-3.0;;1.0;0.0;;0.0;;-1.0;0.0;;;0.0;;;;;1.0;;;;;;;;;;0.0;;0.0;0.0;;0.9;;-0.16;-0.01;;;-0.16;5.0;-4.5;-0.3;;;-inf;0.0;-1.0;;-inf;-1.0;;-1.0;6.4;-639.8;100.4;100.0;;0.898
2015.0;;;-0.0;-0.0;-1.0;-1.0;12.0;0.0;0.0;0.0;0.0;-0.0;-0.0;;0.0;0.0;-0.0;;;0.0;;0.0;;;0.0;0.0;;0.0;0.0;-inf;-inf;-1.0;-inf;;-inf;-0.07;-0.07;12.0;;0.0;;0.0;0.0;;;0.0;;;;;;;0.0;;0.0;;;;0.0;;;;;;;;;;-3.0;;;0.0;;0.0;;-1.0;0.0;;;0.0;;;;;1.0;;;;;;;;;;0.0;;0.0;0.0;;0.79;;-0.09;-0.0;;;-0.01;12.0;-47.3;-2.4;;;-inf;0.0;-1.0;;-inf;-0.0;;-0.0;103.5;-4464.4;1443.7;100.0;;0.785
2016.0;;;-9.0;-9.0;-9.0;-9.0;7.0;0.0;0.0;0.0;0.0;-0.0;-0.0;;0.0;0.0;-0.0;;;9.0;;9.0;9.0;;0.0;9.0;;;0.0;-inf;-inf;0.0;-inf;;-inf;-1.15;-1.15;7.0;;0.0;;0.0;;;0.0;;;;;;;0.0;0.0;;0.0;;;;0.0;;;;;;;;;;-13.0;1.0;;0.0;-0.0;0.0;;-9.0;0.0;;;0.0;;;;;8.0;;;;;;;0.0;;;;-0.0;0.0;0.0;;0.72;;-1.6;-0.03;;;-0.06;7.0;-1.8;-0.1;;;-inf;0.0;-12.0;;-inf;-0.0;;-0.0;2607.7;-8084.6;2607.5;100.0;;0.716
2017.0;;;-6.0;-6.0;-6.0;-6.0;8.0;0.0;0.0;2.0;2.0;-1.0;-0.0;;0.0;0.0;-0.0;;;6.0;;6.0;;;;6.0;;0.0;;-inf;-inf;-0.0;-inf;;-inf;-0.8;-0.8;8.0;;0.0;;0.0;;;0.0;;;;;;;0.0;0.0;;1.0;0.0;;;0.0;;;;;;;;;;-21.0;1.0;;0.0;0.0;0.0;;-6.0;;;;1.0;;;;;5.0;;;;;;;;;;0.0;0.0;0.0;0.0;;0.77;;-1.09;-0.07;;;-0.26;8.0;-2.4;-0.1;;;-inf;;-8.0;;-inf;-2.0;;-2.0;400.1;-4446.7;425.8;100.0;;0.767
2018.0;;;-1.0;-1.0;-0.0;-0.0;8.0;0.0;0.0;0.0;0.0;-0.0;-0.0;;0.0;-0.0;-0.0;;;1.0;0.0;1.0;1.0;;0.0;1.0;;0.0;0.0;-inf;-inf;1.0;-inf;;-inf;-0.02;-0.02;8.0;;0.0;;0.0;;;0.0;;;0.0;0.0;;;;0.0;;0.0;0.0;;;0.0;;;;;;;;;;-21.0;1.0;;0.0;0.0;0.0;;-0.0;0.0;;;1.0;;;1.0;;-1.0;;;;;;;0.0;;;0.0;-0.0;0.0;0.0;;0.81;;-0.02;-0.06;;;-0.01;8.0;-337.2;-13.5;;;-inf;0.0;-0.0;;-inf;-0.0;;-0.0;2320.7;-274.4;267.0;100.0;;0.812
2019.0;;;-4.0;-5.0;-7.0;-7.0;9.0;0.0;7.0;4.0;4.0;3.0;-4.0;-1.0;4.0;-0.0;-4.0;;;5.0;0.0;4.0;4.0;0.0;1.0;5.0;0.0;1.0;1.0;-inf;-inf;-2.0;-inf;;-inf;-0.76;-0.76;9.0;;0.0;;0.0;0.0;;0.0;0.0;;6.0;6.0;;;;6.0;;1.0;3.0;;0.0;1.0;;;;;;;;;16.0;-27.0;0.0;13.0;7.0;;7.0;;-7.0;1.0;;0.0;1.0;;;0.0;;2.0;-1.0;0.0;;;-1.0;-1.0;1.0;;;4.0;-0.0;0.0;0.0;;0.76;;-1.01;-0.65;;0.09;0.39;9.0;-2.2;-0.1;;;-inf;1.0;-9.0;;-inf;-5.0;;4.0;-184.9;-75.5;-260.6;100.0;;0.762
2020.0;;;-6.0;-14.0;-15.0;-15.0;15.0;3.0;6.0;1.0;4.0;2.0;-6.0;-1.0;9.0;2.0;-6.0;;;7.0;0.0;6.0;6.0;0.0;1.0;7.0;0.0;0.0;1.0;-inf;-inf;-1.0;-inf;;-inf;-0.98;-0.98;15.0;;2.0;;2.0;0.0;;0.0;3.0;;1.0;1.0;;;0.0;4.0;;1.0;0.0;;;0.0;4.0;;;;4.0;;4.0;;28.0;-41.0;15.0;;6.0;;6.0;;-15.0;1.0;;1.0;0.0;;;1.0;-0.0;6.0;-0.0;-0.0;;;-0.0;-3.0;12.0;;;-0.0;0.0;2.0;0.0;;0.76;;-1.3;-0.56;;0.04;0.18;15.0;-0.9;-0.0;;;-inf;1.0;-20.0;;-inf;3.0;5.0;3.0;-125.4;-110.8;-737.4;100.0;;0.755
2021.0;;;-6.0;-6.0;-28.0;-28.0;27.0;1.0;1.0;5.0;5.0;-4.0;-6.0;-0.0;3.0;-2.0;-6.0;;;6.0;0.0;6.0;6.0;0.0;0.0;6.0;0.0;0.0;0.0;-inf;-inf;-22.0;-inf;;-inf;-1.05;-1.05;27.0;;0.0;;0.0;0.0;;1.0;0.0;;;;;;;0.0;;4.0;0.0;;;1.0;;;;0.0;0.0;;;;50.0;-71.0;18.0;;1.0;;1.0;;-28.0;0.0;;1.0;-1.0;;;-1.0;;23.0;-0.0;0.0;;;-0.0;-0.0;1.0;;;3.0;0.0;0.0;3.0;;0.78;;-1.34;-0.27;;0.0;-0.17;27.0;-0.4;-0.0;;;-inf;0.0;-36.0;;-inf;-5.0;;-5.0;181.3;-611.8;788.1;100.0;;0.782
