;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2008.0;;;-0.0;-0.0;;-0.0;4.0;0.0;0.0;0.0;0.0;0.0;-0.0;;0.0;;-0.0;;;0.0;;0.0;0.0;;;0.0;;;;-inf;-inf;;;;-inf;-0.0;-0.0;4.0;;0.0;;0.0;;;;;;;;;;;;;0.0;0.0;;;;;;;;;;;;0.0;-0.0;;0.0;0.0;;0.0;;-0.0;;;;0.0;;;0.0;0.0;0.0;;;;;;;0.0;;;0.0;;0.0;;;;;-0.0;-0.0;;;0.0;4.0;;;;;-inf;;-0.0;;-inf;0.0;;0.0;;-152.3;-12246.3;100.0;
2009.0;;;-0.0;-0.0;;-0.0;4.0;0.0;0.0;0.0;0.0;-0.0;-0.0;;0.0;0.0;-0.0;;;0.0;;0.0;0.0;;;0.0;;;;-inf;-inf;;;;-inf;-0.01;-0.01;4.0;;0.0;;0.0;;;0.0;;;;;;;;;;0.0;0.0;;;;;;;;;;;;0.0;-0.0;;0.0;0.0;;0.0;;-0.0;;;;-0.0;;;0.0;-0.0;0.0;;;;;;;0.0;;;;;0.0;0.0;;;;-0.0;-0.0;;;-0.0;4.0;;;;;-inf;;-0.0;;-inf;-0.0;;-0.0;;-161.8;433.3;100.0;
2010.0;;;-0.0;-0.0;;-0.0;2.0;0.0;4.0;0.0;0.0;4.0;-0.0;-0.0;0.0;-0.0;-0.0;;;0.0;;0.0;0.0;;-0.0;0.0;0.0;;;-inf;-inf;;;;-inf;-0.01;-0.01;2.0;;0.0;;0.0;0.0;;;;;4.0;4.0;;;;4.0;;0.0;;;;;;;;;;;;;0.0;-0.0;;4.0;4.0;;4.0;;-0.0;;;;0.0;;;0.0;0.0;-0.0;;;;;-0.0;-0.0;0.0;;;;;0.0;0.0;;;;-0.01;-0.01;;;2.29;2.0;-4796.2;-231.7;;;-inf;;-0.0;;-inf;0.0;;4.0;;-0.6;-0.6;100.0;
2011.0;1.0;0.0;-0.0;-0.0;-0.0;-0.0;1.0;1.0;5.0;1.0;1.0;3.0;-0.0;-0.0;0.0;-0.0;-0.0;0.0;48.12;1.0;;1.0;1.0;;0.0;1.0;;0.0;0.0;-44.34;-44.51;-0.0;-52.99;;-52.99;-1.0;-1.0;1.0;;0.0;;0.0;1.0;;0.0;0.0;;4.0;4.0;;;0.0;4.0;;1.0;0.0;;;0.0;;;;;;;;;0.0;-1.0;-0.0;4.0;5.0;;5.0;;-0.0;0.0;;;-1.0;-1.0;;;-0.0;1.0;-0.0;0.0;;;-0.0;;;;;0.0;;0.0;0.0;;;1.53;-0.81;-0.26;;0.01;6.9;1.0;-17.9;-1.1;;1.0;-44.5;0.0;-0.0;;-53.0;-0.0;;3.0;-9.8;-7.6;-11.7;100.0;
2012.0;1.0;0.0;-1.0;-1.0;-1.0;-1.0;1.0;1.0;5.0;2.0;2.0;3.0;-1.0;-0.0;1.0;0.0;-1.0;0.0;53.64;1.0;;;;;1.0;1.0;;0.0;0.0;-71.64;-71.73;-0.0;-101.85;0.0;-102.03;-1.0;-1.0;1.0;;0.0;;0.0;1.0;;0.0;0.0;;4.0;4.0;;;0.0;4.0;;1.0;0.0;0.0;1.0;0.0;;;;;;;;;0.0;-2.0;;;5.0;;5.0;;-1.0;0.0;;0.0;-1.0;-1.0;;;-1.0;0.0;-0.0;;;;-0.0;;;;;1.0;;0.0;0.0;;;0.82;-0.83;-0.87;;0.0;2.67;1.0;-2.6;-0.2;;1.0;-71.7;0.0;-1.0;-0.2;-102.0;-1.0;;3.0;-22.0;-12.3;-31.2;100.0;
2013.0;1.0;1.0;-3.0;-3.0;-4.0;-4.0;1.0;1.0;4.0;1.0;4.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;77.6;3.0;;3.0;3.0;;0.0;3.0;;0.0;0.0;-474.29;-349.72;-1.0;-536.66;0.0;-536.88;-3.0;-3.0;1.0;;0.0;;0.0;0.0;;0.0;0.0;;4.0;4.0;;;0.0;4.0;;1.0;0.0;;0.0;;1.0;1.0;;1.0;3.0;;;;0.0;-5.0;-0.0;6.0;4.0;;4.0;;-4.0;0.0;;1.0;0.0;0.0;;;-1.0;3.0;-0.0;-0.0;;;-0.0;-0.0;;;;0.0;;0.0;0.0;;;0.61;-3.27;0.08;;0.01;0.19;1.0;-1.5;-0.1;;1.0;-349.7;0.0;-4.0;-0.0;-536.9;-1.0;1.0;0.0;-115.2;-79.7;-1722.9;100.0;
2014.0;1.0;1.0;-3.0;-3.0;-3.0;-3.0;1.0;0.0;4.0;2.0;4.0;0.0;0.0;-0.0;-0.0;-0.0;0.0;0.0;81.13;4.0;;4.0;4.0;;0.0;4.0;;;0.0;-255.55;-260.7;-0.0;-267.12;;-267.12;-2.0;-2.0;1.0;;0.0;;0.0;0.0;;0.0;0.0;;4.0;4.0;;;0.0;4.0;;1.0;0.0;;1.0;;1.0;1.0;;0.0;2.0;;;0.0;0.0;-9.0;-0.0;9.0;4.0;;4.0;;-3.0;0.0;;2.0;-1.0;0.0;;;-2.0;2.0;-0.0;;;;-0.0;-0.0;;;;-0.0;;0.0;0.0;;;0.84;-2.25;0.12;;0.0;0.22;1.0;-5.9;-0.3;;1.0;-260.7;0.0;-3.0;;-267.1;-2.0;1.0;0.0;-145.8;-76.6;-1021.1;100.0;
2015.0;1.0;1.0;-5.0;-5.0;-5.0;-5.0;2.0;0.0;1.0;4.0;5.0;-3.0;0.0;;0.0;0.0;0.0;0.0;83.57;2.0;;2.0;2.0;;0.0;2.0;;;0.0;-491.05;-553.45;0.0;-504.58;;-504.58;-3.0;-3.0;2.0;;0.0;;0.0;0.0;;0.0;0.0;;1.0;1.0;;;0.0;1.0;;;2.0;;1.0;1.0;0.0;1.0;;0.0;1.0;;;0.0;0.0;-13.0;-0.0;10.0;1.0;;1.0;;-5.0;0.0;;1.0;-2.0;-0.0;;;-3.0;6.0;;;;;;-0.0;;;;0.0;;0.0;0.0;;;0.59;-3.0;0.03;;;-2.11;2.0;-1.9;-0.1;;1.0;-553.4;0.0;-5.0;;-504.6;-3.0;0.0;-3.0;198.5;-332.0;142.1;100.0;
2016.0;1.0;1.0;-6.0;-2.0;-6.0;-6.0;2.0;0.0;0.0;2.0;9.0;-8.0;-2.0;-0.0;2.0;-0.0;-2.0;0.0;75.0;3.0;;3.0;3.0;;0.0;3.0;;;0.0;-836.99;-310.93;-4.0;-841.3;;-841.3;-3.0;-3.0;2.0;;0.0;;0.0;;;0.0;0.0;;0.0;0.0;;;0.0;0.0;;1.0;0.0;;0.0;0.0;1.0;1.0;;5.0;6.0;;;0.0;0.0;-19.0;-0.0;11.0;0.0;;0.0;;-6.0;0.0;;1.0;1.0;-0.0;;;-2.0;2.0;-0.0;;;;-0.0;-1.0;0.0;;;3.0;;0.0;0.0;;;0.41;-3.47;-1.36;;0.19;-4.78;2.0;-0.9;-0.0;;1.0;-310.9;0.0;-6.0;;-841.3;-2.0;1.0;-8.0;298.1;-1255.1;72.6;100.0;
2017.0;1.0;0.0;-30.0;-3.0;-30.0;-30.0;2.0;0.0;0.0;2.0;4.0;-4.0;-3.0;-0.0;2.0;-0.0;-3.0;0.0;50.76;3.0;0.0;3.0;3.0;;0.0;4.0;;;0.0;-4514.39;-439.84;-27.0;-4519.55;;-4519.55;-13.0;-13.0;2.0;;0.0;;0.0;0.0;;0.0;0.0;;0.0;0.0;;;0.0;0.0;;1.0;0.0;;0.0;0.0;2.0;0.0;;0.0;3.0;;;0.0;0.0;-49.0;-0.0;45.0;0.0;;0.0;;-30.0;0.0;;1.0;1.0;-0.0;;;-2.0;26.0;-0.0;;;;;-0.0;1.0;;;2.0;;0.0;0.0;;;0.28;-12.77;-1.09;;0.0;-1.67;2.0;-0.8;-0.0;;1.0;-439.8;0.0;-30.0;;-4519.5;-2.0;2.0;-4.0;2285.8;-8765.3;763.1;100.0;
