;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1987.0;397.0;166.0;41.0;36.0;37.0;20.0;67.0;129.0;205.0;50.0;91.0;114.0;;;;;;231.0;41.82;130.0;;126.0;126.0;;4.0;361.0;;;4.0;10.35;9.06;1.0;9.24;17.0;4.91;0.29;0.29;67.0;;5.0;;5.0;4.0;91.0;28.0;74.0;;;;;;3.0;77.0;;;1.0;;;49.0;38.0;;3.0;;41.0;;;;;32.0;-7.0;89.0;205.0;;205.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;591.0;241.0;32.0;26.0;23.0;13.0;72.0;145.0;247.0;59.0;119.0;128.0;;;;;;349.0;40.87;215.0;;206.0;206.0;;9.0;564.0;;;9.0;5.42;4.45;-4.0;3.86;10.0;2.2;0.18;0.18;72.0;;5.0;;5.0;2.0;123.0;15.0;100.0;;;;;;3.0;103.0;;;1.0;;;58.0;55.0;;5.0;;60.0;;;;;45.0;-16.0;99.0;247.0;;247.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;627.0;266.0;50.0;42.0;37.0;23.0;71.0;184.0;286.0;75.0;135.0;151.0;26.0;-13.0;-1.0;-1.0;12.0;361.0;42.42;224.0;;211.0;211.0;;13.0;585.0;;;13.0;7.95;6.64;-5.0;5.9;14.0;3.61;0.32;0.32;71.0;;17.0;;17.0;2.0;141.0;24.0;99.0;;;;;;3.0;102.0;;;1.0;;;74.0;53.0;;7.0;;60.0;;;;;68.0;-28.0;111.0;286.0;;286.0;;23.0;13.0;3.0;;-13.0;;;;109.0;1.0;-14.0;;;;1.0;;0.0;;;-1.0;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;609.0;260.0;0.0;12.0;-15.0;-7.0;70.0;190.0;308.0;64.0;163.0;145.0;-16.0;-32.0;39.0;39.0;-48.0;349.0;42.66;248.0;;233.0;233.0;;15.0;597.0;;;15.0;0.03;1.89;-26.0;-2.4;-8.0;-1.15;-0.1;-0.1;70.0;;8.0;;8.0;3.0;159.0;21.0;116.0;;;;;;3.0;118.0;;56.0;2.0;;;5.0;91.0;;9.0;-0.0;100.0;;;;;61.0;-39.0;123.0;308.0;;308.0;;-7.0;15.0;1.0;;18.0;;-19.0;;127.0;-42.0;-32.0;;;;0.0;;1.0;;;38.0;;;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;679.0;275.0;22.0;15.0;7.0;5.0;75.0;178.0;288.0;78.0;138.0;150.0;45.0;-8.0;-41.0;-41.0;37.0;405.0;40.42;259.0;;244.0;244.0;;16.0;664.0;;;16.0;3.25;2.24;-9.0;0.97;2.0;0.66;0.06;0.06;75.0;;4.0;;4.0;2.0;161.0;11.0;107.0;;;;;;3.0;110.0;;56.0;1.0;;;21.0;50.0;;10.0;;60.0;;;;;65.0;-50.0;134.0;288.0;;288.0;;5.0;16.0;0.0;;-27.0;;-1.0;;100.0;51.0;-8.0;;;;0.0;;0.0;;;-41.0;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;772.0;328.0;49.0;38.0;32.0;20.0;72.0;219.0;329.0;99.0;159.0;171.0;54.0;-18.0;-1.0;-1.0;36.0;443.0;42.54;290.0;;274.0;274.0;;16.0;733.0;;;16.0;6.29;4.98;-6.0;4.2;12.0;2.61;0.28;0.28;72.0;;39.0;;39.0;2.0;162.0;16.0;108.0;;;;;;3.0;110.0;;63.0;;;;36.0;50.0;;10.0;;60.0;;;;;85.0;-62.0;147.0;329.0;;329.0;;20.0;16.0;-4.0;;20.0;;;;120.0;1.0;-18.0;;;;0.0;;1.0;;;-1.0;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;929.0;418.0;80.0;64.0;60.0;37.0;74.0;262.0;391.0;119.0;181.0;210.0;35.0;-39.0;1.0;1.0;-6.0;511.0;45.02;354.0;;335.0;335.0;;20.0;865.0;;;20.0;8.59;6.93;-4.0;6.49;23.0;3.99;0.5;0.5;74.0;;35.0;;35.0;2.0;203.0;22.0;127.0;;;;;;3.0;129.0;;78.0;;;;42.0;50.0;;12.0;-0.0;62.0;;;;;123.0;-77.0;164.0;391.0;;391.0;;37.0;20.0;-0.0;;22.0;;-41.0;;142.0;-43.0;-40.0;;;;1.0;;1.0;;;;;;39.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;1055.0;486.0;95.0;76.0;72.0;43.0;59.0;311.0;468.0;136.0;210.0;259.0;29.0;-46.0;6.0;6.0;-17.0;570.0;46.03;410.0;;386.0;386.0;;24.0;979.0;;;24.0;9.04;7.2;-4.0;6.79;29.0;4.07;0.75;0.73;57.0;;25.0;;25.0;5.0;253.0;28.0;148.0;;;;;;10.0;157.0;;82.0;;;;55.0;50.0;;16.0;7.0;73.0;;;;;166.0;-77.0;170.0;468.0;;468.0;;43.0;24.0;-2.0;;32.0;;;;175.0;-67.0;-46.0;;;;1.0;;1.0;;;5.0;;;35.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;1279.0;550.0;111.0;99.0;92.0;55.0;60.0;381.0;552.0;171.0;236.0;315.0;60.0;-48.0;4.0;4.0;18.0;729.0;43.02;451.0;;451.0;451.0;;-0.0;1179.0;;-7.0;27.0;8.7;7.72;-7.0;7.2;37.0;4.32;0.95;0.92;58.0;;40.0;;40.0;6.0;302.0;33.0;162.0;;;;;17.0;-8.0;170.0;;103.0;;;;67.0;40.0;;;26.0;66.0;;;;1.0;221.0;0.0;94.0;552.0;;552.0;;55.0;27.0;0.0;;36.0;;-49.0;;211.0;-58.0;-42.0;;;;-7.0;;1.0;;;3.0;;;25.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;1512.0;644.0;124.0;112.0;102.0;64.0;83.0;452.0;640.0;198.0;250.0;390.0;29.0;-49.0;-8.0;-8.0;-19.0;868.0;42.6;534.0;;532.0;532.0;;2.0;1402.0;;-8.0;30.0;8.22;7.41;-10.0;6.76;38.0;4.26;0.8;0.78;81.0;;13.0;;13.0;9.0;388.0;42.0;177.0;;;;;20.0;-9.0;188.0;;129.0;;;;69.0;25.0;;;27.0;52.0;;;;1.0;285.0;-1.0;105.0;640.0;-0.0;640.0;;64.0;30.0;-1.0;;43.0;;-86.0;;254.0;-107.0;-48.0;;;;-0.0;;5.0;;;-13.0;;;40.0;;;;;;;;;;;;;;;;;;;;;;;;;;
