;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1992.0;6.0;2.0;-5.0;-6.0;;-6.0;1.0;4.0;6.0;3.0;3.0;3.0;-5.0;-1.0;7.0;;-6.0;3.0;38.18;8.0;;7.0;7.0;;0.0;11.0;;;0.0;-96.36;-100.0;;;;-100.0;-26.35;-26.35;1.0;;1.0;;1.0;1.0;1.0;0.0;1.0;;1.0;1.0;;;0.0;2.0;;1.0;0.0;;;1.0;0.0;;;;0.0;;;;;-10.0;-1.0;13.0;6.0;;6.0;;-6.0;0.0;;;-1.0;;-1.0;;1.0;0.0;-1.0;;;0.0;-1.0;;7.0;-0.0;;-0.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;2.0;0.0;-7.0;-8.0;;-8.0;2.0;3.0;5.0;2.0;2.0;3.0;-6.0;-0.0;7.0;;-6.0;2.0;4.17;8.0;;7.0;7.0;;1.0;10.0;;;1.0;-287.5;-312.5;;;;-312.5;-27.22;-27.22;2.0;;2.0;;2.0;0.0;1.0;0.0;1.0;;1.0;1.0;;;0.0;2.0;;0.0;1.0;;;1.0;;;;1.0;1.0;;;;;-17.0;-1.0;21.0;5.0;;5.0;;-8.0;1.0;;;;;-0.0;;1.0;1.0;-0.0;;;;;;6.0;;;0.0;0.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;1.0;0.0;-3.0;-4.0;;-3.0;2.0;2.0;2.0;1.0;1.0;2.0;-3.0;-0.0;2.0;;-3.0;1.0;27.27;4.0;;4.0;4.0;;0.0;5.0;;;0.0;-245.45;-354.55;0.0;;;-281.82;-1.73;-1.73;2.0;;1.0;;1.0;0.0;1.0;;0.0;;;;;;0.0;1.0;;0.0;;;;1.0;;;;;;;;;;-20.0;-1.0;23.0;2.0;;2.0;;-3.0;0.0;;;0.0;;-0.0;;1.0;;-0.0;;;;;;2.0;;;-0.0;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;1.0;1.0;-2.0;-2.0;;-2.0;2.0;2.0;3.0;1.0;1.0;2.0;-2.0;-0.0;2.0;;-2.0;1.0;50.0;3.0;1.0;1.0;1.0;;0.0;3.0;;;0.0;-150.0;-158.33;;;;-166.67;-0.91;-0.91;2.0;;2.0;;2.0;0.0;0.0;0.0;0.0;;;;;;;0.0;;;;;;1.0;;;;;;;;;;-22.0;-1.0;25.0;3.0;;3.0;;-2.0;0.0;;;0.0;;0.0;;2.0;-0.0;;;;;-0.0;;2.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;1.0;0.0;-2.0;-3.0;;-3.0;3.0;4.0;5.0;1.0;1.0;4.0;-2.0;-4.0;5.0;;-2.0;1.0;28.57;3.0;1.0;2.0;2.0;;0.0;3.0;;;0.0;-342.86;-357.14;;;;-357.14;-0.91;-0.91;3.0;;0.0;;0.0;0.0;0.0;4.0;0.0;;;;;;0.0;0.0;;0.0;;;;1.0;;;;;;;;;;-25.0;-1.0;30.0;5.0;;5.0;;-3.0;0.0;;;2.0;;;;4.0;-2.0;-0.0;;-4.0;;1.0;;5.0;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;2.0;0.0;-3.0;-3.0;;-3.0;3.0;3.0;3.0;1.0;1.0;2.0;-4.0;3.0;1.0;;-4.0;1.0;22.22;3.0;1.0;2.0;2.0;;0.0;5.0;;;0.0;-150.0;-161.11;0.0;;;-155.56;-0.91;-0.91;3.0;;0.0;;0.0;1.0;1.0;1.0;0.0;;0.0;0.0;;;0.0;0.0;;1.0;0.0;;;1.0;;;;;;;;;;-28.0;-1.0;31.0;3.0;;3.0;;-3.0;0.0;;;-2.0;;-1.0;;2.0;1.0;-0.0;;;3.0;-0.0;;1.0;;;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;2.0;0.0;-10.0;-5.0;;-10.0;3.0;3.0;4.0;3.0;3.0;1.0;-5.0;;5.0;;-5.0;1.0;13.33;5.0;2.0;3.0;3.0;;0.0;7.0;;;0.0;-680.0;-340.0;-5.0;;;-686.67;-2.99;-2.99;3.0;;0.0;;0.0;1.0;2.0;0.0;0.0;;0.0;0.0;;;0.0;1.0;;1.0;2.0;;;1.0;;;;;;;;;;-38.0;-1.0;40.0;4.0;;4.0;;-10.0;0.0;;;-2.0;;-1.0;;0.0;7.0;-0.0;;-3.0;3.0;-0.0;;4.0;;;1.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;7.0;3.0;-5.0;-5.0;;-5.0;4.0;2.0;3.0;4.0;4.0;-1.0;-2.0;0.0;2.0;1.0;-2.0;4.0;42.33;8.0;2.0;5.0;5.0;;0.0;12.0;;;0.0;-66.88;-67.79;0.0;;;-68.49;-1.21;-1.21;4.0;;1.0;;1.0;0.0;1.0;0.0;0.0;;0.0;0.0;;;0.0;0.0;;1.0;1.0;;;1.0;;;;;;;;;0.0;-43.0;-1.0;43.0;3.0;;3.0;;-5.0;0.0;;;-1.0;;1.0;;-1.0;4.0;-0.0;;;0.0;;;3.0;;;-0.0;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;10.0;5.0;-3.0;-4.0;;-4.0;4.0;4.0;7.0;4.0;6.0;1.0;-4.0;-1.0;6.0;1.0;-5.0;5.0;51.71;9.0;2.0;6.0;6.0;;0.0;13.0;0.0;0.0;0.0;-35.19;-37.62;;;;-38.6;-0.82;-0.82;4.0;;2.0;;2.0;1.0;1.0;0.0;2.0;;0.0;0.0;;;0.0;2.0;;1.0;2.0;;;2.0;1.0;;;;1.0;;;;0.0;-46.0;-0.0;48.0;7.0;;7.0;;-4.0;0.0;;;1.0;;-1.0;;-0.0;-1.0;-1.0;;;;;;6.0;;;0.0;;2.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;18.0;11.0;-0.0;-0.0;;-0.0;5.0;7.0;8.0;6.0;6.0;2.0;-1.0;2.0;-0.0;1.0;-1.0;7.0;59.19;11.0;2.0;9.0;9.0;;;18.0;;;0.0;-1.36;-2.03;0.0;;;-2.28;-0.09;-0.09;5.0;;3.0;;3.0;2.0;2.0;0.0;0.0;;0.0;0.0;;;0.0;1.0;;2.0;2.0;;;2.0;;;;0.0;0.0;;;;0.0;-47.0;-0.0;49.0;8.0;;8.0;;-0.0;0.0;;;1.0;;-1.0;;1.0;-2.0;-0.0;;;;2.0;;1.0;;;-1.0;;3.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
