;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1985.0;56.0;20.0;4.0;3.0;2.0;1.0;23.0;21.0;36.0;8.0;16.0;20.0;;;;;;36.0;35.06;17.0;;15.0;15.0;;2.0;53.0;;;2.0;6.98;4.65;-1.0;3.04;0.0;2.33;0.06;0.06;23.0;;1.0;;1.0;7.0;12.0;1.0;13.0;;1.0;1.0;;;1.0;16.0;;;1.0;;;7.0;6.0;;1.0;1.0;8.0;;;;;18.0;-23.0;25.0;36.0;;36.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1986.0;61.0;26.0;4.0;3.0;1.0;1.0;24.0;23.0;40.0;10.0;19.0;21.0;;;;;;35.0;42.36;23.0;;21.0;21.0;;3.0;58.0;;;3.0;6.73;4.11;-1.0;2.13;0.0;1.97;0.05;0.05;24.0;;1.0;;1.0;8.0;14.0;1.0;15.0;;2.0;2.0;;;2.0;18.0;;;4.0;;;6.0;8.0;;1.0;0.0;9.0;;;;;18.0;-24.0;27.0;40.0;;40.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;67.0;28.0;6.0;4.0;3.0;2.0;24.0;24.0;42.0;10.0;19.0;22.0;;;;;;39.0;42.13;24.0;;21.0;21.0;;3.0;63.0;;;3.0;9.15;6.15;-1.0;4.65;1.0;2.7;0.08;0.08;24.0;;1.0;;1.0;9.0;13.0;1.0;13.0;;2.0;2.0;;;3.0;18.0;;;4.0;;;6.0;7.0;;2.0;0.0;10.0;;;;;19.0;-25.0;28.0;42.0;;42.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;71.0;30.0;7.0;5.0;3.0;2.0;24.0;23.0;42.0;10.0;18.0;24.0;;;;;;41.0;42.19;25.0;;22.0;22.0;;3.0;67.0;;;3.0;9.14;6.47;-1.0;4.78;1.0;2.95;0.09;0.09;24.0;;1.0;;1.0;9.0;13.0;1.0;13.0;;2.0;2.0;;;4.0;18.0;;;3.0;;;7.0;5.0;;3.0;0.0;8.0;;;;;20.0;-27.0;30.0;42.0;;42.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;72.0;31.0;7.0;5.0;4.0;2.0;25.0;26.0;47.0;12.0;21.0;26.0;3.0;-5.0;2.0;;-1.0;41.0;42.88;26.0;;23.0;23.0;;3.0;67.0;;;3.0;9.68;6.92;-1.0;5.26;1.0;3.32;0.1;0.1;25.0;;1.0;;1.0;11.0;14.0;1.0;15.0;;2.0;2.0;;;4.0;21.0;;4.0;6.0;;;3.0;5.0;;3.0;1.0;8.0;;;;;22.0;-27.0;31.0;47.0;;47.0;;2.0;3.0;0.0;;-2.0;;-1.0;;14.0;-0.0;-4.0;;;;-0.0;;0.0;;-1.0;2.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;77.0;34.0;7.0;5.0;4.0;2.0;25.0;27.0;51.0;8.0;23.0;28.0;5.0;-6.0;1.0;;0.0;43.0;44.36;29.0;;26.0;26.0;;4.0;72.0;;;4.0;9.47;6.36;-1.0;4.54;1.0;2.98;0.09;0.09;25.0;;1.0;;1.0;11.0;14.0;1.0;16.0;;2.0;2.0;;;6.0;24.0;;3.0;2.0;;;3.0;10.0;;3.0;1.0;14.0;;;;;23.0;-29.0;34.0;51.0;;51.0;;2.0;4.0;0.0;;5.0;;0.0;;18.0;-6.0;-5.0;;;;-1.0;;2.0;;-1.0;-0.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;78.0;33.0;6.0;3.0;2.0;2.0;26.0;26.0;51.0;16.0;22.0;29.0;5.0;-4.0;-1.0;;2.0;45.0;42.35;30.0;;26.0;26.0;;4.0;75.0;;;4.0;8.16;4.21;-1.0;3.06;1.0;2.04;0.06;0.06;26.0;;0.0;;0.0;11.0;14.0;1.0;17.0;;2.0;2.0;;;7.0;25.0;;3.0;10.0;;;3.0;2.0;;3.0;1.0;6.0;;;;;24.0;-30.0;35.0;51.0;;51.0;;2.0;4.0;0.0;;-8.0;;-1.0;;10.0;8.0;-3.0;;;;-1.0;;;;-1.0;-0.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;82.0;34.0;1.0;2.0;1.0;-4.0;27.0;28.0;54.0;18.0;29.0;25.0;4.0;-4.0;0.0;;0.0;48.0;41.29;32.0;;28.0;28.0;;4.0;80.0;;;4.0;0.73;2.56;-1.0;1.46;0.0;-4.75;-0.14;-0.14;27.0;;1.0;;1.0;11.0;15.0;1.0;17.0;;2.0;2.0;;;8.0;26.0;;3.0;11.0;;;3.0;2.0;;;10.0;11.0;;;;;19.0;-32.0;38.0;54.0;;54.0;;-4.0;4.0;-3.0;;-1.0;;-1.0;;10.0;8.0;-4.0;;;;-0.0;;;;-1.0;1.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;85.0;37.0;8.0;4.0;3.0;2.0;28.0;31.0;58.0;19.0;32.0;26.0;3.0;-3.0;0.0;;-0.0;48.0;43.43;33.0;;28.0;28.0;;4.0;81.0;;;4.0;8.99;4.73;-1.0;3.91;1.0;2.6;0.08;0.08;28.0;;1.0;;1.0;12.0;18.0;1.0;17.0;;1.0;1.0;;;9.0;26.0;;3.0;13.0;;;4.0;1.0;;;11.0;12.0;;;;;20.0;-34.0;40.0;58.0;;58.0;;2.0;4.0;-0.0;;2.0;;-3.0;;12.0;-5.0;-3.0;;;;-0.0;;;;-1.0;1.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;99.0;41.0;9.0;6.0;5.0;3.0;28.0;34.0;62.0;19.0;33.0;29.0;6.0;-4.0;-3.0;;3.0;58.0;41.13;35.0;6.0;25.0;25.0;;4.0;93.0;;;4.0;9.48;6.05;-1.0;5.04;2.0;3.23;0.12;0.12;28.0;;0.0;;0.0;14.0;19.0;1.0;17.0;;2.0;2.0;;;10.0;28.0;;5.0;10.0;;;4.0;1.0;;;12.0;13.0;;;;;22.0;-36.0;44.0;62.0;;62.0;;3.0;4.0;-0.0;;3.0;;-1.0;;15.0;-4.0;-4.0;;;;-0.0;;0.0;;-1.0;-2.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
