;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2011.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012.0;;;-0.0;-0.0;-0.0;-0.0;0.0;1.0;2.0;0.0;0.0;2.0;-0.0;-1.0;2.0;1.0;-0.0;;;0.0;;0.0;0.0;;;0.0;;;;-inf;-inf;;-inf;;-inf;-0.71;-0.71;0.0;;1.0;;1.0;;;0.0;;;;;;;1.0;1.0;;;;;;0.0;;;;;;;;;0.0;-36.0;;37.0;2.0;-0.0;2.0;;-0.0;;;;1.0;;;;1.0;-1.0;;;;;-1.0;;2.0;;;-0.0;;1.0;0.0;;;;;;;;0.15;0.0;;;;;;;;;;0.0;;0.0;;;;;-inf
2012.0;;;-0.0;-0.0;-0.0;-0.0;0.0;1.0;2.0;0.0;0.0;2.0;-0.0;-1.0;2.0;1.0;-0.0;;;0.0;;0.0;0.0;;;0.0;;;;-inf;-inf;;-inf;;-inf;-0.71;-0.71;0.0;;1.0;;1.0;;;0.0;;;;;;;1.0;1.0;;;;;;0.0;;;;;;;;;0.0;-36.0;;37.0;2.0;-0.0;2.0;;-0.0;;;;1.0;;;;1.0;-1.0;;;;;-1.0;;2.0;;;-0.0;;1.0;0.0;;;;-0.71;-0.45;;;6.49;0.0;;;;;-inf;;-0.0;;-inf;1.0;;2.0;-9.6;-9.2;-10.9;100.0;
2013.0;1.0;0.0;-2.0;-2.0;-2.0;-2.0;0.0;0.0;1.0;0.0;0.0;0.0;-1.0;-0.0;0.0;-1.0;-1.0;0.0;43.31;3.0;;2.0;2.0;;1.0;3.0;0.0;0.0;0.0;-279.87;-307.61;0.0;-307.55;;-280.24;-15.0;-15.0;0.0;;0.0;;0.0;0.0;0.0;;0.0;;0.0;0.0;;;;1.0;;;0.0;;;0.0;;;;;;;;;0.0;-39.0;-0.0;39.0;1.0;0.0;1.0;;-2.0;0.0;;1.0;-1.0;-0.0;0.0;;0.0;1.0;-0.0;;;;;;;;;0.0;-0.0;0.0;1.0;;;5.57;-15.61;-6.01;;0.02;1.84;0.0;-11.9;-0.7;;1.0;-307.6;0.0;-2.0;;-280.2;0.0;;0.0;-847.6;-443.2;-848.5;100.0;
2014.0;0.0;0.0;-3.0;-2.0;-3.0;-3.0;0.0;1.0;1.0;3.0;3.0;-2.0;-0.0;-1.0;2.0;-0.0;-0.0;0.0;9.25;2.0;;2.0;2.0;;0.0;2.0;;0.0;0.0;-673.46;-377.14;-2.0;-691.06;0.0;-698.32;-20.0;-20.0;0.0;;0.0;;0.0;0.0;0.0;0.0;1.0;;0.0;0.0;0.0;;;1.0;;0.0;1.0;;0.0;2.0;;0.0;;;0.0;;;0.0;0.0;-42.0;-0.0;41.0;1.0;;1.0;;-3.0;0.0;;1.0;-3.0;;-0.0;;-3.0;5.0;-0.0;-1.0;-0.0;;-0.0;-0.0;;;;2.0;-0.0;0.0;0.0;;;3.01;-21.03;-2.13;;0.63;-12.01;0.0;-1.6;-0.1;;0.0;-377.1;0.0;-3.0;-0.8;-698.3;-3.0;;-2.0;195.1;-245.4;175.1;100.0;
2015.0;0.0;-0.0;-2.0;-1.0;-2.0;-2.0;5.0;0.0;1.0;1.0;2.0;-1.0;-1.0;-0.0;1.0;0.0;-1.0;0.0;-156.48;1.0;;1.0;1.0;;;1.0;;0.0;0.0;-2551.79;-2016.66;-1.0;-2952.79;;-2856.86;-0.38;-0.38;5.0;;0.0;;0.0;0.0;0.0;;0.0;;1.0;1.0;;;;1.0;;0.0;0.0;;;1.0;0.0;;;;0.0;;;2.0;6.0;-44.0;-1.0;36.0;1.0;0.0;1.0;;-2.0;0.0;;0.0;1.0;-0.0;0.0;;-1.0;-1.0;-0.0;;;;-0.0;-0.0;;;;1.0;-0.0;0.0;0.0;;;0.01;-0.38;-0.2;;0.0;-0.11;5.0;-2.0;-0.1;;0.0;-2016.7;0.0;-2.0;;-2856.9;-1.0;0.0;-1.0;417.0;-167.6;350.2;100.0;
2016.0;0.0;-0.0;-1.0;-1.0;-2.0;-2.0;19.0;0.0;1.0;1.0;1.0;-1.0;-1.0;-0.0;1.0;-0.0;-1.0;0.0;-1538.11;1.0;;1.0;1.0;;;1.0;;0.0;0.0;-7726.13;-9927.35;-0.0;-13057.34;;-11922.37;-0.08;-0.08;19.0;;0.0;;0.0;0.0;0.0;0.0;0.0;;1.0;1.0;;;;1.0;;0.0;0.0;;;0.0;;;;0.0;0.0;;;0.0;0.0;-46.0;-0.0;45.0;-0.0;1.0;1.0;;-2.0;0.0;;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;-0.0;;;;-0.0;;0.0;;;0.0;0.0;0.0;0.0;;;0.0;-0.08;-0.04;;0.0;-0.07;19.0;-1.1;-0.0;;0.0;-9927.4;0.0;-2.0;;-11922.4;-1.0;;-1.0;97.3;720.2;118.6;100.0;
2017.0;0.0;-0.0;-1.0;-1.0;-2.0;-2.0;77.0;0.0;1.0;2.0;2.0;-2.0;-1.0;-0.0;1.0;0.0;-1.0;0.0;-382.83;1.0;;1.0;1.0;;;1.0;;1.0;0.0;-2531.22;-3197.01;-1.0;-4371.74;;-3910.56;-0.02;-0.02;77.0;;0.0;;0.0;0.0;0.0;0.0;0.0;;1.0;1.0;0.0;;;1.0;;0.0;1.0;;;1.0;;;;0.0;0.0;;;0.0;0.0;-48.0;-1.0;46.0;-0.0;1.0;1.0;;-2.0;0.0;;0.0;-1.0;;0.0;0.0;-1.0;1.0;-0.0;;;;;-0.0;0.0;;;1.0;-0.0;0.0;0.0;;;0.0;-0.02;-0.01;;0.0;-0.02;77.0;-0.9;-0.0;;0.0;-3197.0;0.0;-2.0;;-3910.6;-1.0;;-2.0;69.3;1183.0;88.5;100.0;
2018.0;0.0;-0.0;-1.0;-1.0;-2.0;-2.0;221.0;0.0;1.0;2.0;2.0;-3.0;-1.0;-0.0;0.0;-0.0;-1.0;0.0;-540.18;1.0;;1.0;1.0;;;1.0;;1.0;0.0;-4572.49;-5880.15;-1.0;-9376.51;;-8451.0;-0.01;-0.01;221.0;;0.0;;0.0;0.0;0.0;0.0;0.0;;;1.0;0.0;;;1.0;;0.0;1.0;;;1.0;;;;0.0;0.0;;;0.0;0.0;-49.0;-1.0;47.0;-0.0;1.0;1.0;;-2.0;0.0;;0.0;-1.0;-0.0;;0.0;-2.0;1.0;-0.0;;;;-0.0;;;;;0.0;0.0;0.0;0.0;;;0.0;-0.01;-0.0;;0.0;-0.01;221.0;;;;0.0;-5880.2;0.0;-2.0;;-8451.0;-2.0;;-3.0;39.8;255.9;63.0;100.0;
2019.0;0.0;-0.0;-1.0;-1.0;-2.0;-2.0;802.0;0.0;1.0;2.0;2.0;-3.0;-1.0;-0.0;1.0;0.0;-1.0;0.0;-1083.45;1.0;;1.0;1.0;;;1.0;;1.0;0.0;-6781.47;-8213.76;-1.0;-13550.84;;-12096.91;-0.0;-0.0;802.0;;0.0;;0.0;0.0;0.0;0.0;0.0;;;1.0;0.0;;;1.0;;0.0;2.0;;;0.0;;;;0.0;0.0;;;0.0;1.0;-51.0;-1.0;48.0;-0.0;1.0;1.0;;-2.0;0.0;;0.0;0.0;0.0;;0.0;-2.0;1.0;-0.0;;;;;-0.0;0.0;;;1.0;-0.0;0.0;0.0;;;0.0;-0.0;-0.0;;0.0;-0.0;802.0;;;;0.0;-8213.8;0.0;-2.0;;-12096.9;-2.0;;-3.0;43.0;263.5;67.3;100.0;
