;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1998.0;1.0;2.0;-12.0;-13.0;;-12.0;22.0;13.0;32.0;2.0;2.0;29.0;-8.0;-8.0;20.0;;-15.0;-1.0;158.33;15.0;11.0;4.0;4.0;;1.0;14.0;;;1.0;-958.33;-1075.0;1.0;;;-1025.0;-0.55;-0.55;22.0;;9.0;;9.0;1.0;0.0;3.0;6.0;;12.0;12.0;;;1.0;19.0;;1.0;;;;1.0;0.0;;;;0.0;;;;;-15.0;-0.0;45.0;32.0;;32.0;;-12.0;1.0;;;1.0;;-0.0;;61.0;3.0;-6.0;;-1.0;;-1.0;;20.0;;;;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;7.0;13.0;-22.0;-27.0;;-28.0;30.0;66.0;104.0;5.0;5.0;98.0;-13.0;-69.0;96.0;14.0;-36.0;-6.0;187.36;41.0;27.0;7.0;7.0;;7.0;34.0;;;7.0;-308.4;-394.19;-2.0;;;-402.41;-0.94;-0.94;30.0;;23.0;40.0;63.0;2.0;1.0;0.0;25.0;;11.0;11.0;;;1.0;37.0;;3.0;0.0;;;2.0;0.0;;;;0.0;;;;0.0;-43.0;-4.0;146.0;104.0;;104.0;;-28.0;7.0;;;-24.0;;-0.0;;38.0;32.0;-23.0;-2.0;-38.0;;-7.0;;70.0;;;26.0;;23.0;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;12.0;19.0;-30.0;-33.0;;-37.0;36.0;45.0;77.0;7.0;7.0;70.0;-13.0;-2.0;8.0;-7.0;-17.0;-7.0;153.66;52.0;36.0;9.0;9.0;;7.0;45.0;3.0;0.0;7.0;-243.58;-267.73;-7.0;;;-303.13;-1.04;-1.04;36.0;;17.0;24.0;40.0;3.0;0.0;1.0;21.0;;10.0;10.0;;;2.0;32.0;;5.0;0.0;;;2.0;0.0;;;;0.0;;;;0.0;-81.0;-8.0;159.0;77.0;;77.0;;-37.0;7.0;;;91.0;;0.0;;128.0;-74.0;-4.0;;-14.0;16.0;;;7.0;;;1.0;;17.0;23.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;12.0;;-61.0;-52.0;;-68.0;41.0;137.0;172.0;8.0;12.0;160.0;-23.0;-134.0;153.0;-4.0;-41.0;;;52.0;45.0;7.0;7.0;;;52.0;;;7.0;-518.01;-444.05;-19.0;;;-577.88;-1.65;-1.65;41.0;;13.0;119.0;131.0;3.0;;3.0;33.0;;;;;;2.0;35.0;;4.0;2.0;;;2.0;4.0;;;;4.0;;;;0.0;-148.0;-14.0;322.0;172.0;;172.0;;-68.0;7.0;;;-54.0;;;;74.0;92.0;-18.0;;-95.0;;-21.0;;135.0;;;18.0;-0.0;13.0;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;14.0;;-69.0;-79.0;;-77.0;53.0;81.0;111.0;7.0;12.0;99.0;-54.0;71.0;4.0;21.0;-58.0;;;82.0;54.0;18.0;18.0;;10.0;82.0;;;9.0;-495.42;-566.47;-21.0;;;-556.51;-1.45;-1.45;53.0;;34.0;40.0;74.0;;;7.0;28.0;;;;;;1.0;30.0;;4.0;;;;3.0;;;;5.0;5.0;;;;0.0;-226.0;5.0;319.0;111.0;;111.0;;-77.0;9.0;;;138.0;;;;212.0;-123.0;-5.0;-3.0;;79.0;0.0;;2.0;;;2.0;-0.0;34.0;13.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;12.0;12.0;-63.0;-76.0;;-76.0;62.0;225.0;256.0;13.0;138.0;118.0;-75.0;-51.0;213.0;88.0;-81.0;;100.0;88.0;55.0;14.0;14.0;;19.0;88.0;3.0;3.0;9.0;-522.52;-626.47;-19.0;;;-626.43;-1.22;-1.22;62.0;;121.0;85.0;206.0;;;19.0;25.0;;;;;;6.0;31.0;;10.0;;;;3.0;125.0;;;1.0;126.0;;;;0.0;-301.0;5.0;414.0;256.0;;256.0;;-76.0;9.0;;;-197.0;;;;15.0;189.0;-6.0;;-125.0;80.0;0.0;;95.0;;;119.0;0.0;121.0;34.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;19.0;15.0;-174.0;-179.0;;-187.0;64.0;85.0;233.0;70.0;301.0;-68.0;-65.0;-15.0;-28.0;-108.0;-89.0;4.0;78.79;163.0;50.0;38.0;38.0;;75.0;167.0;;;13.0;-934.31;-962.21;-103.0;;;-1005.54;-2.91;-2.91;64.0;;13.0;36.0;49.0;4.0;2.0;30.0;43.0;;62.0;62.0;;;44.0;148.0;;1.0;43.0;;;26.0;228.0;;;3.0;231.0;;;;0.0;-489.0;-0.0;421.0;233.0;;233.0;;-187.0;13.0;;;13.0;;;;29.0;96.0;-24.0;-15.0;-37.0;86.0;-25.0;;2.0;;;-30.0;;13.0;121.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;26.0;23.0;-52.0;-64.0;;-74.0;69.0;69.0;195.0;40.0;273.0;-77.0;-63.0;58.0;30.0;25.0;-66.0;3.0;89.76;87.0;56.0;42.0;42.0;;-11.0;90.0;2.0;12.0;10.0;-203.66;-250.16;12.0;;;-289.34;-1.08;-1.08;69.0;;38.0;10.0;48.0;6.0;11.0;4.0;37.0;;37.0;37.0;32.0;;20.0;126.0;;0.0;11.0;;8.0;20.0;213.0;;;19.0;232.0;;;;0.0;-563.0;-0.0;486.0;195.0;;195.0;;-74.0;10.0;;;260.0;;-9.0;;288.0;-258.0;-3.0;;;26.0;34.0;;8.0;;;22.0;0.0;38.0;13.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;84.0;75.0;0.0;-25.0;;-29.0;85.0;334.0;463.0;46.0;346.0;118.0;-50.0;-195.0;296.0;51.0;-75.0;9.0;89.62;100.0;67.0;49.0;49.0;;-16.0;109.0;13.0;17.0;12.0;0.18;-29.3;19.0;;;-33.88;-0.34;-0.34;85.0;;89.0;200.0;289.0;15.0;25.0;6.0;55.0;21.0;12.0;33.0;31.0;;10.0;129.0;;2.0;7.0;;7.0;30.0;224.0;;;76.0;300.0;;;;0.0;-592.0;-0.0;709.0;463.0;;463.0;;-29.0;12.0;;;295.0;;-14.0;;583.0;-328.0;-25.0;;-220.0;30.0;20.0;;141.0;;;155.0;-0.0;89.0;38.0;;;1.0;-0.34;-0.88;;0.29;1.39;85.0;-42.3;-2.3;;84.0;-29.3;12.0;-29.0;;-33.9;288.0;224.0;118.0;;-2.5;-24.2;100.0;
2007.0;122.0;103.0;-14.0;-57.0;-15.0;-16.0;96.0;644.0;815.0;62.0;628.0;188.0;-34.0;-151.0;325.0;139.0;-57.0;18.0;84.9;161.0;79.0;78.0;78.0;;4.0;179.0;;;1.0;-11.5;-47.12;42.0;-12.4;1.0;-13.0;-0.16;-0.16;96.0;;228.0;357.0;586.0;17.0;32.0;9.0;77.0;21.0;10.0;31.0;45.0;;18.0;171.0;;1.0;6.0;;5.0;49.0;497.0;;;69.0;566.0;;;;0.0;-607.0;0.0;795.0;815.0;;815.0;;-16.0;1.0;;;25.0;;-7.0;;608.0;-45.0;-22.0;;-839.0;694.0;16.0;;15.0;;;309.0;0.0;228.0;89.0;;;1.27;-0.16;-0.59;;0.23;1.96;96.0;-127.4;-7.3;;122.0;-47.1;1.0;-16.0;-4.8;-13.0;583.0;497.0;188.0;-2.1;-1.8;-8.4;100.0;
