;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2011.0;1778.0;379.0;27.0;48.0;38.0;23.0;48.0;;;;;;;;;;;1399.0;21.32;331.0;;288.0;288.0;;43.0;1730.0;;-11.0;;1.51;2.7;-11.0;2.11;15.0;1.28;0.47;0.47;48.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36.89;0.47;;;;;48.0;;;;1778.0;2.7;;23.0;39.5;1.3;;;;;;;;
2012.0;1743.0;395.0;100.0;66.0;60.0;36.0;48.0;;;;;;61.0;-43.0;-24.0;-6.0;20.0;1349.0;22.63;329.0;;283.0;283.0;;45.0;1677.0;;-6.0;45.0;5.73;3.78;-6.0;3.45;24.0;2.09;0.76;0.76;48.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36.0;45.0;-2.0;1.0;-20.0;;-43.0;;-0.0;0.0;-40.0;;;;-3.0;;;;;-24.0;;38.0;45.0;;;36.17;0.76;0.42;;0.84;;48.0;;;;1743.0;3.8;45.0;36.0;39.5;2.1;;;;;;;100.0;
2013.0;1763.0;405.0;92.0;55.0;50.0;30.0;48.0;403.0;1027.0;229.0;698.0;711.0;59.0;-49.0;7.0;17.0;21.0;1359.0;22.95;350.0;;303.0;303.0;;47.0;1708.0;;-5.0;47.0;5.21;3.11;-5.0;2.84;20.0;1.71;0.6;0.6;48.0;;55.0;;55.0;36.0;289.0;22.0;99.0;274.0;219.0;493.0;;84.0;-53.0;623.0;;143.0;;;;86.0;;;;469.0;469.0;;;;;;658.0;;1408.0;-382.0;1027.0;;30.0;47.0;-8.0;1.0;175.0;;-26.0;;175.0;-186.0;-39.0;;;;-10.0;;;;;7.0;;55.0;38.0;;;36.58;0.63;0.43;;0.8;14.74;48.0;;;;1763.0;3.1;47.0;30.0;39.6;1.7;175.0;;711.0;2.3;3.2;4.3;100.0;
2014.0;1748.0;437.0;106.0;58.0;58.0;35.0;48.0;532.0;1144.0;258.0;719.0;808.0;66.0;-37.0;60.0;89.0;28.0;1311.0;24.98;378.0;;330.0;330.0;;48.0;1690.0;;-0.0;48.0;6.04;3.34;-0.0;3.31;23.0;2.01;0.73;0.73;48.0;;144.0;;144.0;39.0;322.0;26.0;100.0;274.0;208.0;483.0;;75.0;-45.0;612.0;;166.0;;;;93.0;;;;461.0;461.0;;;;;;849.0;;1527.0;-383.0;1144.0;;35.0;48.0;-10.0;2.0;99.0;;-33.0;;273.0;-108.0;-38.0;;;;1.0;;;;;60.0;;144.0;55.0;;;36.26;0.73;0.57;;0.79;16.76;48.0;;;;1748.0;3.3;48.0;35.0;39.4;2.0;273.0;;808.0;2.7;3.8;4.3;100.0;
2015.0;1773.0;444.0;84.0;34.0;33.0;19.0;48.0;471.0;1091.0;253.0;364.0;790.0;14.0;-58.0;33.0;-85.0;-35.0;1329.0;25.02;410.0;;360.0;360.0;;51.0;1739.0;;-0.0;51.0;4.72;1.89;-0.0;1.88;14.0;1.08;0.26;0.26;48.0;;45.0;;45.0;77.0;345.0;5.0;108.0;274.0;198.0;472.0;;42.0;-2.0;620.0;;155.0;;;;98.0;;;;111.0;111.0;;;;;;1453.0;;1154.0;-63.0;1091.0;;19.0;51.0;-11.0;3.0;-55.0;;-23.0;;218.0;7.0;-48.0;;;;-10.0;;;;;33.0;;60.0;144.0;;;36.78;0.4;-0.72;;1.01;16.39;48.0;34.0;1.7;;1773.0;1.9;51.0;19.0;42.6;1.1;218.0;;790.0;2.1;2.9;2.4;100.0;
2016.0;1808.0;453.0;57.0;5.0;3.0;0.0;46.0;446.0;1072.0;258.0;363.0;708.0;83.0;-71.0;-28.0;-16.0;32.0;1355.0;25.07;428.0;;;;;428.0;1783.0;;2.0;53.0;3.17;0.26;-2.0;0.15;3.0;0.0;0.0;0.0;46.0;;29.0;;29.0;51.0;361.0;6.0;111.0;281.0;200.0;481.0;;;33.0;625.0;;152.0;;;;106.0;;;30.0;75.0;105.0;;;;0.0;27.0;0.0;681.0;1072.0;;1072.0;;0.0;53.0;-12.0;7.0;-30.0;;-16.0;;188.0;65.0;-51.0;-18.0;;;-2.0;-61.0;;-19.0;;51.0;;29.0;45.0;;;39.1;0.0;0.69;;1.1;15.32;46.0;5680.7;256.1;;1808.0;0.3;53.0;0.0;96.9;0.0;188.0;;708.0;0.0;0.4;0.0;100.0;58.2
2017.0;1874.0;459.0;60.0;14.0;10.0;5.0;47.0;603.0;1300.0;413.0;586.0;714.0;68.0;-224.0;147.0;-9.0;33.0;1415.0;24.49;446.0;;381.0;2.0;379.0;65.0;1861.0;;-3.0;53.0;3.2;0.72;-3.0;0.54;5.0;0.29;0.12;0.11;46.0;;19.0;;19.0;86.0;487.0;11.0;117.0;329.0;210.0;539.0;;94.0;-53.0;697.0;;193.0;100.0;;;120.0;60.0;;17.0;96.0;173.0;;;;0.0;32.0;-434.0;1115.0;1300.0;;1300.0;;5.0;53.0;-12.0;9.0;1.0;;2.0;;189.0;11.0;-35.0;-187.0;;;-3.0;-153.0;;-9.0;;310.0;;22.0;31.0;;;40.47;0.12;0.72;;0.75;15.41;46.0;73.1;3.1;;1874.0;0.7;53.0;5.0;46.9;0.3;189.0;60.0;714.0;0.4;0.5;0.8;100.0;28.2
2018.0;2204.0;557.0;-218.0;-263.0;-273.0;-253.0;47.0;619.0;1039.0;413.0;571.0;468.0;60.0;-100.0;35.0;-5.0;17.0;1646.0;25.29;820.0;;434.0;;434.0;386.0;2466.0;;-10.0;66.0;-9.88;-11.92;-10.0;-12.39;-20.0;-11.46;-5.4;-5.4;47.0;;16.0;;16.0;100.0;494.0;9.0;111.0;49.0;219.0;268.0;;43.0;-2.0;420.0;;188.0;100.0;;;126.0;96.0;;2.0;59.0;158.0;;;;1.0;-220.0;-460.0;1148.0;1039.0;;1039.0;;-253.0;66.0;-15.0;8.0;16.0;;-7.0;;206.0;237.0;-43.0;-58.0;;;1.0;-638.0;;-2.0;;675.0;;17.0;22.0;;;47.12;-5.4;0.37;;0.92;10.01;47.0;-1.2;-0.0;;2204.0;-11.9;66.0;-253.0;7.5;-11.5;206.0;96.0;468.0;-41.9;-27.3;-54.0;100.0;
2019.0;2035.0;528.0;19.0;-28.0;-37.0;-24.0;47.0;591.0;946.0;409.0;496.0;451.0;121.0;-55.0;-68.0;-2.0;74.0;1507.0;25.94;555.0;;424.0;;424.0;132.0;2062.0;;-10.0;66.0;0.92;-1.36;-10.0;-1.84;-13.0;-1.2;-0.52;-0.52;47.0;;14.0;;14.0;98.0;467.0;12.0;110.0;5.0;195.0;200.0;;33.0;13.0;355.0;;187.0;100.0;;20.0;101.0;34.0;;;54.0;87.0;;;;1.0;-245.0;-491.0;1186.0;946.0;;946.0;;-24.0;66.0;-5.0;9.0;-23.0;;24.0;;183.0;98.0;-46.0;-10.0;;;2.0;-584.0;;-2.0;;518.0;;15.0;17.0;;;43.01;-0.52;1.57;;0.98;9.53;47.0;-8.4;-0.3;;2035.0;-1.4;66.0;-24.0;34.9;-1.2;183.0;34.0;451.0;-5.7;-5.0;-5.4;100.0;
2020.0;1851.0;443.0;4.0;-43.0;-50.0;-38.0;48.0;585.0;1156.0;407.0;739.0;418.0;-16.0;-30.0;40.0;-6.0;-52.0;1409.0;23.91;485.0;;404.0;;404.0;81.0;1894.0;;-7.0;62.0;0.23;-2.31;-7.0;-2.71;-12.0;-2.07;-0.8;-0.8;48.0;;8.0;;8.0;91.0;470.0;16.0;349.0;5.0;175.0;180.0;;26.0;17.0;572.0;;144.0;168.0;;;95.0;100.0;;;232.0;332.0;;279.0;;1.0;-283.0;-519.0;1219.0;1156.0;;1156.0;;-38.0;62.0;-5.0;7.0;-5.0;;-2.0;;178.0;-36.0;-36.0;;;;7.0;-560.0;;-1.0;;601.0;;9.0;15.0;;;38.55;-0.8;-1.09;;0.75;8.7;48.0;-3.4;-0.1;;1851.0;-2.3;62.0;-38.0;23.8;-2.1;178.0;100.0;418.0;-5.9;-5.0;-9.2;100.0;
