;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (CAD/USD)
1995.0;3475.0;;6552.0;;928.0;652.0;914.0;;109479.0;1621.0;103936.0;5544.0;430.0;-9706.0;9417.0;141.0;113.0;;;;;1229.0;1229.0;;;;7837.0;5520.0;105.0;188.55;;;26.69;276.0;18.75;0.63;0.63;914.0;;12442.0;;12442.0;1653.0;;;1105.0;;;;;;;;109479.0;1415.0;206.0;;;;2417.0;;;;2417.0;104732.0;;;;2790.0;;2754.0;109479.0;;109479.0;;652.0;105.0;-34.0;;65.0;;;;;-357.0;-317.0;;;2592.0;-12298.0;-13.0;;;-288.0;9717.0;;1514.0;1373.0;;0.74;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;4007.0;;6678.0;;1296.0;799.0;937.0;;117521.0;1827.0;111655.0;5866.0;1649.0;-7414.0;5865.0;100.0;1501.0;;;;;1427.0;1427.0;;;;7938.0;5261.0;121.0;166.65;;;32.34;497.0;19.94;0.76;0.76;937.0;;11013.0;;11013.0;1553.0;;;1138.0;;;;;;;;117521.0;1484.0;343.0;;;;2429.0;;;;2429.0;112257.0;;;;3186.0;;2681.0;117521.0;;117521.0;;799.0;121.0;-35.0;;167.0;;;;;598.0;-149.0;;-2841.0;;-4573.0;-223.0;;;-312.0;6400.0;;1621.0;1521.0;;0.75;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;4544.0;;6552.0;;1613.0;1075.0;958.0;137078.0;138559.0;2038.0;131789.0;6770.0;28.0;-8050.0;8016.0;43.0;-1052.0;;;;;1563.0;1563.0;;;;7446.0;4807.0;131.0;144.19;;;35.5;538.0;23.66;1.05;1.05;958.0;;12904.0;;12904.0;2707.0;;121468.0;1218.0;;;262.0;;;;1480.0;;1797.0;241.0;;;;3669.0;;;;3669.0;133419.0;;;;3808.0;;2962.0;138559.0;;138559.0;;1075.0;131.0;4.0;;-240.0;;;;;-943.0;-1080.0;;;395.0;-8445.0;;;;-322.0;8338.0;50.0;1583.0;1540.0;;0.71;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;4693.0;;7212.0;;1399.0;904.0;982.0;150136.0;151529.0;1868.0;144401.0;7127.0;134.0;-18252.0;19547.0;1428.0;-34.0;;;;;1622.0;1622.0;;;;8492.0;5653.0;161.0;153.67;;;29.8;494.0;19.27;0.86;0.86;982.0;;14855.0;;14855.0;1939.0;;133342.0;1141.0;;;251.0;;;;1392.0;;1670.0;197.0;;;;3556.0;;;;3556.0;146090.0;;;;4161.0;;2967.0;151529.0;;151529.0;;904.0;161.0;-101.0;;-289.0;;;;;-542.0;-168.0;;;14.0;-18266.0;-597.0;;;-318.0;20461.0;;2874.0;1447.0;;0.65;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;5342.0;;7817.0;;1644.0;1055.0;986.0;150063.0;151452.0;2233.0;143560.0;7892.0;1496.0;949.0;-2409.0;-84.0;1349.0;;;;;1787.0;1787.0;;;;9162.0;5984.0;188.0;146.33;;;30.78;590.0;19.75;1.0;1.0;986.0;;11640.0;;11640.0;2096.0;;136327.0;1143.0;;;246.0;;;;1389.0;;2192.0;41.0;;;;3655.0;;;;3655.0;144982.0;;;;4729.0;;3163.0;151452.0;;151452.0;;1055.0;188.0;-18.0;;584.0;;;;;-314.0;-147.0;;-15447.0;14011.0;2385.0;-245.0;;;-345.0;-1819.0;-120.0;1922.0;2006.0;;0.68;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;5821.0;;8762.0;;1915.0;1265.0;1042.0;164861.0;166257.0;2226.0;157258.0;8999.0;-3105.0;-11787.0;14792.0;-101.0;-3171.0;;;;;1933.0;1933.0;;;;10068.0;6654.0;194.0;150.53;;;32.9;650.0;21.73;1.21;1.19;991.0;;11454.0;;11454.0;2331.0;;151076.0;1071.0;;;326.0;;;;1397.0;;2172.0;54.0;;;;3473.0;;;;3473.0;158505.0;;;;5539.0;;3460.0;166257.0;;166257.0;;1265.0;194.0;22.0;;-368.0;;;;;-4218.0;-66.0;;-18698.0;19368.0;-12458.0;-43.0;;;-373.0;15209.0;-1.0;482.0;583.0;;0.66;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;6465.0;;8889.0;;1917.0;1365.0;1018.0;177092.0;179017.0;;169140.0;9877.0;-288.0;-192.0;599.0;144.0;-391.0;;;;;2027.0;2027.0;;;;10689.0;6786.0;186.0;137.5;;;29.65;551.0;21.12;1.3;1.27;1001.0;;11601.0;;11601.0;2282.0;;163208.0;1463.0;;;461.0;;;;1925.0;;1846.0;;;;;3363.0;;;;3363.0;172503.0;;;1838.0;6239.0;;1800.0;179017.0;;179017.0;;1365.0;186.0;68.0;;-66.0;;;;;-1841.0;-103.0;;26056.0;-29313.0;3066.0;-67.0;;;-432.0;1098.0;23.0;605.0;461.0;;0.63;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;6813.0;;6650.0;;1539.0;1153.0;1026.0;152392.0;190187.0;;179477.0;9483.0;-1956.0;-9899.0;11679.0;-239.0;-1980.0;;;;;2146.0;2146.0;;;;9220.0;4937.0;174.0;97.61;;;22.59;386.0;16.93;1.08;1.06;1009.0;;11709.0;;11709.0;2183.0;;138500.0;1348.0;;;388.0;36059.0;;;37795.0;227982.0;1429.0;;;;;2489.0;;;;2489.0;181966.0;;819.0;;6738.0;;;188960.0;1227.0;190187.0;;1153.0;174.0;67.0;;-94.0;;;;;-3256.0;-24.0;;-18888.0;20513.0;-11525.0;-912.0;;;-537.0;13127.0;-62.0;378.0;617.0;;0.64;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;7705.0;;8030.0;;2472.0;1877.0;1026.0;166892.0;216678.0;;203838.0;11076.0;-5389.0;-1378.0;7112.0;233.0;-5491.0;;;;;2548.0;2548.0;;;;10040.0;5378.0;180.0;104.22;;;32.08;595.0;24.36;1.8;1.78;1010.0;;14009.0;;14009.0;2273.0;;150611.0;1473.0;;;420.0;47893.0;;;49786.0;266463.0;1698.0;;;;;2017.0;;;;2017.0;205855.0;;607.0;;8903.0;-814.0;;214915.0;1763.0;216678.0;;1877.0;180.0;-82.0;;308.0;;;;;-7672.0;-102.0;;-20134.0;19594.0;-838.0;-803.0;;;-683.0;8597.0;-112.0;680.0;447.0;;0.76;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;8361.0;;8417.0;;3057.0;2406.0;1026.0;179032.0;229233.0;;214853.0;12508.0;803.0;2765.0;-2683.0;841.0;616.0;;;;;3006.0;2834.0;172.0;;;9998.0;5183.0;177.0;100.67;;;36.56;651.0;28.78;2.36;2.32;1010.0;;12195.0;;12195.0;2158.0;;164679.0;1536.0;;;411.0;48253.0;;;50201.0;279434.0;1730.0;;;;;2147.0;;;;2147.0;217000.0;;451.0;;10870.0;-1463.0;;227362.0;1872.0;229233.0;;2406.0;177.0;-71.0;;-84.0;;;;;-1626.0;-187.0;;-20091.0;23912.0;-1057.0;;;;-935.0;-1748.0;-44.0;1578.0;737.0;;0.82;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;8801.0;;10315.0;;3432.0;2716.0;1012.0;191476.0;265728.0;;251861.0;13609.0;-2811.0;-23301.0;26633.0;491.0;-2953.0;;;;;3147.0;2952.0;196.0;;;11680.0;6712.0;171.0;117.21;;;39.0;716.0;30.86;2.7;2.67;998.0;;14964.0;;14964.0;2180.0;;174332.0;1637.0;;;620.0;71995.0;;;74253.0;339981.0;1588.0;;;;;2833.0;;;;2833.0;254693.0;;508.0;;11953.0;-1660.0;;265469.0;259.0;265728.0;;2716.0;171.0;-196.0;;-5935.0;;;;;434.0;-142.0;;-22171.0;20037.0;-21167.0;;;;-1136.0;27769.0;-30.0;2116.0;1626.0;;0.85;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;9985.0;;14215.0;;3965.0;3189.0;1001.0;249524.0;337656.0;;321636.0;15633.0;-5314.0;-42126.0;47296.0;-197.0;-5542.0;;;;;3563.0;3356.0;207.0;;;15753.0;10044.0;205.0;142.37;;;39.71;777.0;31.94;3.2;3.16;988.0;;17830.0;;17830.0;;;231694.0;2010.0;;;1040.0;85083.0;;;88132.0;425789.0;2376.0;;;;;2023.0;;;;2023.0;323659.0;;535.0;;14115.0;-2068.0;;337269.0;388.0;337656.0;;3189.0;205.0;-159.0;;-11549.0;;;;;3001.0;-228.0;;-36817.0;29540.0;-34848.0;-267.0;;;-1348.0;48911.0;-53.0;2031.0;2228.0;;0.89;11.34;3.62;-6.3;1.53;0.26;17.76;988.0;11.5;0.6;3.7;11207.0;;230.0;3579.0;19.6;31.9;280081.0;2271.0;17547.0;3.3;4.2;20.4;57.7;-24.3;0.891
2007.0;13232.0;;20459.0;;5412.0;4285.0;997.0;337946.0;435953.0;;415507.0;19920.0;2131.0;-47695.0;45685.0;-150.0;1795.0;;;;;4549.0;4219.0;330.0;;;22284.0;14765.0;283.0;154.62;;;40.9;1126.0;32.39;4.28;4.25;989.0;;26643.0;;26643.0;2816.0;;308487.0;2406.0;;;1490.0;94111.0;;;98008.0;533961.0;2527.0;;;;;1812.0;;;;1812.0;417319.0;;1732.0;;18497.0;-4087.0;;435427.0;526.0;435953.0;;4285.0;283.0;-112.0;;987.0;;;;;-3312.0;-336.0;;-34042.0;35149.0;-48802.0;-530.0;;;-1876.0;48091.0;-273.0;2265.0;2415.0;;1.06;12.63;4.09;1.71;1.79;0.32;19.01;989.0;11.9;0.7;3.7;12490.0;;267.0;4045.0;20.8;32.4;318997.0;1710.0;18803.0;3.7;4.6;21.5;56.2;104.5;1.059
2008.0;9795.0;;15557.0;;3160.0;2589.0;993.0;341712.0;418638.0;;400377.0;17848.0;16586.0;-42670.0;26198.0;360.0;16203.0;;;;;3652.0;3389.0;264.0;;;18404.0;12157.0;240.0;158.82;;;32.26;570.0;26.44;2.53;2.52;987.0;;28776.0;;28776.0;;;312936.0;2216.0;;;2107.0;72603.0;;;76926.0;495565.0;2260.0;;;;;3589.0;;;;3589.0;403966.0;;2358.0;;15297.0;-2965.0;;418225.0;414.0;418638.0;;2589.0;240.0;-302.0;;7944.0;;;;;6116.0;-383.0;;-34179.0;32972.0;-41463.0;-570.0;;;-1652.0;28420.0;245.0;2123.0;1763.0;;0.82;12.03;3.18;19.91;2.03;0.47;21.93;987.0;13.4;0.6;4.8;11877.0;;291.0;3140.0;18.0;26.4;414347.0;4352.0;21641.0;3.0;3.7;14.5;36.2;10.2;0.825
2009.0;13329.0;;14399.0;;4420.0;3270.0;1016.0;344257.0;457788.0;20731.0;434437.0;22840.0;-10185.0;-7495.0;18593.0;720.0;-10369.0;;;;;4288.0;4005.0;283.0;;;17458.0;9780.0;304.0;108.02;;;33.16;1045.0;24.53;3.06;3.05;1013.0;;39902.0;13764.0;53666.0;3231.0;;287361.0;2187.0;2681.0;517.0;3198.0;108145.0;;;113530.0;571318.0;7189.0;13542.0;;;;5480.0;578.0;311.0;;6369.0;420075.0;461.0;3421.0;4560.0;18363.0;-3504.0;;457277.0;511.0;457788.0;;3270.0;304.0;149.0;;-15897.0;-211.0;;;-15897.0;1988.0;-183.0;;-37062.0;36333.0;-6583.0;-331.0;539.0;;-2006.0;20391.0;-193.0;3093.0;2373.0;;0.92;14.27;3.5;-11.1;2.15;0.2;24.45;1013.0;10.1;0.1;6.1;14457.0;;330.0;3547.0;23.6;24.5;350896.0;5944.0;24772.0;2.5;3.1;14.3;38.7;-14.1;0.922
