;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (BRL/USD)
1999.0;944.0;290.0;82.0;75.0;48.0;41.0;1408662.0;421.0;1165.0;398.0;792.0;373.0;58.0;-182.0;58.0;-65.0;-46.0;654.0;30.69;215.0;;;;;215.0;869.0;;;33.0;8.65;7.91;-26.0;5.12;7.0;4.38;0.0;0.0;1408662.0;;190.0;;190.0;97.0;126.0;7.0;525.0;;;;;;219.0;744.0;;62.0;168.0;;;168.0;292.0;;53.0;50.0;394.0;;;;340.0;-33.0;-118.0;184.0;1165.0;;1165.0;;41.0;33.0;0.0;;-6.0;;-32.0;;;-11.0;-104.0;;-71.0;;-7.0;;;-0.0;-8.0;66.0;;174.0;239.0;;0.55;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;939.0;239.0;70.0;28.0;29.0;26.0;562.0;618.0;1309.0;472.0;909.0;400.0;29.0;-128.0;63.0;-37.0;-56.0;699.0;25.51;212.0;;;;;212.0;911.0;1.0;2.0;39.0;7.42;2.94;2.0;3.13;4.0;2.75;0.19;0.19;562.0;;336.0;;336.0;142.0;140.0;0.0;593.0;;3.0;3.0;;17.0;78.0;691.0;;65.0;252.0;;;155.0;277.0;;51.0;108.0;436.0;;;;346.0;-37.0;-153.0;244.0;1309.0;;1309.0;;26.0;39.0;4.0;;-39.0;;-11.0;;;-1.0;-84.0;;-52.0;;8.0;;;;-7.0;70.0;;140.0;177.0;;0.51;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;1053.0;346.0;126.0;155.0;103.0;73.0;282.0;451.0;1049.0;439.0;758.0;291.0;95.0;-69.0;-26.0;-1.0;43.0;707.0;32.88;191.0;;;;;191.0;898.0;;;28.0;11.93;14.75;-52.0;9.82;25.0;6.91;0.26;0.26;282.0;;5.0;169.0;174.0;119.0;138.0;20.0;391.0;;;;;15.0;191.0;598.0;;65.0;301.0;;;72.0;259.0;;4.0;56.0;319.0;;;;180.0;;-110.0;222.0;1049.0;;1049.0;;73.0;28.0;;;-5.0;;-25.0;;;-2.0;-51.0;;-16.0;;-2.0;;;;-22.0;-4.0;;5.0;6.0;;0.43;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;824.0;230.0;23.0;1.0;0.0;2.0;281.0;526.0;850.0;471.0;659.0;191.0;-27.0;1.0;90.0;64.0;-57.0;594.0;27.88;229.0;;;;;229.0;823.0;;;23.0;2.85;0.09;-0.0;0.06;-2.0;0.28;0.01;0.01;281.0;;142.0;113.0;255.0;56.0;168.0;47.0;264.0;;;;;10.0;49.0;323.0;;79.0;357.0;;;36.0;150.0;;2.0;35.0;188.0;375.0;;;138.0;-2.0;54.0;;850.0;;850.0;;2.0;23.0;;;-65.0;;-78.0;;;13.0;-30.0;;-0.0;33.0;-2.0;;;;-2.0;92.0;;142.0;78.0;;0.28;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;1317.0;352.0;162.0;51.0;47.0;43.0;281.0;574.0;957.0;455.0;694.0;263.0;67.0;54.0;-139.0;-18.0;41.0;965.0;26.74;301.0;;;;;301.0;1266.0;33.0;81.0;34.0;12.26;3.87;-4.0;3.55;4.0;3.23;0.15;0.15;279.0;;156.0;68.0;223.0;53.0;234.0;63.0;315.0;;;;;14.0;54.0;383.0;;111.0;280.0;;;64.0;201.0;;1.0;37.0;240.0;;;;169.0;-4.0;98.0;;957.0;;957.0;;43.0;34.0;-2.0;;-1.0;;-30.0;;;-6.0;-26.0;;-0.0;82.0;-2.0;;;;;-139.0;;156.0;173.0;;0.35;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;1839.0;509.0;169.0;140.0;139.0;111.0;281.0;478.0;951.0;390.0;585.0;365.0;159.0;-29.0;-217.0;-90.0;118.0;1330.0;27.66;369.0;;;;;369.0;1699.0;;;40.0;9.18;7.62;-1.0;7.54;18.0;6.05;0.4;0.4;281.0;;80.0;23.0;103.0;92.0;219.0;64.0;346.0;;;;;12.0;115.0;473.0;;116.0;180.0;;;94.0;146.0;;1.0;48.0;195.0;;;;185.0;;181.0;-0.0;951.0;;951.0;;111.0;40.0;4.0;;14.0;;38.0;;-3.0;-10.0;-42.0;;;14.0;-1.0;;;;-31.0;-186.0;-3.0;80.0;170.0;;0.38;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;2199.0;624.0;292.0;195.0;193.0;154.0;281.0;935.0;1553.0;483.0;1030.0;523.0;205.0;-104.0;141.0;242.0;76.0;1575.0;28.36;429.0;;;;;429.0;2004.0;23.0;61.0;50.0;13.27;8.86;-2.0;8.77;27.0;7.02;0.55;0.55;281.0;;333.0;17.0;350.0;273.0;276.0;37.0;473.0;7.0;40.0;47.0;;20.0;77.0;617.0;;142.0;235.0;;;106.0;481.0;;8.0;58.0;547.0;;;;;181.0;-232.0;;1553.0;;1553.0;;154.0;50.0;1.0;;-27.0;;-26.0;;9.0;26.0;-129.0;-3.0;-48.0;72.0;5.0;;;;-36.0;177.0;;333.0;91.0;;0.43;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;2433.0;628.0;175.0;38.0;35.0;55.0;348.0;1329.0;2255.0;584.0;1254.0;983.0;45.0;-624.0;372.0;-206.0;-199.0;1805.0;25.8;590.0;;;;;590.0;2395.0;33.0;81.0;68.0;7.19;1.55;-3.0;1.43;-29.0;2.25;0.16;0.16;348.0;;157.0;366.0;523.0;396.0;344.0;65.0;733.0;39.0;42.0;81.0;;23.0;89.0;927.0;;227.0;255.0;;;102.0;601.0;;12.0;57.0;670.0;;;;;236.0;-338.0;;2237.0;18.0;2255.0;;55.0;68.0;-18.0;;-50.0;;-31.0;;-38.0;-9.0;-244.0;-53.0;-454.0;121.0;7.0;;374.0;;;-1.0;;157.0;364.0;;0.47;14.94;0.34;-1.22;;1.5;6.04;348.0;16.7;0.9;;5197.0;1.5;146.0;117.0;-82.9;2.3;1590.0;1284.0;2100.0;11.8;4.8;5.6;100.0;188.1;0.468
2007.0;3726.0;1052.0;363.0;227.0;216.0;180.0;390.0;2117.0;3676.0;1090.0;1864.0;1812.0;189.0;-467.0;711.0;433.0;-147.0;2674.0;28.24;826.0;;;;;826.0;3500.0;;;165.0;9.75;6.09;-11.0;5.79;18.0;4.84;0.46;0.46;390.0;;622.0;374.0;996.0;550.0;486.0;85.0;1200.0;151.0;;151.0;;44.0;163.0;1559.0;;323.0;591.0;;;176.0;682.0;;17.0;74.0;773.0;;;;;408.0;-493.0;;3676.0;;3676.0;;180.0;165.0;-8.0;;-125.0;;-126.0;;-0.0;-23.0;-336.0;-145.0;-197.0;304.0;-93.0;;506.0;;;205.0;;622.0;189.0;;0.56;17.0;0.82;-0.67;;1.53;8.27;390.0;11.0;0.6;;6633.0;6.1;294.0;321.0;8.4;4.8;1827.0;1214.0;3226.0;7.0;5.4;10.0;100.0;345.0;0.562
2008.0;4922.0;1192.0;297.0;306.0;-79.0;24.0;535.0;2586.0;4847.0;1331.0;3071.0;1776.0;274.0;-703.0;483.0;54.0;0.0;3730.0;24.22;886.0;;886.0;69.0;817.0;;4616.0;36.0;124.0;260.0;6.04;6.22;-385.0;-1.61;-110.0;0.48;-1.02;-1.02;535.0;;533.0;321.0;854.0;595.0;730.0;407.0;1261.0;39.0;668.0;668.0;11.0;203.0;119.0;2261.0;;468.0;711.0;29.0;;152.0;1607.0;;30.0;103.0;1740.0;;;;;304.0;-500.0;;4847.0;0.0;4847.0;;24.0;260.0;-126.0;;-323.0;-84.0;-201.0;111.0;77.0;440.0;-274.0;-434.0;-1181.0;1223.0;-37.0;-885.0;17.0;-23.0;-49.0;1423.0;;533.0;479.0;;0.43;21.29;0.1;0.0;0.21;1.19;7.68;535.0;112.1;5.2;1.9;11393.0;6.2;602.0;54.0;139.1;0.5;2904.0;3720.0;4111.0;-0.4;0.8;1.3;-110.1;63623.0;0.432
