;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2010.0;;;-2.0;-2.0;;-2.0;0.0;0.0;0.0;1.0;1.0;-1.0;-1.0;-0.0;1.0;0.0;-1.0;;;2.0;0.0;2.0;2.0;0.0;;2.0;;0.0;0.0;-inf;-inf;-0.0;;;-inf;-2115.7;-2115.7;0.0;;0.0;;0.0;;;;0.0;;0.0;0.0;;;;0.0;;0.0;1.0;;;0.0;0.0;;;;0.0;;;;0.0;-3.0;;2.0;0.0;;0.0;;-2.0;0.0;;1.0;0.0;;;0.0;-1.0;0.0;-0.0;;;;-0.0;-0.0;1.0;-0.0;;0.0;;0.0;0.0;;;;-2115.7;-727.1;;45.59;-695.53;0.0;;;;;-inf;0.0;-2.0;;-inf;-1.0;0.0;-1.0;;-405.3;304.2;100.0;
2011.0;;;-3.0;-4.0;;-4.0;0.0;0.0;0.0;4.0;4.0;-4.0;-3.0;0.0;3.0;0.0;-3.0;;;4.0;0.0;4.0;3.0;0.0;;4.0;;0.0;0.0;-inf;-inf;-0.0;;;-inf;-26979.72;-26979.72;0.0;;0.0;;0.0;;;0.0;0.0;;0.0;0.0;0.0;;;0.0;;0.0;3.0;;0.0;0.0;;;;;;;;;1.0;-8.0;;3.0;0.0;;0.0;;-4.0;0.0;;0.0;-3.0;;;0.0;-4.0;4.0;-0.0;;;;0.0;-0.0;0.0;-0.0;;3.0;;0.0;0.0;;;;-26979.72;-18732.71;;117.7;-24413.23;0.0;;;;;-inf;0.0;-4.0;;-inf;-4.0;;-4.0;;-1488.9;110.5;100.0;
2012.0;0.0;0.0;-6.0;-6.0;-7.0;-7.0;0.0;0.0;1.0;3.0;6.0;-5.0;-3.0;-1.0;4.0;-0.0;-4.0;0.0;91.62;6.0;0.0;5.0;5.0;0.0;;6.0;;1.0;0.0;-37555.36;-35746.05;-1.0;-41931.63;;-41931.63;-35143.67;-35143.67;0.0;;0.0;;0.0;;0.0;0.0;0.0;;1.0;1.0;;;;1.0;;1.0;1.0;;;1.0;4.0;;;;4.0;;;;1.0;-14.0;;8.0;1.0;;1.0;;-7.0;0.0;;2.0;1.0;;-0.0;0.0;-3.0;0.0;-1.0;;;;-1.0;-0.0;2.0;;;2.0;;0.0;0.0;;;83.81;-35143.67;-22508.84;;5389.96;-27643.51;0.0;-3.0;-0.2;;0.0;-35746.1;0.0;-7.0;;-41931.6;-3.0;4.0;-5.0;384.1;-468.8;127.1;100.0;
2013.0;0.0;0.0;-5.0;-5.0;-6.0;-6.0;0.0;0.0;1.0;8.0;8.0;-7.0;-3.0;-0.0;3.0;0.0;-3.0;0.0;87.62;5.0;2.0;3.0;3.0;0.0;;5.0;;0.0;0.0;-313994.17;-282873.21;-1.0;-342332.98;;-342332.98;-24164.68;-24164.68;0.0;;0.0;;0.0;;0.0;0.0;0.0;;1.0;1.0;;;;1.0;;1.0;5.0;;;1.0;1.0;;;0.0;1.0;;;;0.0;-20.0;;13.0;1.0;;1.0;;-6.0;0.0;;1.0;-4.0;;-0.0;0.0;-7.0;7.0;-0.0;;;;;-0.0;1.0;;;2.0;;0.0;0.0;;;7.06;-24164.68;-11275.48;;46.89;-28088.53;0.0;-3.1;-0.2;;0.0;-282873.2;0.0;-6.0;;-342333.0;-7.0;1.0;-7.0;87.9;-389.0;86.0;100.0;
2014.0;0.0;0.0;-5.0;-5.0;-6.0;-6.0;0.0;0.0;2.0;9.0;9.0;-7.0;-3.0;-0.0;3.0;-0.0;-3.0;0.0;48.6;5.0;1.0;4.0;4.0;0.0;;5.0;;0.0;0.0;-1251.37;-1183.31;-1.0;-1343.19;;-1343.19;-13178.33;-13178.33;0.0;;0.0;;0.0;;0.0;0.0;0.0;;1.0;1.0;;;0.0;2.0;;1.0;6.0;;0.0;2.0;0.0;;;0.0;0.0;;;;0.0;-25.0;;18.0;2.0;;2.0;;-6.0;0.0;;1.0;-1.0;;0.0;-0.0;-8.0;2.0;-0.0;;;;0.0;-0.0;3.0;;;1.0;;0.0;0.0;;;981.12;-13178.33;-8009.97;;397.11;-16246.21;0.0;-2.5;-0.1;;0.0;-1183.3;0.0;-6.0;;-1343.2;-8.0;0.0;-7.0;77.6;-313.4;81.1;100.0;
2015.0;1.0;0.0;-7.0;-7.0;-8.0;-8.0;0.0;0.0;2.0;6.0;6.0;-4.0;-3.0;-0.0;4.0;0.0;-4.0;0.0;58.42;8.0;2.0;5.0;5.0;0.0;;8.0;;0.0;0.0;-1183.96;-1140.12;-1.0;-1259.87;;-1259.87;-9580.99;-9580.99;0.0;;0.0;;0.0;0.0;;0.0;1.0;;1.0;1.0;;;0.0;2.0;;3.0;1.0;;;2.0;0.0;;;0.0;0.0;;;;0.0;-33.0;;29.0;2.0;;2.0;;-8.0;0.0;;2.0;3.0;-0.0;;1.0;-5.0;-0.0;-0.0;;;;-0.0;-0.0;2.0;;;2.0;;0.0;0.0;;;760.48;-9580.99;-4359.29;;584.12;-4726.07;0.0;-3.1;-0.2;;1.0;-1140.1;0.0;-8.0;;-1259.9;-5.0;0.0;-4.0;213.0;-379.8;202.7;100.0;
2016.0;0.0;0.0;-8.0;-8.0;-9.0;-9.0;0.0;0.0;2.0;6.0;7.0;-5.0;-5.0;-0.0;5.0;-0.0;-5.0;0.0;99.72;8.0;3.0;5.0;5.0;0.0;;8.0;;1.0;0.0;-20943.26;-21447.55;-1.0;-23755.44;;-23755.44;-7356.3;-7356.3;0.0;;0.0;;0.0;0.0;;0.0;1.0;;1.0;1.0;;;0.0;2.0;;2.0;2.0;;;2.0;0.0;;;0.0;1.0;;;;0.0;-42.0;;37.0;2.0;;2.0;;-9.0;0.0;;3.0;-0.0;0.0;;-0.0;-6.0;1.0;-0.0;;;;;-0.0;3.0;;;2.0;;0.0;0.0;;;30.97;-7356.3;-4422.01;;160.79;-4259.18;0.0;-1.9;-0.1;;0.0;-21447.6;0.0;-9.0;;-23755.4;-6.0;0.0;-5.0;184.6;-498.2;172.7;100.0;
2017.0;0.0;0.0;-8.0;-8.0;-9.0;-9.0;0.0;1.0;2.0;8.0;9.0;-7.0;-4.0;-0.0;4.0;0.0;-4.0;;100.0;8.0;2.0;6.0;6.0;0.0;;8.0;;1.0;0.0;-9997.56;-10338.62;-1.0;-11660.07;;-11660.07;-6181.06;-6181.06;0.0;;0.0;;0.0;0.0;;0.0;0.0;;1.0;1.0;;;0.0;1.0;;2.0;3.0;;;2.0;0.0;;;0.0;0.0;;;;0.0;-51.0;;45.0;2.0;;2.0;;-9.0;0.0;;4.0;-2.0;-0.0;;0.0;-8.0;4.0;-0.0;;;;;-0.0;1.0;;;4.0;;0.0;0.0;;;53.01;-6181.06;-2524.5;;2.37;-4474.19;0.0;-2.3;-0.1;;0.0;-10338.6;0.0;-9.0;;-11660.1;-8.0;0.0;-7.0;126.7;-475.2;138.1;100.0;
2018.0;0.0;0.0;-9.0;-8.0;-13.0;-13.0;0.0;0.0;1.0;9.0;10.0;-9.0;-5.0;-0.0;5.0;-0.0;-5.0;;100.0;8.0;2.0;6.0;6.0;0.0;;8.0;;3.0;0.0;-8158.25;-6889.78;-5.0;-11277.3;;-11277.3;-4269.37;-4269.37;0.0;;0.0;;0.0;0.0;;0.0;0.0;;;1.0;;;0.0;1.0;;2.0;4.0;;;4.0;1.0;;;0.0;1.0;;;;0.0;-64.0;;55.0;1.0;;1.0;;-13.0;0.0;;2.0;-1.0;0.0;;-1.0;-9.0;6.0;-0.0;;;;;-1.0;0.0;;;5.0;;0.0;0.0;;;37.86;-4269.37;-1745.39;;4.39;-2947.15;0.0;-2.1;-0.1;;0.0;-6889.8;0.0;-13.0;;-11277.3;-9.0;1.0;-9.0;115.3;-779.6;144.9;100.0;
2019.0;0.0;;-9.0;-8.0;-15.0;-15.0;0.0;0.0;1.0;14.0;14.0;-13.0;-7.0;-0.0;7.0;-0.0;-7.0;;;9.0;2.0;7.0;7.0;0.0;;9.0;;5.0;0.0;-7147.3;-6486.16;-6.0;-11267.61;;-11267.61;-752.64;-752.64;0.0;;0.0;;0.0;0.0;;0.0;1.0;;1.0;1.0;;;;1.0;;2.0;7.0;;;5.0;1.0;;;;1.0;;1.0;;0.0;-79.0;;66.0;1.0;;1.0;;-15.0;0.0;;2.0;-5.0;-0.0;;0.0;-14.0;10.0;-0.0;;;;;-6.0;2.0;;;11.0;;0.0;0.0;;;6.68;-752.64;-357.33;;1.83;-656.47;0.0;-2.2;-0.1;;0.0;-6486.2;0.0;-15.0;;-11267.6;-14.0;1.0;-13.0;77.6;-648.5;114.7;100.0;
