;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1998.0;25.0;14.0;5.0;3.0;4.0;2.0;7.0;13.0;16.0;3.0;3.0;13.0;0.0;-4.0;7.0;3.0;-2.0;10.0;58.13;11.0;4.0;7.0;7.0;;1.0;22.0;;;1.0;18.29;12.6;0.0;14.23;1.0;9.35;0.48;0.32;5.0;;5.0;2.0;7.0;6.0;;0.0;3.0;;;;;;0.0;3.0;;1.0;0.0;;;2.0;0.0;;0.0;0.0;1.0;;;;2.0;-3.0;-1.0;15.0;16.0;;16.0;;2.0;1.0;-0.0;;-3.0;;;;10.0;0.0;-2.0;;-2.0;;;;14.0;-6.0;;-2.0;;5.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;40.0;22.0;5.0;2.0;3.0;2.0;8.0;88.0;96.0;7.0;7.0;89.0;10.0;-33.0;73.0;50.0;3.0;18.0;55.89;20.0;7.0;12.0;12.0;;2.0;38.0;;;2.0;12.53;4.76;1.0;7.02;1.0;4.26;0.24;0.24;7.0;;55.0;27.0;82.0;4.0;;2.0;7.0;;;;;;0.0;7.0;;1.0;0.0;;;6.0;;;;;;;;;91.0;-1.0;-2.0;1.0;96.0;;96.0;;2.0;2.0;-1.0;;71.0;;;;81.0;-64.0;-7.0;;-26.0;;;;73.0;;;-1.0;;55.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;64.0;36.0;8.0;4.0;3.0;1.0;9.0;90.0;122.0;14.0;14.0;108.0;11.0;-30.0;3.0;-16.0;9.0;28.0;56.18;31.0;9.0;17.0;17.0;;5.0;59.0;;;5.0;13.07;6.78;-1.0;4.52;2.0;1.16;0.08;0.08;8.0;;40.0;33.0;72.0;14.0;;3.0;6.0;;21.0;21.0;;;6.0;32.0;;1.0;;;;13.0;;;;0.0;0.0;;;;109.0;-0.0;-4.0;4.0;122.0;;122.0;;1.0;5.0;0.0;;-5.0;;;;77.0;9.0;-2.0;-18.0;-5.0;;-5.0;;3.0;;;-0.0;-0.0;40.0;56.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;62.0;29.0;-4.0;-17.0;-14.0;-10.0;9.0;89.0;116.0;17.0;17.0;99.0;3.0;-14.0;2.0;-9.0;-2.0;33.0;47.16;39.0;13.0;19.0;19.0;;7.0;72.0;;;10.0;-6.43;-26.87;3.0;-22.57;-4.0;-16.63;-1.2;-1.2;9.0;;30.0;39.0;70.0;10.0;;9.0;7.0;18.0;;18.0;;;3.0;27.0;;0.0;;;3.0;13.0;;;;;;;;;111.0;-11.0;-6.0;4.0;116.0;;116.0;;-10.0;10.0;-4.0;;-5.0;;;;72.0;12.0;-5.0;-1.0;-7.0;;-1.0;;2.0;;;-0.0;-0.0;30.0;40.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;38.0;7.0;-68.0;-55.0;-57.0;-74.0;9.0;43.0;54.0;16.0;21.0;33.0;-35.0;15.0;1.0;-19.0;-38.0;31.0;17.89;44.0;17.0;19.0;19.0;;8.0;75.0;;;4.0;-181.27;-146.67;-2.0;-151.74;2.0;-196.07;-8.08;-8.08;9.0;;11.0;18.0;29.0;9.0;;5.0;3.0;;1.0;1.0;;;6.0;10.0;;2.0;;;2.0;12.0;;;;5.0;5.0;;;;117.0;-84.0;-0.0;;54.0;;54.0;;-74.0;4.0;5.0;;-44.0;;;;28.0;73.0;-2.0;-4.0;;21.0;-0.0;;1.0;;;;0.0;11.0;30.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;38.0;6.0;-12.0;21.0;-14.0;-14.0;9.0;27.0;30.0;11.0;11.0;19.0;-16.0;11.0;0.0;-5.0;-17.0;31.0;17.04;-12.0;10.0;13.0;13.0;;-35.0;19.0;;;2.0;-31.44;56.84;-35.0;-36.98;0.0;-37.18;-1.52;-1.52;9.0;;6.0;8.0;14.0;6.0;0.0;7.0;2.0;;0.0;0.0;;;1.0;3.0;;4.0;;;1.0;6.0;;;;;;;;;118.0;-98.0;-0.0;;30.0;;30.0;;-14.0;2.0;;;-11.0;;-0.0;;16.0;7.0;-0.0;;;11.0;0.0;;0.0;;;;-0.0;6.0;11.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;39.0;9.0;-6.0;-1.0;-1.0;-7.0;9.0;17.0;19.0;6.0;6.0;13.0;-2.0;1.0;0.0;-1.0;-3.0;30.0;23.25;10.0;1.0;9.0;9.0;;;40.0;;;1.0;-16.59;-2.62;0.0;-2.01;0.0;-18.12;-0.76;-0.76;9.0;;5.0;7.0;12.0;5.0;;1.0;1.0;;;;;;1.0;2.0;;1.0;;;0.0;4.0;;;;0.0;0.0;;;;118.0;-105.0;-0.0;;19.0;;19.0;;-7.0;1.0;;;-5.0;;;;11.0;10.0;-1.0;;;1.0;0.0;;0.0;;;;-0.0;5.0;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;43.0;10.0;-1.0;-2.0;-1.0;-1.0;10.0;17.0;20.0;8.0;8.0;11.0;-2.0;4.0;0.0;3.0;-2.0;33.0;23.03;11.0;2.0;10.0;10.0;;;44.0;;;0.0;-2.11;-3.66;0.0;-2.99;0.0;-3.02;-0.14;-0.14;10.0;;8.0;2.0;9.0;7.0;;0.0;1.0;;0.0;0.0;;;1.0;2.0;;3.0;;;0.0;5.0;;;;0.0;0.0;;;;118.0;-107.0;-0.0;;20.0;;20.0;;-1.0;0.0;;;-2.0;;;;10.0;1.0;-0.0;-1.0;;5.0;;;0.0;;;;-0.0;8.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;50.0;12.0;0.0;-1.0;-0.0;-0.0;10.0;17.0;20.0;7.0;8.0;12.0;0.0;-6.0;0.0;-5.0;0.0;38.0;24.06;13.0;3.0;10.0;10.0;;;51.0;;;1.0;0.19;-1.76;0.0;-0.88;0.0;-0.94;-0.05;-0.05;10.0;;2.0;7.0;10.0;7.0;;0.0;1.0;;0.0;0.0;;;1.0;2.0;;3.0;;;0.0;4.0;;;;0.0;0.0;;;;;-107.0;-0.0;122.0;20.0;;20.0;;-0.0;1.0;;;1.0;;;;10.0;-0.0;-0.0;;-5.0;;;;0.0;;;;0.0;2.0;8.0;;;5.2;-0.05;0.01;;0.04;1.26;10.0;-53.9;-3.0;;50.0;-1.8;1.0;-0.0;-6.6;-0.9;10.0;;12.0;-3.7;-2.2;-3.9;100.0;
2007.0;59.0;16.0;4.0;2.0;3.0;3.0;10.0;23.0;25.0;8.0;8.0;17.0;4.0;-3.0;1.0;2.0;3.0;43.0;26.79;14.0;2.0;11.0;11.0;;;57.0;;;0.0;6.17;3.84;1.0;5.34;0.0;4.68;0.28;0.27;10.0;;4.0;10.0;14.0;8.0;;0.0;1.0;;0.0;0.0;;;1.0;2.0;;3.0;;;0.0;5.0;;;;0.0;0.0;;;;;-104.0;-0.0;125.0;25.0;;25.0;;3.0;0.0;;;4.0;;;;15.0;-4.0;-0.0;-0.0;-11.0;9.0;0.0;;1.0;;;;-0.0;4.0;2.0;;;6.03;0.28;0.33;;0.04;1.68;10.0;19.5;1.1;;59.0;3.8;0.0;3.0;12.4;4.7;15.0;;17.0;16.5;12.8;16.8;100.0;-26.6
