;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (GBP/USD)
1995.0;10500.0;10500.0;2911.0;2553.0;2264.0;1334.0;1550.0;8474.0;12499.0;5712.0;11155.0;1345.0;847.0;-943.0;-34.0;-130.0;287.0;;100.0;7957.0;67.0;;;;7890.0;7957.0;;475.0;343.0;27.72;24.31;-288.0;21.56;760.0;12.7;0.86;0.86;1550.0;;1909.0;343.0;2252.0;;3384.0;2838.0;2914.0;;;;963.0;1909.0;-1760.0;4026.0;;459.0;1569.0;;;3683.0;3948.0;;67.0;1428.0;5443.0;;;;1197.0;-439.0;-2529.0;3116.0;12499.0;;12499.0;;1334.0;343.0;;;-169.0;;-102.0;;;-661.0;-560.0;-3.0;-29.0;5.0;-355.0;-1103.0;14.0;;;1055.0;;340.0;470.0;;1.55;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;12404.0;12404.0;3561.0;2936.0;2785.0;1692.0;1550.0;9809.0;13862.0;6662.0;12101.0;1761.0;814.0;-975.0;223.0;62.0;197.0;;100.0;9618.0;63.0;;;;9555.0;9618.0;;582.0;396.0;28.71;23.67;-151.0;22.46;891.0;13.64;1.09;1.09;1550.0;;2396.0;502.0;2898.0;;3573.0;3337.0;3140.0;;;;761.0;2396.0;-2244.0;4053.0;;608.0;1901.0;;;4152.0;3986.0;;63.0;1389.0;5439.0;;;;1328.0;-168.0;-2614.0;3215.0;13862.0;;13862.0;;1692.0;396.0;;;-209.0;;-344.0;;;-1065.0;-617.0;267.0;-22.0;31.0;-634.0;-113.0;22.0;;;313.0;;495.0;433.0;;1.71;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;11783.0;;2267.0;2147.0;1442.0;679.0;1565.0;9728.0;14086.0;10435.0;13682.0;404.0;572.0;-1587.0;1310.0;295.0;-21.0;;;8743.0;69.0;;;;8674.0;8743.0;;606.0;394.0;19.24;18.22;-705.0;12.23;588.0;5.76;0.44;0.43;1550.0;;2158.0;273.0;2432.0;;3580.0;3717.0;3349.0;;;;847.0;2158.0;-1997.0;4358.0;;535.0;5812.0;;;4087.0;1760.0;;97.0;1390.0;3247.0;;;;639.0;-1507.0;-2763.0;4035.0;14086.0;;14086.0;;679.0;394.0;;;287.0;;-117.0;;;-788.0;-593.0;-1694.0;-30.0;13.0;717.0;-440.0;31.0;;;1718.0;;-3381.0;-3676.0;;1.65;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;11778.0;11778.0;2109.0;1672.0;1221.0;572.0;1574.0;7962.0;12327.0;6666.0;11687.0;640.0;273.0;1257.0;-1328.0;268.0;-328.0;;100.0;9144.0;74.0;;;;9070.0;9144.0;;587.0;491.0;17.91;14.2;-452.0;10.37;458.0;4.86;0.37;0.36;1561.0;;1605.0;306.0;1911.0;;3581.0;2470.0;3388.0;;;;781.0;1605.0;-1408.0;4365.0;;609.0;2638.0;;;3419.0;3532.0;;78.0;1411.0;5020.0;;;;650.0;-1345.0;-3067.0;4402.0;12327.0;;12327.0;;572.0;491.0;;;222.0;;-60.0;;;-1012.0;-600.0;1079.0;-50.0;12.0;817.0;-3242.0;69.0;;;1844.0;66.0;-728.0;-996.0;;1.65;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;14679.0;;3154.0;2393.0;2218.0;900.0;2058.0;12288.0;26268.0;7929.0;17731.0;8537.0;1642.0;-2972.0;1385.0;55.0;1642.0;;;11579.0;94.0;;;;11485.0;11579.0;;599.0;566.0;21.48;16.3;-175.0;15.11;1089.0;6.13;0.41;0.41;1910.0;;2998.0;1243.0;4241.0;;4612.0;3435.0;3974.0;;8637.0;8637.0;1029.0;2998.0;-2659.0;13980.0;;738.0;1671.0;;;5519.0;7513.0;;275.0;2015.0;9802.0;;;;979.0;-1646.0;-4040.0;13244.0;26268.0;;26268.0;;900.0;566.0;;;871.0;;50.0;;;-694.0;;-447.0;-49.0;3.0;-2481.0;-3345.0;5.0;;;4725.0;;2769.0;2714.0;;1.62;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;16328.0;16328.0;3354.0;2669.0;2277.0;1035.0;2340.0;10847.0;26533.0;8230.0;18281.0;8251.0;1616.0;752.0;-2404.0;-36.0;1074.0;;100.0;12500.0;88.0;;;;12411.0;12500.0;;731.0;600.0;20.54;16.34;-392.0;13.94;987.0;6.34;0.44;0.44;2150.0;;2494.0;331.0;2824.0;;4567.0;3456.0;3889.0;;10708.0;10708.0;301.0;2494.0;-1705.0;15686.0;;790.0;1623.0;;;5818.0;7578.0;;371.0;2102.0;10051.0;;;;860.0;-749.0;-3931.0;12072.0;26533.0;;26533.0;;1035.0;600.0;;;923.0;;182.0;;;-942.0;-542.0;184.0;-236.0;81.0;1266.0;-1369.0;4.0;-1040.0;;;;1286.0;1322.0;;1.5;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;16539.0;16539.0;3929.0;3165.0;3004.0;1469.0;2297.0;10501.0;25061.0;8484.0;17668.0;7393.0;1796.0;-1574.0;58.0;281.0;1047.0;;100.0;12739.0;86.0;;;;12653.0;12739.0;;595.0;576.0;23.75;19.14;-161.0;18.16;1289.0;8.88;0.65;0.64;2145.0;;2862.0;481.0;3344.0;;3997.0;3161.0;3895.0;;9521.0;9521.0;399.0;2862.0;-2118.0;14560.0;;732.0;2193.0;;;5559.0;6752.0;;383.0;2049.0;9184.0;;;;836.0;-903.0;-3863.0;11323.0;25061.0;;25061.0;;1469.0;576.0;;;1004.0;;340.0;;;-1252.0;-749.0;-444.0;-109.0;97.0;-369.0;-1024.0;4.0;;;1078.0;;1151.0;870.0;;1.45;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;17080.0;40.0;4255.0;3513.0;3405.0;1856.0;2213.0;10660.0;26242.0;7599.0;17457.0;8355.0;1558.0;-865.0;-1052.0;-2526.0;769.0;;0.23;12958.0;100.0;;;;12858.0;12958.0;;537.0;545.0;24.92;20.57;-108.0;19.93;1318.0;10.87;0.82;0.81;2145.0;;2855.0;263.0;3118.0;;4188.0;3355.0;4193.0;;10067.0;10067.0;1059.0;2855.0;-2593.0;15581.0;;780.0;1121.0;546.0;;5698.0;7441.0;;414.0;2003.0;9858.0;;;;928.0;10.0;-4236.0;11653.0;25811.0;430.0;26242.0;;1856.0;545.0;;;670.0;;93.0;;;-1513.0;-790.0;105.0;-180.0;71.0;-71.0;-1144.0;10.0;;-1.0;83.0;-171.0;1.0;2527.0;;1.61;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;18875.0;45753.0;3968.0;3173.0;2798.0;1127.0;2364.0;13471.0;33891.0;11525.0;25484.0;8005.0;2155.0;-4621.0;2691.0;-3286.0;1391.0;;242.4;13914.0;130.0;;;;13784.0;13914.0;;598.0;852.0;21.02;16.81;-375.0;14.82;1391.0;5.97;0.48;0.48;2077.0;;4077.0;193.0;4270.0;;4611.0;4591.0;4604.0;;14307.0;14307.0;1316.0;4077.0;-3884.0;20419.0;;1159.0;2716.0;782.0;;7650.0;10873.0;;354.0;2732.0;13959.0;;;;982.0;-839.0;-4962.0;12825.0;33489.0;402.0;33891.0;;1127.0;852.0;;;1454.0;;320.0;;;-1277.0;-764.0;-3211.0;-268.0;157.0;-536.0;-577.0;9.0;-1246.0;-1380.0;5886.0;-61.0;-9320.0;-6034.0;;1.79;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;20659.0;20659.0;8146.0;7214.0;6965.0;5424.0;2129.0;10898.0;34103.0;8519.0;22367.0;11356.0;2567.0;92.0;-3290.0;-3290.0;1928.0;;100.0;15525.0;56.0;;;;15470.0;15525.0;221.0;712.0;719.0;39.43;34.92;-249.0;33.71;1291.0;26.25;2.18;2.18;2088.0;;3551.0;165.0;3716.0;;4112.0;3070.0;4148.0;;14773.0;14773.0;3156.0;472.0;656.0;23205.0;;957.0;2185.0;675.0;;5376.0;11606.0;;447.0;1796.0;13848.0;;;;1026.0;1731.0;-641.0;9240.0;33723.0;380.0;34103.0;;5424.0;719.0;;;-56.0;;86.0;;;-3521.0;-639.0;389.0;;153.0;188.0;-2456.0;8.0;-1028.0;-1642.0;1828.0;;;2406.0;;1.92;;;;;;;;;;;;;;;;;;;;;;;;;
