;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1995.0;38.0;11.0;6.0;5.0;5.0;3.0;11.0;16.0;20.0;7.0;15.0;5.0;2.0;-0.0;-2.0;-2.0;2.0;27.0;29.69;6.0;;6.0;6.0;;1.0;33.0;;;1.0;14.32;13.54;-0.0;13.02;2.0;7.81;0.27;0.27;11.0;;0.0;;0.0;6.0;9.0;1.0;3.0;;1.0;1.0;;;;4.0;;4.0;1.0;;;3.0;7.0;;0.0;-0.0;8.0;;;;;;-2.0;7.0;20.0;;20.0;;3.0;1.0;-0.0;;-1.0;;-1.0;;9.0;;-0.0;;;;;;;;-8.0;6.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;52.0;16.0;9.0;8.0;8.0;5.0;13.0;28.0;33.0;8.0;9.0;24.0;1.0;-1.0;6.0;6.0;-0.0;36.0;30.89;8.0;;7.0;7.0;;1.0;43.0;;;1.0;16.41;16.22;-1.0;15.25;3.0;9.65;0.39;0.39;13.0;;6.0;;6.0;9.0;12.0;1.0;4.0;;1.0;1.0;;;;5.0;;6.0;0.0;;;2.0;0.0;;0.0;;1.0;;;;;5.0;-3.0;22.0;33.0;;33.0;;5.0;1.0;;;11.0;;-3.0;;20.0;-16.0;-1.0;;;;;;0.0;;;6.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;70.0;22.0;13.0;12.0;12.0;8.0;15.0;38.0;47.0;11.0;11.0;36.0;5.0;-5.0;1.0;1.0;2.0;49.0;30.91;10.0;;9.0;9.0;;1.0;59.0;;;1.0;18.23;16.38;0.0;16.81;4.0;10.97;0.56;0.52;14.0;;8.0;;8.0;12.0;17.0;1.0;7.0;;;;;;1.0;9.0;;8.0;0.0;;;2.0;0.0;;0.0;0.0;1.0;;;;;13.0;-3.0;26.0;47.0;;47.0;;8.0;1.0;-0.0;;8.0;;-5.0;;27.0;-11.0;-4.0;;;;-1.0;;2.0;;;-1.0;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;75.0;26.0;15.0;13.0;13.0;8.0;15.0;40.0;57.0;9.0;22.0;35.0;1.0;-8.0;-0.0;-0.0;-7.0;50.0;33.95;13.0;;11.0;11.0;;2.0;62.0;;;2.0;19.71;17.31;-0.0;17.18;5.0;11.05;0.59;0.57;14.0;;1.0;;1.0;17.0;21.0;1.0;13.0;;;;;;4.0;16.0;;6.0;;;;3.0;12.0;;1.0;;13.0;;;;;16.0;-5.0;24.0;57.0;;57.0;;8.0;2.0;;;4.0;;-3.0;;31.0;-13.0;-8.0;;;;;;0.0;-12.0;;12.0;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;86.0;28.0;14.0;13.0;12.0;8.0;13.0;44.0;61.0;10.0;21.0;40.0;7.0;-3.0;-5.0;0.0;5.0;58.0;32.17;15.0;;13.0;13.0;;3.0;73.0;;;3.0;16.72;14.75;-1.0;13.82;4.0;9.06;0.62;0.59;13.0;;1.0;;1.0;16.0;26.0;2.0;13.0;;;;;;3.0;17.0;;6.0;;;;4.0;10.0;;1.0;0.0;11.0;;;;0.0;23.0;-7.0;23.0;61.0;;61.0;;8.0;3.0;0.0;;3.0;;-5.0;;34.0;-6.0;-3.0;;;;;;0.0;-3.0;;-2.0;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;48.0;10.0;-3.0;-5.0;-6.0;-4.0;12.0;37.0;52.0;15.0;16.0;36.0;4.0;-1.0;-1.0;1.0;2.0;37.0;22.02;16.0;;13.0;13.0;;3.0;53.0;0.0;;3.0;-7.03;-10.87;-1.0;-12.95;-2.0;-8.24;-0.31;-0.31;12.0;;2.0;;2.0;8.0;23.0;3.0;12.0;;;;;;3.0;15.0;;2.0;9.0;;;4.0;;;1.0;;1.0;;;;0.0;19.0;-9.0;25.0;52.0;;52.0;;-4.0;3.0;-1.0;;-13.0;;3.0;;22.0;19.0;-2.0;;;;0.0;;0.0;;;-2.0;;2.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;41.0;5.0;-3.0;-5.0;-6.0;-4.0;13.0;29.0;42.0;8.0;10.0;32.0;8.0;-0.0;-7.0;-0.0;7.0;37.0;11.64;10.0;;10.0;10.0;;;47.0;0.0;;3.0;-7.75;-12.68;-1.0;-14.61;-2.0;-9.81;-0.32;-0.32;13.0;;2.0;;2.0;8.0;15.0;4.0;10.0;;;;;;3.0;13.0;;3.0;0.0;;;4.0;1.0;;1.0;;2.0;;;;0.0;15.0;-10.0;26.0;42.0;;42.0;;-4.0;3.0;-0.0;;-0.0;;8.0;;21.0;10.0;-1.0;;;;0.0;;0.0;;;-7.0;;2.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;34.0;6.0;-1.0;-2.0;-2.0;-4.0;13.0;26.0;35.0;7.0;7.0;28.0;6.0;0.0;-2.0;4.0;5.0;28.0;16.63;8.0;;8.0;8.0;;;36.0;0.0;;1.0;-3.85;-5.87;0.0;-5.19;1.0;-10.67;-0.29;-0.29;13.0;;6.0;;6.0;6.0;12.0;2.0;7.0;;3.0;3.0;;;0.0;9.0;;3.0;0.0;;;4.0;0.0;;;;0.0;;;;0.0;12.0;-9.0;25.0;35.0;;35.0;;-4.0;1.0;1.0;;-2.0;;3.0;;19.0;8.0;-0.0;;;;1.0;;0.0;;;-2.0;;6.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;37.0;9.0;2.0;1.0;1.0;1.0;13.0;29.0;37.0;8.0;8.0;29.0;3.0;-0.0;0.0;2.0;2.0;29.0;23.02;8.0;;8.0;8.0;;;36.0;0.0;;1.0;6.09;2.61;0.0;2.87;0.0;1.55;0.05;0.04;13.0;;9.0;;9.0;7.0;12.0;1.0;6.0;;3.0;3.0;;;0.0;8.0;;4.0;0.0;;;4.0;0.0;;;;0.0;;;;0.0;12.0;-10.0;26.0;37.0;;37.0;;1.0;1.0;;;2.0;;-0.0;;21.0;-1.0;-0.0;;;;0.0;;0.0;;;-0.0;;9.0;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;49.0;14.0;7.0;6.0;6.0;5.0;14.0;34.0;42.0;7.0;8.0;35.0;6.0;-1.0;0.0;5.0;5.0;36.0;27.5;8.0;;8.0;8.0;;-0.0;43.0;0.0;;1.0;14.19;11.98;0.0;11.99;1.0;10.32;0.4;0.37;13.0;;14.0;;14.0;6.0;12.0;2.0;6.0;;2.0;2.0;;;0.0;8.0;;3.0;0.0;;;4.0;0.0;;0.0;0.0;1.0;;;;0.0;17.0;-10.0;27.0;42.0;;42.0;;5.0;1.0;-1.0;;6.0;;0.0;;27.0;-5.0;-1.0;;;;0.0;;;;;0.0;;14.0;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;
