;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2007.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009.0;;;;;;;0.0;0.0;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;0.0;;0.0;;;0.0;0.0;;;;;;;0.0;;;;;;;;;;;;;;0.0;0.0;;-0.0;0.0;;0.0;0.0;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;
2010.0;;;-0.0;-0.0;-0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0;;0.0;-0.0;-0.0;;;0.0;;0.0;0.0;;0.0;0.0;;0.0;0.0;-inf;-inf;-0.0;-inf;;-inf;-104.98;-104.98;0.0;;0.0;;0.0;;;0.0;0.0;;;;;;;0.0;;0.0;;;;0.0;;;;;;;;0.0;0.0;;-0.0;0.0;0.0;;0.0;;-0.0;0.0;;;;;;0.0;0.0;0.0;;;;;;;0.0;;;0.0;;0.0;0.0;;;;-104.98;-53.45;;;82.9;0.0;-514.2;-24.8;;;-inf;0.0;-0.0;;-inf;0.0;;0.0;-inf;-inf;-126.6;100.0;
2011.0;;;-0.0;-0.0;-0.0;-0.0;0.0;0.0;0.0;0.0;0.0;-0.0;-0.0;;0.0;-0.0;-0.0;;;0.0;;0.0;0.0;;0.0;0.0;;0.0;0.0;-inf;-inf;-0.0;-inf;;-inf;-106.1;-106.1;0.0;;0.0;;0.0;;;;0.0;;;;;;;0.0;;0.0;;;;0.0;;;;;;;;0.0;0.0;;-0.0;0.0;0.0;;0.0;;-0.0;0.0;;;-0.0;;;0.0;-0.0;0.0;;;;;;;;;;0.0;;0.0;0.0;;;;-106.1;-47.74;;;2.34;0.0;-12.8;-0.8;;;-inf;0.0;-0.0;;-inf;-0.0;;0.0;-4363.8;-169.1;-4543.6;100.0;
2012.0;;;-0.0;-0.0;-0.0;-0.0;0.0;0.0;0.0;0.0;0.0;-0.0;-0.0;;0.0;0.0;-0.0;;;0.0;;0.0;0.0;;0.0;0.0;;0.0;0.0;-inf;-inf;-0.0;-inf;;-inf;-41.32;-41.32;0.0;;0.0;;0.0;;;;0.0;;;;;;;0.0;;0.0;;;;0.0;;;;;;;;0.0;0.0;;-0.0;0.0;0.0;;0.0;;-0.0;0.0;;;-0.0;;;0.0;-0.0;0.0;;;;;;;;;;0.0;;0.0;0.0;;;;-41.32;-46.07;;;-103.76;0.0;-8.8;-0.6;;;-inf;0.0;-0.0;;-inf;-0.0;;-0.0;33.1;-77.8;39.8;100.0;
2013.0;;;-0.0;-0.0;-0.0;-0.0;0.0;;0.0;0.0;0.0;-0.0;-0.0;;0.0;0.0;-0.0;;;0.0;;0.0;0.0;;0.0;0.0;;0.0;0.0;-inf;-inf;-0.0;-inf;;-inf;-243.33;-243.33;0.0;;;;;;;;0.0;;;;;;;0.0;;0.0;0.0;;;;;;;;;;;0.0;0.0;-0.0;-0.0;0.0;0.0;;0.0;;-0.0;0.0;;;-0.0;;;0.0;-0.0;0.0;;;;;;;;;;0.0;;;0.0;;;;-243.33;-44.41;;;-144.33;0.0;-0.4;-0.0;;;-inf;0.0;-0.0;;-inf;-0.0;;-0.0;39.5;-172.5;168.6;100.0;
2014.0;;;-0.0;-0.0;-0.0;-0.0;0.0;;0.0;0.0;0.0;-0.0;-0.0;;0.0;0.0;-0.0;;;0.0;;0.0;0.0;;0.0;0.0;;0.0;0.0;-inf;-inf;-0.0;-inf;;-inf;-0.29;-0.29;0.0;;;;;;;;0.0;;;;;;;0.0;;0.0;0.0;;;;;;;;;;;0.0;0.0;-0.0;-0.0;0.0;0.0;;0.0;;-0.0;0.0;;;-0.0;;;0.0;-0.0;0.0;;;;;;-0.0;;;;0.0;;;;;;;-0.29;-0.13;;;-0.45;0.0;-354.1;-19.5;;;-inf;0.0;-0.0;;-inf;-0.0;;-0.0;33.8;-318.2;63.4;100.0;
2015.0;;;-0.0;-0.0;-0.0;-0.0;0.0;;0.0;0.0;0.0;-0.0;-0.0;;0.0;0.0;-0.0;;;0.0;;0.0;;;0.0;0.0;;0.0;0.0;-inf;-inf;-0.0;-inf;;-inf;-0.21;-0.21;0.0;;;;;;;;0.0;;;;;;;0.0;;0.0;0.0;;;;;;;;;;;0.0;0.0;-0.0;-0.0;0.0;0.0;;0.0;;-0.0;0.0;;;0.0;;;-0.0;-0.0;-0.0;;;;;;;;;;0.0;;;;;;;-0.21;-0.09;;;-0.14;0.0;-383.2;-19.1;;;-inf;0.0;-0.0;;-inf;-0.0;;-0.0;74.7;-562.9;150.4;100.0;
2016.0;0.0;0.0;-1.0;-0.0;-1.0;-1.0;0.0;0.0;0.0;1.0;1.0;-1.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;89.58;0.0;;0.0;0.0;;0.0;0.0;;0.0;0.0;-1082506.25;-957670.83;-0.0;-1945335.42;;-1945335.42;-1.56;-1.56;0.0;;0.0;;0.0;0.0;0.0;;;;;;;;;;;0.0;0.0;;;0.0;;;;;;;;0.0;0.0;-1.0;-0.0;1.0;0.0;;0.0;;-1.0;0.0;;;-0.0;-0.0;-0.0;;-0.0;1.0;;;;;-0.0;-0.0;0.0;;;0.0;;0.0;;;;0.0;-2.07;-0.4;;;-0.13;0.0;-107.7;-4.9;;0.0;-957670.8;0.0;-1.0;;-1945335.4;-0.0;;-0.0;904.7;-23826.2;1619.0;100.0;
