;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1997.0;275.0;186.0;79.0;44.0;;40.0;39.0;170.0;1673.0;65.0;1397.0;276.0;59.0;-553.0;513.0;19.0;-496.0;90.0;67.48;51.0;;12.0;12.0;;39.0;140.0;;;39.0;28.51;15.87;;;;14.43;1.03;1.03;39.0;;18.0;;18.0;24.0;;128.0;1502.0;;;;;;0.0;1502.0;;24.0;;;;41.0;1332.0;;;0.0;1332.0;;;;0.0;2.0;-294.0;567.0;1673.0;;1673.0;;40.0;39.0;;;-18.0;-5.0;;6.0;106.0;-2.0;-555.0;-3.0;;;5.0;-708.0;839.0;;-17.0;398.0;;28.0;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;514.0;363.0;169.0;141.0;;93.0;61.0;;5235.0;1213.0;3207.0;2028.0;215.0;-2179.0;1959.0;-5.0;-1482.0;150.0;70.71;98.0;;23.0;23.0;;75.0;248.0;;;75.0;32.8;27.36;;;;18.12;1.53;1.52;61.0;;12.0;;12.0;41.0;;;4560.0;;;;;;;;5235.0;-7.0;;;;1220.0;3089.0;;;-15.0;3074.0;;;;1.0;-8.0;-357.0;2392.0;5235.0;;5235.0;;93.0;75.0;;;-1319.0;-36.0;;36.0;-1213.0;1365.0;-1697.0;-44.0;;;-438.0;-700.0;819.0;;-127.0;1966.0;;12.0;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;787.0;537.0;240.0;182.0;;120.0;67.0;;5435.0;1321.0;3595.0;1840.0;303.0;-658.0;354.0;-0.0;-360.0;249.0;68.31;150.0;;29.0;29.0;;120.0;399.0;;;120.0;30.49;23.19;;;;15.23;1.72;1.71;66.0;;12.0;;12.0;28.0;;;5142.0;;;;;;;;5435.0;17.0;;;;1304.0;3322.0;;;-366.0;2956.0;;;;1.0;-11.0;-471.0;2320.0;5435.0;;5435.0;;120.0;120.0;;;-108.0;-37.0;;40.0;-1321.0;172.0;-664.0;-11.0;-7.0;;23.0;-707.0;1.0;;-181.0;1241.0;;12.0;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;879.0;615.0;286.0;229.0;;153.0;73.0;;6226.0;1064.0;3701.0;2525.0;340.0;-573.0;503.0;269.0;-265.0;265.0;69.9;168.0;;36.0;36.0;;133.0;433.0;;;133.0;32.54;26.02;-1.0;;;17.4;2.05;2.01;71.0;;281.0;7.0;288.0;27.0;;;5526.0;;;;;;;;6226.0;57.0;;;;1007.0;3415.0;;;0.0;3415.0;;;;1.0;-14.0;-587.0;3125.0;6226.0;;6226.0;;153.0;133.0;;;257.0;-14.0;;-16.0;-1064.0;-203.0;-604.0;-604.0;-19.0;;654.0;-1075.0;16.0;;-210.0;1771.0;;281.0;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;1033.0;721.0;358.0;302.0;;208.0;92.0;;7254.0;1084.0;4655.0;2599.0;419.0;-1304.0;701.0;-183.0;-903.0;312.0;69.77;168.0;;38.0;38.0;;130.0;481.0;;;150.0;34.68;29.27;-17.0;;;20.14;2.24;2.19;90.0;;98.0;4.0;102.0;44.0;;;6738.0;;;;;;;;7254.0;2.0;;;;1082.0;4315.0;;;0.0;4315.0;;;;1.0;-18.0;-720.0;3335.0;7254.0;;7254.0;;208.0;150.0;;;-20.0;-30.0;;12.0;-1084.0;81.0;-1323.0;-1323.0;-7.0;;1349.0;-340.0;;-3.0;-277.0;1321.0;;98.0;281.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;1235.0;818.0;631.0;297.0;;444.0;95.0;;8427.0;1148.0;5423.0;2160.0;437.0;-1017.0;537.0;-43.0;-995.0;417.0;66.26;250.0;;47.0;47.0;;202.0;666.0;;;186.0;51.09;24.05;;;;35.99;4.73;4.66;93.0;;55.0;;55.0;20.0;;;7848.0;;;;102.0;;;;8427.0;-7.0;;;;1155.0;5042.0;;;78.0;5120.0;;;;1.0;199.0;-17.0;1977.0;7583.0;845.0;8427.0;;444.0;186.0;;;-64.0;24.0;;21.0;-1148.0;-129.0;-1432.0;-1432.0;-4.0;;1851.0;-1485.0;;;-297.0;2319.0;;55.0;98.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;1310.0;857.0;576.0;299.0;;365.0;98.0;;8551.0;1209.0;5321.0;2400.0;488.0;97.0;-618.0;-33.0;66.0;453.0;65.42;256.0;;45.0;45.0;;211.0;709.0;;;210.0;43.97;22.86;56.0;;;27.9;3.77;3.71;97.0;;23.0;;23.0;18.0;;;7982.0;;;;89.0;;;;8551.0;7.0;;;;1202.0;5005.0;;;-63.0;4942.0;;;;1.0;321.0;-16.0;2095.0;7721.0;830.0;8551.0;;365.0;210.0;;;-61.0;-53.0;;7.0;-1209.0;-27.0;-422.0;-422.0;-4.0;;947.0;-1762.0;69.0;-69.0;-314.0;1458.0;;23.0;55.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;1400.0;926.0;537.0;307.0;;284.0;109.0;;9063.0;1115.0;5341.0;2936.0;430.0;-171.0;-42.0;217.0;152.0;475.0;66.1;312.0;;54.0;54.0;;259.0;787.0;;;253.0;38.34;21.95;8.0;;;20.28;2.67;2.61;106.0;;239.0;;239.0;26.0;;;8148.0;;;;81.0;;;;9063.0;3.0;;;;1112.0;5012.0;;;0.0;5012.0;;;;1.0;325.0;-16.0;2625.0;8277.0;786.0;9063.0;;284.0;253.0;;;94.0;-73.0;;-77.0;-1115.0;-201.0;-278.0;;;;107.0;-420.0;291.0;;-343.0;429.0;;239.0;23.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;1438.0;948.0;706.0;304.0;;438.0;114.0;;8902.0;1217.0;5246.0;2917.0;472.0;357.0;-807.0;22.0;77.0;490.0;65.91;335.0;;55.0;55.0;;280.0;825.0;;;268.0;49.1;21.17;;;;30.49;3.94;3.86;111.0;;261.0;;261.0;53.0;;;7886.0;;;;90.0;;;;8902.0;2.0;;;;1215.0;4826.0;;;-58.0;4768.0;;;;1.0;182.0;-9.0;2743.0;8163.0;739.0;8902.0;;438.0;268.0;;;-102.0;-98.0;;-26.0;-1217.0;-132.0;-395.0;;-38.0;40.0;749.0;-1099.0;2.0;-2.0;-703.0;995.0;;261.0;239.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;1478.0;980.0;1150.0;314.0;;874.0;117.0;;9695.0;1871.0;5848.0;3223.0;528.0;230.0;-293.0;464.0;-114.0;497.0;66.34;368.0;;59.0;59.0;;309.0;866.0;;;277.0;77.86;21.23;;;;59.13;7.62;7.46;115.0;;726.0;;726.0;57.0;;;8160.0;;;;84.0;;;;9695.0;103.0;;;;1768.0;4151.0;;;450.0;4601.0;;;;1.0;108.0;-3.0;3117.0;9072.0;624.0;9695.0;;874.0;277.0;;;-654.0;-57.0;;-61.0;-1871.0;32.0;-642.0;;-283.0;24.0;1131.0;-661.0;;;-392.0;759.0;;726.0;261.0;;;12.88;7.62;-0.99;3.41;5.6;28.1;115.0;12.4;0.7;3.6;1478.0;21.2;277.0;874.0;;59.1;-1871.0;4151.0;3223.0;;9.6;27.1;55.2;-343.4
