;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1993.0;275.0;51.0;24.0;20.0;20.0;16.0;5.0;237.0;245.0;34.0;150.0;96.0;-26.0;-115.0;141.0;;-26.0;225.0;18.36;31.0;;30.0;30.0;;1.0;255.0;;;1.0;8.87;7.27;-0.0;7.16;7.0;5.85;3.11;3.11;5.0;;1.0;;1.0;2.0;226.0;8.0;1.0;;7.0;7.0;;;1.0;9.0;;16.0;;;;18.0;116.0;;;-0.0;116.0;;;;;;-6.0;101.0;245.0;;245.0;;16.0;1.0;3.0;;-42.0;;-46.0;;203.0;-4.0;;;;;-115.0;;;;;141.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;537.0;77.0;29.0;27.0;27.0;17.0;6.0;303.0;315.0;50.0;165.0;150.0;5.0;-4.0;34.0;;5.0;459.0;14.43;50.0;;49.0;49.0;;1.0;509.0;;;1.0;5.33;5.11;;5.11;11.0;3.08;2.96;2.93;6.0;;36.0;;36.0;8.0;253.0;6.0;1.0;;7.0;7.0;;;3.0;12.0;;31.0;;;;19.0;115.0;;;;115.0;;;;;12.0;-5.0;143.0;315.0;;315.0;;17.0;1.0;2.0;;51.0;;-26.0;;254.0;-65.0;-1.0;;;;-3.0;;99.0;;-7.0;-58.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;648.0;97.0;20.0;32.0;19.0;11.0;5.0;329.0;345.0;66.0;181.0;165.0;6.0;-4.0;2.0;;6.0;551.0;14.97;65.0;;64.0;64.0;;1.0;616.0;;;1.0;3.15;4.92;-13.0;2.93;8.0;1.76;2.1;2.05;5.0;;40.0;;40.0;3.0;285.0;;1.0;;7.0;7.0;;;9.0;17.0;;40.0;;;;26.0;115.0;;;;115.0;;;;;23.0;-5.0;146.0;345.0;;345.0;;11.0;1.0;1.0;;9.0;;-29.0;;263.0;-17.0;-1.0;;;;-4.0;;47.0;-45.0;-0.0;;;;36.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;867.0;136.0;32.0;45.0;30.0;18.0;5.0;340.0;357.0;63.0;178.0;179.0;0.0;-23.0;-4.0;;-2.0;731.0;15.66;91.0;;89.0;89.0;;2.0;821.0;;;2.0;3.66;5.22;-15.0;3.48;12.0;2.11;3.67;3.35;4.0;;13.0;;13.0;7.0;321.0;;3.0;;6.0;6.0;;;7.0;16.0;;31.0;;;;32.0;115.0;;;;115.0;;;;;38.0;-4.0;145.0;357.0;;357.0;;18.0;2.0;1.0;;15.0;;-12.0;;278.0;-35.0;-2.0;;;;-21.0;;;-4.0;;;;;40.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;851.0;132.0;20.0;18.0;18.0;11.0;4.0;370.0;400.0;75.0;220.0;179.0;-21.0;-9.0;18.0;;-30.0;719.0;15.54;115.0;;113.0;113.0;;2.0;834.0;;;2.0;2.4;2.07;1.0;2.14;7.0;1.32;1.92;1.92;4.0;;1.0;;1.0;7.0;362.0;;12.0;;6.0;6.0;;;12.0;29.0;;44.0;;;;31.0;145.0;;;0.0;145.0;;;;;45.0;-5.0;139.0;400.0;;400.0;;11.0;2.0;-1.0;;18.0;;-47.0;;295.0;-50.0;-9.0;;;;;;;-7.0;-4.0;29.0;;;13.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;977.0;150.0;41.0;37.0;38.0;23.0;5.0;490.0;526.0;111.0;326.0;199.0;27.0;-24.0;63.0;;5.0;827.0;15.39;114.0;;110.0;110.0;;3.0;941.0;;;3.0;4.17;3.77;1.0;3.84;14.0;2.37;5.45;4.43;4.0;;68.0;;68.0;17.0;405.0;0.0;12.0;;9.0;9.0;;;15.0;36.0;;62.0;;;;50.0;215.0;;;;215.0;;;;;64.0;-7.0;143.0;526.0;;526.0;;23.0;3.0;0.0;;83.0;;-26.0;;378.0;-83.0;-23.0;;;;-1.0;;;;-4.0;67.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;1394.0;221.0;66.0;62.0;61.0;37.0;5.0;560.0;595.0;145.0;360.0;235.0;34.0;-98.0;-4.0;;-62.0;1173.0;15.83;159.0;;153.0;153.0;;6.0;1332.0;;;6.0;4.73;4.43;-1.0;4.34;24.0;2.65;7.65;6.92;4.0;;;;;22.0;533.0;6.0;13.0;;8.0;8.0;;;14.0;35.0;;46.0;;;;99.0;215.0;;;;215.0;;;;0.0;98.0;-10.0;147.0;595.0;;595.0;;37.0;6.0;-2.0;;37.0;;-23.0;;415.0;-42.0;-96.0;;-2.0;;;;;;-3.0;-1.0;;;68.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;1528.0;251.0;78.0;76.0;71.0;44.0;5.0;653.0;699.0;173.0;428.0;271.0;-19.0;-12.0;31.0;;-23.0;1277.0;16.43;175.0;;169.0;169.0;;7.0;1452.0;;;7.0;5.13;4.95;-4.0;4.68;28.0;2.85;8.8;8.42;5.0;;;;;23.0;630.0;;12.0;;7.0;7.0;;;27.0;46.0;;72.0;;;;101.0;255.0;;;;255.0;;;;0.0;141.0;-14.0;144.0;699.0;;699.0;;44.0;7.0;-4.0;;65.0;;-97.0;;479.0;-130.0;-4.0;;;;-8.0;;;;-9.0;40.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;1805.0;361.0;132.0;122.0;124.0;75.0;5.0;925.0;995.0;249.0;644.0;351.0;-29.0;-73.0;144.0;;-35.0;1444.0;20.0;239.0;;205.0;205.0;;33.0;1683.0;;;9.0;7.34;6.77;2.0;6.87;48.0;4.15;15.32;13.63;5.0;;42.0;;42.0;39.0;845.0;;13.0;14.0;;14.0;;20.0;24.0;70.0;;71.0;;;;178.0;395.0;;;;395.0;;;;0.0;216.0;-19.0;154.0;995.0;;995.0;;75.0;9.0;-8.0;;197.0;;-154.0;;676.0;-303.0;-6.0;-62.0;;;-5.0;;2.0;-0.0;;142.0;;42.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;2641.0;529.0;212.0;193.0;202.0;123.0;7.0;;;;;;59.0;-315.0;338.0;83.0;51.0;2112.0;20.02;336.0;;293.0;;;43.0;2448.0;;;9.0;8.01;7.31;9.0;7.65;79.0;4.64;19.4;17.9;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;123.0;9.0;-7.0;;-78.0;;-153.0;;1.0;12.0;-8.0;-321.0;;;14.0;;5.0;-2.0;;335.0;;125.0;42.0;;;;;;;;;;;;;;;;;;;;;;;;;;
