;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1986.0;99.0;54.0;4.0;2.0;2.0;1.0;24.0;38.0;45.0;27.0;28.0;17.0;;;;;;45.0;54.81;52.0;;50.0;50.0;;2.0;97.0;;;2.0;3.65;2.03;-1.0;1.52;0.0;1.11;0.02;0.02;24.0;;3.0;;3.0;32.0;;3.0;6.0;;;;;;0.0;7.0;;;5.0;;;23.0;0.0;;1.0;-0.0;1.0;;;;;16.0;-8.0;9.0;45.0;;45.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;119.0;65.0;7.0;5.0;5.0;3.0;24.0;49.0;55.0;27.0;36.0;19.0;;;;;;54.0;54.71;60.0;;58.0;58.0;;2.0;114.0;;;2.0;5.72;4.38;-0.0;4.21;2.0;2.27;0.06;0.06;24.0;;2.0;;2.0;45.0;;2.0;6.0;;;;;;0.0;6.0;;;9.0;;;18.0;0.0;;9.0;0.0;9.0;;;;;19.0;-7.0;8.0;55.0;;55.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;138.0;75.0;8.0;6.0;6.0;4.0;23.0;52.0;59.0;24.0;36.0;23.0;;;;;;64.0;53.98;68.0;;67.0;67.0;;2.0;132.0;;;2.0;5.57;4.49;-0.0;4.2;2.0;2.89;0.08;0.08;23.0;;1.0;;1.0;49.0;;2.0;6.0;;;;;;1.0;7.0;;;0.0;;;24.0;6.0;;6.0;;12.0;;;;;23.0;-9.0;9.0;59.0;;59.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;146.0;77.0;7.0;5.0;5.0;4.0;23.0;45.0;53.0;24.0;28.0;26.0;13.0;-4.0;-6.0;;9.0;69.0;52.77;72.0;;70.0;70.0;;2.0;141.0;;;2.0;5.07;3.56;-0.0;3.42;1.0;2.53;0.08;0.08;23.0;;3.0;;3.0;39.0;;2.0;8.0;;;;;;1.0;9.0;;;;;;24.0;;;4.0;;4.0;;;;;26.0;-9.0;8.0;53.0;;53.0;;4.0;2.0;-3.0;;10.0;;;;21.0;;-4.0;;;;-0.0;;;-1.0;;-6.0;-0.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;148.0;79.0;8.0;6.0;6.0;4.0;24.0;50.0;58.0;28.0;28.0;29.0;3.0;-3.0;-1.0;;0.0;69.0;53.34;73.0;;70.0;70.0;;3.0;142.0;;;3.0;5.67;4.05;-0.0;3.92;2.0;2.7;0.09;0.09;24.0;;3.0;;3.0;44.0;;3.0;8.0;;;;;;0.0;8.0;;;;;;28.0;;;1.0;;1.0;;;;;30.0;-11.0;10.0;58.0;;58.0;;4.0;3.0;-4.0;;1.0;;;;22.0;-0.0;-3.0;;;;0.0;;0.0;-1.0;;;0.0;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;136.0;69.0;4.0;4.0;1.0;1.0;20.0;43.0;49.0;24.0;24.0;25.0;2.0;-2.0;-2.0;;1.0;67.0;50.84;66.0;;63.0;63.0;;3.0;133.0;;;3.0;2.65;2.65;-3.0;0.44;-0.0;0.73;0.03;0.03;20.0;;2.0;;2.0;38.0;;3.0;6.0;;;;;;1.0;7.0;;10.0;3.0;;;11.0;;;0.0;-0.0;0.0;;;;;31.0;-11.0;4.0;49.0;;49.0;;1.0;3.0;-3.0;;-3.0;;;;19.0;5.0;-2.0;;;;0.0;;1.0;-7.0;;3.0;-0.0;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;140.0;65.0;10.0;8.0;7.0;4.0;20.0;48.0;56.0;24.0;27.0;29.0;5.0;-4.0;1.0;;1.0;75.0;46.75;58.0;;55.0;55.0;;3.0;132.0;;;3.0;6.93;5.36;-0.0;5.08;3.0;3.0;0.1;0.1;20.0;;3.0;;3.0;41.0;;3.0;7.0;;;;;;1.0;8.0;;9.0;5.0;;;10.0;;;0.0;3.0;3.0;;;;;36.0;-8.0;2.0;56.0;;56.0;;4.0;3.0;-0.0;;5.0;;;;24.0;-7.0;-4.0;;;;-0.0;;2.0;-3.0;;2.0;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;145.0;69.0;8.0;8.0;5.0;3.0;20.0;47.0;58.0;25.0;28.0;31.0;4.0;-7.0;2.0;;1.0;76.0;47.76;61.0;;58.0;58.0;;3.0;137.0;;;3.0;5.72;5.58;-3.0;3.38;2.0;2.07;0.07;0.07;20.0;;3.0;;3.0;40.0;;5.0;8.0;;3.0;3.0;;;1.0;11.0;;9.0;7.0;;;9.0;;;0.0;3.0;3.0;;;;;39.0;-10.0;2.0;58.0;;58.0;;3.0;3.0;-1.0;;-2.0;;;;22.0;1.0;-3.0;;;;-4.0;;0.0;-0.0;;2.0;-0.0;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;184.0;86.0;14.0;11.0;10.0;6.0;21.0;56.0;71.0;31.0;33.0;38.0;9.0;-8.0;-4.0;;6.0;98.0;46.87;75.0;;71.0;71.0;;4.0;173.0;;;4.0;7.73;5.82;-1.0;5.55;4.0;3.27;0.28;0.28;21.0;;1.0;;1.0;50.0;;5.0;8.0;;6.0;6.0;;;1.0;15.0;;15.0;3.0;;;13.0;;;0.0;2.0;3.0;;;;;45.0;-12.0;6.0;71.0;;71.0;;6.0;4.0;-1.0;;3.0;;;;25.0;-4.0;-3.0;;;;-5.0;;1.0;-0.0;;-5.0;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;233.0;107.0;18.0;14.0;13.0;8.0;21.0;54.0;75.0;28.0;30.0;45.0;9.0;-4.0;-4.0;;5.0;126.0;45.75;93.0;;88.0;88.0;;5.0;219.0;;;5.0;7.9;5.97;-1.0;5.75;5.0;3.52;0.39;0.39;21.0;;2.0;;2.0;48.0;;4.0;9.0;;5.0;5.0;;;6.0;20.0;;12.0;;;;16.0;;;0.0;2.0;2.0;;;;;53.0;-14.0;6.0;75.0;;75.0;;8.0;5.0;-1.0;;1.0;;;;27.0;-5.0;-4.0;;;;0.0;;1.0;-2.0;;-3.0;0.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
