;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1985.0;1400.0;615.0;111.0;91.0;88.0;47.0;44.0;480.0;635.0;176.0;258.0;377.0;;;;;;785.0;43.95;524.0;;500.0;500.0;;24.0;1309.0;;;24.0;7.92;6.5;-3.0;6.31;40.0;3.36;1.06;1.06;44.0;;26.0;;26.0;127.0;309.0;18.0;127.0;;;;;;29.0;156.0;;;1.0;;;175.0;60.0;;6.0;16.0;82.0;;;;;289.0;-117.0;205.0;635.0;;635.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1986.0;1400.0;618.0;96.0;76.0;70.0;40.0;42.0;494.0;658.0;159.0;311.0;347.0;;;;;;783.0;44.11;542.0;;516.0;516.0;;26.0;1325.0;;;26.0;6.83;5.39;-6.0;4.99;30.0;2.86;0.97;0.97;42.0;;36.0;;36.0;128.0;309.0;21.0;127.0;;;;;;38.0;164.0;;;8.0;;;152.0;131.0;;9.0;12.0;152.0;;;;;264.0;-130.0;213.0;658.0;;658.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;1407.0;;1407.0;;;;41.0;;;;;;;;;;;;;;;;;;;;;;;100.0;;;;;;0.96;0.96;41.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;1678.0;674.0;101.0;81.0;74.0;47.0;40.0;504.0;684.0;188.0;329.0;355.0;;;;;;1004.0;40.16;593.0;;565.0;565.0;;27.0;1597.0;;;27.0;6.04;4.85;-7.0;4.41;27.0;2.79;1.17;1.17;40.0;;22.0;;22.0;134.0;325.0;24.0;143.0;;;;;;37.0;180.0;;;24.0;;;164.0;120.0;;10.0;11.0;141.0;;;;;272.0;-151.0;234.0;684.0;;684.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;1707.0;671.0;71.0;63.0;48.0;26.0;39.0;527.0;728.0;244.0;396.0;333.0;44.0;-84.0;31.0;31.0;2.0;1036.0;39.3;608.0;;581.0;581.0;;27.0;1644.0;;;27.0;4.16;3.69;-15.0;2.84;18.0;1.54;0.68;0.68;39.0;;12.0;;12.0;135.0;338.0;42.0;147.0;;;;;;54.0;201.0;;86.0;72.0;;;85.0;136.0;;13.0;3.0;152.0;;;;;248.0;-153.0;238.0;728.0;;728.0;;26.0;27.0;;;-11.0;;-8.0;;283.0;2.0;-42.0;;;;-42.0;;1.0;-6.0;-27.0;64.0;;;22.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;1821.0;712.0;75.0;63.0;47.0;31.0;39.0;531.0;713.0;225.0;374.0;339.0;40.0;15.0;-45.0;-45.0;8.0;1109.0;39.1;649.0;;621.0;621.0;;28.0;1757.0;;;28.0;4.09;3.47;-17.0;2.55;16.0;1.69;0.79;0.79;39.0;;22.0;;22.0;141.0;333.0;34.0;146.0;;;;;;36.0;182.0;;86.0;60.0;;;79.0;132.0;;14.0;3.0;150.0;;;;;252.0;-160.0;247.0;713.0;;713.0;;31.0;28.0;;;23.0;;5.0;;307.0;-42.0;-31.0;;;;47.0;;2.0;-2.0;-28.0;-16.0;;;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;1764.0;700.0;77.0;63.0;49.0;32.0;39.0;536.0;737.0;250.0;401.0;336.0;65.0;-32.0;-39.0;-39.0;33.0;1064.0;39.69;637.0;;609.0;609.0;;29.0;1701.0;;;29.0;4.38;3.55;-14.0;2.76;17.0;1.8;0.82;0.82;39.0;;16.0;;16.0;121.0;363.0;36.0;148.0;;;;;;53.0;201.0;;93.0;61.0;;;97.0;129.0;;19.0;3.0;150.0;;;;;249.0;-173.0;261.0;737.0;;737.0;;32.0;29.0;;;-21.0;;-29.0;;285.0;26.0;-33.0;;;;1.0;;0.0;-9.0;-28.0;-3.0;;;22.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;1728.0;668.0;53.0;35.0;22.0;16.0;38.0;514.0;705.0;217.0;392.0;313.0;70.0;-24.0;-44.0;-44.0;46.0;1060.0;38.63;632.0;;602.0;602.0;;30.0;1693.0;;;30.0;3.04;2.04;-13.0;1.3;7.0;0.91;0.41;0.41;38.0;;19.0;;19.0;98.0;360.0;37.0;139.0;;;;;;53.0;191.0;;103.0;29.0;;;85.0;145.0;;10.0;21.0;175.0;;;;;225.0;-187.0;276.0;705.0;;705.0;;16.0;30.0;;;12.0;;3.0;;297.0;13.0;-25.0;;;;1.0;;0.0;-0.0;-28.0;-16.0;;;16.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;1791.0;692.0;34.0;30.0;5.0;5.0;39.0;580.0;760.0;318.0;471.0;289.0;-4.0;-24.0;31.0;31.0;-28.0;1100.0;38.61;661.0;;633.0;633.0;;28.0;1761.0;;;28.0;1.87;1.7;-25.0;0.28;0.0;0.26;0.12;0.12;39.0;;22.0;;22.0;125.0;388.0;45.0;125.0;;;;;;55.0;180.0;;115.0;109.0;;;94.0;123.0;;7.0;24.0;154.0;;;;;202.0;-172.0;259.0;760.0;;760.0;;5.0;28.0;;;-35.0;;-29.0;;263.0;-3.0;-24.0;;;;1.0;;0.0;;-28.0;58.0;;;19.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;1598.0;580.0;-14.0;27.0;-12.0;-32.0;39.0;612.0;772.0;371.0;538.0;234.0;-10.0;-29.0;34.0;34.0;-40.0;1018.0;36.27;553.0;;530.0;530.0;;23.0;1571.0;;;23.0;-0.87;1.69;-39.0;-0.74;-5.0;-1.98;-0.81;-0.81;39.0;;17.0;;17.0;110.0;376.0;110.0;97.0;;;;;;62.0;160.0;;105.0;154.0;;;112.0;135.0;;7.0;24.0;167.0;;;;;142.0;-136.0;228.0;772.0;;772.0;;-32.0;23.0;;;-22.0;;-42.0;;241.0;21.0;-30.0;;;;1.0;;4.0;;-28.0;57.0;;;22.0;;;;;;;;;;;;;;;;;;;;;;;;;;
