;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1999.0;24.0;12.0;1.0;1.0;;1.0;16.0;15.0;19.0;15.0;15.0;3.0;-0.0;-1.0;2.0;0.0;-2.0;12.0;51.09;11.0;2.0;8.0;8.0;;0.0;22.0;;;0.0;4.6;6.22;;;;2.62;0.04;0.04;15.0;;1.0;;1.0;7.0;7.0;1.0;3.0;;0.0;0.0;;;1.0;4.0;;2.0;7.0;;;6.0;;;;0.0;0.0;;;;0.0;2.0;-1.0;2.0;19.0;;19.0;;1.0;0.0;;;-2.0;;-3.0;;;0.0;-1.0;;;;0.0;;0.0;;;2.0;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;53.0;29.0;12.0;12.0;12.0;11.0;19.0;61.0;66.0;16.0;16.0;50.0;10.0;-28.0;28.0;9.0;8.0;24.0;54.43;17.0;5.0;12.0;12.0;;-0.0;41.0;;-0.0;1.0;22.45;22.05;-0.0;22.03;1.0;20.53;0.58;0.57;19.0;;10.0;27.0;36.0;11.0;11.0;3.0;4.0;;0.0;0.0;;0.0;;4.0;;6.0;1.0;;;9.0;;;;0.0;0.0;;;;0.0;13.0;-1.0;38.0;66.0;;66.0;;11.0;1.0;0.0;;-2.0;;-4.0;;;0.0;-2.0;;-33.0;7.0;0.0;;36.0;;;-8.0;;10.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;44.0;21.0;-1.0;-5.0;-4.0;-4.0;22.0;50.0;61.0;15.0;15.0;46.0;-9.0;5.0;2.0;-3.0;-17.0;23.0;48.53;27.0;9.0;14.0;13.0;;4.0;49.0;;1.0;1.0;-2.84;-11.24;1.0;-8.16;0.0;-8.39;-0.17;-0.17;22.0;;7.0;14.0;21.0;14.0;12.0;3.0;11.0;;;;;0.0;;12.0;;3.0;5.0;;;7.0;0.0;;;0.0;0.0;;;;0.0;9.0;-2.0;38.0;61.0;;61.0;;-4.0;1.0;0.0;;-10.0;;-0.0;;;4.0;-7.0;-1.0;-21.0;34.0;0.0;;0.0;-1.0;;3.0;;7.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;23.0;8.0;-10.0;-11.0;-11.0;-11.0;24.0;38.0;49.0;8.0;9.0;40.0;-8.0;3.0;1.0;-4.0;-8.0;15.0;35.4;18.0;7.0;11.0;10.0;;-0.0;34.0;;-0.0;1.0;-44.73;-49.13;0.0;-47.79;1.0;-50.0;-0.47;-0.47;24.0;;3.0;11.0;14.0;11.0;12.0;1.0;11.0;;;;;;;11.0;;3.0;0.0;;;5.0;0.0;;;0.0;0.0;;;;0.0;-2.0;-0.0;42.0;49.0;;49.0;;-11.0;1.0;1.0;;2.0;3.0;;-0.0;;0.0;-0.0;;;;3.0;;;6.0;;-5.0;;3.0;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;31.0;14.0;-1.0;-2.0;-1.0;-2.0;27.0;44.0;54.0;15.0;15.0;39.0;-3.0;11.0;2.0;10.0;-3.0;17.0;45.98;16.0;6.0;10.0;10.0;;-0.0;33.0;;-0.0;1.0;-2.46;-5.08;0.0;-4.18;0.0;-5.14;-0.06;-0.06;27.0;;13.0;;13.0;16.0;14.0;2.0;10.0;;;;;;;10.0;;7.0;2.0;;;6.0;;;;0.0;0.0;;;;0.0;-4.0;-1.0;43.0;54.0;;54.0;;-2.0;1.0;;;-2.0;;-2.0;;;0.0;-0.0;;;11.0;0.0;;;;;2.0;;13.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;67.0;36.0;12.0;12.0;11.0;11.0;28.0;59.0;69.0;19.0;19.0;50.0;-2.0;-1.0;-1.0;-4.0;-3.0;31.0;53.41;24.0;7.0;16.0;16.0;;1.0;56.0;;-0.0;1.0;17.54;17.29;-0.0;16.77;0.0;16.02;0.4;0.39;27.0;;9.0;;9.0;23.0;25.0;2.0;10.0;;;;;;;10.0;;8.0;2.0;;;8.0;;;;0.0;0.0;;;;0.0;7.0;-0.0;43.0;69.0;;69.0;;11.0;1.0;;;-13.0;;-11.0;;;-0.0;-1.0;;;;0.0;;;-1.0;;0.0;;9.0;13.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;63.0;30.0;3.0;3.0;3.0;3.0;28.0;65.0;75.0;17.0;23.0;53.0;-0.0;-3.0;3.0;-0.0;-1.0;33.0;47.94;27.0;9.0;19.0;19.0;;-0.0;60.0;;-0.0;1.0;5.37;4.8;-0.0;4.29;;4.29;0.1;0.1;27.0;;9.0;2.0;11.0;26.0;25.0;3.0;10.0;;;;;;;10.0;;9.0;;;;9.0;5.0;;;0.0;5.0;;;;0.0;10.0;-0.0;43.0;75.0;;75.0;;3.0;1.0;;;-4.0;;-0.0;;;-0.0;-1.0;;-2.0;;0.0;;0.0;;;3.0;;9.0;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;100.0;52.0;14.0;12.0;12.0;12.0;30.0;99.0;111.0;25.0;31.0;80.0;1.0;-2.0;15.0;15.0;-1.0;48.0;51.65;40.0;12.0;28.0;28.0;;0.0;88.0;;0.0;2.0;13.55;11.92;-0.0;11.59;;11.59;0.4;0.39;29.0;;23.0;2.0;25.0;30.0;41.0;2.0;11.0;;0.0;0.0;;0.0;1.0;12.0;;12.0;;;;14.0;5.0;;;0.0;5.0;;;;0.0;22.0;-0.0;58.0;111.0;;111.0;;12.0;2.0;;;-13.0;;-16.0;;;1.0;-2.0;;-4.0;4.0;;;15.0;;;;0.0;23.0;9.0;;;3.43;0.4;-0.03;;0.06;2.75;29.0;14.7;0.8;;100.0;11.9;2.0;12.0;;11.6;73.0;5.0;80.0;14.1;10.8;14.5;100.0;1603.2
2007.0;71.0;29.0;-6.0;-7.0;-7.0;-8.0;30.0;81.0;98.0;22.0;26.0;73.0;-1.0;-4.0;0.0;-5.0;-5.0;42.0;40.99;36.0;12.0;24.0;24.0;;0.0;78.0;;;1.0;-8.44;-10.14;-0.0;-10.28;0.0;-10.85;-0.25;-0.25;30.0;;19.0;1.0;20.0;24.0;34.0;3.0;15.0;;;;1.0;1.0;1.0;18.0;;8.0;2.0;;;12.0;3.0;;;0.0;4.0;;;;0.0;14.0;-6.0;65.0;98.0;;98.0;;-8.0;1.0;-0.0;;4.0;;5.0;;0.0;1.0;-3.0;;-7.0;6.0;0.0;;0.0;;;;0.0;19.0;23.0;;;2.36;-0.26;-0.16;;0.11;2.42;30.0;-13.2;-0.8;;71.0;-10.1;1.0;-8.0;-5.5;-10.8;59.0;3.0;73.0;-10.1;-7.4;-10.6;100.0;
2008.0;76.0;28.0;-6.0;-10.0;-9.0;-10.0;30.0;46.0;85.0;20.0;22.0;63.0;-3.0;1.0;-1.0;-3.0;-4.0;48.0;36.95;38.0;13.0;25.0;25.0;;0.0;85.0;0.0;1.0;2.0;-7.62;-12.96;1.0;-11.66;1.0;-12.72;-0.32;-0.32;30.0;;16.0;;16.0;19.0;10.0;1.0;16.0;;1.0;1.0;;0.0;22.0;38.0;;6.0;3.0;0.0;3.0;9.0;2.0;;;0.0;2.0;;;;0.0;4.0;-8.0;66.0;85.0;;85.0;;-10.0;2.0;1.0;0.0;3.0;4.0;2.0;;0.0;1.0;-1.0;;-0.0;3.0;-0.0;-2.0;;-1.0;;2.0;0.0;16.0;19.0;;;2.52;-0.32;-0.14;;0.05;2.1;30.0;-3.2;-0.2;;76.0;-13.0;2.0;-10.0;-9.1;-12.7;26.0;2.0;63.0;-13.0;-9.1;-15.3;100.0;
