;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1987.0;186.0;77.0;18.0;18.0;16.0;9.0;32.0;64.0;90.0;23.0;54.0;35.0;;;;;;109.0;41.3;59.0;;57.0;57.0;;3.0;168.0;;;3.0;9.85;9.53;-2.0;8.51;7.0;4.58;0.27;0.27;32.0;;18.0;;18.0;20.0;24.0;2.0;22.0;;;;;;3.0;25.0;;;;;;23.0;25.0;;5.0;1.0;31.0;;;;;37.0;-8.0;6.0;90.0;;90.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;208.0;73.0;4.0;4.0;1.0;1.0;35.0;64.0;103.0;19.0;60.0;43.0;;;;;;135.0;35.21;69.0;;66.0;66.0;;3.0;204.0;;;3.0;2.12;1.97;-3.0;0.58;1.0;0.34;0.02;0.02;35.0;;4.0;;4.0;27.0;28.0;5.0;36.0;;;;;;3.0;38.0;;;;;;19.0;34.0;;6.0;1.0;41.0;;;;;38.0;-10.0;15.0;103.0;;103.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;223.0;69.0;-4.0;-15.0;-7.0;-5.0;33.0;66.0;104.0;29.0;67.0;37.0;;;;;;155.0;30.73;83.0;;79.0;79.0;;5.0;238.0;;;5.0;-1.57;-6.5;7.0;-3.23;-3.0;-2.15;-0.15;-0.15;33.0;;4.0;;4.0;27.0;29.0;6.0;35.0;;;;;;2.0;38.0;;;5.0;;;24.0;30.0;;7.0;1.0;38.0;;;;;32.0;-13.0;17.0;104.0;;104.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;246.0;74.0;-6.0;-15.0;-10.0;-5.0;33.0;60.0;97.0;27.0;67.0;30.0;3.0;-5.0;2.0;2.0;-1.0;172.0;30.1;89.0;;85.0;85.0;;5.0;261.0;;;5.0;-2.4;-6.17;5.0;-4.22;-5.0;-2.15;-0.16;-0.16;33.0;;5.0;;5.0;23.0;25.0;7.0;34.0;;;;;;3.0;37.0;;16.0;5.0;;;5.0;34.0;;5.0;1.0;40.0;;;;;26.0;-13.0;18.0;97.0;;97.0;;-5.0;5.0;-2.0;;3.0;;4.0;;34.0;3.0;-4.0;;;;-0.0;;;;-1.0;4.0;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;230.0;70.0;-10.0;-9.0;-15.0;-10.0;33.0;55.0;83.0;30.0;63.0;20.0;6.0;-2.0;-6.0;-6.0;4.0;160.0;30.48;79.0;;74.0;74.0;;5.0;239.0;;;5.0;-4.39;-3.95;-6.0;-6.51;-5.0;-4.34;-0.3;-0.3;33.0;;3.0;;3.0;25.0;25.0;3.0;27.0;;;;;;1.0;28.0;;18.0;2.0;;;10.0;29.0;;;4.0;34.0;;;;;16.0;-16.0;20.0;83.0;;83.0;;-10.0;5.0;-5.0;;-8.0;;0.0;;25.0;25.0;-2.0;;;;-0.0;;;-0.0;-0.0;-6.0;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;265.0;85.0;19.0;10.0;15.0;10.0;33.0;70.0;95.0;36.0;64.0;31.0;23.0;-2.0;-7.0;-7.0;21.0;181.0;31.87;75.0;;71.0;71.0;;4.0;255.0;;;4.0;7.32;3.66;5.0;5.7;6.0;3.58;0.29;0.29;33.0;;17.0;;17.0;23.0;27.0;2.0;22.0;;;;;;4.0;25.0;;22.0;;;;14.0;25.0;;1.0;2.0;28.0;;;;;25.0;-18.0;24.0;95.0;;95.0;;10.0;4.0;1.0;;8.0;;-3.0;;33.0;0.0;-2.0;;;;-0.0;;1.0;;;-8.0;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;331.0;111.0;33.0;22.0;30.0;18.0;41.0;94.0;122.0;40.0;44.0;78.0;17.0;-12.0;4.0;4.0;10.0;221.0;33.38;89.0;;85.0;85.0;;4.0;310.0;;;4.0;9.99;6.49;8.0;8.96;11.0;5.55;0.47;0.45;39.0;;26.0;;26.0;28.0;34.0;7.0;24.0;;;;;;4.0;28.0;;24.0;;;;16.0;;;3.0;1.0;4.0;;;;;43.0;-21.0;57.0;122.0;;122.0;;18.0;4.0;-0.0;;21.0;;-6.0;;54.0;-26.0;-8.0;;-4.0;;-0.0;;30.0;;-1.0;-26.0;;;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;408.0;134.0;45.0;27.0;38.0;25.0;44.0;139.0;179.0;47.0;51.0;128.0;7.0;-35.0;24.0;24.0;-11.0;274.0;32.73;107.0;;101.0;101.0;;6.0;381.0;;;6.0;10.91;6.5;12.0;9.39;14.0;6.08;0.59;0.57;42.0;;22.0;;22.0;37.0;56.0;24.0;36.0;;;;;;4.0;40.0;;35.0;;;;13.0;;;4.0;0.0;4.0;;;;;65.0;-25.0;88.0;179.0;;179.0;;25.0;6.0;1.0;;38.0;;-22.0;;92.0;-64.0;-17.0;;-34.0;17.0;;;27.0;;-3.0;-0.0;;;26.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;476.0;152.0;35.0;17.0;29.0;18.0;43.0;144.0;201.0;49.0;60.0;142.0;33.0;-28.0;-4.0;-4.0;8.0;324.0;31.9;123.0;;116.0;116.0;;7.0;447.0;;-0.0;7.0;7.39;3.46;12.0;5.98;10.0;3.8;0.43;0.42;42.0;;24.0;22.0;46.0;38.0;55.0;5.0;53.0;;;;;4.0;1.0;58.0;;36.0;;;;13.0;;;;11.0;11.0;;;;1.0;78.0;-31.0;94.0;201.0;;201.0;;18.0;7.0;1.0;;3.0;;1.0;;95.0;5.0;-26.0;;-12.0;9.0;1.0;;1.0;;;-4.0;;;22.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;490.0;149.0;26.0;5.0;18.0;12.0;43.0;150.0;210.0;48.0;60.0;150.0;15.0;-8.0;-4.0;-4.0;6.0;341.0;30.39;131.0;;123.0;123.0;;8.0;472.0;;-0.0;8.0;5.29;1.02;13.0;3.69;6.0;2.45;0.28;0.28;43.0;;26.0;22.0;48.0;40.0;58.0;4.0;54.0;;;;;5.0;1.0;60.0;;37.0;;;;12.0;;;;12.0;12.0;;;;1.0;86.0;-39.0;101.0;210.0;;210.0;;12.0;8.0;0.0;;8.0;;-4.0;;102.0;-13.0;-9.0;;-10.0;12.0;-0.0;;0.0;-0.0;-5.0;;;;24.0;;;;;;;;;;;;;;;;;;;;;;;;;;
