;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2007.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;;-0.0;-0.0;0.0;0.0;77.27;0.0;;0.0;0.0;;0.0;0.0;;-0.0;0.0;13.64;9.09;-0.0;4.55;;4.55;0.01;0.01;1.0;;0.0;;0.0;;;;0.0;;;;;;;0.0;;;;;;0.0;0.0;;;;0.0;;;;;-0.0;-0.0;0.0;0.0;-0.0;0.0;;0.0;0.0;;;;;;;-0.0;0.0;;;;;;;;;;-0.0;;-0.0;;;;0.17;0.01;0.04;;;0.04;1.0;;;;0.0;9.1;0.0;0.0;;4.5;-0.0;0.0;0.0;;;20.0;100.0;
2008.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0;-0.0;-0.0;0.0;0.0;77.01;0.0;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;15.99;1.98;-0.0;1.15;;1.15;0.0;0.0;1.0;;0.0;;0.0;0.0;0.0;0.0;0.0;;;;;;0.0;0.0;;0.0;0.0;;;0.0;0.0;;;;0.0;;;;0.0;-0.0;-0.0;0.0;0.0;;0.0;;0.0;0.0;;;0.0;-0.0;-0.0;;-0.0;-0.0;-0.0;;;;;-0.0;;;;0.0;;0.0;0.0;;;0.17;0.0;0.01;;0.0;0.04;1.0;;;;0.0;2.0;0.0;0.0;;1.1;-0.0;0.0;0.0;8.4;5.7;5.3;100.0;
2009.0;0.0;0.0;-0.0;-0.0;-0.0;-0.0;1.0;0.0;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;77.05;0.0;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;-6.31;-19.57;-0.0;-20.97;;-20.97;-0.03;-0.03;1.0;;0.0;;0.0;;0.0;;0.0;;;;;;0.0;0.0;;0.0;0.0;;;0.0;0.0;;;;0.0;;;;0.0;-0.0;-0.0;0.0;0.0;;0.0;;-0.0;0.0;;;-0.0;0.0;-0.0;;-0.0;0.0;-0.0;;;;;;;;;0.0;;0.0;0.0;;;0.14;-0.03;-0.01;;0.0;0.01;1.0;;;;0.0;-19.6;0.0;-0.0;;-21.0;-0.0;0.0;0.0;-237.2;-59.2;-352.7;100.0;
2010.0;0.0;0.0;-0.0;-0.0;-0.0;-0.0;1.0;0.0;0.0;0.0;0.0;-0.0;-0.0;;0.0;-0.0;-0.0;0.0;76.48;0.0;;0.0;0.0;;;0.0;;0.0;0.0;-8.09;-21.87;-0.0;-24.05;;-24.05;-0.03;-0.03;1.0;;0.0;;0.0;;0.0;;0.0;;;;;;0.0;0.0;;0.0;;;;0.0;;;;0.0;0.0;;;;0.0;-0.0;-0.0;0.0;0.0;;0.0;;-0.0;0.0;;;-0.0;;0.0;;-0.0;0.0;;;;;;;;;;0.0;;0.0;0.0;;;0.13;-0.03;-0.01;;;-0.02;1.0;;;;0.0;-21.9;0.0;-0.0;;-24.0;-0.0;;-0.0;134.5;-139.8;135.3;100.0;
2011.0;0.0;0.0;0.0;-0.0;-0.0;-0.0;1.0;0.0;0.0;0.0;0.0;-0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;80.22;0.0;;0.0;0.0;;;0.0;;0.0;0.0;2.59;-6.09;-0.0;-8.63;;-8.63;-0.01;-0.01;1.0;;0.0;;0.0;;0.0;0.0;0.0;;;;;;0.0;0.0;;0.0;;;;0.0;;;;0.0;0.0;;;;0.0;-0.0;-0.0;0.0;0.0;;0.0;;-0.0;0.0;;;-0.0;;0.0;;-0.0;0.0;-0.0;;;;;;;;;0.0;;0.0;0.0;;;0.14;-0.01;-0.0;;0.0;-0.04;1.0;;;;0.0;-6.1;0.0;-0.0;;-8.6;-0.0;;-0.0;24.6;-57.3;34.0;100.0;
2012.0;0.0;0.0;-0.0;-0.0;-0.0;-0.0;1.0;0.0;0.0;0.0;0.0;-0.0;-0.0;-0.0;0.0;-0.0;-0.0;0.0;90.56;0.0;;0.0;0.0;;;0.0;;0.0;0.0;-24.19;-25.6;-0.0;-28.95;;-28.95;-0.03;-0.03;1.0;;0.0;;0.0;;0.0;;0.0;;;;;;0.0;0.0;;0.0;0.0;;;0.0;;;;;;;;;0.0;-0.0;-0.0;0.0;0.0;;0.0;;-0.0;0.0;;;-0.0;;0.0;-0.0;-0.0;0.0;-0.0;;;;;-0.0;;;;0.0;;0.0;0.0;;;0.12;-0.03;-0.02;;0.0;-0.06;1.0;-16.9;-1.1;;0.0;-25.6;0.0;-0.0;;-28.9;-0.0;;-0.0;50.1;-425.4;56.6;100.0;
2013.0;;;;;;;13.0;0.0;0.0;33.0;33.0;-33.0;-0.0;0.0;0.0;0.0;-0.0;;;;;;;;;;;;;;;;;;;;;13.0;;0.0;;0.0;;0.0;0.0;0.0;;0.0;0.0;;;0.0;0.0;;0.0;;;;33.0;0.0;;;;0.0;;;;0.0;-33.0;-0.0;0.0;0.0;;0.0;;;;;;-32.0;;;;-32.0;32.0;-0.0;;;;0.0;;;;;0.0;;0.0;;;;;;-0.02;;0.0;-2.59;13.0;inf;inf;;;;;;;;-32.0;0.0;-33.0;;;;;
2014.0;0.0;0.0;-14.0;-14.0;-14.0;-14.0;13.0;1.0;4.0;3.0;4.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;66.09;1.0;0.0;1.0;1.0;;;1.0;;0.0;0.0;-199473.56;-201269.01;0.0;-200947.17;;-200947.17;-1.14;-1.14;13.0;;0.0;0.0;0.0;;0.0;1.0;0.0;;3.0;3.0;;;0.0;3.0;;0.0;;;;2.0;;;;1.0;1.0;;;;0.0;-47.0;0.0;47.0;4.0;0.0;4.0;;-14.0;0.0;;;30.0;-0.0;-0.0;0.0;-2.0;-16.0;-0.0;0.0;;0.0;0.0;;;;;0.0;;0.0;0.0;;;0.0;-1.14;-0.03;;0.0;-0.02;13.0;-7.1;-0.4;;0.0;-201269.0;0.0;-14.0;;-200947.2;-2.0;;-0.0;-1993.5;-389.7;5122.7;100.0;
2015.0;0.0;0.0;-7.0;-7.0;-7.0;-7.0;16.0;0.0;3.0;0.0;0.0;3.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;50.16;7.0;;7.0;7.0;;;7.0;;0.0;0.0;-62897.28;-62855.71;-0.0;-63087.16;;-64021.18;-0.47;-0.47;16.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;3.0;3.0;0.0;;0.0;3.0;;0.0;;;;0.0;;;;;;;;0.0;0.0;-54.0;;57.0;3.0;0.0;3.0;;-7.0;0.0;;;2.0;-0.0;-0.0;-0.0;-0.0;5.0;-0.0;0.0;;;;;;;;0.0;;0.0;0.0;;;0.0;-0.46;-0.02;;0.0;0.18;16.0;-7.4;-0.4;;0.0;-62855.7;0.0;-7.0;;-64021.2;-0.0;;3.0;-257.3;-227.9;-258.3;100.0;
2016.0;0.0;0.0;-2.0;-3.0;-3.0;-3.0;18.0;0.0;4.0;1.0;1.0;3.0;-0.0;-0.0;1.0;0.0;-0.0;0.0;6.33;3.0;;3.0;3.0;;;3.0;;0.0;0.0;-8289.84;-9700.94;-0.0;-10815.27;;-10742.51;-0.18;-0.18;18.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;;;0.0;3.0;;0.0;;;;1.0;;;;;;;;0.0;0.0;-59.0;-0.0;62.0;3.0;0.0;4.0;;-3.0;0.0;;;-0.0;-0.0;0.0;0.0;-0.0;3.0;;-0.0;;;-0.0;;;;;1.0;;0.0;0.0;;;0.0;-0.18;-0.01;;;0.15;18.0;-15.3;-0.7;;0.0;-9700.9;0.0;-3.0;;-10742.5;-0.0;;3.0;-106.3;-79.6;-119.9;100.0;
2017.0;0.0;0.0;-7.0;-8.0;-8.0;-8.0;20.0;2.0;8.0;1.0;1.0;4.0;-1.0;-0.0;1.0;-0.0;-1.0;0.0;51.43;7.0;;7.0;7.0;;;7.0;;0.0;1.0;-2202.01;-2467.75;0.0;-2456.56;;-2378.75;-0.38;-0.38;20.0;;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;3.0;6.0;;;;6.0;;0.0;;;;1.0;;;;;;;;0.0;0.0;-67.0;0.0;71.0;6.0;2.0;8.0;;-8.0;1.0;;;0.0;-0.0;0.0;-0.0;0.0;6.0;-0.0;;;;-0.0;-0.0;1.0;;;0.0;;0.0;0.0;;;0.02;-0.38;-0.06;;0.01;0.21;20.0;-13.0;-0.6;;0.0;-2467.8;1.0;-8.0;;-2378.8;0.0;;4.0;-179.7;-132.4;-180.0;100.0;
2018.0;1.0;0.0;-4.0;-5.0;-5.0;-4.0;21.0;0.0;5.0;2.0;2.0;2.0;-1.0;0.0;1.0;-0.0;-1.0;0.0;58.5;4.0;;4.0;4.0;;;4.0;;0.0;1.0;-697.34;-996.66;0.0;-970.88;;-816.35;-0.2;-0.2;21.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;4.0;;;;4.0;;0.0;;;;1.0;;;;;;;;0.0;0.0;-71.0;;73.0;4.0;1.0;5.0;;-4.0;1.0;;0.0;-1.0;-0.0;0.0;0.0;-1.0;4.0;-0.0;;;;0.0;;0.0;;;0.0;;0.0;0.0;;;0.02;-0.2;-0.03;;0.0;0.1;21.0;-23.5;-0.9;;1.0;-996.7;1.0;-4.0;;-816.4;-1.0;;2.0;-197.1;-112.2;-199.0;100.0;
