;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2001.0;2.0;2.0;-7.0;-9.0;;-7.0;0.0;;24.0;;63.0;-38.0;;;;;;;100.0;10.0;8.0;2.0;2.0;;;10.0;;;;-428.77;-513.86;;;;-428.77;-4268.15;-4268.15;0.0;;;;;;;;;;;;;;;;24.0;;;;;;;;;;;63.0;;;;-39.0;;0.0;24.0;;24.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;2.0;2.0;-21.0;-21.0;;-21.0;0.0;;54.0;;118.0;-63.0;;;;;;0.0;89.33;23.0;16.0;4.0;4.0;;3.0;23.0;;;;-921.78;-918.77;;;;-921.78;-9698.42;-9698.42;0.0;;;;;;;;;;;;;;;;54.0;;;;;;2.0;;;;2.0;120.0;;;;-64.0;;1.0;54.0;;54.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;2.0;2.0;-19.0;-20.0;;-19.0;0.0;;47.0;;138.0;-91.0;;;;;;1.0;69.77;22.0;18.0;4.0;4.0;;;23.0;;;;-789.06;-816.27;;;;-789.06;-26704.54;-26704.54;0.0;;;;;;;;;;;;;;;;47.0;;;;;;1.0;;;;1.0;140.0;;;;-92.0;;1.0;47.0;;47.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;4.0;4.0;-23.0;-24.0;;-24.0;0.0;55.0;58.0;5.0;181.0;-123.0;-25.0;31.0;36.0;41.0;-26.0;0.0;94.69;28.0;23.0;5.0;5.0;;;28.0;;;1.0;-622.17;-652.51;-0.0;;;-642.67;-20635.57;-20635.57;0.0;;53.0;;53.0;;0.0;2.0;2.0;;;1.0;;;;3.0;;2.0;1.0;;;2.0;3.0;1.0;;172.0;176.0;;;;0.0;-135.0;;12.0;58.0;;58.0;;-24.0;1.0;;;-2.0;;0.0;;50.0;-0.0;-1.0;;-6.0;37.0;0.0;-1.0;1.0;;;36.0;;53.0;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;1.0;1.0;-28.0;-30.0;;-29.0;0.0;26.0;28.0;5.0;190.0;-162.0;-26.0;-0.0;-2.0;-28.0;-26.0;0.0;59.24;31.0;24.0;6.0;6.0;;;31.0;;;1.0;-2389.01;-2537.54;;;;-2457.08;-16121.64;-16121.64;0.0;;25.0;;25.0;0.0;0.0;1.0;2.0;;1.0;1.0;;;;2.0;;1.0;1.0;;;3.0;1.0;;;184.0;185.0;;;;0.0;-175.0;0.0;12.0;28.0;;28.0;;-29.0;1.0;;;-30.0;;0.0;;21.0;31.0;-0.0;;-26.0;26.0;;;1.0;;;-2.0;;25.0;53.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;28.0;27.0;3.0;-0.0;;2.0;0.0;79.0;81.0;9.0;16.0;65.0;-10.0;-13.0;40.0;17.0;-11.0;0.0;98.34;27.0;22.0;6.0;6.0;;;28.0;;;1.0;10.59;-1.47;;;;7.61;-9.45;-9.45;0.0;;42.0;12.0;54.0;23.0;0.0;1.0;2.0;;0.0;0.0;;;;3.0;;2.0;1.0;;2.0;4.0;1.0;;;7.0;7.0;;;;0.0;-136.0;-6.0;207.0;81.0;;81.0;;2.0;1.0;;;49.0;;-0.0;;70.0;-62.0;-1.0;;-41.0;29.0;;;41.0;;;-1.0;;42.0;25.0;;;212.68;16.19;-84.71;;8.31;501.99;0.0;44.9;2.5;;28.0;-1.5;1.0;2.0;;7.6;70.0;1.0;65.0;;2.6;3.2;100.0;372.3
2007.0;12.0;11.0;-27.0;-32.0;;-28.0;0.0;92.0;99.0;15.0;47.0;52.0;25.0;-26.0;13.0;12.0;20.0;1.0;93.82;43.0;35.0;8.0;8.0;;;43.0;;;1.0;-234.67;-274.46;;;;-242.51;-149.1;-149.1;0.0;;53.0;34.0;87.0;4.0;0.0;1.0;6.0;;0.0;0.0;;;;7.0;;2.0;1.0;;7.0;5.0;2.0;;;30.0;32.0;;;;0.0;-164.0;-7.0;222.0;99.0;;99.0;;-28.0;1.0;;;7.0;;0.0;;77.0;45.0;-5.0;;-152.0;130.0;;;12.0;;;1.0;;53.0;42.0;;;61.63;-149.47;105.92;;26.32;274.65;0.0;-6.5;-0.4;;12.0;-274.5;1.0;-28.0;;-242.5;77.0;2.0;52.0;;-28.4;-54.4;100.0;
2008.0;20.0;19.0;-24.0;-28.0;;-26.0;0.0;92.0;99.0;14.0;41.0;57.0;-28.0;-6.0;32.0;-2.0;-30.0;1.0;96.27;47.0;41.0;6.0;6.0;;;48.0;3.0;0.0;2.0;-117.55;-140.12;;;;-127.76;-109.2;-109.2;0.0;;51.0;37.0;88.0;2.0;0.0;1.0;6.0;;0.0;0.0;;;;7.0;;2.0;1.0;;7.0;4.0;3.0;24.0;;;27.0;;;;0.0;-190.0;-8.0;255.0;99.0;;99.0;;-26.0;2.0;;2.0;1.0;2.0;0.0;;78.0;-7.0;-2.0;;-105.0;101.0;;-3.0;29.0;;;5.0;;51.0;53.0;;;85.51;-109.24;-129.05;;8.74;244.25;0.0;-6.4;-0.3;;20.0;-140.1;2.0;-26.0;;-127.8;78.0;3.0;57.0;;-25.8;-44.7;100.0;
2009.0;25.0;8.0;-37.0;-40.0;-39.0;-39.0;0.0;314.0;319.0;101.0;250.0;69.0;-24.0;10.0;47.0;33.0;-24.0;17.0;32.0;48.0;40.0;8.0;8.0;;;65.0;1.0;0.0;2.0;-149.39;-160.9;1.0;-157.58;-0.0;-157.23;-161.7;-161.7;0.0;;84.0;27.0;111.0;202.0;;2.0;5.0;;0.0;0.0;;;;5.0;;1.0;1.0;;77.0;21.0;2.0;147.0;;;149.0;;;;0.0;-229.0;-10.0;308.0;319.0;;319.0;;-39.0;2.0;;2.0;135.0;;;;213.0;-124.0;-0.0;;-31.0;41.0;;-1.0;49.0;;;;;84.0;51.0;;;102.65;-161.39;-100.23;;0.82;282.57;0.0;-6.5;-0.1;;25.0;-160.9;2.0;-39.0;0.2;-157.2;213.0;2.0;69.0;-18.0;-12.3;-57.1;100.0;
2010.0;86.0;86.0;17.0;13.0;14.0;11.0;0.0;218.0;263.0;99.0;171.0;92.0;138.0;-63.0;6.0;82.0;135.0;;100.0;73.0;65.0;8.0;8.0;;;73.0;1.0;0.0;2.0;19.34;15.3;1.0;16.83;4.0;12.72;39.9;37.8;0.0;;166.0;48.0;214.0;1.0;;3.0;6.0;;0.0;0.0;38.0;;;45.0;;5.0;2.0;;82.0;11.0;1.0;71.0;;;72.0;;;;0.0;-218.0;0.0;310.0;263.0;;263.0;;11.0;2.0;;5.0;-94.0;;;;119.0;214.0;-3.0;;-144.0;84.0;0.0;-2.0;3.0;;;5.0;;166.0;84.0;;;315.3;40.09;496.56;;12.18;337.87;0.0;56.5;2.7;;86.0;15.3;2.0;11.0;24.4;12.7;119.0;1.0;92.0;6.7;5.5;11.9;100.0;-2.4
