;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1994.0;47.0;16.0;2.0;3.0;-6.0;3.0;10.0;14.0;40.0;13.0;19.0;21.0;6.0;-2.0;-5.0;;4.0;31.0;33.69;13.0;;10.0;10.0;;3.0;44.0;;;3.0;4.08;6.22;-9.0;-13.3;-3.0;5.36;0.25;0.25;10.0;;1.0;;1.0;11.0;;1.0;17.0;;9.0;9.0;;;0.0;26.0;;5.0;5.0;;;4.0;1.0;;2.0;3.0;6.0;;;;;;-13.0;33.0;40.0;;40.0;;3.0;3.0;;;-3.0;;0.0;;1.0;5.0;-2.0;;;;0.0;;;;;-5.0;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;45.0;14.0;4.0;2.0;2.0;1.0;11.0;12.0;42.0;8.0;13.0;29.0;3.0;-4.0;3.0;;-2.0;30.0;31.69;12.0;;10.0;10.0;;2.0;43.0;;;2.0;9.89;4.49;0.0;4.72;1.0;2.92;0.24;0.2;11.0;;3.0;;3.0;8.0;;1.0;20.0;;9.0;9.0;;;1.0;30.0;;3.0;3.0;;;3.0;1.0;;2.0;2.0;5.0;;;;;1.0;-13.0;41.0;42.0;;42.0;;1.0;2.0;;;4.0;;;;4.0;-5.0;-4.0;;;;0.0;;2.0;-0.0;;2.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;36.0;;6.0;6.0;6.0;4.0;32.0;;167.0;;76.0;91.0;13.0;-9.0;36.0;;13.0;;;30.0;;;;;30.0;30.0;;;;16.76;17.04;-0.0;16.76;2.0;12.29;0.21;0.16;32.0;;40.0;;40.0;;;;;;6.0;6.0;;;161.0;167.0;;;;;;;3.0;;;73.0;76.0;;;;;7.0;;85.0;167.0;;167.0;;4.0;;;;-4.0;;;;;13.0;-0.0;;-21.0;11.0;1.0;;38.0;;-2.0;-1.0;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;109.0;;18.0;19.0;19.0;12.0;49.0;;288.0;;140.0;148.0;5.0;-41.0;16.0;;2.0;;;90.0;;;;;90.0;90.0;;;;16.39;17.4;0.0;17.49;6.0;10.62;0.31;0.24;37.0;;21.0;;21.0;;;;;;90.0;90.0;;;198.0;288.0;;;;;;;20.0;;;119.0;140.0;;;;;18.0;;130.0;288.0;;288.0;;12.0;;-1.0;;;;;;;-6.0;-2.0;;-25.0;9.0;-23.0;;8.0;;;7.0;;;42.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;353.0;;61.0;61.0;61.0;39.0;74.0;;649.0;;253.0;396.0;31.0;-90.0;80.0;;-55.0;;;292.0;;;;;292.0;292.0;;;;17.18;17.18;;17.18;21.0;11.17;0.65;0.53;61.0;;51.0;;51.0;;;;;;293.0;293.0;;;355.0;649.0;;;;;;;75.0;;;178.0;253.0;;;;;66.0;;330.0;649.0;;649.0;;39.0;;-3.0;;;;;;;-5.0;-86.0;;-82.0;71.0;6.0;;84.0;;;-4.0;;;29.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;546.0;;22.0;33.0;26.0;7.0;92.0;;787.0;7.0;274.0;513.0;-18.0;-75.0;98.0;5.0;-94.0;;;514.0;;;;;514.0;514.0;;;;3.99;5.97;-7.0;4.72;14.0;1.35;0.09;0.08;87.0;;49.0;;49.0;;;;;;380.0;380.0;;;407.0;787.0;;;7.0;;;;145.0;;;129.0;274.0;;;;1.0;74.0;;438.0;787.0;;787.0;;7.0;;-9.0;;;;;;;-16.0;-77.0;;;;1.0;;44.0;;;54.0;;49.0;44.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;529.0;;-129.0;-99.0;-111.0;-126.0;95.0;;649.0;44.0;263.0;387.0;17.0;8.0;-34.0;-9.0;-3.0;;;627.0;;;;;627.0;627.0;;;;-24.48;-18.63;-12.0;-20.93;-3.0;-23.85;-1.33;-1.33;95.0;;16.0;;16.0;;;;;;281.0;281.0;;;368.0;649.0;;;44.0;;;;119.0;;;144.0;263.0;;;;1.0;-52.0;;438.0;649.0;;649.0;;-126.0;;-1.0;;;;;;;145.0;-20.0;-9.0;;35.0;2.0;;0.0;;;-34.0;;16.0;25.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;527.0;66.0;36.0;4.0;-6.0;-16.0;95.0;197.0;523.0;96.0;153.0;371.0;56.0;-1.0;-66.0;-12.0;43.0;461.0;12.59;55.0;;20.0;20.0;;35.0;515.0;;;42.0;6.91;0.84;-10.0;-1.07;10.0;-3.04;-0.17;-0.17;95.0;;4.0;;4.0;125.0;;68.0;54.0;247.0;;247.0;;7.0;17.0;326.0;;22.0;36.0;;;38.0;56.0;;;1.0;57.0;;;;1.0;-68.0;-40.0;477.0;523.0;;523.0;;-16.0;42.0;-2.0;;101.0;;;;101.0;-69.0;-13.0;12.0;;;-1.0;;0.0;-0.0;;-66.0;;4.0;16.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;504.0;59.0;-48.0;18.0;16.0;-77.0;97.0;203.0;433.0;116.0;139.0;294.0;42.0;-8.0;-37.0;2.0;34.0;446.0;11.63;41.0;;20.0;20.0;;22.0;487.0;;;21.0;-9.53;3.64;-3.0;3.11;8.0;-15.24;-0.81;-0.81;95.0;;6.0;;6.0;110.0;;86.0;45.0;164.0;;164.0;;11.0;11.0;230.0;;23.0;49.0;;;45.0;18.0;;;5.0;22.0;;;;1.0;-145.0;-0.0;438.0;433.0;;433.0;;-77.0;21.0;-4.0;;-15.0;;;;86.0;117.0;-8.0;-1.0;;;2.0;;1.0;;;-38.0;;6.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;513.0;64.0;45.0;27.0;28.0;15.0;93.0;185.0;402.0;108.0;124.0;278.0;40.0;-7.0;-37.0;-3.0;29.0;449.0;12.49;39.0;;20.0;20.0;;20.0;488.0;;;17.0;8.69;5.31;0.0;5.39;12.0;2.99;0.17;0.17;90.0;;4.0;;4.0;113.0;;68.0;40.0;167.0;;167.0;;4.0;6.0;217.0;;29.0;45.0;;;35.0;14.0;;;2.0;16.0;;;;1.0;-129.0;-0.0;406.0;402.0;;402.0;;15.0;17.0;2.0;;-10.0;;;;76.0;15.0;-11.0;2.0;;;2.0;;1.0;-34.0;;-4.0;;4.0;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;520.0;61.0;38.0;19.0;23.0;16.0;81.0;184.0;414.0;106.0;167.0;246.0;20.0;-11.0;-10.0;2.0;12.0;459.0;11.67;42.0;;25.0;25.0;;17.0;502.0;;;16.0;7.34;3.75;3.0;4.33;6.0;3.09;0.2;0.2;79.0;;5.0;;5.0;118.0;;61.0;38.0;173.0;;173.0;;7.0;13.0;230.0;;26.0;;;;80.0;54.0;;;7.0;61.0;;;;1.0;-113.0;-0.0;359.0;414.0;;414.0;;16.0;16.0;-3.0;;2.0;;;;78.0;-11.0;-8.0;-3.0;;;0.0;;1.0;-50.0;;39.0;;5.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;559.0;74.0;48.0;34.0;36.0;19.0;77.0;209.0;455.0;153.0;200.0;255.0;53.0;-18.0;-35.0;4.0;46.0;485.0;13.23;40.0;;25.0;25.0;;15.0;526.0;;;15.0;8.66;6.06;2.0;6.47;15.0;3.34;0.25;0.24;74.0;;9.0;;9.0;105.0;;95.0;33.0;186.0;;186.0;;9.0;17.0;245.0;;26.0;;;;127.0;32.0;;;14.0;46.0;;;;1.0;-95.0;-0.0;348.0;455.0;;455.0;;19.0;15.0;-2.0;;-22.0;;;;56.0;44.0;-7.0;-12.0;;;2.0;;4.0;-17.0;;-22.0;;9.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
