;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1985.0;1487.0;227.0;172.0;140.0;128.0;72.0;100.0;466.0;866.0;225.0;334.0;532.0;;;;;;1260.0;15.25;87.0;;43.0;43.0;;44.0;1347.0;;;44.0;11.54;9.42;-12.0;8.6;56.0;4.82;0.72;0.72;100.0;;15.0;;15.0;279.0;158.0;14.0;347.0;;12.0;12.0;;;42.0;400.0;;;16.0;;;209.0;34.0;;71.0;5.0;110.0;;;;;617.0;-340.0;254.0;866.0;;866.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1986.0;1619.0;249.0;196.0;155.0;149.0;79.0;96.0;477.0;939.0;249.0;362.0;577.0;;;;;;1370.0;15.36;94.0;;47.0;47.0;;47.0;1464.0;;;47.0;12.09;9.56;-6.0;9.18;69.0;4.9;0.83;0.83;96.0;;17.0;;17.0;270.0;176.0;14.0;404.0;;14.0;14.0;;;44.0;462.0;;;17.0;;;231.0;31.0;;79.0;4.0;114.0;;;;;638.0;-386.0;324.0;939.0;;939.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;1718.0;272.0;217.0;166.0;161.0;88.0;93.0;538.0;1058.0;299.0;413.0;646.0;;;;;;1446.0;15.85;106.0;;50.0;50.0;;56.0;1552.0;;;56.0;12.65;9.68;-5.0;9.37;73.0;5.14;0.95;0.95;93.0;;27.0;;27.0;283.0;209.0;19.0;465.0;;17.0;17.0;;;38.0;520.0;;;9.0;;;290.0;20.0;;89.0;5.0;114.0;;;;;666.0;-444.0;423.0;1058.0;;1058.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;1834.0;265.0;218.0;157.0;161.0;93.0;83.0;504.0;1073.0;321.0;425.0;648.0;;;;;;1570.0;14.43;108.0;;51.0;51.0;;57.0;1678.0;;;57.0;11.91;8.53;5.0;8.79;68.0;5.09;1.12;1.12;83.0;;18.0;;18.0;248.0;226.0;12.0;496.0;;17.0;17.0;;;57.0;569.0;;;4.0;;;317.0;9.0;;94.0;1.0;104.0;;;;;605.0;-456.0;499.0;1073.0;;1073.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;1910.0;259.0;210.0;144.0;148.0;94.0;79.0;656.0;1655.0;595.0;844.0;812.0;117.0;-420.0;316.0;;29.0;1651.0;13.55;115.0;;53.0;53.0;;62.0;1766.0;;;62.0;10.99;7.52;4.0;7.75;54.0;4.93;1.19;1.19;79.0;;14.0;;14.0;313.0;302.0;26.0;764.0;;187.0;187.0;;;49.0;1000.0;;406.0;158.0;;;31.0;118.0;;131.0;;249.0;;;;;760.0;-524.0;575.0;1655.0;;1655.0;;94.0;62.0;9.0;;-62.0;;8.0;;61.0;14.0;-89.0;;;;-331.0;;136.0;-67.0;;247.0;-17.0;;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;3072.0;418.0;280.0;230.0;178.0;107.0;86.0;983.0;2597.0;736.0;1645.0;952.0;119.0;-457.0;362.0;;-10.0;2654.0;13.61;188.0;;86.0;86.0;;102.0;2842.0;;;102.0;9.13;7.49;-52.0;5.81;71.0;3.49;1.24;1.24;86.0;;22.0;;22.0;478.0;466.0;16.0;1185.0;;363.0;363.0;;;67.0;1614.0;;595.0;128.0;;;13.0;484.0;;125.0;299.0;908.0;;;;;868.0;-619.0;703.0;2597.0;;2597.0;;107.0;102.0;-3.0;;186.0;;29.0;;247.0;-273.0;-128.0;;;;-329.0;;6.0;-5.0;;361.0;-16.0;;14.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;3807.0;509.0;340.0;275.0;212.0;128.0;87.0;1149.0;2983.0;761.0;1884.0;1099.0;176.0;-294.0;128.0;;83.0;3298.0;13.37;234.0;;105.0;105.0;;128.0;3532.0;;;128.0;8.94;7.23;-64.0;5.57;84.0;3.36;1.48;1.48;87.0;;20.0;;20.0;618.0;489.0;22.0;1229.0;;502.0;502.0;;;103.0;1834.0;;536.0;184.0;;;41.0;585.0;;179.0;358.0;1123.0;;;;;880.0;-669.0;887.0;2983.0;;2983.0;;128.0;128.0;-13.0;;141.0;;27.0;;388.0;-209.0;-92.0;;;;-202.0;;76.0;-69.0;;121.0;-11.0;;22.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;3781.0;583.0;399.0;329.0;256.0;155.0;87.0;1302.0;3825.0;1135.0;2636.0;1189.0;213.0;-651.0;454.0;;62.0;3197.0;15.43;255.0;;112.0;112.0;;142.0;3452.0;;;142.0;10.55;8.7;-72.0;6.78;101.0;4.11;1.79;1.79;87.0;;27.0;;27.0;584.0;660.0;31.0;1373.0;;994.0;994.0;;;156.0;2523.0;;738.0;379.0;;;18.0;940.0;;196.0;364.0;1501.0;;;;;744.0;-743.0;1188.0;3825.0;;3825.0;;155.0;142.0;39.0;;-221.0;;-108.0;;167.0;97.0;-151.0;;;;-500.0;;17.0;-61.0;;498.0;-10.0;;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;4163.0;689.0;388.0;370.0;278.0;99.0;89.0;1325.0;4217.0;1281.0;2911.0;1306.0;353.0;-237.0;-87.0;;81.0;3474.0;16.54;318.0;;127.0;127.0;;192.0;3792.0;;;192.0;9.33;8.9;-92.0;6.69;97.0;2.38;1.14;1.11;87.0;;54.0;;54.0;533.0;700.0;38.0;1594.0;;1119.0;1119.0;;;180.0;2892.0;;795.0;475.0;;;11.0;892.0;;20.0;720.0;1631.0;;;;;843.0;-889.0;1352.0;4217.0;;4217.0;;99.0;192.0;46.0;;-123.0;;5.0;;44.0;139.0;-271.0;;;;35.0;;30.0;-87.0;;-30.0;-2.0;;27.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;4452.0;638.0;405.0;284.0;187.0;131.0;90.0;1606.0;4781.0;1483.0;3341.0;1441.0;7.0;-499.0;477.0;;-433.0;3814.0;14.33;354.0;;135.0;135.0;;218.0;4168.0;;;218.0;9.09;6.39;-98.0;4.19;56.0;2.94;1.47;1.46;89.0;;44.0;;44.0;738.0;768.0;57.0;1817.0;;1122.0;1122.0;;;237.0;3176.0;;737.0;736.0;;;10.0;1090.0;;;768.0;1858.0;;;;;974.0;-1049.0;1516.0;4781.0;;4781.0;;131.0;218.0;-23.0;;79.0;;-38.0;;123.0;-398.0;-440.0;;;;-60.0;;16.0;-13.0;-9.0;482.0;5.0;;54.0;;;;;;;;;;;;;;;;;;;;;;;;;;
